gene_symbol,logfc_dz:610,mean_logfc,median_logfc,common_experiment,organism,signature_type
ATP1B1,0.075057104229927,0.075057104229927,0.075057104229927,0.075057104229927,human,UP
SPINK4,0.0676555857062339,0.0676555857062339,0.0676555857062339,0.0676555857062339,human,UP
TFF1,0.0616363510489463,0.0616363510489463,0.0616363510489463,0.0616363510489463,human,UP
CEACAM6,0.056047324091196,0.056047324091196,0.056047324091196,0.056047324091196,human,UP
S100P,0.053463440388441,0.053463440388441,0.053463440388441,0.053463440388441,human,UP
CTSE,0.0511384978890419,0.0511384978890419,0.0511384978890419,0.0511384978890419,human,UP
LCN2,0.0471023246645927,0.0471023246645927,0.0471023246645927,0.0471023246645927,human,UP
ANKRD36B,0.043391615152359,0.043391615152359,0.043391615152359,0.043391615152359,human,UP
PTTG1IP,0.041376557201147,0.041376557201147,0.041376557201147,0.041376557201147,human,UP
LDHA,0.0394892022013664,0.0394892022013664,0.0394892022013664,0.0394892022013664,human,UP
PLAC8,0.0382650382816791,0.0382650382816791,0.0382650382816791,0.0382650382816791,human,UP
TMA7,0.0380348861217498,0.0380348861217498,0.0380348861217498,0.0380348861217498,human,UP
TSPAN8,0.0379734337329864,0.0379734337329864,0.0379734337329864,0.0379734337329864,human,UP
NDUFS6,0.0377199836075305,0.0377199836075305,0.0377199836075305,0.0377199836075305,human,UP
TFF3,0.0371651649475097,0.0371651649475097,0.0371651649475097,0.0371651649475097,human,UP
TFF2,0.0363034941256046,0.0363034941256046,0.0363034941256046,0.0363034941256046,human,UP
LGALS3,0.0361195094883441,0.0361195094883441,0.0361195094883441,0.0361195094883441,human,UP
SLC6A14,0.0357498340308666,0.0357498340308666,0.0357498340308666,0.0357498340308666,human,UP
SNRPG,0.0328484401106834,0.0328484401106834,0.0328484401106834,0.0328484401106834,human,UP
RAB13,0.032156690955162,0.032156690955162,0.032156690955162,0.032156690955162,human,UP
CD55,0.0318387523293495,0.0318387523293495,0.0318387523293495,0.0318387523293495,human,UP
GPRC5A,0.0316022336483001,0.0316022336483001,0.0316022336483001,0.0316022336483001,human,UP
DMBT1,0.0306032020598649,0.0306032020598649,0.0306032020598649,0.0306032020598649,human,UP
AKR1C3,0.0304286610335111,0.0304286610335111,0.0304286610335111,0.0304286610335111,human,UP
MYL12B,0.0298052784055471,0.0298052784055471,0.0298052784055471,0.0298052784055471,human,UP
CTSH,0.0295719914138317,0.0295719914138317,0.0295719914138317,0.0295719914138317,human,UP
SAT1,0.0294102635234594,0.0294102635234594,0.0294102635234594,0.0294102635234594,human,UP
IFI27,0.0290115121752023,0.0290115121752023,0.0290115121752023,0.0290115121752023,human,UP
LGALS4,0.0288428887724876,0.0288428887724876,0.0288428887724876,0.0288428887724876,human,UP
RPS11,0.028658939525485,0.028658939525485,0.028658939525485,0.028658939525485,human,UP
EFNA1,0.0281446892768144,0.0281446892768144,0.0281446892768144,0.0281446892768144,human,UP
TUFT1,0.0281173642724752,0.0281173642724752,0.0281173642724752,0.0281173642724752,human,UP
PLS1,0.0278408415615558,0.0278408415615558,0.0278408415615558,0.0278408415615558,human,UP
COX6C,0.0277991704642772,0.0277991704642772,0.0277991704642772,0.0277991704642772,human,UP
ADM,0.0272018052637577,0.0272018052637577,0.0272018052637577,0.0272018052637577,human,UP
ASS1,0.0271989218890666,0.0271989218890666,0.0271989218890666,0.0271989218890666,human,UP
MLPH,0.0271466989070177,0.0271466989070177,0.0271466989070177,0.0271466989070177,human,UP
FCGBP,0.0270151291042566,0.0270151291042566,0.0270151291042566,0.0270151291042566,human,UP
CYP3A5,0.026516780257225,0.026516780257225,0.026516780257225,0.026516780257225,human,UP
KRT18,0.0258491765707731,0.0258491765707731,0.0258491765707731,0.0258491765707731,human,UP
PPA1,0.0256042517721653,0.0256042517721653,0.0256042517721653,0.0256042517721653,human,UP
ARL6IP1,0.0254288744181394,0.0254288744181394,0.0254288744181394,0.0254288744181394,human,UP
UQCRH,0.0250939913094043,0.0250939913094043,0.0250939913094043,0.0250939913094043,human,UP
RNF128,0.0249733123928308,0.0249733123928308,0.0249733123928308,0.0249733123928308,human,UP
EPCAM,0.0238857921212911,0.0238857921212911,0.0238857921212911,0.0238857921212911,human,UP
TMSB10,0.023627508431673,0.023627508431673,0.023627508431673,0.023627508431673,human,UP
MAPK6,0.0235098805278539,0.0235098805278539,0.0235098805278539,0.0235098805278539,human,UP
FXYD3,0.0230335053056478,0.0230335053056478,0.0230335053056478,0.0230335053056478,human,UP
SRP9,0.0217417422682046,0.0217417422682046,0.0217417422682046,0.0217417422682046,human,UP
CAP1,0.0215280037373304,0.0215280037373304,0.0215280037373304,0.0215280037373304,human,UP
CSTA,0.0208677053451538,0.0208677053451538,0.0208677053451538,0.0208677053451538,human,UP
COX7A2,0.0208675041794776,0.0208675041794776,0.0208675041794776,0.0208675041794776,human,UP
AGR2,0.0208335816860198,0.0208335816860198,0.0208335816860198,0.0208335816860198,human,UP
CDH17,0.0204868987202644,0.0204868987202644,0.0204868987202644,0.0204868987202644,human,UP
JTB,0.0203458685427904,0.0203458685427904,0.0203458685427904,0.0203458685427904,human,UP
GCNT3,0.0201360378414392,0.0201360378414392,0.0201360378414392,0.0201360378414392,human,UP
GNE,0.0201036911457777,0.0201036911457777,0.0201036911457777,0.0201036911457777,human,UP
CPB1,-0.320614218711853,-0.320614218711853,-0.320614218711853,-0.320614218711853,human,DOWN
PRSS2,-0.2554571330547333,-0.2554571330547333,-0.2554571330547333,-0.2554571330547333,human,DOWN
CTRB2,-0.2520729601383209,-0.2520729601383209,-0.2520729601383209,-0.2520729601383209,human,DOWN
PNLIP,-0.2380339354276657,-0.2380339354276657,-0.2380339354276657,-0.2380339354276657,human,DOWN
REG1B,-0.2038619518280029,-0.2038619518280029,-0.2038619518280029,-0.2038619518280029,human,DOWN
PRSS3,-0.1955799609422683,-0.1955799609422683,-0.1955799609422683,-0.1955799609422683,human,DOWN
REG1A,-0.1888389140367508,-0.1888389140367508,-0.1888389140367508,-0.1888389140367508,human,DOWN
CELA3A,-0.1732600629329681,-0.1732600629329681,-0.1732600629329681,-0.1732600629329681,human,DOWN
PRSS1,-0.1481063514947891,-0.1481063514947891,-0.1481063514947891,-0.1481063514947891,human,DOWN
CPA2,-0.1354860812425613,-0.1354860812425613,-0.1354860812425613,-0.1354860812425613,human,DOWN
PLA2G1B,-0.1286794245243072,-0.1286794245243072,-0.1286794245243072,-0.1286794245243072,human,DOWN
CLPS,-0.1211885288357734,-0.1211885288357734,-0.1211885288357734,-0.1211885288357734,human,DOWN
RPL3,-0.1204477027058601,-0.1204477027058601,-0.1204477027058601,-0.1204477027058601,human,DOWN
CPA1,-0.1045548543334007,-0.1045548543334007,-0.1045548543334007,-0.1045548543334007,human,DOWN
RPS18,-0.1012840792536735,-0.1012840792536735,-0.1012840792536735,-0.1012840792536735,human,DOWN
SPINK1,-0.0989594012498855,-0.0989594012498855,-0.0989594012498855,-0.0989594012498855,human,DOWN
RPS10,-0.0957162529230117,-0.0957162529230117,-0.0957162529230117,-0.0957162529230117,human,DOWN
RPS4Y1,-0.0898401886224746,-0.0898401886224746,-0.0898401886224746,-0.0898401886224746,human,DOWN
CELA2A,-0.0882530882954597,-0.0882530882954597,-0.0882530882954597,-0.0882530882954597,human,DOWN
CTRC,-0.0862326622009277,-0.0862326622009277,-0.0862326622009277,-0.0862326622009277,human,DOWN
EEF1G,-0.0831867530941963,-0.0831867530941963,-0.0831867530941963,-0.0831867530941963,human,DOWN
INS,-0.0815330222249031,-0.0815330222249031,-0.0815330222249031,-0.0815330222249031,human,DOWN
RPS3,-0.0794732794165611,-0.0794732794165611,-0.0794732794165611,-0.0794732794165611,human,DOWN
RPL6,-0.0794050544500351,-0.0794050544500351,-0.0794050544500351,-0.0794050544500351,human,DOWN
CEL,-0.0770554021000862,-0.0770554021000862,-0.0770554021000862,-0.0770554021000862,human,DOWN
CELA3B,-0.0740982964634895,-0.0740982964634895,-0.0740982964634895,-0.0740982964634895,human,DOWN
RPL8,-0.0694115310907363,-0.0694115310907363,-0.0694115310907363,-0.0694115310907363,human,DOWN
LDHB,-0.0683430433273315,-0.0683430433273315,-0.0683430433273315,-0.0683430433273315,human,DOWN
RPL13A,-0.0607510320842266,-0.0607510320842266,-0.0607510320842266,-0.0607510320842266,human,DOWN
RPS4X,-0.0606155097484588,-0.0606155097484588,-0.0606155097484588,-0.0606155097484588,human,DOWN
IAPP,-0.0573043935000896,-0.0573043935000896,-0.0573043935000896,-0.0573043935000896,human,DOWN
RPL12,-0.0564612485468387,-0.0564612485468387,-0.0564612485468387,-0.0564612485468387,human,DOWN
GCG,-0.0547334775328636,-0.0547334775328636,-0.0547334775328636,-0.0547334775328636,human,DOWN
RPS13,-0.0546789281070232,-0.0546789281070232,-0.0546789281070232,-0.0546789281070232,human,DOWN
RPL4,-0.0525505207479,-0.0525505207479,-0.0525505207479,-0.0525505207479,human,DOWN
RPS5,-0.0493585802614688,-0.0493585802614688,-0.0493585802614688,-0.0493585802614688,human,DOWN
BEX1,-0.049223605543375,-0.049223605543375,-0.049223605543375,-0.049223605543375,human,DOWN
RPL7A,-0.0484162233769893,-0.0484162233769893,-0.0484162233769893,-0.0484162233769893,human,DOWN
MT2A,-0.0466148853302001,-0.0466148853302001,-0.0466148853302001,-0.0466148853302001,human,DOWN
RPL36A,-0.0453557446599006,-0.0453557446599006,-0.0453557446599006,-0.0453557446599006,human,DOWN
SPARCL1,-0.0430476069450378,-0.0430476069450378,-0.0430476069450378,-0.0430476069450378,human,DOWN
LUM,-0.0415927991271019,-0.0415927991271019,-0.0415927991271019,-0.0415927991271019,human,DOWN
MT1E,-0.04152088239789,-0.04152088239789,-0.04152088239789,-0.04152088239789,human,DOWN
SCG5,-0.0396076552569866,-0.0396076552569866,-0.0396076552569866,-0.0396076552569866,human,DOWN
RPL9,-0.0393543355166912,-0.0393543355166912,-0.0393543355166912,-0.0393543355166912,human,DOWN
MT1F,-0.0384575799107551,-0.0384575799107551,-0.0384575799107551,-0.0384575799107551,human,DOWN
EEF1B2,-0.0377298109233379,-0.0377298109233379,-0.0377298109233379,-0.0377298109233379,human,DOWN
FTL,-0.0376139096915721,-0.0376139096915721,-0.0376139096915721,-0.0376139096915721,human,DOWN
RPL30,-0.0360047593712806,-0.0360047593712806,-0.0360047593712806,-0.0360047593712806,human,DOWN
TUBA1A,-0.0358264669775962,-0.0358264669775962,-0.0358264669775962,-0.0358264669775962,human,DOWN
RPLP0,-0.0355233177542686,-0.0355233177542686,-0.0355233177542686,-0.0355233177542686,human,DOWN
TMEM14B,-0.0339906401932239,-0.0339906401932239,-0.0339906401932239,-0.0339906401932239,human,DOWN
CELA2B,-0.0336992442607879,-0.0336992442607879,-0.0336992442607879,-0.0336992442607879,human,DOWN
RPS2,-0.0334776528179645,-0.0334776528179645,-0.0334776528179645,-0.0334776528179645,human,DOWN
MT1H,-0.0326203443109989,-0.0326203443109989,-0.0326203443109989,-0.0326203443109989,human,DOWN
FGL1,-0.0320678614079952,-0.0320678614079952,-0.0320678614079952,-0.0320678614079952,human,DOWN
MT1X,-0.0316884517669677,-0.0316884517669677,-0.0316884517669677,-0.0316884517669677,human,DOWN
PARK7,-0.0310509651899337,-0.0310509651899337,-0.0310509651899337,-0.0310509651899337,human,DOWN
SST,-0.0309498663991689,-0.0309498663991689,-0.0309498663991689,-0.0309498663991689,human,DOWN
RPL21,-0.0306182168424129,-0.0306182168424129,-0.0306182168424129,-0.0306182168424129,human,DOWN
RPL22,-0.0297491084784269,-0.0297491084784269,-0.0297491084784269,-0.0297491084784269,human,DOWN
RPS6,-0.0283607058227062,-0.0283607058227062,-0.0283607058227062,-0.0283607058227062,human,DOWN
EEF1A1,-0.028128195554018,-0.028128195554018,-0.028128195554018,-0.028128195554018,human,DOWN
C7,-0.0273615717887878,-0.0273615717887878,-0.0273615717887878,-0.0273615717887878,human,DOWN
RPS29,-0.0272165704518556,-0.0272165704518556,-0.0272165704518556,-0.0272165704518556,human,DOWN
SPARC,-0.0266731921583414,-0.0266731921583414,-0.0266731921583414,-0.0266731921583414,human,DOWN
TPT1,-0.0261236578226089,-0.0261236578226089,-0.0261236578226089,-0.0261236578226089,human,DOWN
SLC25A6,-0.0258105117827653,-0.0258105117827653,-0.0258105117827653,-0.0258105117827653,human,DOWN
FTH1,-0.0250842329114675,-0.0250842329114675,-0.0250842329114675,-0.0250842329114675,human,DOWN
RPS17,-0.0245971493422985,-0.0245971493422985,-0.0245971493422985,-0.0245971493422985,human,DOWN
RPL41,-0.0234910976141691,-0.0234910976141691,-0.0234910976141691,-0.0234910976141691,human,DOWN
GABARAP,-0.0234278384596109,-0.0234278384596109,-0.0234278384596109,-0.0234278384596109,human,DOWN
PRDX4,-0.0232602749019861,-0.0232602749019861,-0.0232602749019861,-0.0232602749019861,human,DOWN
CUZD1,-0.0228858403861522,-0.0228858403861522,-0.0228858403861522,-0.0228858403861522,human,DOWN
CD81,-0.022338829934597,-0.022338829934597,-0.022338829934597,-0.022338829934597,human,DOWN
HERPUD1,-0.0222857054322958,-0.0222857054322958,-0.0222857054322958,-0.0222857054322958,human,DOWN
COL6A3,-0.0217812769114971,-0.0217812769114971,-0.0217812769114971,-0.0217812769114971,human,DOWN
CD63,-0.0215021260082721,-0.0215021260082721,-0.0215021260082721,-0.0215021260082721,human,DOWN
RARRES2,-0.0208721477538347,-0.0208721477538347,-0.0208721477538347,-0.0208721477538347,human,DOWN
EIF3E,-0.0208298508077859,-0.0208298508077859,-0.0208298508077859,-0.0208298508077859,human,DOWN
RPL36,-0.0206798315048217,-0.0206798315048217,-0.0206798315048217,-0.0206798315048217,human,DOWN
RPS25,-0.0206470750272274,-0.0206470750272274,-0.0206470750272274,-0.0206470750272274,human,DOWN
RPL11,-0.0202544946223497,-0.0202544946223497,-0.0202544946223497,-0.0202544946223497,human,DOWN
