gene_symbol,logfc_dz:817,mean_logfc,median_logfc,common_experiment,organism,signature_type
TXNIP,0.2688478231430053,0.2688478231430053,0.2688478231430053,0.2688478231430053,human,UP
ANKRD1,0.250263899564743,0.250263899564743,0.250263899564743,0.250263899564743,human,UP
HSPA8,0.2209062129259109,0.2209062129259109,0.2209062129259109,0.2209062129259109,human,UP
HSPB1,0.1856490969657898,0.1856490969657898,0.1856490969657898,0.1856490969657898,human,UP
FABP3,0.1445429325103759,0.1445429325103759,0.1445429325103759,0.1445429325103759,human,UP
UBC,0.1213680356740951,0.1213680356740951,0.1213680356740951,0.1213680356740951,human,UP
SPARC,0.0989326238632202,0.0989326238632202,0.0989326238632202,0.0989326238632202,human,UP
MB,0.0950245633721351,0.0950245633721351,0.0950245633721351,0.0950245633721351,human,UP
CD36,0.0918589457869529,0.0918589457869529,0.0918589457869529,0.0918589457869529,human,UP
LPL,0.0880556628108024,0.0880556628108024,0.0880556628108024,0.0880556628108024,human,UP
MYOM2,0.0879319161176681,0.0879319161176681,0.0879319161176681,0.0879319161176681,human,UP
EIF1AY,0.0820155963301658,0.0820155963301658,0.0820155963301658,0.0820155963301658,human,UP
HSPA1A,0.0669828802347183,0.0669828802347183,0.0669828802347183,0.0669828802347183,human,UP
HSP90AB1,0.0584839098155498,0.0584839098155498,0.0584839098155498,0.0584839098155498,human,UP
EGLN3,0.0578552149236202,0.0578552149236202,0.0578552149236202,0.0578552149236202,human,UP
LUM,0.0575416982173919,0.0575416982173919,0.0575416982173919,0.0575416982173919,human,UP
MYL12B,0.0563416965305805,0.0563416965305805,0.0563416965305805,0.0563416965305805,human,UP
HSP90B1,0.0561158470809459,0.0561158470809459,0.0561158470809459,0.0561158470809459,human,UP
PDLIM3,0.0552004352211952,0.0552004352211952,0.0552004352211952,0.0552004352211952,human,UP
HSPB8,0.0532532930374145,0.0532532930374145,0.0532532930374145,0.0532532930374145,human,UP
NPPB,0.0506231896579265,0.0506231896579265,0.0506231896579265,0.0506231896579265,human,UP
THBS4,0.0505102053284645,0.0505102053284645,0.0505102053284645,0.0505102053284645,human,UP
HSPA5,0.0504276305437088,0.0504276305437088,0.0504276305437088,0.0504276305437088,human,UP
S100A10,0.0496495962142944,0.0496495962142944,0.0496495962142944,0.0496495962142944,human,UP
MYL12A,0.0482106432318687,0.0482106432318687,0.0482106432318687,0.0482106432318687,human,UP
NEXN,0.0474777892231941,0.0474777892231941,0.0474777892231941,0.0474777892231941,human,UP
UBB,0.0470854714512825,0.0470854714512825,0.0470854714512825,0.0470854714512825,human,UP
TMED2,0.0445719435811042,0.0445719435811042,0.0445719435811042,0.0445719435811042,human,UP
EIF1,0.0441281162202358,0.0441281162202358,0.0441281162202358,0.0441281162202358,human,UP
DAD1,0.0437803715467453,0.0437803715467453,0.0437803715467453,0.0437803715467453,human,UP
VDAC3,0.0436595268547534,0.0436595268547534,0.0436595268547534,0.0436595268547534,human,UP
TNFRSF12A,0.0431128032505512,0.0431128032505512,0.0431128032505512,0.0431128032505512,human,UP
IGFBP7,0.0429348051548004,0.0429348051548004,0.0429348051548004,0.0429348051548004,human,UP
RPL5,0.0425725318491458,0.0425725318491458,0.0425725318491458,0.0425725318491458,human,UP
ECH1,0.0388017185032367,0.0388017185032367,0.0388017185032367,0.0388017185032367,human,UP
MDH1,0.0367636606097221,0.0367636606097221,0.0367636606097221,0.0367636606097221,human,UP
PDK4,0.0366491451859474,0.0366491451859474,0.0366491451859474,0.0366491451859474,human,UP
EXOC6B,0.0365265533328056,0.0365265533328056,0.0365265533328056,0.0365265533328056,human,UP
FABP4,0.0361596159636974,0.0361596159636974,0.0361596159636974,0.0361596159636974,human,UP
TMSB4X,0.0360239930450916,0.0360239930450916,0.0360239930450916,0.0360239930450916,human,UP
NPY6R,0.0359274670481681,0.0359274670481681,0.0359274670481681,0.0359274670481681,human,UP
MYOZ2,0.0354883298277854,0.0354883298277854,0.0354883298277854,0.0354883298277854,human,UP
CANX,0.0350621156394481,0.0350621156394481,0.0350621156394481,0.0350621156394481,human,UP
ACSL1,0.0346999205648899,0.0346999205648899,0.0346999205648899,0.0346999205648899,human,UP
CTSD,0.0343743078410625,0.0343743078410625,0.0343743078410625,0.0343743078410625,human,UP
SORBS2,0.0338698662817478,0.0338698662817478,0.0338698662817478,0.0338698662817478,human,UP
SDCBP,0.0335003919899463,0.0335003919899463,0.0335003919899463,0.0335003919899463,human,UP
ACTN4,0.0325905233621597,0.0325905233621597,0.0325905233621597,0.0325905233621597,human,UP
EIF4G2,0.032309453934431,0.032309453934431,0.032309453934431,0.032309453934431,human,UP
RAB7A,0.0312301758676767,0.0312301758676767,0.0312301758676767,0.0312301758676767,human,UP
GOT1,0.0312298219650983,0.0312298219650983,0.0312298219650983,0.0312298219650983,human,UP
RGS5,0.0310560185462236,0.0310560185462236,0.0310560185462236,0.0310560185462236,human,UP
DDX17,0.0309484880417585,0.0309484880417585,0.0309484880417585,0.0309484880417585,human,UP
FHL1,0.0307871103286743,0.0307871103286743,0.0307871103286743,0.0307871103286743,human,UP
ARHGAP1,0.0304968655109405,0.0304968655109405,0.0304968655109405,0.0304968655109405,human,UP
BCAS4,0.0303313117474317,0.0303313117474317,0.0303313117474317,0.0303313117474317,human,UP
GATM,0.0299543309956789,0.0299543309956789,0.0299543309956789,0.0299543309956789,human,UP
LGALS1,0.0298736914992332,0.0298736914992332,0.0298736914992332,0.0298736914992332,human,UP
MFN2,0.029557891190052,0.029557891190052,0.029557891190052,0.029557891190052,human,UP
PPARGC1A,0.0293589774519205,0.0293589774519205,0.0293589774519205,0.0293589774519205,human,UP
PPP1R3C,0.029187636449933,0.029187636449933,0.029187636449933,0.029187636449933,human,UP
C6,0.0291069503873586,0.0291069503873586,0.0291069503873586,0.0291069503873586,human,UP
CCND2,0.0291031207889318,0.0291031207889318,0.0291031207889318,0.0291031207889318,human,UP
TUBA8,0.0287991687655448,0.0287991687655448,0.0287991687655448,0.0287991687655448,human,UP
CAST,0.0281537361443042,0.0281537361443042,0.0281537361443042,0.0281537361443042,human,UP
HNRNPC,0.0280981492251157,0.0280981492251157,0.0280981492251157,0.0280981492251157,human,UP
CAV1,0.027881946414709,0.027881946414709,0.027881946414709,0.027881946414709,human,UP
SDHB,0.0278430376201868,0.0278430376201868,0.0278430376201868,0.0278430376201868,human,UP
MPV17,0.0273904800415039,0.0273904800415039,0.0273904800415039,0.0273904800415039,human,UP
ACTA2,0.0272836629301309,0.0272836629301309,0.0272836629301309,0.0272836629301309,human,UP
STK38L,0.0270061064511537,0.0270061064511537,0.0270061064511537,0.0270061064511537,human,UP
GAPDH,0.0268775466829538,0.0268775466829538,0.0268775466829538,0.0268775466829538,human,UP
MRPL35,0.0263303183019161,0.0263303183019161,0.0263303183019161,0.0263303183019161,human,UP
MYL3,0.0260421819984912,0.0260421819984912,0.0260421819984912,0.0260421819984912,human,UP
GABARAPL2,0.0258448142558336,0.0258448142558336,0.0258448142558336,0.0258448142558336,human,UP
MFAP5,0.0256534833461046,0.0256534833461046,0.0256534833461046,0.0256534833461046,human,UP
POSTN,0.0256329551339149,0.0256329551339149,0.0256329551339149,0.0256329551339149,human,UP
DNAJA4,0.0254050679504871,0.0254050679504871,0.0254050679504871,0.0254050679504871,human,UP
MYL7,0.0253223273903131,0.0253223273903131,0.0253223273903131,0.0253223273903131,human,UP
ACTN2,0.0251136887818574,0.0251136887818574,0.0251136887818574,0.0251136887818574,human,UP
SNAPC3,0.0247272998094558,0.0247272998094558,0.0247272998094558,0.0247272998094558,human,UP
RPL7,0.0246947612613439,0.0246947612613439,0.0246947612613439,0.0246947612613439,human,UP
LMAN2,0.0245649460703134,0.0245649460703134,0.0245649460703134,0.0245649460703134,human,UP
PCCB,0.0245414096862077,0.0245414096862077,0.0245414096862077,0.0245414096862077,human,UP
HMGN2,0.0244797151535749,0.0244797151535749,0.0244797151535749,0.0244797151535749,human,UP
BGN,0.0244158171117305,0.0244158171117305,0.0244158171117305,0.0244158171117305,human,UP
CYB5R1,0.024294689297676,0.024294689297676,0.024294689297676,0.024294689297676,human,UP
APOO,0.0241396557539701,0.0241396557539701,0.0241396557539701,0.0241396557539701,human,UP
MYL2,0.0238954927772283,0.0238954927772283,0.0238954927772283,0.0238954927772283,human,UP
PKM,0.0238839779049158,0.0238839779049158,0.0238839779049158,0.0238839779049158,human,UP
PLA2G5,0.0233494993299245,0.0233494993299245,0.0233494993299245,0.0233494993299245,human,UP
SLC38A1,0.0228443797677755,0.0228443797677755,0.0228443797677755,0.0228443797677755,human,UP
LMO7,0.0228151269257068,0.0228151269257068,0.0228151269257068,0.0228151269257068,human,UP
ODC1,0.0223273187875747,0.0223273187875747,0.0223273187875747,0.0223273187875747,human,UP
RPS3,0.0223050452768802,0.0223050452768802,0.0223050452768802,0.0223050452768802,human,UP
JAM2,0.022266712039709,0.022266712039709,0.022266712039709,0.022266712039709,human,UP
HBA2,0.0221290662884712,0.0221290662884712,0.0221290662884712,0.0221290662884712,human,UP
FN1,0.0219208784401416,0.0219208784401416,0.0219208784401416,0.0219208784401416,human,UP
LDHA,0.0218302346765995,0.0218302346765995,0.0218302346765995,0.0218302346765995,human,UP
HBEGF,0.0214923806488513,0.0214923806488513,0.0214923806488513,0.0214923806488513,human,UP
CALR,0.0214000698179006,0.0214000698179006,0.0214000698179006,0.0214000698179006,human,UP
RPL11,0.0207001063972711,0.0207001063972711,0.0207001063972711,0.0207001063972711,human,UP
EEF2,0.0205720793455839,0.0205720793455839,0.0205720793455839,0.0205720793455839,human,UP
NDUFB5,0.0202908460050821,0.0202908460050821,0.0202908460050821,0.0202908460050821,human,UP
CCND1,0.0201398450881242,0.0201398450881242,0.0201398450881242,0.0201398450881242,human,UP
APOD,-0.1388102918863296,-0.1388102918863296,-0.1388102918863296,-0.1388102918863296,human,DOWN
ACTA1,-0.1338773816823959,-0.1338773816823959,-0.1338773816823959,-0.1338773816823959,human,DOWN
