gene_symbol,logfc_dz:696,mean_logfc,median_logfc,common_experiment,organism,signature_type
TMEM53,0.3435247540473938,0.3435247540473938,0.3435247540473938,0.3435247540473938,human,UP
MNDA,0.1828103810548782,0.1828103810548782,0.1828103810548782,0.1828103810548782,human,UP
AQP9,0.1285698860883712,0.1285698860883712,0.1285698860883712,0.1285698860883712,human,UP
S100A8,0.0941970571875572,0.0941970571875572,0.0941970571875572,0.0941970571875572,human,UP
VNN2,0.0585083328187465,0.0585083328187465,0.0585083328187465,0.0585083328187465,human,UP
FCGR3A,0.0422855578362941,0.0422855578362941,0.0422855578362941,0.0422855578362941,human,UP
PPBP,0.0322070755064487,0.0322070755064487,0.0322070755064487,0.0322070755064487,human,UP
GPR65,0.0309530459344387,0.0309530459344387,0.0309530459344387,0.0309530459344387,human,UP
BTNL8,0.0297964606434106,0.0297964606434106,0.0297964606434106,0.0297964606434106,human,UP
LTB,0.0291162021458148,0.0291162021458148,0.0291162021458148,0.0291162021458148,human,UP
DEFA4,0.0281251762062311,0.0281251762062311,0.0281251762062311,0.0281251762062311,human,UP
CAMP,0.0278987269848585,0.0278987269848585,0.0278987269848585,0.0278987269848585,human,UP
S100A12,0.0251377653330564,0.0251377653330564,0.0251377653330564,0.0251377653330564,human,UP
FPR1,0.0230940487235784,0.0230940487235784,0.0230940487235784,0.0230940487235784,human,UP
CSTA,0.0224538389593362,0.0224538389593362,0.0224538389593362,0.0224538389593362,human,UP
S100A9,0.0218685641884803,0.0218685641884803,0.0218685641884803,0.0218685641884803,human,UP
FPR2,-0.1107742264866828,-0.1107742264866828,-0.1107742264866828,-0.1107742264866828,human,DOWN
TBX21,-0.1037085801362991,-0.1037085801362991,-0.1037085801362991,-0.1037085801362991,human,DOWN
P2RY14,-0.0951497107744216,-0.0951497107744216,-0.0951497107744216,-0.0951497107744216,human,DOWN
IL18RAP,-0.0757173299789428,-0.0757173299789428,-0.0757173299789428,-0.0757173299789428,human,DOWN
CD163,-0.0708115026354789,-0.0708115026354789,-0.0708115026354789,-0.0708115026354789,human,DOWN
SELL,-0.0504428260028362,-0.0504428260028362,-0.0504428260028362,-0.0504428260028362,human,DOWN
RSAD2,-0.0343063883483409,-0.0343063883483409,-0.0343063883483409,-0.0343063883483409,human,DOWN
TCL1A,-0.0296818800270557,-0.0296818800270557,-0.0296818800270557,-0.0296818800270557,human,DOWN
IFIT2,-0.0280542690306901,-0.0280542690306901,-0.0280542690306901,-0.0280542690306901,human,DOWN
GZMA,-0.0271427780389785,-0.0271427780389785,-0.0271427780389785,-0.0271427780389785,human,DOWN
APOBEC3A,-0.0266775824129581,-0.0266775824129581,-0.0266775824129581,-0.0266775824129581,human,DOWN
CD2,-0.026391988620162,-0.026391988620162,-0.026391988620162,-0.026391988620162,human,DOWN
HDC,-0.0249007325619459,-0.0249007325619459,-0.0249007325619459,-0.0249007325619459,human,DOWN
XIST,-0.024331871420145,-0.024331871420145,-0.024331871420145,-0.024331871420145,human,DOWN
IL7R,-0.023517433553934,-0.023517433553934,-0.023517433553934,-0.023517433553934,human,DOWN
GZMH,-0.0232124309986829,-0.0232124309986829,-0.0232124309986829,-0.0232124309986829,human,DOWN
TLR2,-0.0210224483162164,-0.0210224483162164,-0.0210224483162164,-0.0210224483162164,human,DOWN
TLR8,-0.0203875508159399,-0.0203875508159399,-0.0203875508159399,-0.0203875508159399,human,DOWN
