gene_symbol,logfc_dz:21,mean_logfc,median_logfc,common_experiment,organism,signature_type
COX2,0.1509612053632736,0.1509612053632736,0.1509612053632736,0.1509612053632736,human,UP
RPL23A,0.1143498495221138,0.1143498495221138,0.1143498495221138,0.1143498495221138,human,UP
LOC728026,0.0919911041855812,0.0919911041855812,0.0919911041855812,0.0919911041855812,human,UP
NACAP1,0.0860422104597091,0.0860422104597091,0.0860422104597091,0.0860422104597091,human,UP
RPL38,0.0854083076119422,0.0854083076119422,0.0854083076119422,0.0854083076119422,human,UP
EEF1G,0.0827901065349578,0.0827901065349578,0.0827901065349578,0.0827901065349578,human,UP
LDHA,0.0793603509664535,0.0793603509664535,0.0793603509664535,0.0793603509664535,human,UP
YWHAG,0.0751866474747657,0.0751866474747657,0.0751866474747657,0.0751866474747657,human,UP
FTH1,0.0713592246174812,0.0713592246174812,0.0713592246174812,0.0713592246174812,human,UP
FAM35A,0.0711206793785095,0.0711206793785095,0.0711206793785095,0.0711206793785095,human,UP
RPL8,0.0704398229718208,0.0704398229718208,0.0704398229718208,0.0704398229718208,human,UP
ACTB,0.0659734234213829,0.0659734234213829,0.0659734234213829,0.0659734234213829,human,UP
VDAC2,0.0656070932745933,0.0656070932745933,0.0656070932745933,0.0656070932745933,human,UP
RPS7,0.0643630698323249,0.0643630698323249,0.0643630698323249,0.0643630698323249,human,UP
LPCAT1,0.0639547705650329,0.0639547705650329,0.0639547705650329,0.0639547705650329,human,UP
NBPF10,0.0638633072376251,0.0638633072376251,0.0638633072376251,0.0638633072376251,human,UP
RPL4,0.0637553706765174,0.0637553706765174,0.0637553706765174,0.0637553706765174,human,UP
RPS4X,0.0636877492070198,0.0636877492070198,0.0636877492070198,0.0636877492070198,human,UP
RPS10,0.0626886934041976,0.0626886934041976,0.0626886934041976,0.0626886934041976,human,UP
HSP90AA1,0.0624376237392425,0.0624376237392425,0.0624376237392425,0.0624376237392425,human,UP
RPL6,0.0615888126194477,0.0615888126194477,0.0615888126194477,0.0615888126194477,human,UP
MRFAP1,0.0613011568784713,0.0613011568784713,0.0613011568784713,0.0613011568784713,human,UP
OPHN1,0.0588849484920501,0.0588849484920501,0.0588849484920501,0.0588849484920501,human,UP
