gene_symbol,logfc_dz:472,mean_logfc,median_logfc,common_experiment,organism,signature_type
MMP1,0.3054810762405395,0.3054810762405395,0.3054810762405395,0.3054810762405395,human,UP
NFKBIA,0.1336846500635147,0.1336846500635147,0.1336846500635147,0.1336846500635147,human,UP
MMP3,0.1132625713944435,0.1132625713944435,0.1132625713944435,0.1132625713944435,human,UP
RND3,0.1025477275252342,0.1025477275252342,0.1025477275252342,0.1025477275252342,human,UP
CTSK,0.1009963974356651,0.1009963974356651,0.1009963974356651,0.1009963974356651,human,UP
SERPINB2,0.1005686298012733,0.1005686298012733,0.1005686298012733,0.1005686298012733,human,UP
COL6A3,0.0944679677486419,0.0944679677486419,0.0944679677486419,0.0944679677486419,human,UP
FTH1,0.0929618254303932,0.0929618254303932,0.0929618254303932,0.0929618254303932,human,UP
PFN1,0.0919695496559143,0.0919695496559143,0.0919695496559143,0.0919695496559143,human,UP
IGFBP4,0.0907561630010604,0.0907561630010604,0.0907561630010604,0.0907561630010604,human,UP
IL6,0.0850604549050331,0.0850604549050331,0.0850604549050331,0.0850604549050331,human,UP
HMOX1,0.0839253216981887,0.0839253216981887,0.0839253216981887,0.0839253216981887,human,UP
HLA-B,0.082588754594326,0.082588754594326,0.082588754594326,0.082588754594326,human,UP
SERPINE1,0.0792458802461624,0.0792458802461624,0.0792458802461624,0.0792458802461624,human,UP
IER3,0.0782135650515556,0.0782135650515556,0.0782135650515556,0.0782135650515556,human,UP
ID1,0.0776284858584404,0.0776284858584404,0.0776284858584404,0.0776284858584404,human,UP
CEBPB,0.0776025131344795,0.0776025131344795,0.0776025131344795,0.0776025131344795,human,UP
GREM1,0.0764135196805,0.0764135196805,0.0764135196805,0.0764135196805,human,UP
ACTB,0.0719514563679695,0.0719514563679695,0.0719514563679695,0.0719514563679695,human,UP
GPNMB,0.0708715766668319,0.0708715766668319,0.0708715766668319,0.0708715766668319,human,UP
FTH1P5,0.0708633065223693,0.0708633065223693,0.0708633065223693,0.0708633065223693,human,UP
CXCL8,0.0687503144145011,0.0687503144145011,0.0687503144145011,0.0687503144145011,human,UP
KLF10,0.0687178447842598,0.0687178447842598,0.0687178447842598,0.0687178447842598,human,UP
DKK1,0.0680334791541099,0.0680334791541099,0.0680334791541099,0.0680334791541099,human,UP
MMP2,0.0680281594395637,0.0680281594395637,0.0680281594395637,0.0680281594395637,human,UP
CXCL1,0.0666408762335777,0.0666408762335777,0.0666408762335777,0.0666408762335777,human,UP
GEM,0.0660966262221336,0.0660966262221336,0.0660966262221336,0.0660966262221336,human,UP
ECM1,0.0660431534051895,0.0660431534051895,0.0660431534051895,0.0660431534051895,human,UP
MT2A,0.0642817318439483,0.0642817318439483,0.0642817318439483,0.0642817318439483,human,UP
CTGF,0.061894454061985,0.061894454061985,0.061894454061985,0.061894454061985,human,UP
TUBA1B,0.055528275668621,0.055528275668621,0.055528275668621,0.055528275668621,human,UP
ADM,0.0533474683761596,0.0533474683761596,0.0533474683761596,0.0533474683761596,human,UP
IL13RA2,0.0532379262149333,0.0532379262149333,0.0532379262149333,0.0532379262149333,human,UP
CORO1C,0.0529219582676887,0.0529219582676887,0.0529219582676887,0.0529219582676887,human,UP
MME,0.0524782016873359,0.0524782016873359,0.0524782016873359,0.0524782016873359,human,UP
