gene_symbol,logfc_dz:425,mean_logfc,median_logfc,common_experiment,organism,signature_type
SLC36A2,0.1625284999608993,0.1625284999608993,0.1625284999608993,0.1625284999608993,human,UP
MT1H,0.1392777562141418,0.1392777562141418,0.1392777562141418,0.1392777562141418,human,UP
H1FX,0.1183315515518188,0.1183315515518188,0.1183315515518188,0.1183315515518188,human,UP
XBP1,0.1070901006460189,0.1070901006460189,0.1070901006460189,0.1070901006460189,human,UP
TCEA1,0.100687451660633,0.100687451660633,0.100687451660633,0.100687451660633,human,UP
AARS,0.0957173332571983,0.0957173332571983,0.0957173332571983,0.0957173332571983,human,UP
DUSP1,0.0923250988125801,0.0923250988125801,0.0923250988125801,0.0923250988125801,human,UP
MARS,0.0886182785034179,0.0886182785034179,0.0886182785034179,0.0886182785034179,human,UP
PHLDA1,0.088313914835453,0.088313914835453,0.088313914835453,0.088313914835453,human,UP
HYOU1,0.0869754180312156,0.0869754180312156,0.0869754180312156,0.0869754180312156,human,UP
FLNA,0.0843110010027885,0.0843110010027885,0.0843110010027885,0.0843110010027885,human,UP
RPL23AP74,0.0822658017277717,0.0822658017277717,0.0822658017277717,0.0822658017277717,human,UP
CELP,0.0812582597136497,0.0812582597136497,0.0812582597136497,0.0812582597136497,human,UP
DYNLT1,0.0770497694611549,0.0770497694611549,0.0770497694611549,0.0770497694611549,human,UP
CKS1B,0.0742648988962173,0.0742648988962173,0.0742648988962173,0.0742648988962173,human,UP
CDC20,0.0741137862205505,0.0741137862205505,0.0741137862205505,0.0741137862205505,human,UP
PCBP1,0.0738322734832763,0.0738322734832763,0.0738322734832763,0.0738322734832763,human,UP
TGIF1,0.0731009393930435,0.0731009393930435,0.0731009393930435,0.0731009393930435,human,UP
NPC1,0.072172537446022,0.072172537446022,0.072172537446022,0.072172537446022,human,UP
PPIB,0.0717667341232299,0.0717667341232299,0.0717667341232299,0.0717667341232299,human,UP
MANF,0.0692210420966148,0.0692210420966148,0.0692210420966148,0.0692210420966148,human,UP
CD9,0.0690015479922294,0.0690015479922294,0.0690015479922294,0.0690015479922294,human,UP
AIM1,0.0678619071841239,0.0678619071841239,0.0678619071841239,0.0678619071841239,human,UP
RAD23A,0.0664233565330505,0.0664233565330505,0.0664233565330505,0.0664233565330505,human,UP
SLC1A5,0.0641964524984359,0.0641964524984359,0.0641964524984359,0.0641964524984359,human,UP
SHMT2,0.0641646757721901,0.0641646757721901,0.0641646757721901,0.0641646757721901,human,UP
CEBPD,0.0631128251552581,0.0631128251552581,0.0631128251552581,0.0631128251552581,human,UP
FLII,0.0612927936017513,0.0612927936017513,0.0612927936017513,0.0612927936017513,human,UP
EZR,0.0612400323152542,0.0612400323152542,0.0612400323152542,0.0612400323152542,human,UP
MTHFD2,0.0604307651519775,0.0604307651519775,0.0604307651519775,0.0604307651519775,human,UP
HNRNPD,0.0603744834661483,0.0603744834661483,0.0603744834661483,0.0603744834661483,human,UP
MRPL49,0.0583468936383724,0.0583468936383724,0.0583468936383724,0.0583468936383724,human,UP
CXCL2,0.0578833259642124,0.0578833259642124,0.0578833259642124,0.0578833259642124,human,UP
SDHB,0.056893203407526,0.056893203407526,0.056893203407526,0.056893203407526,human,UP
SRSF11,0.0567814782261848,0.0567814782261848,0.0567814782261848,0.0567814782261848,human,UP
GADD45A,0.0561219900846481,0.0561219900846481,0.0561219900846481,0.0561219900846481,human,UP
TOP1,0.0549257360398769,0.0549257360398769,0.0549257360398769,0.0549257360398769,human,UP
CCNA1,0.0547588728368282,0.0547588728368282,0.0547588728368282,0.0547588728368282,human,UP
SNRPE,0.054352231323719,0.054352231323719,0.054352231323719,0.054352231323719,human,UP
KRT18,0.0540904365479946,0.0540904365479946,0.0540904365479946,0.0540904365479946,human,UP
PSMA1,0.0535248853266239,0.0535248853266239,0.0535248853266239,0.0535248853266239,human,UP
DDX39B,0.0525774583220481,0.0525774583220481,0.0525774583220481,0.0525774583220481,human,UP
ABLIM1,0.0525669828057289,0.0525669828057289,0.0525669828057289,0.0525669828057289,human,UP
TNC,0.0525547973811626,0.0525547973811626,0.0525547973811626,0.0525547973811626,human,UP
CDKN3,0.0513589493930339,0.0513589493930339,0.0513589493930339,0.0513589493930339,human,UP
CANX,0.0513567849993705,0.0513567849993705,0.0513567849993705,0.0513567849993705,human,UP
PRMT1,0.0508260019123554,0.0508260019123554,0.0508260019123554,0.0508260019123554,human,UP
ASNS,0.0503599718213081,0.0503599718213081,0.0503599718213081,0.0503599718213081,human,UP
KDELR2,0.0503033883869648,0.0503033883869648,0.0503033883869648,0.0503033883869648,human,UP
MAP4,0.0495257750153541,0.0495257750153541,0.0495257750153541,0.0495257750153541,human,UP
CYC1,0.0493541806936264,0.0493541806936264,0.0493541806936264,0.0493541806936264,human,UP
ATP2A2,0.0493381768465042,0.0493381768465042,0.0493381768465042,0.0493381768465042,human,UP
PTGS2,0.0490785464644432,0.0490785464644432,0.0490785464644432,0.0490785464644432,human,UP
CYCS,0.0486325062811374,0.0486325062811374,0.0486325062811374,0.0486325062811374,human,UP
KLF6,0.0484162680804729,0.0484162680804729,0.0484162680804729,0.0484162680804729,human,UP
RHEB,0.0473085157573223,0.0473085157573223,0.0473085157573223,0.0473085157573223,human,UP
SRP19,0.0470534563064575,0.0470534563064575,0.0470534563064575,0.0470534563064575,human,UP
TOMM34,0.0469510219991207,0.0469510219991207,0.0469510219991207,0.0469510219991207,human,UP
IRAK1,0.0468917898833751,0.0468917898833751,0.0468917898833751,0.0468917898833751,human,UP
COX5A,0.0468200892210006,0.0468200892210006,0.0468200892210006,0.0468200892210006,human,UP
UQCRFS1,0.0455979295074939,0.0455979295074939,0.0455979295074939,0.0455979295074939,human,UP
ERH,0.0447669140994548,0.0447669140994548,0.0447669140994548,0.0447669140994548,human,UP
AIMP1,0.0445932559669017,0.0445932559669017,0.0445932559669017,0.0445932559669017,human,UP
RBM4,0.0444845557212829,0.0444845557212829,0.0444845557212829,0.0444845557212829,human,UP
GOT1,0.044059507548809,0.044059507548809,0.044059507548809,0.044059507548809,human,UP
UBE2D3,0.0440181270241737,0.0440181270241737,0.0440181270241737,0.0440181270241737,human,UP
EIF4A3,0.0436966568231582,0.0436966568231582,0.0436966568231582,0.0436966568231582,human,UP
SF3B2,0.0431181751191616,0.0431181751191616,0.0431181751191616,0.0431181751191616,human,UP
UBE2S,0.0429791696369648,0.0429791696369648,0.0429791696369648,0.0429791696369648,human,UP
ANP32B,0.0428970009088516,0.0428970009088516,0.0428970009088516,0.0428970009088516,human,UP
XPC,0.0428863391280174,0.0428863391280174,0.0428863391280174,0.0428863391280174,human,UP
XPO1,0.0425552017986774,0.0425552017986774,0.0425552017986774,0.0425552017986774,human,UP
MAPK1IP1L,0.0423745922744274,0.0423745922744274,0.0423745922744274,0.0423745922744274,human,UP
FST,0.0421306379139423,0.0421306379139423,0.0421306379139423,0.0421306379139423,human,UP
NCOR2,0.0418928600847721,0.0418928600847721,0.0418928600847721,0.0418928600847721,human,UP
TJP1,0.0415459759533405,0.0415459759533405,0.0415459759533405,0.0415459759533405,human,UP
MT1E,0.0413921251893043,0.0413921251893043,0.0413921251893043,0.0413921251893043,human,UP
HMGN4,0.0413411371409893,0.0413411371409893,0.0413411371409893,0.0413411371409893,human,UP
HERPUD1,0.041325956583023,0.041325956583023,0.041325956583023,0.041325956583023,human,UP
LHFPL2,0.0411549136042594,0.0411549136042594,0.0411549136042594,0.0411549136042594,human,UP
PPP1R11,0.0408819392323493,0.0408819392323493,0.0408819392323493,0.0408819392323493,human,UP
TPBG,0.0404885672032833,0.0404885672032833,0.0404885672032833,0.0404885672032833,human,UP
CDK16,0.040346123278141,0.040346123278141,0.040346123278141,0.040346123278141,human,UP
PTP4A1,0.0399183928966522,0.0399183928966522,0.0399183928966522,0.0399183928966522,human,UP
PLP2,0.039852887392044,0.039852887392044,0.039852887392044,0.039852887392044,human,UP
ETS2,0.0398257672786712,0.0398257672786712,0.0398257672786712,0.0398257672786712,human,UP
DCTN2,0.0397658385336399,0.0397658385336399,0.0397658385336399,0.0397658385336399,human,UP
PSMD11,0.0397511534392833,0.0397511534392833,0.0397511534392833,0.0397511534392833,human,UP
PPP2R2A,0.0394883342087268,0.0394883342087268,0.0394883342087268,0.0394883342087268,human,UP
PRRC2A,0.0393273681402206,0.0393273681402206,0.0393273681402206,0.0393273681402206,human,UP
SRP14,0.0393008142709732,0.0393008142709732,0.0393008142709732,0.0393008142709732,human,UP
PCK2,0.0390271693468093,0.0390271693468093,0.0390271693468093,0.0390271693468093,human,UP
EPHA2,0.0389225557446479,0.0389225557446479,0.0389225557446479,0.0389225557446479,human,UP
CEBPG,0.0386223755776882,0.0386223755776882,0.0386223755776882,0.0386223755776882,human,UP
LMNB2,0.0383262448012828,0.0383262448012828,0.0383262448012828,0.0383262448012828,human,UP
HSF1,0.0381389558315277,0.0381389558315277,0.0381389558315277,0.0381389558315277,human,UP
FNTA,0.0379599630832672,0.0379599630832672,0.0379599630832672,0.0379599630832672,human,UP
JUNB,0.0375917553901672,0.0375917553901672,0.0375917553901672,0.0375917553901672,human,UP
KLF5,0.0370623059570789,0.0370623059570789,0.0370623059570789,0.0370623059570789,human,UP
CCNH,0.0369262807071208,0.0369262807071208,0.0369262807071208,0.0369262807071208,human,UP
FAM120A,0.0369109474122524,0.0369109474122524,0.0369109474122524,0.0369109474122524,human,UP
KARS,0.0368835218250751,0.0368835218250751,0.0368835218250751,0.0368835218250751,human,UP
HSPD1,0.0368072167038917,0.0368072167038917,0.0368072167038917,0.0368072167038917,human,UP
EGFR,0.0366926193237304,0.0366926193237304,0.0366926193237304,0.0366926193237304,human,UP
EXOSC7,0.0366178378462791,0.0366178378462791,0.0366178378462791,0.0366178378462791,human,UP
GFPT1,0.0365826971828937,0.0365826971828937,0.0365826971828937,0.0365826971828937,human,UP
CAV2,0.0365082658827304,0.0365082658827304,0.0365082658827304,0.0365082658827304,human,UP
SAP18,0.0364172458648681,0.0364172458648681,0.0364172458648681,0.0364172458648681,human,UP
MAPK6,0.036312460899353,0.036312460899353,0.036312460899353,0.036312460899353,human,UP
SNRPG,0.0362348444759845,0.0362348444759845,0.0362348444759845,0.0362348444759845,human,UP
KDM5C,0.035955861210823,0.035955861210823,0.035955861210823,0.035955861210823,human,UP
MRPL3,0.0357562638819217,0.0357562638819217,0.0357562638819217,0.0357562638819217,human,UP
DAP,0.0357533358037471,0.0357533358037471,0.0357533358037471,0.0357533358037471,human,UP
TUFM,0.0357465930283069,0.0357465930283069,0.0357465930283069,0.0357465930283069,human,UP
HMGN2,0.0352562516927719,0.0352562516927719,0.0352562516927719,0.0352562516927719,human,UP
PSMB7,0.0351401641964912,0.0351401641964912,0.0351401641964912,0.0351401641964912,human,UP
EGR1,0.0350528694689273,0.0350528694689273,0.0350528694689273,0.0350528694689273,human,UP
PRMT5,0.0350047089159488,0.0350047089159488,0.0350047089159488,0.0350047089159488,human,UP
ZFP36,0.0349666215479373,0.0349666215479373,0.0349666215479373,0.0349666215479373,human,UP
STOM,0.0347213707864284,0.0347213707864284,0.0347213707864284,0.0347213707864284,human,UP
CTNNA1,0.0340337641537189,0.0340337641537189,0.0340337641537189,0.0340337641537189,human,UP
DUSP5,0.0339510813355445,0.0339510813355445,0.0339510813355445,0.0339510813355445,human,UP
NPIPB5,0.0339332558214664,0.0339332558214664,0.0339332558214664,0.0339332558214664,human,UP
NFE2L2,0.0339195244014263,0.0339195244014263,0.0339195244014263,0.0339195244014263,human,UP
KHSRP,0.0339041985571384,0.0339041985571384,0.0339041985571384,0.0339041985571384,human,UP
EBNA1BP2,0.0338657684624195,0.0338657684624195,0.0338657684624195,0.0338657684624195,human,UP
LY6G5B,0.0338157676160335,0.0338157676160335,0.0338157676160335,0.0338157676160335,human,UP
DR1,0.0336575433611869,0.0336575433611869,0.0336575433611869,0.0336575433611869,human,UP
SNRPA,0.0336530171334743,0.0336530171334743,0.0336530171334743,0.0336530171334743,human,UP
TXNRD1,0.033558003604412,0.033558003604412,0.033558003604412,0.033558003604412,human,UP
ILF2,0.0334196649491786,0.0334196649491786,0.0334196649491786,0.0334196649491786,human,UP
SAFB,0.0333673171699047,0.0333673171699047,0.0333673171699047,0.0333673171699047,human,UP
ATXN2L,0.0330416895449161,0.0330416895449161,0.0330416895449161,0.0330416895449161,human,UP
SRSF4,0.0330283902585506,0.0330283902585506,0.0330283902585506,0.0330283902585506,human,UP
PYCR1,0.0329553335905075,0.0329553335905075,0.0329553335905075,0.0329553335905075,human,UP
ECI1,0.0326864868402481,0.0326864868402481,0.0326864868402481,0.0326864868402481,human,UP
SNW1,0.0322775542736053,0.0322775542736053,0.0322775542736053,0.0322775542736053,human,UP
LOC100133773,0.0322626307606697,0.0322626307606697,0.0322626307606697,0.0322626307606697,human,UP
HBEGF,0.0322231352329254,0.0322231352329254,0.0322231352329254,0.0322231352329254,human,UP
HMGB2,0.03211460262537,0.03211460262537,0.03211460262537,0.03211460262537,human,UP
COX4I1,0.0319923013448715,0.0319923013448715,0.0319923013448715,0.0319923013448715,human,UP
NELFE,0.0316251516342163,0.0316251516342163,0.0316251516342163,0.0316251516342163,human,UP
TROVE2,0.0313958413898944,0.0313958413898944,0.0313958413898944,0.0313958413898944,human,UP
MCL1,0.0310088358819484,0.0310088358819484,0.0310088358819484,0.0310088358819484,human,UP
HUWE1,0.0309804156422615,0.0309804156422615,0.0309804156422615,0.0309804156422615,human,UP
CBFB,0.0308995768427848,0.0308995768427848,0.0308995768427848,0.0308995768427848,human,UP
USP10,0.0305199231952428,0.0305199231952428,0.0305199231952428,0.0305199231952428,human,UP
AP3D1,0.0303745530545711,0.0303745530545711,0.0303745530545711,0.0303745530545711,human,UP
PIEZO1,0.0303332209587097,0.0303332209587097,0.0303332209587097,0.0303332209587097,human,UP
PPP2CA,0.0303124412894248,0.0303124412894248,0.0303124412894248,0.0303124412894248,human,UP
GALE,0.0302856788039207,0.0302856788039207,0.0302856788039207,0.0302856788039207,human,UP
RBM39,0.0300218183547258,0.0300218183547258,0.0300218183547258,0.0300218183547258,human,UP
LOC100132620,0.0299981404095888,0.0299981404095888,0.0299981404095888,0.0299981404095888,human,UP
SRP72,0.0297810677438974,0.0297810677438974,0.0297810677438974,0.0297810677438974,human,UP
CTAGE5,0.0297630969434976,0.0297630969434976,0.0297630969434976,0.0297630969434976,human,UP
VBP1,0.0297298412770032,0.0297298412770032,0.0297298412770032,0.0297298412770032,human,UP
MCFD2,0.0297262202948331,0.0297262202948331,0.0297262202948331,0.0297262202948331,human,UP
RAE1,0.0295884199440479,0.0295884199440479,0.0295884199440479,0.0295884199440479,human,UP
SRSF3,0.0294188689440488,0.0294188689440488,0.0294188689440488,0.0294188689440488,human,UP
