gene_symbol,logfc_dz:47,mean_logfc,median_logfc,common_experiment,organism,signature_type
NKG7,0.221756562590599,0.221756562590599,0.221756562590599,0.221756562590599,human,UP
GZMH,0.153335615992546,0.153335615992546,0.153335615992546,0.153335615992546,human,UP
PRF1,0.1525888442993164,0.1525888442993164,0.1525888442993164,0.1525888442993164,human,UP
CCL5,0.1310442984104156,0.1310442984104156,0.1310442984104156,0.1310442984104156,human,UP
TXNIP,0.1284273266792297,0.1284273266792297,0.1284273266792297,0.1284273266792297,human,UP
S100A9,0.1144801303744316,0.1144801303744316,0.1144801303744316,0.1144801303744316,human,UP
HBB,0.0996337309479713,0.0996337309479713,0.0996337309479713,0.0996337309479713,human,UP
HLA-DRB1,0.0885471031069755,0.0885471031069755,0.0885471031069755,0.0885471031069755,human,UP
HLA-DRB5,0.0850312113761901,0.0850312113761901,0.0850312113761901,0.0850312113761901,human,UP
KLF2,0.0809493735432624,0.0809493735432624,0.0809493735432624,0.0809493735432624,human,UP
B2M,0.0803385972976684,0.0803385972976684,0.0803385972976684,0.0803385972976684,human,UP
CST7,0.0802066177129745,0.0802066177129745,0.0802066177129745,0.0802066177129745,human,UP
HLA-DRB4,0.0784549713134765,0.0784549713134765,0.0784549713134765,0.0784549713134765,human,UP
HBA2,0.0767314285039901,0.0767314285039901,0.0767314285039901,0.0767314285039901,human,UP
HLA-G,0.0753785148262977,0.0753785148262977,0.0753785148262977,0.0753785148262977,human,UP
TARP,0.0718814358115196,0.0718814358115196,0.0718814358115196,0.0718814358115196,human,UP
TMA7,0.0659115239977836,0.0659115239977836,0.0659115239977836,0.0659115239977836,human,UP
CFL1,0.0658465921878814,0.0658465921878814,0.0658465921878814,0.0658465921878814,human,UP
HLA-C,0.0650803297758102,0.0650803297758102,0.0650803297758102,0.0650803297758102,human,UP
TNFAIP3,0.0642266869544982,0.0642266869544982,0.0642266869544982,0.0642266869544982,human,UP
GNLY,0.0623702779412269,0.0623702779412269,0.0623702779412269,0.0623702779412269,human,UP
DDX5,0.0621689148247242,0.0621689148247242,0.0621689148247242,0.0621689148247242,human,UP
CCL3L3,0.0588236488401889,0.0588236488401889,0.0588236488401889,0.0588236488401889,human,UP
NFKBIA,0.0573081113398075,0.0573081113398075,0.0573081113398075,0.0573081113398075,human,UP
HLA-A,0.0564654469490051,0.0564654469490051,0.0564654469490051,0.0564654469490051,human,UP
LOC728026,0.0558443032205104,0.0558443032205104,0.0558443032205104,0.0558443032205104,human,UP
IFITM2,0.0547489896416664,0.0547489896416664,0.0547489896416664,0.0547489896416664,human,UP
RPS29,0.0546859502792358,0.0546859502792358,0.0546859502792358,0.0546859502792358,human,UP
HLA-DRA,0.053077146410942,0.053077146410942,0.053077146410942,0.053077146410942,human,UP
CCL4,0.0513494461774826,0.0513494461774826,0.0513494461774826,0.0513494461774826,human,UP
RGS2,0.0510144792497158,0.0510144792497158,0.0510144792497158,0.0510144792497158,human,UP
IFI30,0.0506827980279922,0.0506827980279922,0.0506827980279922,0.0506827980279922,human,UP
