gene_symbol,logfc_dz:286,mean_logfc,median_logfc,common_experiment,organism,signature_type
S100P,0.1453746110200882,0.1453746110200882,0.1453746110200882,0.1453746110200882,human,UP
HSPA1A,0.1389030218124389,0.1389030218124389,0.1389030218124389,0.1389030218124389,human,UP
VNN2,0.1379305273294448,0.1379305273294448,0.1379305273294448,0.1379305273294448,human,UP
S100A12,0.1361347138881683,0.1361347138881683,0.1361347138881683,0.1361347138881683,human,UP
MMP9,0.1344141215085983,0.1344141215085983,0.1344141215085983,0.1344141215085983,human,UP
LYZ,0.125267282128334,0.125267282128334,0.125267282128334,0.125267282128334,human,UP
ALOX5AP,0.1229171082377433,0.1229171082377433,0.1229171082377433,0.1229171082377433,human,UP
RGS2,0.1176117584109306,0.1176117584109306,0.1176117584109306,0.1176117584109306,human,UP
DEFA1B,0.1034923940896987,0.1034923940896987,0.1034923940896987,0.1034923940896987,human,UP
MKNK2,0.1013680323958396,0.1013680323958396,0.1013680323958396,0.1013680323958396,human,UP
HSP90AA1,0.09920684248209,0.09920684248209,0.09920684248209,0.09920684248209,human,UP
LITAF,0.0902762711048126,0.0902762711048126,0.0902762711048126,0.0902762711048126,human,UP
FCN1,0.0888617858290672,0.0888617858290672,0.0888617858290672,0.0888617858290672,human,UP
FCGR3B,0.0878511220216751,0.0878511220216751,0.0878511220216751,0.0878511220216751,human,UP
S100A9,0.0860012844204902,0.0860012844204902,0.0860012844204902,0.0860012844204902,human,UP
MGAM,0.0835866332054138,0.0835866332054138,0.0835866332054138,0.0835866332054138,human,UP
ARPC5,0.0825758352875709,0.0825758352875709,0.0825758352875709,0.0825758352875709,human,UP
ARRB2,0.079506978392601,0.079506978392601,0.079506978392601,0.079506978392601,human,UP
ANXA1,0.0788080766797065,0.0788080766797065,0.0788080766797065,0.0788080766797065,human,UP
ACSL1,0.0774910151958465,0.0774910151958465,0.0774910151958465,0.0774910151958465,human,UP
TREM1,0.0754945799708366,0.0754945799708366,0.0754945799708366,0.0754945799708366,human,UP
ITGB2,0.0738108977675437,0.0738108977675437,0.0738108977675437,0.0738108977675437,human,UP
FGL2,0.0710398256778717,0.0710398256778717,0.0710398256778717,0.0710398256778717,human,UP
RHOA,0.0708130300045013,0.0708130300045013,0.0708130300045013,0.0708130300045013,human,UP
VIM,0.0699785128235817,0.0699785128235817,0.0699785128235817,0.0699785128235817,human,UP
IGF2R,0.0696598291397094,0.0696598291397094,0.0696598291397094,0.0696598291397094,human,UP
AQP9,0.0695134326815605,0.0695134326815605,0.0695134326815605,0.0695134326815605,human,UP
PCBP1,0.0685969442129135,0.0685969442129135,0.0685969442129135,0.0685969442129135,human,UP
SORL1,0.0684678256511688,0.0684678256511688,0.0684678256511688,0.0684678256511688,human,UP
MS4A6A,0.0683163553476333,0.0683163553476333,0.0683163553476333,0.0683163553476333,human,UP
CRISPLD2,0.0682030096650123,0.0682030096650123,0.0682030096650123,0.0682030096650123,human,UP
ICAM3,0.0674181133508682,0.0674181133508682,0.0674181133508682,0.0674181133508682,human,UP
HSPA8,0.0651234313845634,0.0651234313845634,0.0651234313845634,0.0651234313845634,human,UP
NCF2,0.0642341822385788,0.0642341822385788,0.0642341822385788,0.0642341822385788,human,UP
TYROBP,0.0625864267349243,0.0625864267349243,0.0625864267349243,0.0625864267349243,human,UP
TKT,0.0618232004344463,0.0618232004344463,0.0618232004344463,0.0618232004344463,human,UP
FRAT2,0.0612093284726142,0.0612093284726142,0.0612093284726142,0.0612093284726142,human,UP
RASSF2,0.0609226152300834,0.0609226152300834,0.0609226152300834,0.0609226152300834,human,UP
CMTM6,0.0608614943921566,0.0608614943921566,0.0608614943921566,0.0608614943921566,human,UP
TMSB4XP8,0.0605540573596954,0.0605540573596954,0.0605540573596954,0.0605540573596954,human,UP
