gene_symbol,logfc_dz:953,mean_logfc,median_logfc,common_experiment,organism,signature_type
C10orf35,0.1164639964699745,0.1164639964699745,0.1164639964699745,0.1164639964699745,human,UP
LOC388882,0.0946832746267318,0.0946832746267318,0.0946832746267318,0.0946832746267318,human,UP
MAL,0.0900524109601974,0.0900524109601974,0.0900524109601974,0.0900524109601974,human,UP
OPHN1,0.088412806391716,0.088412806391716,0.088412806391716,0.088412806391716,human,UP
HYMAI,0.0840047001838684,0.0840047001838684,0.0840047001838684,0.0840047001838684,human,UP
FGF14-IT1,0.0728815570473671,0.0728815570473671,0.0728815570473671,0.0728815570473671,human,UP
TBC1D28,0.0640119314193725,0.0640119314193725,0.0640119314193725,0.0640119314193725,human,UP
LOC100506057,0.061116024851799,0.061116024851799,0.061116024851799,0.061116024851799,human,UP
SPCS1,0.0607609264552593,0.0607609264552593,0.0607609264552593,0.0607609264552593,human,UP
ADAM21,0.0592247508466243,0.0592247508466243,0.0592247508466243,0.0592247508466243,human,UP
XKR4,0.0567805431783199,0.0567805431783199,0.0567805431783199,0.0567805431783199,human,UP
ISL1,0.0557280555367469,0.0557280555367469,0.0557280555367469,0.0557280555367469,human,UP
ZNF695,0.0547047927975654,0.0547047927975654,0.0547047927975654,0.0547047927975654,human,UP
HTRA4,0.0543769337236881,0.0543769337236881,0.0543769337236881,0.0543769337236881,human,UP
NRARP,0.0491004362702369,0.0491004362702369,0.0491004362702369,0.0491004362702369,human,UP
TSPYL4,0.0457574650645256,0.0457574650645256,0.0457574650645256,0.0457574650645256,human,UP
PRC1,0.0431079044938087,0.0431079044938087,0.0431079044938087,0.0431079044938087,human,UP
INPP1,0.0428780764341354,0.0428780764341354,0.0428780764341354,0.0428780764341354,human,UP
HS3ST3A1,0.0428184010088443,0.0428184010088443,0.0428184010088443,0.0428184010088443,human,UP
ND2,0.0415331460535526,0.0415331460535526,0.0415331460535526,0.0415331460535526,human,UP
GPR18,0.0414536856114864,0.0414536856114864,0.0414536856114864,0.0414536856114864,human,UP
RWDD4,0.0395664349198341,0.0395664349198341,0.0395664349198341,0.0395664349198341,human,UP
SRSF2,0.0388710238039493,0.0388710238039493,0.0388710238039493,0.0388710238039493,human,UP
SLC30A3,0.0387830100953578,0.0387830100953578,0.0387830100953578,0.0387830100953578,human,UP
DDI1,0.0337054133415222,0.0337054133415222,0.0337054133415222,0.0337054133415222,human,UP
ND6,0.0327350199222564,0.0327350199222564,0.0327350199222564,0.0327350199222564,human,UP
TRBV27,0.0321182571351528,0.0321182571351528,0.0321182571351528,0.0321182571351528,human,UP
FAM134C,0.0320977047085762,0.0320977047085762,0.0320977047085762,0.0320977047085762,human,UP
GOLGA6L2,0.0309528112411499,0.0309528112411499,0.0309528112411499,0.0309528112411499,human,UP
LEF1-AS1,0.0304993912577629,0.0304993912577629,0.0304993912577629,0.0304993912577629,human,UP
FAM46C,0.0291705876588821,0.0291705876588821,0.0291705876588821,0.0291705876588821,human,UP
AMMECR1L,0.0291474368423223,0.0291474368423223,0.0291474368423223,0.0291474368423223,human,UP
LOC283728,0.0287491865456104,0.0287491865456104,0.0287491865456104,0.0287491865456104,human,UP
DBIL5P,0.0280664060264825,0.0280664060264825,0.0280664060264825,0.0280664060264825,human,UP
EIF4G1,0.027801226824522,0.027801226824522,0.027801226824522,0.027801226824522,human,UP
HVCN1,0.0269328281283378,0.0269328281283378,0.0269328281283378,0.0269328281283378,human,UP
SEC61B,0.0255927201360464,0.0255927201360464,0.0255927201360464,0.0255927201360464,human,UP
ZDHHC23,0.024127272889018,0.024127272889018,0.024127272889018,0.024127272889018,human,UP
LOC339988,0.024040775373578,0.024040775373578,0.024040775373578,0.024040775373578,human,UP
SMKR1,0.0239183288067579,0.0239183288067579,0.0239183288067579,0.0239183288067579,human,UP
