gene_symbol,logfc_dz:3,mean_logfc,median_logfc,common_experiment,organism,signature_type
GLTSCR1,0.5082721710205078,0.5082721710205078,0.5082721710205078,0.5082721710205078,human,UP
ARHGEF10,0.0965021252632141,0.0965021252632141,0.0965021252632141,0.0965021252632141,human,UP
RGS20,0.0767591968178749,0.0767591968178749,0.0767591968178749,0.0767591968178749,human,UP
NAGPA,0.0533668063580989,0.0533668063580989,0.0533668063580989,0.0533668063580989,human,UP
LILRB5,0.0508442781865596,0.0508442781865596,0.0508442781865596,0.0508442781865596,human,UP
XK,0.0456253513693809,0.0456253513693809,0.0456253513693809,0.0456253513693809,human,UP
NAP1L3,0.0444276146590709,0.0444276146590709,0.0444276146590709,0.0444276146590709,human,UP
HSD17B3,0.0433749184012413,0.0433749184012413,0.0433749184012413,0.0433749184012413,human,UP
DEXI,0.0422931872308254,0.0422931872308254,0.0422931872308254,0.0422931872308254,human,UP
GRWD1,0.0405381880700588,0.0405381880700588,0.0405381880700588,0.0405381880700588,human,UP
FKBP1A,0.0403615795075893,0.0403615795075893,0.0403615795075893,0.0403615795075893,human,UP
CASP5,0.0398104935884475,0.0398104935884475,0.0398104935884475,0.0398104935884475,human,UP
SOX17,0.0390266925096511,0.0390266925096511,0.0390266925096511,0.0390266925096511,human,UP
RPL14,0.0390179865062236,0.0390179865062236,0.0390179865062236,0.0390179865062236,human,UP
CAMK1G,0.0376217998564243,0.0376217998564243,0.0376217998564243,0.0376217998564243,human,UP
LOC649828,0.0375842079520225,0.0375842079520225,0.0375842079520225,0.0375842079520225,human,UP
STAT3,0.0375300161540508,0.0375300161540508,0.0375300161540508,0.0375300161540508,human,UP
SERPINB1,0.0373196527361869,0.0373196527361869,0.0373196527361869,0.0373196527361869,human,UP
PAIP1,0.0364896208047866,0.0364896208047866,0.0364896208047866,0.0364896208047866,human,UP
PEX12,0.0360721088945865,0.0360721088945865,0.0360721088945865,0.0360721088945865,human,UP
HNRPF,0.0357519686222076,0.0357519686222076,0.0357519686222076,0.0357519686222076,human,UP
LYAR,0.0352996662259101,0.0352996662259101,0.0352996662259101,0.0352996662259101,human,UP
TERF2,0.0349562466144561,0.0349562466144561,0.0349562466144561,0.0349562466144561,human,UP
CSF2,0.0348557829856872,0.0348557829856872,0.0348557829856872,0.0348557829856872,human,UP
PPP3CA,0.0346814282238483,0.0346814282238483,0.0346814282238483,0.0346814282238483,human,UP
TRIP13,0.0345725640654563,0.0345725640654563,0.0345725640654563,0.0345725640654563,human,UP
ATP6V0B,0.0340473018586635,0.0340473018586635,0.0340473018586635,0.0340473018586635,human,UP
ERLIN2,0.0340332686901092,0.0340332686901092,0.0340332686901092,0.0340332686901092,human,UP
CSNK1A1,0.0334160812199115,0.0334160812199115,0.0334160812199115,0.0334160812199115,human,UP
STT3A,0.0331782214343547,0.0331782214343547,0.0331782214343547,0.0331782214343547,human,UP
GOLGA8B,0.0331196077167987,0.0331196077167987,0.0331196077167987,0.0331196077167987,human,UP
ANKRD15,0.0327333435416221,0.0327333435416221,0.0327333435416221,0.0327333435416221,human,UP
DBI,0.0327301733195781,0.0327301733195781,0.0327301733195781,0.0327301733195781,human,UP
SPSB1,0.0326635353267192,0.0326635353267192,0.0326635353267192,0.0326635353267192,human,UP
IFT122,0.0326401032507419,0.0326401032507419,0.0326401032507419,0.0326401032507419,human,UP
HSHUR7SEQ,0.0325492583215236,0.0325492583215236,0.0325492583215236,0.0325492583215236,human,UP
MAP4K5,0.0325239934027195,0.0325239934027195,0.0325239934027195,0.0325239934027195,human,UP
KCTD17,0.0319021344184875,0.0319021344184875,0.0319021344184875,0.0319021344184875,human,UP
HAPLN3,0.0315059460699558,0.0315059460699558,0.0315059460699558,0.0315059460699558,human,UP
LOC732160,0.0314711406826972,0.0314711406826972,0.0314711406826972,0.0314711406826972,human,UP
CLDN7,0.0314577929675579,0.0314577929675579,0.0314577929675579,0.0314577929675579,human,UP
GRPR,0.0311416331678628,0.0311416331678628,0.0311416331678628,0.0311416331678628,human,UP
IFNA2,0.0309049319475889,0.0309049319475889,0.0309049319475889,0.0309049319475889,human,UP
