gene_symbol,logfc_dz:1011,mean_logfc,median_logfc,common_experiment,organism,signature_type
TIMM17A,0.0577363744378089,0.0577363744378089,0.0577363744378089,0.0577363744378089,human,UP
STRAP,0.0478438958525657,0.0478438958525657,0.0478438958525657,0.0478438958525657,human,UP
DMRTB1,0.04289111495018,0.04289111495018,0.04289111495018,0.04289111495018,human,UP
NSMCE1,0.041830264031887,0.041830264031887,0.041830264031887,0.041830264031887,human,UP
LOC100288893,0.0411433726549148,0.0411433726549148,0.0411433726549148,0.0411433726549148,human,UP
SIK3,0.0379111655056476,0.0379111655056476,0.0379111655056476,0.0379111655056476,human,UP
RPS19BP1,0.0374932214617729,0.0374932214617729,0.0374932214617729,0.0374932214617729,human,UP
ARNT2,0.0370222330093383,0.0370222330093383,0.0370222330093383,0.0370222330093383,human,UP
ZBTB3,0.0367763228714466,0.0367763228714466,0.0367763228714466,0.0367763228714466,human,UP
BTNL9,0.0350189246237278,0.0350189246237278,0.0350189246237278,0.0350189246237278,human,UP
ZC3H8,0.0347717180848121,0.0347717180848121,0.0347717180848121,0.0347717180848121,human,UP
PFDN4,0.034413244575262,0.034413244575262,0.034413244575262,0.034413244575262,human,UP
GRASP,0.0340907908976078,0.0340907908976078,0.0340907908976078,0.0340907908976078,human,UP
TM4SF5,0.0339269191026687,0.0339269191026687,0.0339269191026687,0.0339269191026687,human,UP
DLD,0.0328830406069755,0.0328830406069755,0.0328830406069755,0.0328830406069755,human,UP
SV2C,0.032241865992546,0.032241865992546,0.032241865992546,0.032241865992546,human,UP
B3GAT2,0.0318765603005886,0.0318765603005886,0.0318765603005886,0.0318765603005886,human,UP
TGOLN2,0.0310369655489921,0.0310369655489921,0.0310369655489921,0.0310369655489921,human,UP
PLCB3,0.0307424813508987,0.0307424813508987,0.0307424813508987,0.0307424813508987,human,UP
UFSP1,0.0304609201848506,0.0304609201848506,0.0304609201848506,0.0304609201848506,human,UP
SNAI3,0.029877008870244,0.029877008870244,0.029877008870244,0.029877008870244,human,UP
SLC34A1,0.0293708387762308,0.0293708387762308,0.0293708387762308,0.0293708387762308,human,UP
RSU1,0.0292505882680416,0.0292505882680416,0.0292505882680416,0.0292505882680416,human,UP
LIN28A,0.0292113795876503,0.0292113795876503,0.0292113795876503,0.0292113795876503,human,UP
IFNAR1,0.0289353504776954,0.0289353504776954,0.0289353504776954,0.0289353504776954,human,UP
GIMAP4,0.0289188344031572,0.0289188344031572,0.0289188344031572,0.0289188344031572,human,UP
NUDT2,0.0281113982200622,0.0281113982200622,0.0281113982200622,0.0281113982200622,human,UP
SPNS3,0.0276735890656709,0.0276735890656709,0.0276735890656709,0.0276735890656709,human,UP
NOSIP,0.0275587998330593,0.0275587998330593,0.0275587998330593,0.0275587998330593,human,UP
BAG1,0.0268930904567241,0.0268930904567241,0.0268930904567241,0.0268930904567241,human,UP
NEDD4L,0.0266819018870592,0.0266819018870592,0.0266819018870592,0.0266819018870592,human,UP
