gene_symbol,logfc_dz:459,logfc_dz:297,mean_logfc,median_logfc,common_experiment,organism,signature_type
S100A7,0.3690065145492553,,0.3690065145492553,0.3690065145492553,,human,UP
IGFBP3,,0.2433964014053344,0.2433964014053344,0.2433964014053344,0.2433964014053344,human,UP
S100A9,0.3452758193016052,0.0502915754914283,0.1977836973965168,0.1977836973965168,0.0502915754914283,human,UP
SPRR2B,0.1825022548437118,,0.1825022548437118,0.1825022548437118,,human,UP
PI3,0.1758632957935333,,0.1758632957935333,0.1758632957935333,,human,UP
IFITM3,0.0687927082180976,0.2652536630630493,0.1670231856405735,0.1670231856405735,0.2652536630630493,human,UP
SERPINB4,0.1556897163391113,,0.1556897163391113,0.1556897163391113,,human,UP
DEFB4A,0.1467921286821365,,0.1467921286821365,0.1467921286821365,,human,UP
MT2A,0.144863411784172,,0.144863411784172,0.144863411784172,,human,UP
KRT6C,0.141784593462944,,0.141784593462944,0.141784593462944,,human,UP
SERPINB3,0.1170660108327865,,0.1170660108327865,0.1170660108327865,,human,UP
KRT6B,0.108503445982933,,0.108503445982933,0.108503445982933,,human,UP
IFITM2,0.0513326562941074,0.1525561064481735,0.1019443813711404,0.1019443813711404,0.1525561064481735,human,UP
CDKN1A,,0.0950112640857696,0.0950112640857696,0.0950112640857696,0.0950112640857696,human,UP
FABP5,0.0934544205665588,,0.0934544205665588,0.0934544205665588,,human,UP
MT1HL1,0.0920186787843704,,0.0920186787843704,0.0920186787843704,,human,UP
PSCA,,0.0890858694911003,0.0890858694911003,0.0890858694911003,0.0890858694911003,human,UP
TMSB4X,,0.0878421813249588,0.0878421813249588,0.0878421813249588,0.0878421813249588,human,UP
SPRR1B,0.085084393620491,,0.085084393620491,0.085084393620491,,human,UP
ID3,,0.0811856538057327,0.0811856538057327,0.0811856538057327,0.0811856538057327,human,UP
TIMP1,0.0802074000239372,,0.0802074000239372,0.0802074000239372,,human,UP
TNFAIP2,,0.0766157582402229,0.0766157582402229,0.0766157582402229,0.0766157582402229,human,UP
KRT16,0.0728757008910179,,0.0728757008910179,0.0728757008910179,,human,UP
GDF15,,0.0727536156773567,0.0727536156773567,0.0727536156773567,0.0727536156773567,human,UP
S100A2,0.1732611209154129,-0.031154716387391,0.0710532022640109,0.0710532022640109,-0.031154716387391,human,UP
