gene_symbol,logfc_dz:350,logfc_dz:628,mean_logfc,median_logfc,common_experiment,organism,signature_type
KRT6B,0.2582372426986694,0.2582372426986694,0.2582372426986694,0.2582372426986694,0.2582372426986694,human,UP
IGHV4-31,0.2306575626134872,0.2306575626134872,0.2306575626134872,0.2306575626134872,0.2306575626134872,human,UP
KRT16,0.2292941063642501,0.2292941063642501,0.2292941063642501,0.2292941063642501,0.2292941063642501,human,UP
CYAT1,0.2062744051218032,0.2062744051218032,0.2062744051218032,0.2062744051218032,0.2062744051218032,human,UP
HBB,0.2013270854949951,0.2013270854949951,0.2013270854949951,0.2013270854949951,0.2013270854949951,human,UP
KRT6A,0.1841759383678436,0.1841759383678436,0.1841759383678436,0.1841759383678436,0.1841759383678436,human,UP
S100A9,0.1712329536676406,0.1712329536676406,0.1712329536676406,0.1712329536676406,0.1712329536676406,human,UP
HBA2,0.1685237735509872,0.1685237735509872,0.1685237735509872,0.1685237735509872,0.1685237735509872,human,UP
SPRR1A,0.1581107079982757,0.1581107079982757,0.1581107079982757,0.1581107079982757,0.1581107079982757,human,UP
SPRR1B,0.1389694660902023,0.1389694660902023,0.1389694660902023,0.1389694660902023,0.1389694660902023,human,UP
KRT14,0.138137400150299,0.138137400150299,0.138137400150299,0.138137400150299,0.138137400150299,human,UP
KRT17,0.135051742196083,0.135051742196083,0.135051742196083,0.135051742196083,0.135051742196083,human,UP
IGHA2,0.1275832653045654,0.1275832653045654,0.1275832653045654,0.1275832653045654,0.1275832653045654,human,UP
S100A7,0.120633840560913,0.120633840560913,0.120633840560913,0.120633840560913,0.120633840560913,human,UP
KRT31,0.1193486377596855,0.1193486377596855,0.1193486377596855,0.1193486377596855,0.1193486377596855,human,UP
CFL1,0.1186072379350662,0.1186072379350662,0.1186072379350662,0.1186072379350662,0.1186072379350662,human,UP
IVL,0.1180894896388053,0.1180894896388053,0.1180894896388053,0.1180894896388053,0.1180894896388053,human,UP
ACTG1,0.1135904118418693,0.1135904118418693,0.1135904118418693,0.1135904118418693,0.1135904118418693,human,UP
FABP5,0.1059146076440811,0.1059146076440811,0.1059146076440811,0.1059146076440811,0.1059146076440811,human,UP
KRT33A,0.1012601777911186,0.1012601777911186,0.1012601777911186,0.1012601777911186,0.1012601777911186,human,UP
HLA-A,0.0972971469163894,0.0972971469163894,0.0972971469163894,0.0972971469163894,0.0972971469163894,human,UP
IGLC7,0.0964280217885971,0.0964280217885971,0.0964280217885971,0.0964280217885971,0.0964280217885971,human,UP
PI3,0.0919887721538543,0.0919887721538543,0.0919887721538543,0.0919887721538543,0.0919887721538543,human,UP
SPRR2B,0.0916269123554229,0.0916269123554229,0.0916269123554229,0.0916269123554229,0.0916269123554229,human,UP
ACTB,0.091001272201538,0.091001272201538,0.091001272201538,0.091001272201538,0.091001272201538,human,UP
CSTA,0.086864061653614,0.086864061653614,0.086864061653614,0.086864061653614,0.086864061653614,human,UP
VIM,0.0857045426964759,0.0857045426964759,0.0857045426964759,0.0857045426964759,0.0857045426964759,human,UP
LOC100509764,0.0838672891259193,0.0838672891259193,0.0838672891259193,0.0838672891259193,0.0838672891259193,human,UP
KRT33B,0.0818744823336601,0.0818744823336601,0.0818744823336601,0.0818744823336601,0.0818744823336601,human,UP
CD74,0.0812062546610832,0.0812062546610832,0.0812062546610832,0.0812062546610832,0.0812062546610832,human,UP
SFN,0.0790399685502052,0.0790399685502052,0.0790399685502052,0.0790399685502052,0.0790399685502052,human,UP
COL1A2,0.0781243070960044,0.0781243070960044,0.0781243070960044,0.0781243070960044,0.0781243070960044,human,UP
KRT6C,0.0777939185500145,0.0777939185500145,0.0777939185500145,0.0777939185500145,0.0777939185500145,human,UP
KRT5,0.0763306394219398,0.0763306394219398,0.0763306394219398,0.0763306394219398,0.0763306394219398,human,UP
KRT85,0.0744839161634445,0.0744839161634445,0.0744839161634445,0.0744839161634445,0.0744839161634445,human,UP
S100A2,0.0738552957773208,0.0738552957773208,0.0738552957773208,0.0738552957773208,0.0738552957773208,human,UP
HLA-B,0.0704339072108268,0.0704339072108268,0.0704339072108268,0.0704339072108268,0.0704339072108268,human,UP
KRTAP1-3,0.0689020529389381,0.0689020529389381,0.0689020529389381,0.0689020529389381,0.0689020529389381,human,UP
DEFB4A,0.067513071000576,0.067513071000576,0.067513071000576,0.067513071000576,0.067513071000576,human,UP
