gene_symbol,logfc_dz:451,mean_logfc,median_logfc,common_experiment,organism,signature_type
LOC389765,0.1301299780607223,0.1301299780607223,0.1301299780607223,0.1301299780607223,human,UP
TRIM73,0.0909139066934585,0.0909139066934585,0.0909139066934585,0.0909139066934585,human,UP
EOMES,0.0888783857226371,0.0888783857226371,0.0888783857226371,0.0888783857226371,human,UP
TIGD1,0.0711566358804702,0.0711566358804702,0.0711566358804702,0.0711566358804702,human,UP
HDHD2,0.0699880570173263,0.0699880570173263,0.0699880570173263,0.0699880570173263,human,UP
BTAF1,0.0693072006106376,0.0693072006106376,0.0693072006106376,0.0693072006106376,human,UP
CT45A2,0.0684351474046707,0.0684351474046707,0.0684351474046707,0.0684351474046707,human,UP
P2RY14,0.0679092332720756,0.0679092332720756,0.0679092332720756,0.0679092332720756,human,UP
ITIH4,0.0642176494002342,0.0642176494002342,0.0642176494002342,0.0642176494002342,human,UP
DROSHA,0.059555348008871,0.059555348008871,0.059555348008871,0.059555348008871,human,UP
C2orf80,0.0585593543946743,0.0585593543946743,0.0585593543946743,0.0585593543946743,human,UP
LOC286437,0.0569269992411136,0.0569269992411136,0.0569269992411136,0.0569269992411136,human,UP
LOC100130232,0.0566731579601764,0.0566731579601764,0.0566731579601764,0.0566731579601764,human,UP
LOC100288009,0.0556166507303714,0.0556166507303714,0.0556166507303714,0.0556166507303714,human,UP
LOC100510649,0.0528614409267902,0.0528614409267902,0.0528614409267902,0.0528614409267902,human,UP
APOD,0.051530584692955,0.051530584692955,0.051530584692955,0.051530584692955,human,UP
LOC100505656,0.0513087213039398,0.0513087213039398,0.0513087213039398,0.0513087213039398,human,UP
BTN3A2,0.0507961027324199,0.0507961027324199,0.0507961027324199,0.0507961027324199,human,UP
LMO2,0.0507651939988136,0.0507651939988136,0.0507651939988136,0.0507651939988136,human,UP
RNF182,0.0502422600984573,0.0502422600984573,0.0502422600984573,0.0502422600984573,human,UP
ZDHHC11,0.0489355400204658,0.0489355400204658,0.0489355400204658,0.0489355400204658,human,UP
GPR19,0.0484475083649158,0.0484475083649158,0.0484475083649158,0.0484475083649158,human,UP
LOC101930071,0.0473873168230056,0.0473873168230056,0.0473873168230056,0.0473873168230056,human,UP
LEP,0.0471680983901023,0.0471680983901023,0.0471680983901023,0.0471680983901023,human,UP
DFNA5,0.0460771918296813,0.0460771918296813,0.0460771918296813,0.0460771918296813,human,UP
ARMCX6,0.0447687990963459,0.0447687990963459,0.0447687990963459,0.0447687990963459,human,UP
MAL,0.0434117801487445,0.0434117801487445,0.0434117801487445,0.0434117801487445,human,UP
PTTG1IP,0.0431718789041042,0.0431718789041042,0.0431718789041042,0.0431718789041042,human,UP
CCDC84,0.0429795011878013,0.0429795011878013,0.0429795011878013,0.0429795011878013,human,UP
SMG1P3,0.0425458848476409,0.0425458848476409,0.0425458848476409,0.0425458848476409,human,UP
INHBE,0.0423562340438365,0.0423562340438365,0.0423562340438365,0.0423562340438365,human,UP
AGO3,0.041998017579317,0.041998017579317,0.041998017579317,0.041998017579317,human,UP
TGFB1I1,0.0415954068303108,0.0415954068303108,0.0415954068303108,0.0415954068303108,human,UP
YBX1,0.0414167866110801,0.0414167866110801,0.0414167866110801,0.0414167866110801,human,UP
ABCG2,0.0397452898323535,0.0397452898323535,0.0397452898323535,0.0397452898323535,human,UP
SPHAR,0.0388470254838466,0.0388470254838466,0.0388470254838466,0.0388470254838466,human,UP
LINC00623,0.0388388745486736,0.0388388745486736,0.0388388745486736,0.0388388745486736,human,UP
PCDHB5,0.0387480333447456,0.0387480333447456,0.0387480333447456,0.0387480333447456,human,UP
CSRP2,0.0384982712566852,0.0384982712566852,0.0384982712566852,0.0384982712566852,human,UP
RASD1,0.037248320877552,0.037248320877552,0.037248320877552,0.037248320877552,human,UP
ZNF37A,0.0368308275938034,0.0368308275938034,0.0368308275938034,0.0368308275938034,human,UP
ZNF791,0.0360283553600311,0.0360283553600311,0.0360283553600311,0.0360283553600311,human,UP
C9orf91,0.0359277799725532,0.0359277799725532,0.0359277799725532,0.0359277799725532,human,UP
CHSY1,0.0354642681777477,0.0354642681777477,0.0354642681777477,0.0354642681777477,human,UP
TMEM184C,0.0353352129459381,0.0353352129459381,0.0353352129459381,0.0353352129459381,human,UP
