gene_symbol,logfc_dz:360,logfc_dz:716,mean_logfc,median_logfc,common_experiment,organism,signature_type
ANXA2P3,0.2328767031431198,,0.2328767031431198,0.2328767031431198,0.2328767031431198,human,UP
ACTG1,0.2800833880901336,0.0286522377282381,0.1543678129091859,0.1543678129091859,0.2800833880901336,human,UP
KRT17,0.2234340906143188,0.0153308948501944,0.1193824927322566,0.1193824927322566,0.2234340906143188,human,UP
CD55,0.1185869723558425,,0.1185869723558425,0.1185869723558425,0.1185869723558425,human,UP
EZR,0.1101466864347457,,0.1101466864347457,0.1101466864347457,0.1101466864347457,human,UP
SFTPC,0.102019764482975,,0.102019764482975,0.102019764482975,0.102019764482975,human,UP
STOM,0.1000030636787414,,0.1000030636787414,0.1000030636787414,0.1000030636787414,human,UP
ZFP36,0.0968284308910369,,0.0968284308910369,0.0968284308910369,0.0968284308910369,human,UP
S100P,0.1026443317532539,0.0902962535619735,0.0964702926576137,0.0964702926576137,0.1026443317532539,human,UP
KRT8,0.093960240483284,,0.093960240483284,0.093960240483284,0.093960240483284,human,UP
CTGF,,0.0913083776831626,0.0913083776831626,0.0913083776831626,,human,UP
SERPINB3,0.0832667872309684,0.0788002908229827,0.0810335390269756,0.0810335390269756,0.0832667872309684,human,UP
TUBB2A,0.0792171880602836,,0.0792171880602836,0.0792171880602836,0.0792171880602836,human,UP
S100A2,0.1052061468362808,0.0529663302004337,0.0790862385183572,0.0790862385183572,0.1052061468362808,human,UP
RPS4Y1,,0.0780875980854034,0.0780875980854034,0.0780875980854034,,human,UP
SAA1,0.07552270591259,,0.07552270591259,0.07552270591259,0.07552270591259,human,UP
S100A8,0.0742770209908485,,0.0742770209908485,0.0742770209908485,0.0742770209908485,human,UP
SERPINB2,0.11439810693264,0.0298326965421438,0.0721154017373919,0.0721154017373919,0.11439810693264,human,UP
ANXA1,0.0854211971163749,0.0583631806075573,0.0718921888619661,0.0718921888619661,0.0854211971163749,human,UP
GAPDH,,0.0704703032970428,0.0704703032970428,0.0704703032970428,,human,UP
HSPB1,0.1093602925539016,0.0297307446599006,0.0695455186069011,0.0695455186069011,0.1093602925539016,human,UP
HBA2,0.1082220375537872,0.0308109261095523,0.0695164818316698,0.0695164818316698,0.1082220375537872,human,UP
IFITM3,0.1003400087356567,0.0376355834305286,0.0689877960830926,0.0689877960830926,0.1003400087356567,human,UP
SFN,0.1051725968718528,0.0312582589685916,0.0682154279202222,0.0682154279202222,0.1051725968718528,human,UP
PRB1,,0.0676104798913002,0.0676104798913002,0.0676104798913002,,human,UP
S100A6,,0.0672932341694831,0.0672932341694831,0.0672932341694831,,human,UP
SERPINB4,0.0567358657717704,0.0731981843709945,0.0649670250713825,0.0649670250713825,0.0567358657717704,human,UP
APOD,,0.0644253715872764,0.0644253715872764,0.0644253715872764,,human,UP
TUBA1C,,0.0631642490625381,0.0631642490625381,0.0631642490625381,,human,UP
HBB,0.0913386642932891,0.0324668250977993,0.0619027446955442,0.0619027446955442,0.0913386642932891,human,UP
TPSB2,,0.061875183135271,0.061875183135271,0.061875183135271,,human,UP
IFITM2,0.1108899489045143,0.0115101067349314,0.0612000278197228,0.0612000278197228,0.1108899489045143,human,UP
JUND,0.0611425228416919,,0.0611425228416919,0.0611425228416919,0.0611425228416919,human,UP
AGR2,0.0610137544572353,,0.0610137544572353,0.0610137544572353,0.0610137544572353,human,UP
SYNGR2,0.0599146410822868,,0.0599146410822868,0.0599146410822868,0.0599146410822868,human,UP
YWHAH,0.0589428804814815,,0.0589428804814815,0.0589428804814815,0.0589428804814815,human,UP
HSPA5,0.0588218383491039,,0.0588218383491039,0.0588218383491039,0.0588218383491039,human,UP
LYPLA2,0.0579498633742332,,0.0579498633742332,0.0579498633742332,0.0579498633742332,human,UP
CD9,,0.0575943700969219,0.0575943700969219,0.0575943700969219,,human,UP
RPLP0,,0.0560010708868503,0.0560010708868503,0.0560010708868503,,human,UP
CEBPD,0.0557470247149467,,0.0557470247149467,0.0557470247149467,0.0557470247149467,human,UP
HMGN3,,0.0554103031754493,0.0554103031754493,0.0554103031754493,,human,UP
XBP1,0.0551163293421268,,0.0551163293421268,0.0551163293421268,0.0551163293421268,human,UP
SERPINB1,0.0542533360421657,,0.0542533360421657,0.0542533360421657,0.0542533360421657,human,UP
S100A9,0.0530895441770553,,0.0530895441770553,0.0530895441770553,0.0530895441770553,human,UP
