gene_symbol,logfc_dz:202,mean_logfc,median_logfc,common_experiment,organism,signature_type
HLA-DRB4,0.0830030888319015,0.0830030888319015,0.0830030888319015,0.0830030888319015,human,UP
PNMAL1,0.0720101371407508,0.0720101371407508,0.0720101371407508,0.0720101371407508,human,UP
SLC16A14,0.0656962841749191,0.0656962841749191,0.0656962841749191,0.0656962841749191,human,UP
GREM1,0.0621992051601409,0.0621992051601409,0.0621992051601409,0.0621992051601409,human,UP
UTS2,0.0575838200747966,0.0575838200747966,0.0575838200747966,0.0575838200747966,human,UP
AMDHD1,0.0547875836491584,0.0547875836491584,0.0547875836491584,0.0547875836491584,human,UP
LOC100510495,0.0513870492577552,0.0513870492577552,0.0513870492577552,0.0513870492577552,human,UP
SLC12A8,0.0480965599417686,0.0480965599417686,0.0480965599417686,0.0480965599417686,human,UP
VNN1,0.046683344990015,0.046683344990015,0.046683344990015,0.046683344990015,human,UP
IL1R2,0.0462317690253257,0.0462317690253257,0.0462317690253257,0.0462317690253257,human,UP
HPGDS,0.0450266934931278,0.0450266934931278,0.0450266934931278,0.0450266934931278,human,UP
ANKRD20A8P,0.0442721806466579,0.0442721806466579,0.0442721806466579,0.0442721806466579,human,UP
CCL4,0.0435513444244861,0.0435513444244861,0.0435513444244861,0.0435513444244861,human,UP
PVALB,0.0424883030354976,0.0424883030354976,0.0424883030354976,0.0424883030354976,human,UP
MARCO,0.0403035581111907,0.0403035581111907,0.0403035581111907,0.0403035581111907,human,UP
GPAT2,0.0396264307200908,0.0396264307200908,0.0396264307200908,0.0396264307200908,human,UP
WLS,0.0392931848764419,0.0392931848764419,0.0392931848764419,0.0392931848764419,human,UP
DEPDC7,0.0387217663228511,0.0387217663228511,0.0387217663228511,0.0387217663228511,human,UP
CNRIP1,0.0378619953989982,0.0378619953989982,0.0378619953989982,0.0378619953989982,human,UP
ENPP2,0.0376436188817024,0.0376436188817024,0.0376436188817024,0.0376436188817024,human,UP
SCG5,0.0371336303651332,0.0371336303651332,0.0371336303651332,0.0371336303651332,human,UP
ENTHD1,0.0367430336773395,0.0367430336773395,0.0367430336773395,0.0367430336773395,human,UP
DNASE2B,0.0365816317498683,0.0365816317498683,0.0365816317498683,0.0365816317498683,human,UP
SLC18B1,0.0356953367590904,0.0356953367590904,0.0356953367590904,0.0356953367590904,human,UP
KDM5D,0.0340124107897281,0.0340124107897281,0.0340124107897281,0.0340124107897281,human,UP
SRPX,0.03391008451581,0.03391008451581,0.03391008451581,0.03391008451581,human,UP
ITGA6,0.0337790995836257,0.0337790995836257,0.0337790995836257,0.0337790995836257,human,UP
CD101,0.0328960306942462,0.0328960306942462,0.0328960306942462,0.0328960306942462,human,UP
SNX7,0.0326657593250274,0.0326657593250274,0.0326657593250274,0.0326657593250274,human,UP
F13A1,0.0326209291815757,0.0326209291815757,0.0326209291815757,0.0326209291815757,human,UP
FAR2,0.0325958468019962,0.0325958468019962,0.0325958468019962,0.0325958468019962,human,UP
RPS4Y1,0.0323854610323905,0.0323854610323905,0.0323854610323905,0.0323854610323905,human,UP
CCL18,0.0322575978934764,0.0322575978934764,0.0322575978934764,0.0322575978934764,human,UP
ANKRD20A13P,0.0319101884961128,0.0319101884961128,0.0319101884961128,0.0319101884961128,human,UP
HTRA1,0.0317117013037204,0.0317117013037204,0.0317117013037204,0.0317117013037204,human,UP
SERPINB9P1,0.0310119930654764,0.0310119930654764,0.0310119930654764,0.0310119930654764,human,UP
CECR6,0.0309040565043687,0.0309040565043687,0.0309040565043687,0.0309040565043687,human,UP
RCAN1,0.0307545531541109,0.0307545531541109,0.0307545531541109,0.0307545531541109,human,UP
CTSK,0.0307385418564081,0.0307385418564081,0.0307385418564081,0.0307385418564081,human,UP
RNF128,0.0304253809154033,0.0304253809154033,0.0304253809154033,0.0304253809154033,human,UP
TMEM45B,0.0300874598324298,0.0300874598324298,0.0300874598324298,0.0300874598324298,human,UP
PPBP,0.0294141136109828,0.0294141136109828,0.0294141136109828,0.0294141136109828,human,UP
PPP5D1,0.0292517784982919,0.0292517784982919,0.0292517784982919,0.0292517784982919,human,UP
VSIG10L,0.029153611510992,0.029153611510992,0.029153611510992,0.029153611510992,human,UP
ICAM4,0.0288399066776037,0.0288399066776037,0.0288399066776037,0.0288399066776037,human,UP
CLEC10A,0.0284667182713747,0.0284667182713747,0.0284667182713747,0.0284667182713747,human,UP
CLEC5A,0.0280214436352252,0.0280214436352252,0.0280214436352252,0.0280214436352252,human,UP
NDRG2,0.0275229550898075,0.0275229550898075,0.0275229550898075,0.0275229550898075,human,UP
TNFSF15,0.0275066848844289,0.0275066848844289,0.0275066848844289,0.0275066848844289,human,UP
SEMG1,0.0272887982428073,0.0272887982428073,0.0272887982428073,0.0272887982428073,human,UP
RAI14,0.0269267652183771,0.0269267652183771,0.0269267652183771,0.0269267652183771,human,UP
ZNF667-AS1,0.0268950331956148,0.0268950331956148,0.0268950331956148,0.0268950331956148,human,UP
CD1B,0.0267290286719799,0.0267290286719799,0.0267290286719799,0.0267290286719799,human,UP
TDRD3,0.0263384953141212,0.0263384953141212,0.0263384953141212,0.0263384953141212,human,UP
HS3ST2,0.026185093447566,0.026185093447566,0.026185093447566,0.026185093447566,human,UP
PLGLB1,0.0260326880961656,0.0260326880961656,0.0260326880961656,0.0260326880961656,human,UP
CYTL1,0.0260014198720455,0.0260014198720455,0.0260014198720455,0.0260014198720455,human,UP
MT1M,0.0259878784418106,0.0259878784418106,0.0259878784418106,0.0259878784418106,human,UP
AICDA,0.0257028080523014,0.0257028080523014,0.0257028080523014,0.0257028080523014,human,UP
GPR183,0.0256826169788837,0.0256826169788837,0.0256826169788837,0.0256826169788837,human,UP
IGFBP6,0.0255148354917764,0.0255148354917764,0.0255148354917764,0.0255148354917764,human,UP
FAM213B,0.0250007566064596,0.0250007566064596,0.0250007566064596,0.0250007566064596,human,UP
LY86,0.0249203965067863,0.0249203965067863,0.0249203965067863,0.0249203965067863,human,UP
CDH1,0.0247941594570875,0.0247941594570875,0.0247941594570875,0.0247941594570875,human,UP
ULBP2,0.0246620122343301,0.0246620122343301,0.0246620122343301,0.0246620122343301,human,UP
CPE,0.0242438837885856,0.0242438837885856,0.0242438837885856,0.0242438837885856,human,UP
PIP5K1B,0.0241007786244153,0.0241007786244153,0.0241007786244153,0.0241007786244153,human,UP
PPIC,0.0240994431078434,0.0240994431078434,0.0240994431078434,0.0240994431078434,human,UP
USP9Y,0.0240457728505134,0.0240457728505134,0.0240457728505134,0.0240457728505134,human,UP
EOGT,0.0239664036780595,0.0239664036780595,0.0239664036780595,0.0239664036780595,human,UP
CD1A,0.0238711964339017,0.0238711964339017,0.0238711964339017,0.0238711964339017,human,UP
HTRA4,0.0238003488630056,0.0238003488630056,0.0238003488630056,0.0238003488630056,human,UP
HTATSF1P2,0.0237374082207679,0.0237374082207679,0.0237374082207679,0.0237374082207679,human,UP
AP5B1,0.0236988347023725,0.0236988347023725,0.0236988347023725,0.0236988347023725,human,UP
PPP1R14C,0.0236066505312919,0.0236066505312919,0.0236066505312919,0.0236066505312919,human,UP
SLC36A1,0.0236039627343416,0.0236039627343416,0.0236039627343416,0.0236039627343416,human,UP
CDKAL1,0.0235555171966552,0.0235555171966552,0.0235555171966552,0.0235555171966552,human,UP
FAM85A,0.0232095755636692,0.0232095755636692,0.0232095755636692,0.0232095755636692,human,UP
MAOA,0.0231630280613899,0.0231630280613899,0.0231630280613899,0.0231630280613899,human,UP
ZBTB9,0.023010965436697,0.023010965436697,0.023010965436697,0.023010965436697,human,UP
NMRK2,0.0229550413787364,0.0229550413787364,0.0229550413787364,0.0229550413787364,human,UP
