gene_symbol,logfc_dz:502,logfc_dz:245,mean_logfc,median_logfc,common_experiment,organism,signature_type
FOS,,0.2372370958328247,0.2372370958328247,0.2372370958328247,,human,UP
SPRR1B,0.1834122836589813,,0.1834122836589813,0.1834122836589813,0.1834122836589813,human,UP
CEACAM6,0.2064207941293716,0.1421912759542465,0.174306035041809,0.174306035041809,0.2064207941293716,human,UP
IGLC7,,0.1596955358982086,0.1596955358982086,0.1596955358982086,,human,UP
CLCA4,,0.1487299054861068,0.1487299054861068,0.1487299054861068,,human,UP
COX2,0.1954802870750427,0.08156768232584,0.1385239847004413,0.1385239847004413,0.1954802870750427,human,UP
SH3KBP1,0.090118832886219,0.1719117015600204,0.1310152672231197,0.1310152672231197,0.090118832886219,human,UP
CYAT1,,0.1289308816194534,0.1289308816194534,0.1289308816194534,,human,UP
SGK1,,0.1170256659388542,0.1170256659388542,0.1170256659388542,,human,UP
MS4A12,,0.1073868796229362,0.1073868796229362,0.1073868796229362,,human,UP
COX1,0.1043923497200012,,0.1043923497200012,0.1043923497200012,0.1043923497200012,human,UP
ND2,0.0555990934371948,0.1516319811344146,0.1036155372858047,0.1036155372858047,0.0555990934371948,human,UP
ZFP36,,0.0959794074296951,0.0959794074296951,0.0959794074296951,,human,UP
S100A2,0.0941669046878814,,0.0941669046878814,0.0941669046878814,0.0941669046878814,human,UP
EGR1,,0.089970164000988,0.089970164000988,0.089970164000988,,human,UP
S100A11,0.0892659574747085,,0.0892659574747085,0.0892659574747085,0.0892659574747085,human,UP
TUBA1A,,0.0884347409009933,0.0884347409009933,0.0884347409009933,,human,UP
ANXA2P2,0.0853658318519592,,0.0853658318519592,0.0853658318519592,0.0853658318519592,human,UP
CDH17,0.1137970834970474,0.0565951615571975,0.0851961225271225,0.0851961225271225,0.1137970834970474,human,UP
SPARCL1,,0.0839301571249961,0.0839301571249961,0.0839301571249961,,human,UP
TSPAN8,,0.0818389877676963,0.0818389877676963,0.0818389877676963,,human,UP
UCHL3,0.0799944475293159,,0.0799944475293159,0.0799944475293159,0.0799944475293159,human,UP
TSPAN1,,0.0799821391701698,0.0799821391701698,0.0799821391701698,,human,UP
CYR61,,0.0797323659062385,0.0797323659062385,0.0797323659062385,,human,UP
PRSS3,0.0786294043064117,,0.0786294043064117,0.0786294043064117,0.0786294043064117,human,UP
DCAF6,0.1267999559640884,0.0289501715451478,0.0778750637546181,0.0778750637546181,0.1267999559640884,human,UP
CTGF,,0.0761661082506179,0.0761661082506179,0.0761661082506179,,human,UP
GUCA2A,,0.0749769359827041,0.0749769359827041,0.0749769359827041,,human,UP
