gene_symbol,logfc_dz:605,mean_logfc,median_logfc,common_experiment,organism,signature_type
IGHV4-31,0.1575754731893539,0.1575754731893539,0.1575754731893539,0.1575754731893539,human,UP
PIP,0.1421861350536346,0.1421861350536346,0.1421861350536346,0.1421861350536346,human,UP
MUCL1,0.1359945982694625,0.1359945982694625,0.1359945982694625,0.1359945982694625,human,UP
TMSB10,0.1255764812231063,0.1255764812231063,0.1255764812231063,0.1255764812231063,human,UP
TMSB4XP8,0.118510715663433,0.118510715663433,0.118510715663433,0.118510715663433,human,UP
H3F3AP4,0.1157347038388252,0.1157347038388252,0.1157347038388252,0.1157347038388252,human,UP
COL1A2,0.1100971326231956,0.1100971326231956,0.1100971326231956,0.1100971326231956,human,UP
AZGP1,0.1065167486667633,0.1065167486667633,0.1065167486667633,0.1065167486667633,human,UP
MIF,0.1053244769573211,0.1053244769573211,0.1053244769573211,0.1053244769573211,human,UP
SFRP2,0.1041467636823654,0.1041467636823654,0.1041467636823654,0.1041467636823654,human,UP
COL6A3,0.099931426346302,0.099931426346302,0.099931426346302,0.099931426346302,human,UP
EPCAM,0.0905811786651611,0.0905811786651611,0.0905811786651611,0.0905811786651611,human,UP
CTHRC1,0.0888603255152702,0.0888603255152702,0.0888603255152702,0.0888603255152702,human,UP
S100A7,0.0872605293989181,0.0872605293989181,0.0872605293989181,0.0872605293989181,human,UP
RPL19,0.0758897215127945,0.0758897215127945,0.0758897215127945,0.0758897215127945,human,UP
SRP9,0.0701587349176406,0.0701587349176406,0.0701587349176406,0.0701587349176406,human,UP
CD24,0.0691567510366439,0.0691567510366439,0.0691567510366439,0.0691567510366439,human,UP
ZG16B,0.0624643974006176,0.0624643974006176,0.0624643974006176,0.0624643974006176,human,UP
COX6C,0.0605279169976711,0.0605279169976711,0.0605279169976711,0.0605279169976711,human,UP
HIST1H2BK,0.0603779852390289,0.0603779852390289,0.0603779852390289,0.0603779852390289,human,UP
TIMP1,0.0583818480372428,0.0583818480372428,0.0583818480372428,0.0583818480372428,human,UP
SCGB2A2,0.0582888759672641,0.0582888759672641,0.0582888759672641,0.0582888759672641,human,UP
MXRA5,0.0579344071447849,0.0579344071447849,0.0579344071447849,0.0579344071447849,human,UP
HSPA8,0.057627897709608,0.057627897709608,0.057627897709608,0.057627897709608,human,UP
