gene_symbol,logfc_dz:164,logfc_dz:644,mean_logfc,median_logfc,common_experiment,organism,signature_type
S100P,0.255229651927948,0.255229651927948,0.255229651927948,0.255229651927948,0.255229651927948,human,UP
KRT19,0.2462516129016876,0.2462516129016876,0.2462516129016876,0.2462516129016876,0.2462516129016876,human,UP
TSPAN8,0.2224061340093612,0.2224061340093612,0.2224061340093612,0.2224061340093612,0.2224061340093612,human,UP
IGHV4-31,0.2201374620199203,0.2201374620199203,0.2201374620199203,0.2201374620199203,0.2201374620199203,human,UP
IGHA2,0.1738828718662262,0.1738828718662262,0.1738828718662262,0.1738828718662262,0.1738828718662262,human,UP
KRT18,0.1636951863765716,0.1636951863765716,0.1636951863765716,0.1636951863765716,0.1636951863765716,human,UP
AGR2,0.1613324880599975,0.1613324880599975,0.1613324880599975,0.1613324880599975,0.1613324880599975,human,UP
TFF3,0.139930248260498,0.139930248260498,0.139930248260498,0.139930248260498,0.139930248260498,human,UP
SFN,0.1259278059005737,0.1259278059005737,0.1259278059005737,0.1259278059005737,0.1259278059005737,human,UP
CYAT1,0.1213385015726089,0.1213385015726089,0.1213385015726089,0.1213385015726089,0.1213385015726089,human,UP
TFF1,0.1201323196291923,0.1201323196291923,0.1201323196291923,0.1201323196291923,0.1201323196291923,human,UP
SLPI,0.1174367666244506,0.1174367666244506,0.1174367666244506,0.1174367666244506,0.1174367666244506,human,UP
PI3,0.1120508387684822,0.1120508387684822,0.1120508387684822,0.1120508387684822,0.1120508387684822,human,UP
CD24,0.1117208153009414,0.1117208153009414,0.1117208153009414,0.1117208153009414,0.1117208153009414,human,UP
AKR1B10,0.1107123270630836,0.1107123270630836,0.1107123270630836,0.1107123270630836,0.1107123270630836,human,UP
LYZ,0.1102151498198509,0.1102151498198509,0.1102151498198509,0.1102151498198509,0.1102151498198509,human,UP
GPRC5A,0.106473185122013,0.106473185122013,0.106473185122013,0.106473185122013,0.106473185122013,human,UP
PGC,0.105784423649311,0.105784423649311,0.105784423649311,0.105784423649311,0.105784423649311,human,UP
SPINK5,0.1008541211485862,0.1008541211485862,0.1008541211485862,0.1008541211485862,0.1008541211485862,human,UP
S100A6,0.099229097366333,0.099229097366333,0.099229097366333,0.099229097366333,0.099229097366333,human,UP
CTSE,0.0985945239663124,0.0985945239663124,0.0985945239663124,0.0985945239663124,0.0985945239663124,human,UP
IER3,0.0931978747248649,0.0931978747248649,0.0931978747248649,0.0931978747248649,0.0931978747248649,human,UP
COL1A2,0.084902748465538,0.084902748465538,0.084902748465538,0.084902748465538,0.084902748465538,human,UP
MMP1,0.0826311632990837,0.0826311632990837,0.0826311632990837,0.0826311632990837,0.0826311632990837,human,UP
LCN2,0.0765132904052734,0.0765132904052734,0.0765132904052734,0.0765132904052734,0.0765132904052734,human,UP
SPINT2,0.0764540210366249,0.0764540210366249,0.0764540210366249,0.0764540210366249,0.0764540210366249,human,UP
HBB,0.071332111954689,0.071332111954689,0.071332111954689,0.071332111954689,0.071332111954689,human,UP
GPX2,0.0712105929851532,0.0712105929851532,0.0712105929851532,0.0712105929851532,0.0712105929851532,human,UP
IFITM3,0.0712022557854652,0.0712022557854652,0.0712022557854652,0.0712022557854652,0.0712022557854652,human,UP
TIMP1,0.07105353474617,0.07105353474617,0.07105353474617,0.07105353474617,0.07105353474617,human,UP
EPCAM,0.0698809698224067,0.0698809698224067,0.0698809698224067,0.0698809698224067,0.0698809698224067,human,UP
LGALS4,0.0682355612516403,0.0682355612516403,0.0682355612516403,0.0682355612516403,0.0682355612516403,human,UP
HLA-B,0.0676386058330535,0.0676386058330535,0.0676386058330535,0.0676386058330535,0.0676386058330535,human,UP
CD63,0.0674763768911361,0.0674763768911361,0.0674763768911361,0.0674763768911361,0.0674763768911361,human,UP
ANXA2,0.0660802647471427,0.0660802647471427,0.0660802647471427,0.0660802647471427,0.0660802647471427,human,UP
S100A11,0.0656439214944839,0.0656439214944839,0.0656439214944839,0.0656439214944839,0.0656439214944839,human,UP
TFF2,0.0621719732880592,0.0621719732880592,0.0621719732880592,0.0621719732880592,0.0621719732880592,human,UP
SDC4,0.0617226846516132,0.0617226846516132,0.0617226846516132,0.0617226846516132,0.0617226846516132,human,UP
RPN2,0.0614716038107872,0.0614716038107872,0.0614716038107872,0.0614716038107872,0.0614716038107872,human,UP
HLA-C,0.0610349290072917,0.0610349290072917,0.0610349290072917,0.0610349290072917,0.0610349290072917,human,UP
JUP,0.0609285421669483,0.0609285421669483,0.0609285421669483,0.0609285421669483,0.0609285421669483,human,UP
PSCA,0.0598038844764232,0.0598038844764232,0.0598038844764232,0.0598038844764232,0.0598038844764232,human,UP
DSP,0.0578938759863376,0.0578938759863376,0.0578938759863376,0.0578938759863376,0.0578938759863376,human,UP
TMSB10,0.0563313253223896,0.0563313253223896,0.0563313253223896,0.0563313253223896,0.0563313253223896,human,UP
SPINK1,0.055818848311901,0.055818848311901,0.055818848311901,0.055818848311901,0.055818848311901,human,UP
S100A9,0.0548330135643482,0.0548330135643482,0.0548330135643482,0.0548330135643482,0.0548330135643482,human,UP
DMBT1,0.0536680705845356,0.0536680705845356,0.0536680705845356,0.0536680705845356,0.0536680705845356,human,UP
CEACAM6,0.0535665564239025,0.0535665564239025,0.0535665564239025,0.0535665564239025,0.0535665564239025,human,UP
PRSS2,0.0535300523042678,0.0535300523042678,0.0535300523042678,0.0535300523042678,0.0535300523042678,human,UP
IFI27,0.0529672503471374,0.0529672503471374,0.0529672503471374,0.0529672503471374,0.0529672503471374,human,UP
PLA2G2A,0.052487313747406,0.052487313747406,0.052487313747406,0.052487313747406,0.052487313747406,human,UP
VAMP8,0.0515967197716236,0.0515967197716236,0.0515967197716236,0.0515967197716236,0.0515967197716236,human,UP
MUC1,0.051549032330513,0.051549032330513,0.051549032330513,0.051549032330513,0.051549032330513,human,UP
SERPINA3,0.0511565208435058,0.0511565208435058,0.0511565208435058,0.0511565208435058,0.0511565208435058,human,UP
HBA2,0.0509603321552276,0.0509603321552276,0.0509603321552276,0.0509603321552276,0.0509603321552276,human,UP
IGFBP2,0.0504091493785381,0.0504091493785381,0.0504091493785381,0.0504091493785381,0.0504091493785381,human,UP
CLIC1,0.0502714738249778,0.0502714738249778,0.0502714738249778,0.0502714738249778,0.0502714738249778,human,UP
KLK11,0.0499499030411243,0.0499499030411243,0.0499499030411243,0.0499499030411243,0.0499499030411243,human,UP
IFITM2,0.0488056242465972,0.0488056242465972,0.0488056242465972,0.0488056242465972,0.0488056242465972,human,UP
ANXA10,0.0484143979847431,0.0484143979847431,0.0484143979847431,0.0484143979847431,0.0484143979847431,human,UP
KRT17,0.0475552156567573,0.0475552156567573,0.0475552156567573,0.0475552156567573,0.0475552156567573,human,UP
PDZK1IP1,0.0474269650876522,0.0474269650876522,0.0474269650876522,0.0474269650876522,0.0474269650876522,human,UP
RAB25,0.0469987019896507,0.0469987019896507,0.0469987019896507,0.0469987019896507,0.0469987019896507,human,UP
TFRC,0.0464551672339439,0.0464551672339439,0.0464551672339439,0.0464551672339439,0.0464551672339439,human,UP
MXRA5,0.0462951101362705,0.0462951101362705,0.0462951101362705,0.0462951101362705,0.0462951101362705,human,UP
TUBA1C,0.045880302786827,0.045880302786827,0.045880302786827,0.045880302786827,0.045880302786827,human,UP
ACTG1,0.045624203979969,0.045624203979969,0.045624203979969,0.045624203979969,0.045624203979969,human,UP
LDHB,0.0453633219003677,0.0453633219003677,0.0453633219003677,0.0453633219003677,0.0453633219003677,human,UP
MARCKSL1,0.0451206490397453,0.0451206490397453,0.0451206490397453,0.0451206490397453,0.0451206490397453,human,UP
GSTP1,0.0451068952679634,0.0451068952679634,0.0451068952679634,0.0451068952679634,0.0451068952679634,human,UP
LGALS3BP,0.0447635725140571,0.0447635725140571,0.0447635725140571,0.0447635725140571,0.0447635725140571,human,UP
TSPAN13,0.0446967259049415,0.0446967259049415,0.0446967259049415,0.0446967259049415,0.0446967259049415,human,UP
IFITM1,0.0433980375528335,0.0433980375528335,0.0433980375528335,0.0433980375528335,0.0433980375528335,human,UP
CLDN7,0.0428590066730976,0.0428590066730976,0.0428590066730976,0.0428590066730976,0.0428590066730976,human,UP
SERPINB5,0.0428490862250328,0.0428490862250328,0.0428490862250328,0.0428490862250328,0.0428490862250328,human,UP
HSPA5,0.0427451878786087,0.0427451878786087,0.0427451878786087,0.0427451878786087,0.0427451878786087,human,UP
