gene_symbol,logfc_dz:434,mean_logfc,median_logfc,common_experiment,organism,signature_type
HBG2,0.1207854151725769,0.1207854151725769,0.1207854151725769,0.1207854151725769,human,UP
HLA-B,0.101313441991806,0.101313441991806,0.101313441991806,0.101313441991806,human,UP
TIMP1,0.0814305767416954,0.0814305767416954,0.0814305767416954,0.0814305767416954,human,UP
HLA-A,0.0777897834777832,0.0777897834777832,0.0777897834777832,0.0777897834777832,human,UP
CTSA,0.0727205350995063,0.0727205350995063,0.0727205350995063,0.0727205350995063,human,UP
ARPC1B,0.0659921541810035,0.0659921541810035,0.0659921541810035,0.0659921541810035,human,UP
MYL9,0.0658939853310585,0.0658939853310585,0.0658939853310585,0.0658939853310585,human,UP
IFITM3,0.0606791824102401,0.0606791824102401,0.0606791824102401,0.0606791824102401,human,UP
HLA-C,0.0533509142696857,0.0533509142696857,0.0533509142696857,0.0533509142696857,human,UP
OAZ1,0.0464244075119495,0.0464244075119495,0.0464244075119495,0.0464244075119495,human,UP
FLNA,0.042651142925024,0.042651142925024,0.042651142925024,0.042651142925024,human,UP
IFITM2,0.0423634499311447,0.0423634499311447,0.0423634499311447,0.0423634499311447,human,UP
CYB5R3,0.0422177985310554,0.0422177985310554,0.0422177985310554,0.0422177985310554,human,UP
ALDOA,0.0395556464791297,0.0395556464791297,0.0395556464791297,0.0395556464791297,human,UP
ACTG1,0.0359135568141937,0.0359135568141937,0.0359135568141937,0.0359135568141937,human,UP
DAP,0.0358967706561088,0.0358967706561088,0.0358967706561088,0.0358967706561088,human,UP
PDZK1IP1,0.0345859490334987,0.0345859490334987,0.0345859490334987,0.0345859490334987,human,UP
PSAP,0.0325811542570591,0.0325811542570591,0.0325811542570591,0.0325811542570591,human,UP
HLA-J,0.0301421117037534,0.0301421117037534,0.0301421117037534,0.0301421117037534,human,UP
GPX1,0.0300400573760271,0.0300400573760271,0.0300400573760271,0.0300400573760271,human,UP
GAPDH,0.0297699645161628,0.0297699645161628,0.0297699645161628,0.0297699645161628,human,UP
FTH1,0.0296653881669044,0.0296653881669044,0.0296653881669044,0.0296653881669044,human,UP
PRKAR2B,0.0292012467980384,0.0292012467980384,0.0292012467980384,0.0292012467980384,human,UP
GPX4,0.0284119118005037,0.0284119118005037,0.0284119118005037,0.0284119118005037,human,UP
HLA-G,0.0266463626176118,0.0266463626176118,0.0266463626176118,0.0266463626176118,human,UP
TUBA1B,0.026567593216896,0.026567593216896,0.026567593216896,0.026567593216896,human,UP
PTGS1,0.026198036968708,0.026198036968708,0.026198036968708,0.026198036968708,human,UP
ILK,0.0261834263801574,0.0261834263801574,0.0261834263801574,0.0261834263801574,human,UP
UCP2,0.0261129736900329,0.0261129736900329,0.0261129736900329,0.0261129736900329,human,UP
SSR4,0.0258874054998159,0.0258874054998159,0.0258874054998159,0.0258874054998159,human,UP
NCK2,0.0253759603947401,0.0253759603947401,0.0253759603947401,0.0253759603947401,human,UP
ZNF185,0.0247377790510654,0.0247377790510654,0.0247377790510654,0.0247377790510654,human,UP
PKM,0.0245780814439058,0.0245780814439058,0.0245780814439058,0.0245780814439058,human,UP
MFSD1,0.0244192574173212,0.0244192574173212,0.0244192574173212,0.0244192574173212,human,UP
MARCH2,0.0238178670406341,0.0238178670406341,0.0238178670406341,0.0238178670406341,human,UP
HLA-E,0.0236230473965406,0.0236230473965406,0.0236230473965406,0.0236230473965406,human,UP
TALDO1,0.0232610385864973,0.0232610385864973,0.0232610385864973,0.0232610385864973,human,UP
CCND3,0.0229248218238353,0.0229248218238353,0.0229248218238353,0.0229248218238353,human,UP
NAP1L1,0.0229029282927513,0.0229029282927513,0.0229029282927513,0.0229029282927513,human,UP
COTL1,0.0223780088126659,0.0223780088126659,0.0223780088126659,0.0223780088126659,human,UP
SELP,0.0210313498973846,0.0210313498973846,0.0210313498973846,0.0210313498973846,human,UP
GSTO1,0.0203353241086006,0.0203353241086006,0.0203353241086006,0.0203353241086006,human,UP
RUFY1,0.0201091226190328,0.0201091226190328,0.0201091226190328,0.0201091226190328,human,UP
B2M,-0.4551387131214142,-0.4551387131214142,-0.4551387131214142,-0.4551387131214142,human,DOWN
PPBP,-0.3691764175891876,-0.3691764175891876,-0.3691764175891876,-0.3691764175891876,human,DOWN
PF4,-0.3532613813877105,-0.3532613813877105,-0.3532613813877105,-0.3532613813877105,human,DOWN
H3F3AP4,-0.3080328404903412,-0.3080328404903412,-0.3080328404903412,-0.3080328404903412,human,DOWN
NRGN,-0.3024004399776459,-0.3024004399776459,-0.3024004399776459,-0.3024004399776459,human,DOWN
TMSB4XP8,-0.2423336058855056,-0.2423336058855056,-0.2423336058855056,-0.2423336058855056,human,DOWN
FTH1P5,-0.1868251711130142,-0.1868251711130142,-0.1868251711130142,-0.1868251711130142,human,DOWN
NCOA4,-0.1793815791606903,-0.1793815791606903,-0.1793815791606903,-0.1793815791606903,human,DOWN
RPL41,-0.1378693133592605,-0.1378693133592605,-0.1378693133592605,-0.1378693133592605,human,DOWN
HIST1H2AC,-0.1142051219940185,-0.1142051219940185,-0.1142051219940185,-0.1142051219940185,human,DOWN
HBB,-0.1111924946308136,-0.1111924946308136,-0.1111924946308136,-0.1111924946308136,human,DOWN
MAP3K7CL,-0.1049000397324562,-0.1049000397324562,-0.1049000397324562,-0.1049000397324562,human,DOWN
MLH3,-0.0805147364735603,-0.0805147364735603,-0.0805147364735603,-0.0805147364735603,human,DOWN
NGFRAP1,-0.0759025067090988,-0.0759025067090988,-0.0759025067090988,-0.0759025067090988,human,DOWN
HIST1H3H,-0.0696442201733589,-0.0696442201733589,-0.0696442201733589,-0.0696442201733589,human,DOWN
DYNLL1,-0.0633631646633148,-0.0633631646633148,-0.0633631646633148,-0.0633631646633148,human,DOWN
YPEL5,-0.0485835671424865,-0.0485835671424865,-0.0485835671424865,-0.0485835671424865,human,DOWN
RPL23A,-0.0482965931296348,-0.0482965931296348,-0.0482965931296348,-0.0482965931296348,human,DOWN
HIST1H2BK,-0.0472210682928562,-0.0472210682928562,-0.0472210682928562,-0.0472210682928562,human,DOWN
DYNLRB1,-0.0454479791224002,-0.0454479791224002,-0.0454479791224002,-0.0454479791224002,human,DOWN
HBA2,-0.0406762808561325,-0.0406762808561325,-0.0406762808561325,-0.0406762808561325,human,DOWN
CCL5,-0.040516085922718,-0.040516085922718,-0.040516085922718,-0.040516085922718,human,DOWN
RBX1,-0.0387671701610088,-0.0387671701610088,-0.0387671701610088,-0.0387671701610088,human,DOWN
SERF2,-0.0384242385625839,-0.0384242385625839,-0.0384242385625839,-0.0384242385625839,human,DOWN
MYL12B,-0.0368768237531185,-0.0368768237531185,-0.0368768237531185,-0.0368768237531185,human,DOWN
NOMO3,-0.0336771123111248,-0.0336771123111248,-0.0336771123111248,-0.0336771123111248,human,DOWN
TPT1,-0.0309154130518436,-0.0309154130518436,-0.0309154130518436,-0.0309154130518436,human,DOWN
HIST2H2BE,-0.030142068862915,-0.030142068862915,-0.030142068862915,-0.030142068862915,human,DOWN
RPS27,-0.0263043064624071,-0.0263043064624071,-0.0263043064624071,-0.0263043064624071,human,DOWN
