gene_symbol,logfc_dz:1044,logfc_dz:1047,mean_logfc,median_logfc,common_experiment,organism,signature_type
RNF182,0.0309778954833745,0.305318534374237,0.1681482149288058,0.1681482149288058,0.305318534374237,human,UP
RNASE2,,0.1060968786478042,0.1060968786478042,0.1060968786478042,0.1060968786478042,human,UP
CXCL10,-0.1043711155652999,0.2656162679195404,0.0806225761771202,0.0806225761771202,0.2656162679195404,human,UP
FBLN5,,0.0646822080016136,0.0646822080016136,0.0646822080016136,0.0646822080016136,human,UP
MYOM2,0.0230311062186956,0.0946787372231483,0.0588549217209219,0.0588549217209219,0.0946787372231483,human,UP
LOC286087,0.0506251230835914,,0.0506251230835914,0.0506251230835914,,human,UP
IGKV1D-8,,0.0493808053433895,0.0493808053433895,0.0493808053433895,0.0493808053433895,human,UP
ENO1-AS1,,0.0485014431178569,0.0485014431178569,0.0485014431178569,0.0485014431178569,human,UP
LAP3,,0.0480489023029804,0.0480489023029804,0.0480489023029804,0.0480489023029804,human,UP
RNASE3,0.0184316262602806,0.0766690596938133,0.0475503429770469,0.0475503429770469,0.0766690596938133,human,UP
CCL8,,0.0470428839325904,0.0470428839325904,0.0470428839325904,0.0470428839325904,human,UP
MYL9,,0.0463240407407283,0.0463240407407283,0.0463240407407283,0.0463240407407283,human,UP
LOC100510224,,0.0445913672447204,0.0445913672447204,0.0445913672447204,0.0445913672447204,human,UP
FAM86B1,,0.0423065237700939,0.0423065237700939,0.0423065237700939,0.0423065237700939,human,UP
NMT2,,0.0420966446399688,0.0420966446399688,0.0420966446399688,0.0420966446399688,human,UP
TEKT4P2,,0.039750937372446,0.039750937372446,0.039750937372446,0.039750937372446,human,UP
LOC100507100,,0.0390182770788669,0.0390182770788669,0.0390182770788669,0.0390182770788669,human,UP
LAIR2,,0.0385780930519104,0.0385780930519104,0.0385780930519104,0.0385780930519104,human,UP
CLIC3,,0.0369319543242454,0.0369319543242454,0.0369319543242454,0.0369319543242454,human,UP
SPINK2,0.0361930429935455,,0.0361930429935455,0.0361930429935455,,human,UP
LOC389834,,0.036184836179018,0.036184836179018,0.036184836179018,0.036184836179018,human,UP
SIGLEC17P,,0.036047488451004,0.036047488451004,0.036047488451004,0.036047488451004,human,UP
SPON2,,0.0359871014952659,0.0359871014952659,0.0359871014952659,0.0359871014952659,human,UP
NPTN-IT1,,0.0353410616517066,0.0353410616517066,0.0353410616517066,0.0353410616517066,human,UP
RMI2,,0.0349009409546852,0.0349009409546852,0.0349009409546852,0.0349009409546852,human,UP
LOC100233156,,0.0348796285688877,0.0348796285688877,0.0348796285688877,0.0348796285688877,human,UP
IGKV4-1,,0.034662939608097,0.034662939608097,0.034662939608097,0.034662939608097,human,UP
RETN,,0.0344684533774852,0.0344684533774852,0.0344684533774852,0.0344684533774852,human,UP
CD160,,0.0339914076030254,0.0339914076030254,0.0339914076030254,0.0339914076030254,human,UP
LOC100507492,,0.0335803553462028,0.0335803553462028,0.0335803553462028,0.0335803553462028,human,UP
PSPH,,0.031796645373106,0.031796645373106,0.031796645373106,0.031796645373106,human,UP
TIGD1,,0.0316276475787162,0.0316276475787162,0.0316276475787162,0.0316276475787162,human,UP
LOC100506948,0.0316275469958782,,0.0316275469958782,0.0316275469958782,,human,UP
RAP2B,,0.030437434092164,0.030437434092164,0.030437434092164,0.030437434092164,human,UP
USP18,-0.0122223086655139,0.0723929405212402,0.0300853159278631,0.0300853159278631,0.0723929405212402,human,UP
TRAJ17,,0.0299631636589765,0.0299631636589765,0.0299631636589765,0.0299631636589765,human,UP
APBB1,,0.0298511534929275,0.0298511534929275,0.0298511534929275,0.0298511534929275,human,UP
FLI1,,0.0294160898774862,0.0294160898774862,0.0294160898774862,0.0294160898774862,human,UP
OAS2,,0.0293841771781444,0.0293841771781444,0.0293841771781444,0.0293841771781444,human,UP
TOX2,,0.029355626553297,0.029355626553297,0.029355626553297,0.029355626553297,human,UP
CCL2,,0.0293436106294393,0.0293436106294393,0.0293436106294393,0.0293436106294393,human,UP
OAS3,,0.0293265096843242,0.0293265096843242,0.0293265096843242,0.0293265096843242,human,UP
ZNF510,,0.0288920477032661,0.0288920477032661,0.0288920477032661,0.0288920477032661,human,UP
KLRC4,,0.0286609306931495,0.0286609306931495,0.0286609306931495,0.0286609306931495,human,UP
XCL2,,0.028573228046298,0.028573228046298,0.028573228046298,0.028573228046298,human,UP
C4BPA,0.0285634323954582,,0.0285634323954582,0.0285634323954582,,human,UP
FCGBP,,0.0284233465790748,0.0284233465790748,0.0284233465790748,0.0284233465790748,human,UP
COX7C,0.0282004866749048,,0.0282004866749048,0.0282004866749048,,human,UP
SRSF6,0.0127549180760979,0.0433822013437747,0.0280685597099363,0.0280685597099363,0.0433822013437747,human,UP
DSC1,,0.0279726907610893,0.0279726907610893,0.0279726907610893,0.0279726907610893,human,UP
HEBP1,,0.0278299674391746,0.0278299674391746,0.0278299674391746,0.0278299674391746,human,UP
GANAB,,0.0275433287024498,0.0275433287024498,0.0275433287024498,0.0275433287024498,human,UP
SRFBP1,,0.0274282544851303,0.0274282544851303,0.0274282544851303,0.0274282544851303,human,UP
TCF15,0.0268114563077688,,0.0268114563077688,0.0268114563077688,,human,UP
KIR2DL5A,,0.0264505185186862,0.0264505185186862,0.0264505185186862,0.0264505185186862,human,UP
MICA,,0.026423929259181,0.026423929259181,0.026423929259181,0.026423929259181,human,UP
CHI3L2,,0.0261533055454492,0.0261533055454492,0.0261533055454492,0.0261533055454492,human,UP
SH2D1B,,0.0261147432029247,0.0261147432029247,0.0261147432029247,0.0261147432029247,human,UP
