gene_symbol,logfc_dz:539,logfc_dz:530,mean_logfc,median_logfc,common_experiment,organism,signature_type
MYH3,0.0438522659242153,0.0969978868961334,0.0704250764101743,0.0704250764101743,0.0969978868961334,human,UP
MLLT11,0.0426143370568752,0.0761700868606567,0.0593922119587659,0.0593922119587659,0.0761700868606567,human,UP
LOC728613,0.0388801209628582,0.0638775676488876,0.0513788443058729,0.0513788443058729,0.0638775676488876,human,UP
ASPN,,0.0442367792129516,0.0442367792129516,0.0442367792129516,0.0442367792129516,human,UP
HOMER2,0.0400928631424903,0.0448713488876819,0.0424821060150861,0.0424821060150861,0.0448713488876819,human,UP
TFRC,0.0419084653258323,0.0423432998359203,0.0421258825808763,0.0421258825808763,0.0423432998359203,human,UP
NPY6R,0.0208313297480344,0.0628600046038627,0.0418456671759486,0.0418456671759486,0.0628600046038627,human,UP
PSD3,,0.0387273915112018,0.0387273915112018,0.0387273915112018,0.0387273915112018,human,UP
USP12,,0.0378826409578323,0.0378826409578323,0.0378826409578323,0.0378826409578323,human,UP
NOV,0.0306023620069026,0.0434886626899242,0.0370455123484134,0.0370455123484134,0.0434886626899242,human,UP
PEG3,,0.0365081764757633,0.0365081764757633,0.0365081764757633,0.0365081764757633,human,UP
KLHL42,,0.0363040752708911,0.0363040752708911,0.0363040752708911,0.0363040752708911,human,UP
ATP13A3,,0.0361276231706142,0.0361276231706142,0.0361276231706142,0.0361276231706142,human,UP
CADM2,0.0204152259975671,0.0483706332743167,0.0343929296359419,0.0343929296359419,0.0483706332743167,human,UP
PTPRC,0.0213937330991029,0.0450271517038345,0.0332104424014687,0.0332104424014687,0.0450271517038345,human,UP
KLHL34,0.0300322324037551,0.0357964821159839,0.0329143572598695,0.0329143572598695,0.0357964821159839,human,UP
TGFB2,,0.032459620386362,0.032459620386362,0.032459620386362,0.032459620386362,human,UP
AURKA,0.0370204709470272,0.0277828928083181,0.0324016818776726,0.0324016818776726,0.0277828928083181,human,UP
