gene_symbol,logfc_dz:774,logfc_dz:775,logfc_dz:776,logfc_dz:777,logfc_dz:808,logfc_dz:778,logfc_dz:613,mean_logfc,median_logfc,common_experiment,organism,signature_type
S100A7,,,,,0.1505671590566635,,,0.1505671590566635,0.1505671590566635,,human,UP
KRT5,0.0977567210793495,0.0552611872553825,0.1134880781173706,,0.1333295553922653,0.1890682876110077,0.0985172241926193,0.1145701756079991,0.1060026511549949,0.1134880781173706,human,UP
GAPDH,0.1195391863584518,0.1172402799129486,0.0427472554147243,,0.0906065851449966,0.2214479893445968,0.0810929387807846,0.1121123724927504,0.1039234325289726,0.0427472554147243,human,UP
LDHA,0.1061603054404258,0.0904595255851745,0.0540647283196449,0.0413902290165424,,0.211423709988594,,0.1006996996700763,0.0904595255851745,0.0540647283196449,human,UP
COX2,,0.0587438642978668,0.0938475877046585,0.0817156955599784,,0.1570184230804443,,0.097831392660737,0.0877816416323185,0.0938475877046585,human,UP
DCAF6,0.0461847148835659,0.0865353271365165,0.1563173085451126,0.0284365359693765,,0.1667931526899337,,0.096853407844901,0.0865353271365165,0.1563173085451126,human,UP
CXCL9,0.0834491178393364,0.1631045788526535,0.1318545788526535,0.1778388917446136,,0.0286979246884584,-0.0550323612987995,0.088318788446486,0.1076518483459949,0.1318545788526535,human,UP
MLIP,,,,,0.0987876132130622,,0.069754809141159,0.0842712111771106,0.0842712111771106,,human,UP
IGKV1OR2-108,,,0.0145909711718559,0.0518813095986843,0.2051371335983276,-0.0246317889541387,0.1574623882770538,0.0808880027383565,0.0518813095986843,0.0145909711718559,human,UP
NGFRAP1,0.1084538847208023,0.1171938329935073,0.0623661242425441,0.0631737112998962,0.073120966553688,0.0941458120942115,0.0403590053319931,0.0798304767480918,0.073120966553688,0.0623661242425441,human,UP
CXCL10,0.0941782817244529,0.1386772990226745,0.1315183788537979,0.1326494514942169,0.0257277898490428,0.0949011221528053,-0.0692746415734291,0.0783396687890802,0.0949011221528053,0.1315183788537979,human,UP
HBA2,,,,,0.1417465060949325,0.014550938270986,,0.0781487221829593,0.0781487221829593,,human,UP
RPLP0,0.1377996802330017,0.1066342443227768,0.0280878245830535,0.0139923002570867,0.0684192329645156,0.1298436373472213,0.0395769663155078,0.0749076980033091,0.0684192329645156,0.0280878245830535,human,UP
GPNMB,0.0306402537971735,,,,0.1159280091524124,,0.0706794038414955,0.0724158889303604,0.0706794038414955,,human,UP
KRT16,,0.0228368118405342,,,,0.1191800460219383,,0.0710084289312362,0.0710084289312362,,human,UP
LOC100133862,,,,,0.0699586346745491,,0.07136932015419,0.0706639774143695,0.0706639774143695,,human,UP
SPRR2B,,,,,0.0696012750267982,,,0.0696012750267982,0.0696012750267982,,human,UP
RPLP0P6,0.10615736246109,0.0743069276213646,0.0639601945877075,0.0233883634209632,0.0808830633759498,0.0670628100633621,0.0508756600320339,0.0666620545089244,0.0670628100633621,0.0639601945877075,human,UP
KRT15,0.0932339802384376,-0.0336552634835243,0.1547279208898544,0.0209517274051904,0.0847078934311866,0.0996083691716194,0.0464057438075542,0.0665686244943312,0.0847078934311866,0.1547279208898544,human,UP
IGLV2-23,,,0.0133869824931025,0.0209085624665021,0.130800575017929,,0.1011421307921409,0.0665595626924187,0.0610253466293215,0.0133869824931025,human,UP
CXCL8,,,,,0.1050167977809906,0.0262552071362733,0.059281263500452,0.0635177561392386,0.059281263500452,,human,UP
UBD,0.0533216521143913,0.0872408077120781,,0.0482145734131336,,,,0.0629256777465343,0.0533216521143913,,human,UP
NFKBIA,0.0754065588116645,0.0533263124525547,0.0486739873886108,0.0729112029075622,0.0588364228606224,,0.0596748739480972,0.0614715597281853,0.0592556484043598,0.0486739873886108,human,UP
MYBPC1,0.0868221297860145,0.0986830666661262,0.060179203748703,,0.0217902604490518,0.0645732283592224,0.0303063001483678,0.0603923648595809,0.0623762160539627,0.060179203748703,human,UP
ITGAV,0.0922226160764694,0.0356079675257205,0.1117880344390869,0.0555918887257576,0.0170036740601062,0.0707321614027023,0.0301269758492708,0.0590104740113019,0.0555918887257576,0.1117880344390869,human,UP
INPP1,0.0551612190902233,0.0671218335628509,0.0711586475372314,0.061400506645441,0.0298090074211359,0.0599709674715995,0.0139492042362689,0.0512244837092501,0.0599709674715995,0.0711586475372314,human,UP
FTL,0.0222272519022226,0.0577346310019493,0.0171065405011177,0.0938014611601829,0.0511377044022083,,0.0632882639765739,0.0508826421573758,0.0544361677020788,0.0171065405011177,human,UP
CD9,,,,,0.0783356130123138,,0.0222963262349367,0.0503159696236252,0.0503159696236252,,human,UP
IGKV4-1,,0.0178347881883382,0.0171781796962022,,0.0776122659444809,,0.0859527736902237,0.0496445018798112,0.0477235270664095,0.0171781796962022,human,UP
PABPC1,,,,,0.0495145246386528,,,0.0495145246386528,0.0495145246386528,,human,UP
SNHG1,0.0685667544603347,0.0579139962792396,0.0467027574777603,,,0.02484299428761,,0.0495066256262362,0.0523083768784999,0.0467027574777603,human,UP
IGHV3-23,,,,,0.0731639564037323,,0.0246939174830913,0.0489289369434118,0.0489289369434118,,human,UP
ATP5B,0.0748531222343444,0.0575921460986137,,-0.0151850748807191,0.0311752520501613,0.0951862335205078,0.0485236383974552,0.0486908862367272,0.0530578922480344,,human,UP
HLA-A,-0.0569897890090942,0.0194741245359182,0.0613472834229469,0.1238942965865135,0.0348484478890895,,0.1066818684339523,0.0482093719765543,0.0480978656560182,0.0613472834229469,human,UP
ND2,0.0226948242634534,0.0263980757445096,0.0766157135367393,,,0.0627689808607101,,0.0471193986013531,0.0445835283026099,0.0766157135367393,human,UP
RAN,0.0677024945616722,0.0812607780098915,0.0374773107469081,0.0297845713794231,,0.0440468415617942,0.021410048007965,0.0469470073779424,0.0407620761543512,0.0374773107469081,human,UP
VIM,,,,,0.038365826010704,,0.0554106086492538,0.0468882173299789,0.0468882173299789,,human,UP
LGALS1,0.0385501682758331,0.0503825284540653,0.0368812642991542,0.0337042994797229,0.0636989325284957,0.046393509954214,0.0568572729825973,0.0466382822820118,0.046393509954214,0.0368812642991542,human,UP
SGK1,0.0874510928988456,0.0332223623991012,0.0281463284045457,,0.0509931482374668,0.0322644710540771,0.0468312874436378,0.0464847817396124,0.0400268249213695,0.0281463284045457,human,UP
TUBA1C,0.0642636641860008,0.0624457448720932,,0.042694766074419,,0.041396826505661,0.0192973110824823,0.0460196625441312,0.042694766074419,,human,UP
COX6A1,,,,,0.0470303893089294,,0.0449425019323825,0.045986445620656,0.045986445620656,,human,UP
GC,0.0456590168178081,,,,,,,0.0456590168178081,0.0456590168178081,,human,UP
RPL10A,,,,,0.0746147856116294,,0.0162283293902874,0.0454215575009584,0.0454215575009584,,human,UP
CSTB,,,,,0.0538112670183181,,0.0360996127128601,0.0449554398655891,0.0449554398655891,,human,UP
PGAM1,,0.0272323414683341,,0.0240135565400123,,0.0828049853444099,,0.0446836277842521,0.0272323414683341,,human,UP
COX1,,0.0603464245796203,0.0836949199438095,-0.0321696698665618,,0.0667543485760688,,0.0446565058082342,0.0635503865778446,0.0836949199438095,human,UP
MIF,0.0325195826590061,0.026066854596138,,,0.0498658567667007,0.0735965520143508,0.040576409548521,0.0445250511169433,0.040576409548521,,human,UP
LOC652493,,0.022330392152071,0.0246373675763607,0.0517861880362033,0.1115264594554901,-0.0384770147502422,0.0931204557418823,0.0441539747019608,0.038211777806282,0.0246373675763607,human,UP
GALNT11,0.0644942671060562,0.0364040657877922,0.0569818951189518,0.0499115660786628,,0.0129317324608564,,0.0441447053104639,0.0499115660786628,0.0569818951189518,human,UP
H2AFZ,0.0423075444996356,0.064074620604515,,0.0514792464673519,0.0214101523160934,0.0582473315298557,0.0266992133110761,0.0440363514547546,0.0468933954834938,,human,UP
NPM1,0.0632142052054405,0.0549828074872493,,,0.027777662500739,0.0453691706061363,0.0273438021540641,0.0437375295907258,0.0453691706061363,,human,UP
IGLJ3,,,,,0.0501784570515155,,0.0364430658519268,0.0433107614517211,0.0433107614517211,,human,UP
ANKRD20A13P,,,,,,0.0431373156607151,,0.0431373156607151,0.0431373156607151,,human,UP
VCAM1,0.0515190213918685,0.0457414090633392,0.025348711758852,0.0487823598086833,,,,0.0428478755056858,0.0472618844360113,0.025348711758852,human,UP
SUCNR1,,,,,,0.04259779676795,,0.04259779676795,0.04259779676795,,human,UP
FTH1P5,0.0908359140157699,,0.0224250312894582,0.0184754151850938,0.0538988262414932,0.0139700574800372,0.054336167871952,0.0423235686806341,0.0381619287654757,0.0224250312894582,human,UP
CCR5,0.0276653263717889,0.0486963130533695,0.033340398222208,0.0586379766464233,,,,0.0420850035734474,0.0410183556377887,0.033340398222208,human,UP
IGHV3-48,,,,,0.0604155138134956,,0.0235572457313537,0.0419863797724247,0.0419863797724247,,human,UP
IGFBP2,,,,,0.04838253185153,,0.0337095819413661,0.0410460568964481,0.0410460568964481,,human,UP
B2M,,,0.0217887330800294,0.0591603852808475,,,,0.0404745591804385,0.0404745591804385,0.0217887330800294,human,UP
PERP,,,,,0.0495614930987358,,0.0313014723360538,0.0404314827173948,0.0404314827173948,,human,UP
NELL2,,0.0142462300136685,0.0204763822257518,0.0207464732229709,,0.104376882314682,,0.0399614919442683,0.0206114277243614,0.0204763822257518,human,UP
CFH,,,,,,0.0398477762937545,,0.0398477762937545,0.0398477762937545,,human,UP
LDHB,0.1077625527977943,0.0168154742568731,,-0.019938925281167,0.0512539856135845,0.0402488857507705,,0.0392283946275711,0.0402488857507705,,human,UP
EIF3L,,,,,0.039203006774187,,,0.039203006774187,0.039203006774187,,human,UP
ICAM4,0.0389461107552051,,,,,,,0.0389461107552051,0.0389461107552051,,human,UP
RPL6,0.0587776228785514,0.0799203142523765,-0.0169016849249601,-0.0397250354290008,0.0948357582092285,0.0609125532209873,0.0337404981255531,0.0387942894761051,0.0587776228785514,-0.0169016849249601,human,UP
HLA-DPA1,,,,0.0132474889978766,0.0489180572330951,,0.0523205995559692,0.038162048595647,0.0489180572330951,,human,UP
IFI30,0.0217001680284738,0.0534870512783527,0.0349110811948776,0.055928498506546,0.0381932258605957,,0.0246549490839242,0.0381458289921283,0.0365521535277366,0.0349110811948776,human,UP
MMP1,0.0583138056099414,,0.0297548826783895,,0.0645036175847053,0.0147721897810697,0.0228512547910213,0.0380391500890254,0.0297548826783895,0.0297548826783895,human,UP
KIT,0.0364554077386856,0.0434262119233608,0.013532318174839,,0.0125455008819699,0.0839276760816574,,0.0379774229601025,0.0364554077386856,0.013532318174839,human,UP
FXYD3,,,,,,0.037247709929943,,0.037247709929943,0.037247709929943,,human,UP
SRGN,,,,,0.0153094325214624,,0.0590995401144027,0.0372044863179326,0.0372044863179326,,human,UP
VIMP,,,,0.0370846502482891,,,,0.0370846502482891,0.0370846502482891,,human,UP
TRMT5,,,,,0.0369755327701568,,,0.0369755327701568,0.0369755327701568,,human,UP
CSNK2B,,,,,,0.0367639139294624,,0.0367639139294624,0.0367639139294624,,human,UP
HINT1,,,,,0.0366952717304229,,,0.0366952717304229,0.0366952717304229,,human,UP
RPS15A,,,,,0.0491972565650939,,0.0235459618270397,0.0363716091960668,0.0363716091960668,,human,UP
ROBO1,0.0504834875464439,0.0424590557813644,0.0636065378785133,0.0273899566382169,0.0116759249940514,0.0276135317981243,0.0288583859801292,0.0360124115166919,0.0288583859801292,0.0636065378785133,human,UP
MMP12,0.055673561990261,0.0644430071115493,0.0280562173575162,,0.0178905595093965,,0.0136406635865569,0.035940801911056,0.0280562173575162,0.0280562173575162,human,UP
PSMA1,0.0419633239507675,0.045628897845745,,0.0139134228229522,0.0175672173500061,0.0599686726927757,,0.0358083069324493,0.0419633239507675,,human,UP
NDRG1,0.0162093173712492,,,,,0.0552524141967296,,0.0357308657839894,0.0357308657839894,,human,UP
HLA-DQA2,-0.0266563910990953,0.0845349058508873,0.0430368483066558,-0.0147892031818628,0.0416667088866233,0.0568540170788764,0.0644202753901481,0.0355810230331761,0.0430368483066558,0.0430368483066558,human,UP
PSAP,,0.020509734749794,0.0268806312233209,0.0466898940503597,0.0398473627865314,,0.0439742878079414,0.0355803821235895,0.0398473627865314,0.0268806312233209,human,UP
HCAR3,0.0267776083201169,,0.0172486007213592,,0.0582023933529853,0.0273034255951643,0.0475877560675144,0.035423956811428,0.0273034255951643,0.0172486007213592,human,UP
GJA1,0.0278584957122802,0.0684738606214523,,0.013384367339313,0.0241395607590675,0.052299078553915,0.025720601901412,0.0353126608145733,0.0267895488068461,,human,UP
PPA1,0.0425687991082668,0.0362615920603275,0.039138339459896,0.0627202540636062,-0.01796212233603,0.0488710775971412,,0.0352663233255346,0.0408535692840814,0.039138339459896,human,UP
GPR64,,,,,,0.0352371595799922,,0.0352371595799922,0.0352371595799922,,human,UP
PCNA,0.05258659273386,0.048973262310028,0.0266199801117181,0.0323950685560703,,0.0351041108369827,0.0127798318862915,0.0347431410724918,0.0337495896965265,0.0266199801117181,human,UP
MMP3,0.0213323347270488,,,,0.0477488860487937,,,0.0345406103879213,0.0345406103879213,,human,UP
RPL35,,0.0283950008451938,,0.0140003291890025,0.0700742602348327,0.0288104843348264,0.0313295684754848,0.034521928615868,0.0288104843348264,,human,UP
HSPD1,,,,,0.0350164100527763,,0.0338674895465374,0.0344419497996568,0.0344419497996568,,human,UP
MRPL3,0.0614886991679668,0.0526095852255821,0.0276012457907199,0.0140635054558515,0.0225967448204755,0.04544173553586,0.0157680790871381,0.0342242278690849,0.0276012457907199,0.0276012457907199,human,UP
DDX47,0.0381393171846866,0.0275731533765792,,,,0.0365313552320003,,0.034081275264422,0.0365313552320003,,human,UP
PSMA4,0.0370487831532955,0.0349815525114536,,0.0316623859107494,,0.0318969972431659,,0.0338974297046661,0.0334392748773098,,human,UP
SPP1,,,,,0.0169819816946983,,0.0498738475143909,0.0334279146045446,0.0334279146045446,,human,UP
NDUFB9,0.0485756285488605,0.0317203029990196,0.0220391396433115,,,0.0313122235238552,,0.0334118236787617,0.0315162632614374,0.0220391396433115,human,UP
PARK7,0.0352981351315975,0.0166835095733404,,0.0446534678339958,0.0220808871090412,0.0473135150969028,,0.0332059029489755,0.0352981351315975,,human,UP
HLA-DQA1,,,,,0.0331836864352226,,,0.0331836864352226,0.0331836864352226,,human,UP
CYCS,,,,,0.0372083112597465,,0.0290583558380603,0.0331333335489034,0.0331333335489034,,human,UP
IL1B,,,,,0.0377216599881649,,0.0284963324666023,0.0331089962273836,0.0331089962273836,,human,UP
CD74,,,,,0.013171873986721,,0.0530020035803318,0.0330869387835264,0.0330869387835264,,human,UP
LUM,0.0241730790585279,0.0231023300439119,0.0696431100368499,0.0332175120711326,0.0233774315565824,,0.0244392231106758,0.0329921143129467,0.0243061510846018,0.0696431100368499,human,UP
GGCT,0.0419842116534709,0.0535200461745262,0.0332413390278816,0.01476208306849,0.0122870272025465,0.0414847806096077,,0.0328799146227538,0.0373630598187446,0.0332413390278816,human,UP
FTH1,0.0481250919401645,,0.0128897838294506,,0.0398490317165851,,0.0305322017520666,0.0328490273095667,0.0351906167343258,0.0128897838294506,human,UP
MMP10,0.0157163701951503,,0.0633066892623901,,0.0378058068454265,,0.0141305429860949,0.0327398523222655,0.0267610885202884,0.0633066892623901,human,UP
TUBB,,0.022353671491146,,,0.0340657979249954,0.0473495982587337,0.026433540508151,0.0325506520457565,0.0302496692165732,,human,UP
DEK,0.0378049835562706,0.0486992895603179,,0.0200023129582405,,0.0234703104943037,,0.0324942241422832,0.0306376470252871,,human,UP
SLC25A3,0.0516940280795097,0.052813846617937,,-0.0157465804368257,0.0326555371284484,0.0477582924067974,0.0257028918713331,0.0324796692778666,0.0402069147676229,,human,UP
LY6D,,,,,0.0323311239480972,,,0.0323311239480972,0.0323311239480972,,human,UP
IGLL5,,,0.0146680064499378,0.0159194059669971,0.0571585744619369,,0.0415326841175556,0.0323196677491068,0.0287260450422763,0.0146680064499378,human,UP
IGK,-0.0438956208527088,0.0206940341740846,0.0246501322835683,0.1191061809659004,0.0991189628839492,-0.0984623730182647,0.1007482260465622,0.031708506069013,0.0246501322835683,0.0246501322835683,human,UP
