gene_symbol,logfc_dz:154,logfc_dz:236,mean_logfc,median_logfc,common_experiment,organism,signature_type
ACTN3,0.2309488207101822,0.0467710494995117,0.1388599351048469,0.1388599351048469,0.0467710494995117,human,UP
NRAP,,0.1125514656305313,0.1125514656305313,0.1125514656305313,0.1125514656305313,human,UP
MYL3,0.2385198473930359,-0.0255276095122098,0.106496118940413,0.106496118940413,-0.0255276095122098,human,UP
CHCHD10,0.1009424701333046,,0.1009424701333046,0.1009424701333046,,human,UP
TMOD4,0.0938438549637794,,0.0938438549637794,0.0938438549637794,,human,UP
C8orf22,0.0851768851280212,,0.0851768851280212,0.0851768851280212,,human,UP
IL17D,0.0802614614367485,,0.0802614614367485,0.0802614614367485,,human,UP
LMOD2,0.0771335065364837,,0.0771335065364837,0.0771335065364837,,human,UP
LINC01405,0.0751920416951179,,0.0751920416951179,0.0751920416951179,,human,UP
STARD7,0.026218706741929,0.1232996582984924,0.0747591825202107,0.0747591825202107,0.1232996582984924,human,UP
LOC285556,0.0725090503692627,,0.0725090503692627,0.0725090503692627,,human,UP
APOBEC2,0.0660276934504509,,0.0660276934504509,0.0660276934504509,,human,UP
ACADM,0.0415887087583541,0.0900148227810859,0.06580176576972,0.06580176576972,0.0900148227810859,human,UP
SEPW1,0.0831209197640419,0.0454558841884136,0.0642884019762277,0.0642884019762277,0.0454558841884136,human,UP
UQCRQ,0.0642333924770355,,0.0642333924770355,0.0642333924770355,,human,UP
CKMT2,0.0629850700497627,,0.0629850700497627,0.0629850700497627,,human,UP
PRDX1,,0.0617134906351566,0.0617134906351566,0.0617134906351566,0.0617134906351566,human,UP
FTH1P5,0.1350059807300567,-0.0183861181139946,0.058309931308031,0.058309931308031,-0.0183861181139946,human,UP
AKR1C3,0.0886174067854881,0.0228616781532764,0.0557395424693822,0.0557395424693822,0.0228616781532764,human,UP
COX17,,0.0529317148029804,0.0529317148029804,0.0529317148029804,0.0529317148029804,human,UP
ATP5J,0.0703660100698471,0.0349907130002975,0.0526783615350723,0.0526783615350723,0.0349907130002975,human,UP
SYNE2,,0.0488415025174617,0.0488415025174617,0.0488415025174617,0.0488415025174617,human,UP
EPDR1,0.0487990640103817,,0.0487990640103817,0.0487990640103817,,human,UP
RRAD,,0.048522800207138,0.048522800207138,0.048522800207138,0.048522800207138,human,UP
MYBPC2,0.078818991780281,0.0176546443253755,0.0482368180528283,0.0482368180528283,0.0176546443253755,human,UP
TSC22D1,,0.0476220771670341,0.0476220771670341,0.0476220771670341,0.0476220771670341,human,UP
NDUFB4,,0.0475417599081993,0.0475417599081993,0.0475417599081993,0.0475417599081993,human,UP
USMG5,0.0467563346028327,,0.0467563346028327,0.0467563346028327,,human,UP
PLN,0.0682968273758888,0.0250875670462846,0.0466921972110867,0.0466921972110867,0.0250875670462846,human,UP
COX7A1,0.1156084388494491,-0.0228338260203599,0.0463873064145445,0.0463873064145445,-0.0228338260203599,human,UP
HMGN2,,0.0454940870404243,0.0454940870404243,0.0454940870404243,0.0454940870404243,human,UP
FHL3,0.0279640145599842,0.0628216713666915,0.0453928429633379,0.0453928429633379,0.0628216713666915,human,UP
NDUFA13,0.0444664321839809,,0.0444664321839809,0.0444664321839809,,human,UP
TNNC1,0.0728881359100341,0.0152316000312566,0.0440598679706454,0.0440598679706454,0.0152316000312566,human,UP
TMEM38A,0.0437562949955463,,0.0437562949955463,0.0437562949955463,,human,UP
SH3BGR,0.0382681973278522,0.0487147234380245,0.0434914603829383,0.0434914603829383,0.0487147234380245,human,UP
KLHDC3,,0.0430102087557315,0.0430102087557315,0.0430102087557315,0.0430102087557315,human,UP
HBA2,0.1947334259748459,-0.1092261746525764,0.0427536256611347,0.0427536256611347,-0.1092261746525764,human,UP
MYH4,0.04260865598917,,0.04260865598917,0.04260865598917,,human,UP
MAOB,,0.0425045751035213,0.0425045751035213,0.0425045751035213,0.0425045751035213,human,UP
KIAA0232,,0.041769865900278,0.041769865900278,0.041769865900278,0.041769865900278,human,UP
CYC1,0.041472028940916,,0.041472028940916,0.041472028940916,,human,UP
MT1X,0.0481002256274223,0.033646136522293,0.0408731810748577,0.0408731810748577,0.033646136522293,human,UP
DBI,0.0438687354326248,0.0378431379795074,0.0408559367060661,0.0408559367060661,0.0378431379795074,human,UP
MYH7,0.1767153739929199,-0.0951272621750831,0.0407940559089183,0.0407940559089183,-0.0951272621750831,human,UP
SERPINF1,0.0532337017357349,0.0281607992947101,0.0406972505152225,0.0406972505152225,0.0281607992947101,human,UP
ENO3,,0.0403102412819862,0.0403102412819862,0.0403102412819862,0.0403102412819862,human,UP
HSPB7,,0.0399321727454662,0.0399321727454662,0.0399321727454662,0.0399321727454662,human,UP
MT2A,0.0399129390716552,,0.0399129390716552,0.0399129390716552,,human,UP
NFE2L1,0.0398474335670471,,0.0398474335670471,0.0398474335670471,,human,UP
CORO6,0.0394135937094688,,0.0394135937094688,0.0394135937094688,,human,UP
MKNK2,0.0335976742208004,0.0443372875452041,0.0389674808830022,0.0389674808830022,0.0443372875452041,human,UP
OPHN1,,0.0388165079057216,0.0388165079057216,0.0388165079057216,0.0388165079057216,human,UP
DLK1,,0.0387152768671512,0.0387152768671512,0.0387152768671512,0.0387152768671512,human,UP
BAG3,0.0341324023902416,0.0423731729388237,0.0382527876645326,0.0382527876645326,0.0423731729388237,human,UP
SAR1B,,0.0382438562810421,0.0382438562810421,0.0382438562810421,0.0382438562810421,human,UP
HSPA2,0.0228832364082336,0.0532498843967914,0.0380665604025125,0.0380665604025125,0.0532498843967914,human,UP
S100A1,,0.0379595905542373,0.0379595905542373,0.0379595905542373,0.0379595905542373,human,UP
RAB10,0.0377197451889514,,0.0377197451889514,0.0377197451889514,,human,UP
AK1,0.0376763343811035,,0.0376763343811035,0.0376763343811035,,human,UP
RTN4,,0.0375591143965721,0.0375591143965721,0.0375591143965721,0.0375591143965721,human,UP
ACYP2,0.0374362058937549,,0.0374362058937549,0.0374362058937549,,human,UP
LOC100505584,,0.0373798087239265,0.0373798087239265,0.0373798087239265,0.0373798087239265,human,UP
ZBTB16,,0.0373241640627384,0.0373241640627384,0.0373241640627384,0.0373241640627384,human,UP
GOT2,0.0245989486575126,0.049527384340763,0.0370631664991378,0.0370631664991378,0.049527384340763,human,UP
ABRA,0.0364245288074016,,0.0364245288074016,0.0364245288074016,,human,UP
NDRG2,,0.0361529178917408,0.0361529178917408,0.0361529178917408,0.0361529178917408,human,UP
TRIM63,0.0359672382473945,,0.0359672382473945,0.0359672382473945,,human,UP
MYH1,0.0358766093850135,,0.0358766093850135,0.0358766093850135,,human,UP
CKM,,0.0357596166431903,0.0357596166431903,0.0357596166431903,0.0357596166431903,human,UP
KLF10,,0.0356079079210758,0.0356079079210758,0.0356079079210758,0.0356079079210758,human,UP
NDUFAB1,0.0355960093438625,,0.0355960093438625,0.0355960093438625,,human,UP
CCDC69,,0.0354129448533058,0.0354129448533058,0.0354129448533058,0.0354129448533058,human,UP
NDUFC1,0.0193228684365749,0.0512964650988578,0.0353096667677164,0.0353096667677164,0.0512964650988578,human,UP
GBAS,0.0491942539811134,0.0210364256054162,0.0351153397932648,0.0351153397932648,0.0210364256054162,human,UP
ADCK3,0.0128214266151189,0.0565386526286602,0.0346800396218895,0.0346800396218895,0.0565386526286602,human,UP
LINC00948,0.0345087237656116,,0.0345087237656116,0.0345087237656116,,human,UP
PTGDS,,0.0341668501496315,0.0341668501496315,0.0341668501496315,0.0341668501496315,human,UP
PALMD,,0.0341247096657753,0.0341247096657753,0.0341247096657753,0.0341247096657753,human,UP
SIRT2,,0.0339648015797138,0.0339648015797138,0.0339648015797138,0.0339648015797138,human,UP
MAFB,,0.0335670113563537,0.0335670113563537,0.0335670113563537,0.0335670113563537,human,UP
ZNF106,,0.0333202555775642,0.0333202555775642,0.0333202555775642,0.0333202555775642,human,UP
ETFA,0.0491300746798515,0.0174467302858829,0.0332884024828672,0.0332884024828672,0.0174467302858829,human,UP
MT1E,0.0094802919775247,0.0567623674869537,0.0331213297322392,0.0331213297322392,0.0567623674869537,human,UP
PLA2G4C,,0.0329966992139816,0.0329966992139816,0.0329966992139816,0.0329966992139816,human,UP
TIMM8B,,0.0325018242001533,0.0325018242001533,0.0325018242001533,0.0325018242001533,human,UP
COX6C,0.0376456566154956,0.0267918203026056,0.0322187384590506,0.0322187384590506,0.0267918203026056,human,UP
PSMB6,0.0295073147863149,0.0347898043692112,0.032148559577763,0.032148559577763,0.0347898043692112,human,UP
G0S2,0.0118402084335684,0.0522389896214008,0.0320395990274846,0.0320395990274846,0.0522389896214008,human,UP
C20orf24,0.043203666806221,0.0199643913656473,0.0315840290859341,0.0315840290859341,0.0199643913656473,human,UP
CCT4,,0.0315392985939979,0.0315392985939979,0.0315392985939979,0.0315392985939979,human,UP
FAM220A,0.0311147384345531,,0.0311147384345531,0.0311147384345531,,human,UP
PKIA,0.0251028351485729,0.0366655401885509,0.0308841876685619,0.0308841876685619,0.0366655401885509,human,UP
GMPR,0.0296364855021238,0.0317345559597015,0.0306855207309126,0.0306855207309126,0.0317345559597015,human,UP
ANO5,0.0305686071515083,,0.0305686071515083,0.0305686071515083,,human,UP
TSPYL1,,0.0305603761225938,0.0305603761225938,0.0305603761225938,0.0305603761225938,human,UP
TNKS2,,0.0304636992514133,0.0304636992514133,0.0304636992514133,0.0304636992514133,human,UP
NDUFA4,0.0304124057292938,,0.0304124057292938,0.0304124057292938,,human,UP
PDHX,0.0303810331970453,,0.0303810331970453,0.0303810331970453,,human,UP
UQCRC1,0.0303809270262718,,0.0303809270262718,0.0303809270262718,,human,UP
WWP1,0.0303439293056726,,0.0303439293056726,0.0303439293056726,,human,UP
CEBPB,0.046299759298563,0.0142666781321167,0.0302832187153399,0.0302832187153399,0.0142666781321167,human,UP
PDP1,0.0302456282079219,,0.0302456282079219,0.0302456282079219,,human,UP
PAM,,0.0301626548171043,0.0301626548171043,0.0301626548171043,0.0301626548171043,human,UP
FKBP3,,0.0301470831036567,0.0301470831036567,0.0301470831036567,0.0301470831036567,human,UP
HBG2,0.0380186103284359,0.0221402328461408,0.0300794215872883,0.0300794215872883,0.0221402328461408,human,UP
NDUFV2,0.0424207188189029,0.0174364857375621,0.0299286022782325,0.0299286022782325,0.0174364857375621,human,UP
FTH1,0.0297718085348606,,0.0297718085348606,0.0297718085348606,,human,UP
RTN2,0.0375296063721179,0.0218619462102651,0.0296957762911915,0.0296957762911915,0.0218619462102651,human,UP
NDUFA3,0.0179375074803829,0.0410659126937389,0.0295017100870609,0.0295017100870609,0.0410659126937389,human,UP
RRAGD,0.0294704791158437,,0.0294704791158437,0.0294704791158437,,human,UP
ANKRD2,,0.0294657256454229,0.0294657256454229,0.0294657256454229,0.0294657256454229,human,UP
LAPTM4B,,0.0293708909302949,0.0293708909302949,0.0293708909302949,0.0293708909302949,human,UP
IMPA2,0.0276805702596902,0.0310108214616775,0.0293456958606839,0.0293456958606839,0.0310108214616775,human,UP
AGL,0.0399030745029449,0.0186895914375782,0.0292963329702615,0.0292963329702615,0.0186895914375782,human,UP
ITM2B,,0.029224082827568,0.029224082827568,0.029224082827568,0.029224082827568,human,UP
NDUFB11,0.0290491227060556,,0.0290491227060556,0.0290491227060556,,human,UP
SNURF,,0.0288379304111003,0.0288379304111003,0.0288379304111003,0.0288379304111003,human,UP
DDAH1,,0.0285052936524152,0.0285052936524152,0.0285052936524152,0.0285052936524152,human,UP
RPL3L,,0.0284762438386678,0.0284762438386678,0.0284762438386678,0.0284762438386678,human,UP
NDUFB5,0.0283559467643499,0.0285323318094015,0.0284441392868757,0.0284441392868757,0.0285323318094015,human,UP
PDLIM3,,0.0280742906033992,0.0280742906033992,0.0280742906033992,0.0280742906033992,human,UP
PSMC2,,0.0280517674982547,0.0280517674982547,0.0280517674982547,0.0280517674982547,human,UP
SPARC,0.0279676225036382,,0.0279676225036382,0.0279676225036382,,human,UP
SEPP1,,0.0279561448842287,0.0279561448842287,0.0279561448842287,0.0279561448842287,human,UP
CCNG1,0.0210667736828327,0.034840952605009,0.0279538631439209,0.0279538631439209,0.034840952605009,human,UP
KPNA3,,0.0278544686734676,0.0278544686734676,0.0278544686734676,0.0278544686734676,human,UP
LOC100129361,0.0276814885437488,,0.0276814885437488,0.0276814885437488,,human,UP
CA3,0.0745281651616096,-0.0195396225899457,0.0274942712858319,0.0274942712858319,-0.0195396225899457,human,UP
LINC00116,0.0270766913890838,,0.0270766913890838,0.0270766913890838,,human,UP
CSTB,,0.0270759258419275,0.0270759258419275,0.0270759258419275,0.0270759258419275,human,UP
DYNLRB1,,0.0270655304193496,0.0270655304193496,0.0270655304193496,0.0270655304193496,human,UP
UBB,0.0270619764924049,,0.0270619764924049,0.0270619764924049,,human,UP
ATP5G3,0.026995800435543,,0.026995800435543,0.026995800435543,,human,UP
GPD1,,0.0269907154142856,0.0269907154142856,0.0269907154142856,0.0269907154142856,human,UP
TPM2,,0.0269015356898307,0.0269015356898307,0.0269015356898307,0.0269015356898307,human,UP
OSBPL11,,0.0266873911023139,0.0266873911023139,0.0266873911023139,0.0266873911023139,human,UP
METTL9,,0.0266276579350233,0.0266276579350233,0.0266276579350233,0.0266276579350233,human,UP
PSMD7,,0.0263746324926614,0.0263746324926614,0.0263746324926614,0.0263746324926614,human,UP
SIX1,,0.0262925568968057,0.0262925568968057,0.0262925568968057,0.0262925568968057,human,UP
MT1HL1,0.0190586764365434,0.0330230630934238,0.0260408697649836,0.0260408697649836,0.0330230630934238,human,UP
PKM,0.0212919916957616,0.0307281799614429,0.0260100858286023,0.0260100858286023,0.0307281799614429,human,UP
CAB39,,0.025836830958724,0.025836830958724,0.025836830958724,0.025836830958724,human,UP
LIMCH1,,0.0257185976952314,0.0257185976952314,0.0257185976952314,0.0257185976952314,human,UP
PSMA6,,0.025711802765727,0.025711802765727,0.025711802765727,0.025711802765727,human,UP
SCN1B,,0.0257075317203998,0.0257075317203998,0.0257075317203998,0.0257075317203998,human,UP
SMTNL2,0.0257021579891443,,0.0257021579891443,0.0257021579891443,,human,UP
RAF1,,0.0256186071783304,0.0256186071783304,0.0256186071783304,0.0256186071783304,human,UP
TOB1,0.0105416988953948,0.0402838885784149,0.0254127937369048,0.0254127937369048,0.0402838885784149,human,UP
HRC,0.0253812819719314,,0.0253812819719314,0.0253812819719314,,human,UP
NDUFB9,0.0252931509166955,,0.0252931509166955,0.0252931509166955,,human,UP
NDUFAF1,,0.0252046883106231,0.0252046883106231,0.0252046883106231,0.0252046883106231,human,UP
HMGN3,0.0133033357560634,0.0368854664266109,0.0250944010913372,0.0250944010913372,0.0368854664266109,human,UP
IDI1,,0.0250917207449674,0.0250917207449674,0.0250917207449674,0.0250917207449674,human,UP
MYLK4,0.025064643472433,,0.025064643472433,0.025064643472433,,human,UP
NDUFA1,0.0878956094384193,-0.0377699136734008,0.0250628478825092,0.0250628478825092,-0.0377699136734008,human,UP
HLA-A,,0.0249985102564096,0.0249985102564096,0.0249985102564096,0.0249985102564096,human,UP
POPDC3,0.0248665753751993,,0.0248665753751993,0.0248665753751993,,human,UP
MT1H,0.0175892114639282,0.0321230851113796,0.0248561482876539,0.0248561482876539,0.0321230851113796,human,UP
SERINC1,0.0245532467961311,,0.0245532467961311,0.0245532467961311,,human,UP
NDUFA12,0.0245522651821374,,0.0245522651821374,0.0245522651821374,,human,UP
