gene_symbol,logfc_dz:611,mean_logfc,median_logfc,common_experiment,organism,signature_type
TMA7,0.1978050768375396,0.1978050768375396,0.1978050768375396,0.1978050768375396,human,UP
TMSB10,0.1801371872425079,0.1801371872425079,0.1801371872425079,0.1801371872425079,human,UP
RPL39,0.1414625644683838,0.1414625644683838,0.1414625644683838,0.1414625644683838,human,UP
RPS18,0.1353705823421478,0.1353705823421478,0.1353705823421478,0.1353705823421478,human,UP
SNRPG,0.1310527324676513,0.1310527324676513,0.1310527324676513,0.1310527324676513,human,UP
EPCAM,0.1246837303042411,0.1246837303042411,0.1246837303042411,0.1246837303042411,human,UP
UQCRH,0.1154509484767913,0.1154509484767913,0.1154509484767913,0.1154509484767913,human,UP
COX7A2,0.1112925186753273,0.1112925186753273,0.1112925186753273,0.1112925186753273,human,UP
RPS29,0.1049332469701767,0.1049332469701767,0.1049332469701767,0.1049332469701767,human,UP
CTHRC1,0.1041177362203598,0.1041177362203598,0.1041177362203598,0.1041177362203598,human,UP
NDUFS6,0.1036688908934593,0.1036688908934593,0.1036688908934593,0.1036688908934593,human,UP
IRF2BPL,0.094974048435688,0.094974048435688,0.094974048435688,0.094974048435688,human,UP
CDIPT,0.0883524715900421,0.0883524715900421,0.0883524715900421,0.0883524715900421,human,UP
ADAR,0.078427717089653,0.078427717089653,0.078427717089653,0.078427717089653,human,UP
MRPL3,0.0747724473476409,0.0747724473476409,0.0747724473476409,0.0747724473476409,human,UP
ZWINT,0.0737187415361404,0.0737187415361404,0.0737187415361404,0.0737187415361404,human,UP
NOP58,0.0732287093997001,0.0732287093997001,0.0732287093997001,0.0732287093997001,human,UP
RPS21,0.073213942348957,0.073213942348957,0.073213942348957,0.073213942348957,human,UP
COL1A2,0.0718916729092598,0.0718916729092598,0.0718916729092598,0.0718916729092598,human,UP
HIST1H2BK,0.0712085142731666,0.0712085142731666,0.0712085142731666,0.0712085142731666,human,UP
RPS10,0.0696886330842971,0.0696886330842971,0.0696886330842971,0.0696886330842971,human,UP
CDK2AP1,0.0682582706212997,0.0682582706212997,0.0682582706212997,0.0682582706212997,human,UP
SNHG6,0.0675039589405059,0.0675039589405059,0.0675039589405059,0.0675039589405059,human,UP
TMEM14B,0.0637361332774162,0.0637361332774162,0.0637361332774162,0.0637361332774162,human,UP
MXRA5,0.0621201507747173,0.0621201507747173,0.0621201507747173,0.0621201507747173,human,UP
PABPC3,0.0606841333210468,0.0606841333210468,0.0606841333210468,0.0606841333210468,human,UP
HIST1H4C,0.0594197176396846,0.0594197176396846,0.0594197176396846,0.0594197176396846,human,UP
ARMCX6,0.0564039424061775,0.0564039424061775,0.0564039424061775,0.0564039424061775,human,UP
UQCRQ,0.055850826203823,0.055850826203823,0.055850826203823,0.055850826203823,human,UP
C14orf2,0.0551471747457981,0.0551471747457981,0.0551471747457981,0.0551471747457981,human,UP
RPL41,0.0546967759728431,0.0546967759728431,0.0546967759728431,0.0546967759728431,human,UP
MTCH1,0.0545985847711563,0.0545985847711563,0.0545985847711563,0.0545985847711563,human,UP
MAL,0.0540219508111476,0.0540219508111476,0.0540219508111476,0.0540219508111476,human,UP
MRPS21,0.0534186661243438,0.0534186661243438,0.0534186661243438,0.0534186661243438,human,UP
CD24,0.0532590672373771,0.0532590672373771,0.0532590672373771,0.0532590672373771,human,UP
RPL27,0.0528998337686061,0.0528998337686061,0.0528998337686061,0.0528998337686061,human,UP
USMG5,0.0524093583226203,0.0524093583226203,0.0524093583226203,0.0524093583226203,human,UP
LOC100129361,0.052291166037321,0.052291166037321,0.052291166037321,0.052291166037321,human,UP
