gene_symbol,logfc_dz:916,mean_logfc,median_logfc,common_experiment,organism,signature_type
HLA-A,0.1984793692827224,0.1984793692827224,0.1984793692827224,0.1984793692827224,human,UP
LYZ,0.1589937359094619,0.1589937359094619,0.1589937359094619,0.1589937359094619,human,UP
HLA-DRB4,0.1460517644882202,0.1460517644882202,0.1460517644882202,0.1460517644882202,human,UP
HLA-DRA,0.125360906124115,0.125360906124115,0.125360906124115,0.125360906124115,human,UP
HLA-B,0.1172306686639785,0.1172306686639785,0.1172306686639785,0.1172306686639785,human,UP
HLA-DRB5,0.1158440709114074,0.1158440709114074,0.1158440709114074,0.1158440709114074,human,UP
MT2A,0.0970728695392608,0.0970728695392608,0.0970728695392608,0.0970728695392608,human,UP
LOC100510519,0.0937838926911354,0.0937838926911354,0.0937838926911354,0.0937838926911354,human,UP
CXCL9,0.0886607617139816,0.0886607617139816,0.0886607617139816,0.0886607617139816,human,UP
RPL32,0.073293425142765,0.073293425142765,0.073293425142765,0.073293425142765,human,UP
SCGB1A1,0.0711598396301269,0.0711598396301269,0.0711598396301269,0.0711598396301269,human,UP
CTSK,0.0640950426459312,0.0640950426459312,0.0640950426459312,0.0640950426459312,human,UP
HLA-C,0.0639904290437698,0.0639904290437698,0.0639904290437698,0.0639904290437698,human,UP
EIF3E,0.0629104897379875,0.0629104897379875,0.0629104897379875,0.0629104897379875,human,UP
HIF1A,0.0627931132912635,0.0627931132912635,0.0627931132912635,0.0627931132912635,human,UP
LUM,0.0591197721660137,0.0591197721660137,0.0591197721660137,0.0591197721660137,human,UP
TMSB10,0.0583561845123767,0.0583561845123767,0.0583561845123767,0.0583561845123767,human,UP
RPS29,0.0579410418868064,0.0579410418868064,0.0579410418868064,0.0579410418868064,human,UP
RPL21,0.0561275631189346,0.0561275631189346,0.0561275631189346,0.0561275631189346,human,UP
TIMP1,0.0552860610187053,0.0552860610187053,0.0552860610187053,0.0552860610187053,human,UP
UBD,0.0548409707844257,0.0548409707844257,0.0548409707844257,0.0548409707844257,human,UP
HNRNPA1P10,0.0548145025968551,0.0548145025968551,0.0548145025968551,0.0548145025968551,human,UP
SLC38A2,0.0547722429037094,0.0547722429037094,0.0547722429037094,0.0547722429037094,human,UP
RPS5,0.0537827759981155,0.0537827759981155,0.0537827759981155,0.0537827759981155,human,UP
PTGES3,0.0535715706646442,0.0535715706646442,0.0535715706646442,0.0535715706646442,human,UP
MT1E,0.0525372177362442,0.0525372177362442,0.0525372177362442,0.0525372177362442,human,UP
ADAMDEC1,0.050966914743185,0.050966914743185,0.050966914743185,0.050966914743185,human,UP
MMP12,0.0506092086434364,0.0506092086434364,0.0506092086434364,0.0506092086434364,human,UP
BPIFB1,0.050013855099678,0.050013855099678,0.050013855099678,0.050013855099678,human,UP
UBC,0.0492598116397857,0.0492598116397857,0.0492598116397857,0.0492598116397857,human,UP
FMO2,0.0481004007160663,0.0481004007160663,0.0481004007160663,0.0481004007160663,human,UP
HLA-DPA1,0.0477412231266498,0.0477412231266498,0.0477412231266498,0.0477412231266498,human,UP
SLPI,0.0466245934367179,0.0466245934367179,0.0466245934367179,0.0466245934367179,human,UP
TMEM123,0.0462901555001735,0.0462901555001735,0.0462901555001735,0.0462901555001735,human,UP
BTN3A2,0.0462700389325618,0.0462700389325618,0.0462700389325618,0.0462700389325618,human,UP
RPL23A,0.0461626350879669,0.0461626350879669,0.0461626350879669,0.0461626350879669,human,UP
SNX10,0.0460635498166084,0.0460635498166084,0.0460635498166084,0.0460635498166084,human,UP
KCTD12,0.0458608083426952,0.0458608083426952,0.0458608083426952,0.0458608083426952,human,UP
RPL24,0.045856662094593,0.045856662094593,0.045856662094593,0.045856662094593,human,UP
CHIT1,0.0456500612199306,0.0456500612199306,0.0456500612199306,0.0456500612199306,human,UP
NFKBIA,0.045542899519205,0.045542899519205,0.045542899519205,0.045542899519205,human,UP
HSP90AA1,0.044768888503313,0.044768888503313,0.044768888503313,0.044768888503313,human,UP
IGHA2,0.0446732379496097,0.0446732379496097,0.0446732379496097,0.0446732379496097,human,UP
GJA1,0.0440271347761154,0.0440271347761154,0.0440271347761154,0.0440271347761154,human,UP
FGL2,0.0440207459032535,0.0440207459032535,0.0440207459032535,0.0440207459032535,human,UP
MT1HL1,0.0437664911150932,0.0437664911150932,0.0437664911150932,0.0437664911150932,human,UP
