gene_symbol,logfc_dz:564,mean_logfc,median_logfc,common_experiment,organism,signature_type
S100A9,0.1981020867824554,0.1981020867824554,0.1981020867824554,0.1981020867824554,human,UP
HBA2,0.1666768938302993,0.1666768938302993,0.1666768938302993,0.1666768938302993,human,UP
LYZ,0.1430020481348037,0.1430020481348037,0.1430020481348037,0.1430020481348037,human,UP
S100A4,0.1347542256116867,0.1347542256116867,0.1347542256116867,0.1347542256116867,human,UP
TMSB10,0.1300521343946457,0.1300521343946457,0.1300521343946457,0.1300521343946457,human,UP
FCN1,0.1135080009698867,0.1135080009698867,0.1135080009698867,0.1135080009698867,human,UP
TXNIP,0.0941405966877937,0.0941405966877937,0.0941405966877937,0.0941405966877937,human,UP
RPS26,0.0869694128632545,0.0869694128632545,0.0869694128632545,0.0869694128632545,human,UP
CD52,0.0840141102671623,0.0840141102671623,0.0840141102671623,0.0840141102671623,human,UP
TUBA1A,0.0828165709972381,0.0828165709972381,0.0828165709972381,0.0828165709972381,human,UP
ACTB,0.0753859877586364,0.0753859877586364,0.0753859877586364,0.0753859877586364,human,UP
PPBP,0.0743082985281944,0.0743082985281944,0.0743082985281944,0.0743082985281944,human,UP
IFITM2,0.0735474526882171,0.0735474526882171,0.0735474526882171,0.0735474526882171,human,UP
MNDA,0.0734072029590606,0.0734072029590606,0.0734072029590606,0.0734072029590606,human,UP
S100A12,0.0727748274803161,0.0727748274803161,0.0727748274803161,0.0727748274803161,human,UP
CTSS,0.0705003142356872,0.0705003142356872,0.0705003142356872,0.0705003142356872,human,UP
IFITM1,0.0683297291398048,0.0683297291398048,0.0683297291398048,0.0683297291398048,human,UP
ARPC1B,0.0666240900754928,0.0666240900754928,0.0666240900754928,0.0666240900754928,human,UP
CYAT1,0.0637304782867431,0.0637304782867431,0.0637304782867431,0.0637304782867431,human,UP
TALDO1,0.0613157376646995,0.0613157376646995,0.0613157376646995,0.0613157376646995,human,UP
OAZ1,0.0602041445672512,0.0602041445672512,0.0602041445672512,0.0602041445672512,human,UP
IGJ,0.059938121587038,0.059938121587038,0.059938121587038,0.059938121587038,human,UP
ITM2B,0.0591092742979526,0.0591092742979526,0.0591092742979526,0.0591092742979526,human,UP
FGL2,0.057265505194664,0.057265505194664,0.057265505194664,0.057265505194664,human,UP
IFITM3,0.0572615712881088,0.0572615712881088,0.0572615712881088,0.0572615712881088,human,UP
SELL,0.0560876280069351,0.0560876280069351,0.0560876280069351,0.0560876280069351,human,UP
TYROBP,0.0541551373898983,0.0541551373898983,0.0541551373898983,0.0541551373898983,human,UP
COTL1,0.05363255366683,0.05363255366683,0.05363255366683,0.05363255366683,human,UP
HMGN2,0.0536005161702632,0.0536005161702632,0.0536005161702632,0.0536005161702632,human,UP
CD14,0.0535401999950408,0.0535401999950408,0.0535401999950408,0.0535401999950408,human,UP
LTA4H,0.0517688132822513,0.0517688132822513,0.0517688132822513,0.0517688132822513,human,UP
RPS4Y1,0.0512495040893554,0.0512495040893554,0.0512495040893554,0.0512495040893554,human,UP
VCAN,0.0491209179162979,0.0491209179162979,0.0491209179162979,0.0491209179162979,human,UP
CCL5,0.0483151040971279,0.0483151040971279,0.0483151040971279,0.0483151040971279,human,UP
GZMH,0.0482828430831432,0.0482828430831432,0.0482828430831432,0.0482828430831432,human,UP
PSME2,0.0473579503595829,0.0473579503595829,0.0473579503595829,0.0473579503595829,human,UP
CPVL,0.0462889522314071,0.0462889522314071,0.0462889522314071,0.0462889522314071,human,UP
