gene_symbol,logfc_dz:581,logfc_dz:893,logfc_dz:882,logfc_dz:274,logfc_dz:895,mean_logfc,median_logfc,common_experiment,organism,signature_type
IGFBP3,,,,0.1857093423604965,,0.1857093423604965,0.1857093423604965,,human,UP
PPAP2B,,,,0.1347338855266571,,0.1347338855266571,0.1347338855266571,,human,UP
SERPING1,,,,0.1177644878625869,,0.1177644878625869,0.1177644878625869,,human,UP
SRPX,,,,0.1007052287459373,,0.1007052287459373,0.1007052287459373,,human,UP
ATP2A1,0.1003738865256309,,,,,0.1003738865256309,0.1003738865256309,,human,UP
DCN,0.0695217102766037,,0.1311885565519333,,,0.1003551334142685,0.1003551334142685,,human,UP
WISP2,,,-0.0472627505660057,0.2379778325557708,,0.0953575409948825,0.0953575409948825,,human,UP
RPS18,,,0.0917942747473716,,,0.0917942747473716,0.0917942747473716,,human,UP
CEMIP,,,,0.0885144546627998,,0.0885144546627998,0.0885144546627998,,human,UP
LAMP1,,,,0.0873279497027397,,0.0873279497027397,0.0873279497027397,,human,UP
S100A10,,,,0.0838497877120971,,0.0838497877120971,0.0838497877120971,,human,UP
SGK1,0.0825153216719627,,,,,0.0825153216719627,0.0825153216719627,,human,UP
MYBPC2,0.0819246247410774,,,,,0.0819246247410774,0.0819246247410774,,human,UP
TGFBI,,,0.0372913405299186,0.1250166296958923,,0.0811539851129055,0.0811539851129055,,human,UP
ALDOA,0.0576586537063121,,,0.0981106534600257,,0.0778846535831689,0.0778846535831689,,human,UP
UPP2,,,,,0.0773420110344886,0.0773420110344886,0.0773420110344886,0.0773420110344886,human,UP
TNNC2,0.1804181486368179,-0.0268329828977584,,,,0.0767925828695297,0.0767925828695297,,human,UP
IFITM2,,,0.0517688617110252,0.0988321304321289,,0.075300496071577,0.075300496071577,,human,UP
CD81,,,,0.0748938918113708,,0.0748938918113708,0.0748938918113708,,human,UP
TMSB4X,,,,0.0728199556469917,,0.0728199556469917,0.0728199556469917,,human,UP
TNNI2,0.0722268894314765,,,,,0.0722268894314765,0.0722268894314765,,human,UP
RPL39,,,0.0715239122509956,,,0.0715239122509956,0.0715239122509956,,human,UP
G0S2,0.127931922674179,,,0.014627331867814,,0.0712796272709965,0.0712796272709965,,human,UP
STOM,,,,0.0702214613556861,,0.0702214613556861,0.0702214613556861,,human,UP
ANPEP,,,,0.0695527046918869,,0.0695527046918869,0.0695527046918869,,human,UP
MYLPF,0.1206087619066238,,,0.0127475429326295,,0.0666781524196267,0.0666781524196267,,human,UP
MYH1,0.1090654954314231,0.0222002826631069,,,,0.065632889047265,0.065632889047265,,human,UP
TNNT3,0.0653592497110366,,,,,0.0653592497110366,0.0653592497110366,,human,UP
PHGDH,,,,0.065336026251316,,0.065336026251316,0.065336026251316,,human,UP
RPL9,0.0522834882140159,,,0.0770502313971519,,0.0646668598055839,0.0646668598055839,,human,UP
RPS8,,,,0.0636284947395324,,0.0636284947395324,0.0636284947395324,,human,UP
ADM,,,,0.0622338838875293,,0.0622338838875293,0.0622338838875293,,human,UP
ENO1,,,,0.0618517659604549,,0.0618517659604549,0.0618517659604549,,human,UP
HMGA1,,,,0.0610328949987888,,0.0610328949987888,0.0610328949987888,,human,UP
SVEP1,,,,0.0600976161658763,,0.0600976161658763,0.0600976161658763,,human,UP
RPS3,,,,0.0599879920482635,,0.0599879920482635,0.0599879920482635,,human,UP
AK1,0.0581789351999759,,,,,0.0581789351999759,0.0581789351999759,,human,UP
CA12,,,,0.0579395443201065,,0.0579395443201065,0.0579395443201065,,human,UP
RPL36,,,0.0576425828039646,,,0.0576425828039646,0.0576425828039646,,human,UP
LDHA,0.135389044880867,,-0.0350322313606739,0.0711686387658119,,0.0571751507620016,0.0711686387658119,,human,UP
C7,,,0.0570450611412525,,,0.0570450611412525,0.0570450611412525,,human,UP
ATF4,0.066431276500225,,,0.04551288112998,,0.0559720788151025,0.0559720788151025,,human,UP
PPL,,,,0.0557843595743179,,0.0557843595743179,0.0557843595743179,,human,UP
RPL17,,,,0.0557123385369777,,0.0557123385369777,0.0557123385369777,,human,UP
SETD5,0.0556280128657817,,,,,0.0556280128657817,0.0556280128657817,,human,UP
GGTLC2,,0.0551425740122795,,,,0.0551425740122795,0.0551425740122795,,human,UP
