gene_symbol,logfc_dz,mean_logfc,median_logfc,P.Value,adj.P.Val,AveExpr,t,B,probe.id,signature_type
FOSB,2.98943681901223,2.98943681901223,2.98943681901223,0.0003390305392536,0.0010582451319424,8.53712444625091,-3.96882774126774,-0.0606784191414631,2354_at,UP
FOS,2.66331124530507,2.66331124530507,2.66331124530507,0.0007024896819507,0.0018748923316064,9.62351369381291,-3.71445149238413,-0.7510969768642,2353_at,UP
HSPB6,1.87529250198215,1.87529250198215,1.87529250198215,5.67405532947596e-06,5.69323061219351e-05,8.58013905026005,-5.33741365715359,3.86399741483534,126393_at,UP
IER2,1.87195439523992,1.87195439523992,1.87195439523992,2.88262425460713e-07,9.53804639134794e-06,11.6727051502896,-6.31678692147397,6.74645047388417,9592_at,UP
CTSW,1.85177715042844,1.85177715042844,1.85177715042844,0.0002930962393549,0.0009422133344236,9.99762404115378,-4.01907282278443,0.077739543956973,1521_at,UP
JUNB,1.79875131721014,1.79875131721014,1.79875131721014,1.1421400018079e-06,2.06310368580538e-05,10.0154507056128,-5.86362846563553,5.41367600964316,3726_at,UP
ACKR1,1.75380947880363,1.75380947880363,1.75380947880363,0.0007859126148265,0.0020528735019264,9.36251056002864,-3.67478196768067,-0.857072915883441,2532_at,UP
IGLV2-14,1.74623842928346,1.74623842928346,1.74623842928346,4.91606902969332e-10,2.51751895010595e-07,7.64987595553409,-8.48574588342086,12.9066900353014,28815_at,UP
PLA2G2A,1.73824023889977,1.73824023889977,1.73824023889977,0.0076805367229669,0.0135370946681514,8.74816490818316,-2.82781050228203,-2.97951959945272,5320_at,UP
BANF1,1.73786918791736,1.73786918791736,1.73786918791736,3.32846856587013e-13,1.6604913463216301e-09,11.1687579800739,-11.2434680207501,19.8672806027899,8815_at,UP
ZFP36,1.69731137293516,1.69731137293516,1.69731137293516,1.32410379266921e-05,9.77381665899502e-05,11.4560683010694,-5.05850326778445,3.04644122276419,7538_at,UP
PRKCSH,1.69640127459077,1.69640127459077,1.69640127459077,2.60188752533857e-10,1.96286962399607e-07,10.3102226276091,-8.71225395191142,13.5187679010896,5589_at,UP
BPIFB1,1.68572149244039,1.68572149244039,1.68572149244039,0.0198747349831693,0.0309615994672782,5.89612889838533,-2.43966120487777,-3.83869324770653,92747_at,UP
CD74,1.68083644188004,1.68083644188004,1.68083644188004,1.13414905673679e-07,5.97221318205564e-06,9.65454970862994,-6.62563847432394,7.64971592242437,972_at,UP
FKBP8,1.60021120326186,1.60021120326186,1.60021120326186,1.61725613082947e-07,7.15504850624423e-06,7.65227167824295,-6.50792625951614,7.30611209914912,23770_at,UP
IL2RG,1.58490860034611,1.58490860034611,1.58490860034611,7.07966921437791e-06,6.47410465121952e-05,8.23686481348007,-5.2646666326953,3.65033326875424,3561_at,UP
SOD3,1.5594105569067,1.5594105569067,1.5594105569067,0.0001310432426761,0.0005109040317809,7.99737389163261,-4.29397430389244,0.845326412754697,6649_at,UP
CD37,1.53885336872732,1.53885336872732,1.53885336872732,8.51364255394883e-06,7.28557451146799e-05,6.22656873731423,-5.20399635261816,3.47234472959297,951_at,UP
CYP4F12,1.53536380727776,1.53536380727776,1.53536380727776,4.7309207416756e-08,3.77638754801002e-06,7.27416124781045,-6.91707614206549,8.49622256434881,66002_at,UP
PRB3,1.52664245370222,1.52664245370222,1.52664245370222,1.98486495365229e-07,7.951728268064e-06,8.39872131890063,-6.44011239868166,7.10777840803188,5544_at,UP
RNF39,1.5120551253373,1.5120551253373,1.5120551253373,5.25966808697161e-08,4.01608265994664e-06,7.44550138102506,-6.88164592278065,8.39366379778756,80352_at,UP
EGR1,1.50650753434754,1.50650753434754,1.50650753434754,0.0014824147606107,0.0033977603173717,9.56169806225691,-3.44754463206277,-1.45421615533269,1958_at,UP
EPHX1,1.48638920328871,1.48638920328871,1.48638920328871,3.96388157481648e-07,1.13244281978439e-05,10.819113968913,-6.21171705192075,6.43803831511955,2052_at,UP
ZYX,1.48591699660011,1.48591699660011,1.48591699660011,5.39228868995716e-09,1.0393276737211e-06,10.6684546546084,-7.65187254462618,10.5966999701782,7791_at,UP
SF3B4,1.48571468893647,1.48571468893647,1.48571468893647,4.68569114352678e-10,2.51751895010595e-07,8.94300704668722,-8.50275377693594,12.9528871636071,10262_at,UP
PAEP,1.45317882528564,1.45317882528564,1.45317882528564,0.0309477998000037,0.0457549426996229,13.3996876210216,-2.24783943378836,-4.23042658237189,5047_at,UP
LYPD3,1.44805081775993,1.44805081775993,1.44805081775993,0.000802341130481,0.0020859443732419,8.65061143718387,-3.66745269572742,-0.876599244497366,27076_at,UP
GPX3,1.44357460918937,1.44357460918937,1.44357460918937,0.018741020768726,0.0293989178608196,13.3384674925484,-2.46450845347407,-3.78627823243777,2878_at,UP
PKM,1.42777967521473,1.42777967521473,1.42777967521473,8.17246483125006e-08,5.0728718061614e-06,10.895442368051,-6.73462061234667,7.96700833558417,5315_at,UP
SLC4A2,1.42533718231672,1.42533718231672,1.42533718231672,8.15958261606098e-08,5.0728718061614e-06,8.59647511192474,-6.73514593612861,7.96853571576763,6522_at,UP
BTBD2,1.42341080764899,1.42341080764899,1.42341080764899,1.31028551945759e-08,1.72050567824162e-06,8.59072026238494,-7.34934790098468,9.73846566059683,55643_at,UP
FOSL1,1.42203017311183,1.42203017311183,1.42203017311183,0.0122723063702723,0.0203025297761798,5.39520178914497,-2.64001350819313,-3.40570716716833,8061_at,UP
SF3A2,1.41175499884413,1.41175499884413,1.41175499884413,5.11750909859146e-05,0.00025462000577,8.58224036540298,-4.61011666013913,1.74595387700185,8175_at,UP
RAB3IL1,1.40240734022461,1.40240734022461,1.40240734022461,1.9140832327444502e-09,6.32388402250603e-07,8.29498473227245,-8.00906573988573,11.5966930370429,5866_at,UP
CRABP2,1.40092314517387,1.40092314517387,1.40092314517387,0.0003310267246003,0.0010385589564577,8.79271137248665,-3.97708522148877,-0.0379735635580936,1382_at,UP
IRF2BP1,1.39704994613723,1.39704994613723,1.39704994613723,2.48253987596702e-08,2.51744291184695e-06,7.86370405649223,-7.13348123219259,9.12029645241109,26145_at,UP
CFL1,1.38532735252431,1.38532735252431,1.38532735252431,3.5179966326617396e-12,8.006960335938121e-09,12.4433163713673,-10.3106930235494,17.6345521413922,1072_at,UP
KIR2DS4,1.38384420835151,1.38384420835151,1.38384420835151,0.0002590575246704,0.0008560307042022,7.11759426734119,-4.06154111178486,0.195214761266644,3809_at,UP
AP2A1,1.38041762914909,1.38041762914909,1.38041762914909,4.29438327186633e-08,3.62016374811614e-06,8.09357573984107,-6.94948100582706,8.58993252776283,160_at,UP
SH2B2,1.37558322422066,1.37558322422066,1.37558322422066,4.6816010120818e-09,9.78550154402894e-07,8.81233211014263,-7.70032998282254,10.7332340165821,10603_at,UP
NR4A1,1.37422127517877,1.37422127517877,1.37422127517877,0.0112859899913156,0.0188889794086206,8.3443000451405,-2.67405266367937,-3.32986726784629,3164_at,UP
ZNF580,1.37105832234945,1.37105832234945,1.37105832234945,1.44911057270482e-06,2.39964276243214e-05,9.51705905297637,-5.78547092660118,5.18336087434773,51157_at,UP
BBC3,1.35666294156842,1.35666294156842,1.35666294156842,2.47533852635168e-07,8.85422125439672e-06,7.57198307032106,-6.36709699267024,6.89394661163724,27113_at,UP
SPINK1,1.35266149509498,1.35266149509498,1.35266149509498,0.0061642362582977,0.0112200108934214,5.98643613429124,-2.91391255018599,-2.77800612848171,6690_at,UP
ZNF385A,1.34865918496722,1.34865918496722,1.34865918496722,1.15085691278811e-08,1.59284817578051e-06,6.66697253830186,-7.39335821240782,9.8639245358682,25946_at,UP
LIF,1.34846362145764,1.34846362145764,1.34846362145764,0.0027627517069084,0.005700836704373,8.86911310936335,-3.21899295123143,-2.03588887832473,3976_at,UP
BGN,1.33856581202371,1.33856581202371,1.33856581202371,0.000123763397735,0.0004897931683163,7.72200452616928,-4.31332747843285,0.89995911741105,633_at,UP
TMEM119,1.33701954254607,1.33701954254607,1.33701954254607,0.0026002110707821,0.005418384900702,6.42324067443328,-3.24153316844769,-1.97944262760622,338773_at,UP
BRSK1,1.3287107127167,1.3287107127167,1.3287107127167,3.06150348110295e-08,2.90332580124596e-06,6.65791757662981,-7.06298322758975,8.91745060058211,84446_at,UP
CDC42EP1,1.32710792653444,1.32710792653444,1.32710792653444,1.70064853587794e-06,2.66980900198055e-05,7.64949225590099,-5.73293409071749,5.02852899465258,11135_at,UP
