gene_symbol,mean_logfc,median_logfc,common_experiment,organism
SERPINE1,2.115969148390152,2.115969148390152,2.115969148390152,human
RPS6,-0.1614740585155348,-0.1614740585155348,-0.1614740585155348,human
MGP,0.7199121163522832,0.7199121163522832,0.7199121163522832,human
RPLP1,-0.1509019896866208,-0.1509019896866208,-0.1509019896866208,human
MT1X,1.747925858151489,1.747925858151489,1.747925858151489,human
HSP90B1,0.1471508197014173,0.1471508197014173,0.1471508197014173,human
ZFP36,0.1926305920667595,0.1926305920667595,0.1926305920667595,human
TNFRSF6B,1.009916514102499,1.009916514102499,1.009916514102499,human
ITGA5,0.4889318970425089,0.4889318970425089,0.4889318970425089,human
BGN,0.7668199181085302,0.7668199181085302,0.7668199181085302,human
ANXA2,-0.101735500451746,-0.101735500451746,-0.101735500451746,human
RPS24,-0.1063189120877857,-0.1063189120877857,-0.1063189120877857,human
KLF10,0.1254114550634093,0.1254114550634093,0.1254114550634093,human
SNHG29,-0.3091936177215011,-0.3091936177215011,-0.3091936177215011,human
RPSA,-0.1503039540881685,-0.1503039540881685,-0.1503039540881685,human
IER2,-0.3628940613090861,-0.3628940613090861,-0.3628940613090861,human
RPS21,-0.1748053018696121,-0.1748053018696121,-0.1748053018696121,human
F2RL3,0.3240911383177385,0.3240911383177385,0.3240911383177385,human
MTRNR2L1,-0.5493500574482302,-0.5493500574482302,-0.5493500574482302,human
MT-ND4,0.2558237772282661,0.2558237772282661,0.2558237772282661,human
CLDN5,0.489870584836761,0.489870584836761,0.489870584836761,human
HSPA5,0.4141833773887176,0.4141833773887176,0.4141833773887176,human
KLF2,0.3336333107526719,0.3336333107526719,0.3336333107526719,human
JUNB,-0.0804874450038952,-0.0804874450038952,-0.0804874450038952,human
MT-CYB,-0.0815504668961129,-0.0815504668961129,-0.0815504668961129,human
EMP1,0.8662797995435492,0.8662797995435492,0.8662797995435492,human
RPL36A,-0.1145121679230199,-0.1145121679230199,-0.1145121679230199,human
RPL10A,-0.0655851976746104,-0.0655851976746104,-0.0655851976746104,human
HES1,-0.0841275911702235,-0.0841275911702235,-0.0841275911702235,human
PIM3,0.4363168374272153,0.4363168374272153,0.4363168374272153,human
MT2A,1.778373814002989,1.778373814002989,1.778373814002989,human
MMP2,0.3801808447660897,0.3801808447660897,0.3801808447660897,human
TMSB4X,-0.2344577032844759,-0.2344577032844759,-0.2344577032844759,human
RPL29,-0.0340224817786811,-0.0340224817786811,-0.0340224817786811,human
RPS8,-0.1008495555691251,-0.1008495555691251,-0.1008495555691251,human
IGFBP7,-0.2759189160735502,-0.2759189160735502,-0.2759189160735502,human
HSPH1,-0.0619058253575719,-0.0619058253575719,-0.0619058253575719,human
RPS18,0.0466726509478547,0.0466726509478547,0.0466726509478547,human
MT1M,1.37304796219345,1.37304796219345,1.37304796219345,human
ANXA1,0.1768361037184043,0.1768361037184043,0.1768361037184043,human
RPS3A,-0.1058626517925596,-0.1058626517925596,-0.1058626517925596,human
NEDD9,0.5467008983646602,0.5467008983646602,0.5467008983646602,human
ZFAS1,-0.2330238704771288,-0.2330238704771288,-0.2330238704771288,human
RPS12,-0.0846550183347103,-0.0846550183347103,-0.0846550183347103,human
CSRP2,0.2568560323873368,0.2568560323873368,0.2568560323873368,human
CD200,0.1301039980678833,0.1301039980678833,0.1301039980678833,human
AC020916.1,0.367726896570141,0.367726896570141,0.367726896570141,human
CD93,0.3133387509438634,0.3133387509438634,0.3133387509438634,human
HLA-A,0.0534353135316409,0.0534353135316409,0.0534353135316409,human
HES4,0.9097301801540694,0.9097301801540694,0.9097301801540694,human
CCND1,-0.3214538954108568,-0.3214538954108568,-0.3214538954108568,human
DUSP6,0.155054088523257,0.155054088523257,0.155054088523257,human
RHOB,0.243774632006982,0.243774632006982,0.243774632006982,human
SERTAD1,0.0237869444872336,0.0237869444872336,0.0237869444872336,human
HSPD1,-0.1366955131805203,-0.1366955131805203,-0.1366955131805203,human
RGS3,-0.2763184701503834,-0.2763184701503834,-0.2763184701503834,human
RPS3,-0.0998042477781773,-0.0998042477781773,-0.0998042477781773,human
FOSB,0.1781535161192336,0.1781535161192336,0.1781535161192336,human
RPL10,0.0314121378695375,0.0314121378695375,0.0314121378695375,human
RPL37,-0.2007737021565426,-0.2007737021565426,-0.2007737021565426,human
MRPS6,-0.3174334402709764,-0.3174334402709764,-0.3174334402709764,human
TSC22D3,0.6646334992615031,0.6646334992615031,0.6646334992615031,human
RPL21,-0.0468184947070686,-0.0468184947070686,-0.0468184947070686,human
INSR,0.5917926328354013,0.5917926328354013,0.5917926328354013,human
NPM1,-0.2534799003010519,-0.2534799003010519,-0.2534799003010519,human
FAM118A,0.4256112110122939,0.4256112110122939,0.4256112110122939,human
EGFL7,-0.1324274981860967,-0.1324274981860967,-0.1324274981860967,human
NR4A1,0.351754715590763,0.351754715590763,0.351754715590763,human
IER5,0.2009370883041752,0.2009370883041752,0.2009370883041752,human
SLC38A2,-0.0950589945175361,-0.0950589945175361,-0.0950589945175361,human
CCL2,1.016634482785542,1.016634482785542,1.016634482785542,human
FAM241A,-0.1469673668685341,-0.1469673668685341,-0.1469673668685341,human
RPS15A,-0.0318292425456956,-0.0318292425456956,-0.0318292425456956,human
