gene_symbol,mean_logfc,median_logfc,common_experiment,organism
HSP90AA1,1.69007490213263,1.69007490213263,1.69007490213263,human
HSPA1A,1.669497851196885,1.669497851196885,1.669497851196885,human
MT-CO1,-0.0356936505578104,-0.0356936505578104,-0.0356936505578104,human
MT-CO3,-0.1112131959027485,-0.1112131959027485,-0.1112131959027485,human
HSPD1,1.526688772047491,1.526688772047491,1.526688772047491,human
HSPA1B,1.875478503463335,1.875478503463335,1.875478503463335,human
MT-ATP6,-0.0934830197480325,-0.0934830197480325,-0.0934830197480325,human
HSPH1,1.912089356546267,1.912089356546267,1.912089356546267,human
MT-ND3,-0.5078823647394044,-0.5078823647394044,-0.5078823647394044,human
HSPE1,0.6631539626282508,0.6631539626282508,0.6631539626282508,human
HSPB1,1.322722706948921,1.322722706948921,1.322722706948921,human
MT-ND4,-0.2514103674142412,-0.2514103674142412,-0.2514103674142412,human
MT2A,0.9879425236212224,0.9879425236212224,0.9879425236212224,human
KLF6,1.77481989874121,1.77481989874121,1.77481989874121,human
ICAM1,1.795193551855352,1.795193551855352,1.795193551855352,human
S100A6,0.0745754955444359,0.0745754955444359,0.0745754955444359,human
SERPINE1,2.316405921112801,2.316405921112801,2.316405921112801,human
MT-CO2,-0.2061269398523704,-0.2061269398523704,-0.2061269398523704,human
SOD2,2.08130380176113,2.08130380176113,2.08130380176113,human
MT-CYB,-0.1518776248937721,-0.1518776248937721,-0.1518776248937721,human
DNAJB1,1.293858249339036,1.293858249339036,1.293858249339036,human
FTL,0.6660196659155568,0.6660196659155568,0.6660196659155568,human
BAG3,1.526501051971648,1.526501051971648,1.526501051971648,human
SAT1,1.016292232757165,1.016292232757165,1.016292232757165,human
MT-ND4L,-1.051216100232236,-1.051216100232236,-1.051216100232236,human
DNAJB6,1.015350016332357,1.015350016332357,1.015350016332357,human
UBC,1.044694914580889,1.044694914580889,1.044694914580889,human
ZFAND2A,1.16241642814574,1.16241642814574,1.16241642814574,human
DNAJA4,1.114964797482812,1.114964797482812,1.114964797482812,human
SQSTM1,1.549326504187599,1.549326504187599,1.549326504187599,human
WTAP,0.87672105226361,0.87672105226361,0.87672105226361,human
