gene_symbol,mean_logfc,median_logfc,common_experiment,organism,signature_type
PI15,1.932423820360405,1.932423820360405,1.932423820360405,human,UP
CRIP1,1.923552801082945,1.923552801082945,1.923552801082945,human,UP
CD9,1.81074227125654,1.81074227125654,1.81074227125654,human,UP
SOD3,1.740091518814376,1.740091518814376,1.740091518814376,human,UP
MT1G,1.155940562328073,1.155940562328073,1.155940562328073,human,UP
PDGFA,1.132099615213008,1.132099615213008,1.132099615213008,human,UP
SCGB2A1,1.062847312014895,1.062847312014895,1.062847312014895,human,UP
WFDC2,1.0452706910248,1.0452706910248,1.0452706910248,human,UP
MGP,0.9454576087846736,0.9454576087846736,0.9454576087846736,human,UP
SCGB1D4,0.9275237018677548,0.9275237018677548,0.9275237018677548,human,UP
SELENOM,0.9061116742564526,0.9061116742564526,0.9061116742564526,human,UP
INHBA,0.8692105746156958,0.8692105746156958,0.8692105746156958,human,UP
HLA-B,0.8644060247294525,0.8644060247294525,0.8644060247294525,human,UP
IER3,0.8581776450971681,0.8581776450971681,0.8581776450971681,human,UP
BHLHE40,0.8358976839696606,0.8358976839696606,0.8358976839696606,human,UP
SERPINE1,0.8347282867542871,0.8347282867542871,0.8347282867542871,human,UP
COL18A1,0.8240714993379559,0.8240714993379559,0.8240714993379559,human,UP
DSTN,0.8082249634705834,0.8082249634705834,0.8082249634705834,human,UP
NUDT4,0.7940114881237994,0.7940114881237994,0.7940114881237994,human,UP
IGFBP4,0.7652376963788345,0.7652376963788345,0.7652376963788345,human,UP
ANGPTL4,0.6788460311588506,0.6788460311588506,0.6788460311588506,human,UP
VEGFA,0.6408468802418712,0.6408468802418712,0.6408468802418712,human,UP
PTP4A3,0.6372777844167032,0.6372777844167032,0.6372777844167032,human,UP
ITGA5,0.6343112586143648,0.6343112586143648,0.6343112586143648,human,UP
TPPP3,0.6216414879215909,0.6216414879215909,0.6216414879215909,human,UP
NR4A1,0.6209186351351037,0.6209186351351037,0.6209186351351037,human,UP
VPS13D,0.588961994306773,0.588961994306773,0.588961994306773,human,UP
PLN,0.5880705457927078,0.5880705457927078,0.5880705457927078,human,UP
NINJ1,0.5766656589084036,0.5766656589084036,0.5766656589084036,human,UP
SULF1,0.5639827269111404,0.5639827269111404,0.5639827269111404,human,UP
NR4A2,0.5372737446762474,0.5372737446762474,0.5372737446762474,human,UP
C11orf96,0.5321886883768672,0.5321886883768672,0.5321886883768672,human,UP
HERPUD1,0.5215767374165312,0.5215767374165312,0.5215767374165312,human,UP
HES4,0.5008542181008173,0.5008542181008173,0.5008542181008173,human,UP
ARHGAP1,0.4849675161619063,0.4849675161619063,0.4849675161619063,human,UP
GPR183,0.4792825277175017,0.4792825277175017,0.4792825277175017,human,UP
PKIG,0.4731917534213006,0.4731917534213006,0.4731917534213006,human,UP
MFGE8,0.4711270092479167,0.4711270092479167,0.4711270092479167,human,UP
TPM4,0.4648961346233631,0.4648961346233631,0.4648961346233631,human,UP
ACTG2,0.4377362609971243,0.4377362609971243,0.4377362609971243,human,UP
HIF1A,0.4325155421998621,0.4325155421998621,0.4325155421998621,human,UP
A2M,0.4186315087738874,0.4186315087738874,0.4186315087738874,human,UP
MT1A,0.4166390280634096,0.4166390280634096,0.4166390280634096,human,UP
SPHK1,0.4067642117171278,0.4067642117171278,0.4067642117171278,human,UP
EMP1,0.4019070770941668,0.4019070770941668,0.4019070770941668,human,UP
THBS1,0.3977826559937934,0.3977826559937934,0.3977826559937934,human,UP
EGR3,0.3798456644713032,0.3798456644713032,0.3798456644713032,human,UP
P2RY14,0.3723987260843869,0.3723987260843869,0.3723987260843869,human,UP
MYADM,0.370441864751073,0.370441864751073,0.370441864751073,human,UP
