gene_symbol,mean_logfc,median_logfc,common_experiment,organism,signature_type
HSPA6,2.182648921265301,2.182648921265301,2.182648921265301,human,UP
CXCL2,2.013578818716679,2.013578818716679,2.013578818716679,human,UP
HSP90AA1,1.93103555756625,1.93103555756625,1.93103555756625,human,UP
HSPD1,1.786000282980375,1.786000282980375,1.786000282980375,human,UP
NEAT1,1.782482275970743,1.782482275970743,1.782482275970743,human,UP
CXCL8,1.716979417013996,1.716979417013996,1.716979417013996,human,UP
HSPA1B,1.707196445400247,1.707196445400247,1.707196445400247,human,UP
HSPH1,1.700958590459487,1.700958590459487,1.700958590459487,human,UP
BAG3,1.608812685994232,1.608812685994232,1.608812685994232,human,UP
C11orf96,1.496874681166989,1.496874681166989,1.496874681166989,human,UP
MT2A,1.383069511020938,1.383069511020938,1.383069511020938,human,UP
ADAMTS4,1.358786609995569,1.358786609995569,1.358786609995569,human,UP
THBS1,1.351299641716778,1.351299641716778,1.351299641716778,human,UP
HSPA1A,1.330528504093158,1.330528504093158,1.330528504093158,human,UP
HSP90AB1,1.323076766619599,1.323076766619599,1.323076766619599,human,UP
HSPB1,1.320104784272695,1.320104784272695,1.320104784272695,human,UP
DNAJA1,1.313681615525458,1.313681615525458,1.313681615525458,human,UP
CRYAB,1.296905122705555,1.296905122705555,1.296905122705555,human,UP
DNAJA4,1.285052486066471,1.285052486066471,1.285052486066471,human,UP
UGCG,1.248665886267693,1.248665886267693,1.248665886267693,human,UP
ANKRD28,1.233743334485151,1.233743334485151,1.233743334485151,human,UP
GJA4,1.216168635752152,1.216168635752152,1.216168635752152,human,UP
TNFAIP3,1.213609640405137,1.213609640405137,1.213609640405137,human,UP
CXCL3,1.212568788805029,1.212568788805029,1.212568788805029,human,UP
NFKBIA,1.212476773350865,1.212476773350865,1.212476773350865,human,UP
SOD2,1.195493403840786,1.195493403840786,1.195493403840786,human,UP
ARID5B,1.177285808279656,1.177285808279656,1.177285808279656,human,UP
KLF6,1.157750596668685,1.157750596668685,1.157750596668685,human,UP
IER3,1.147812985938,1.147812985938,1.147812985938,human,UP
NR4A1,1.140059302534708,1.140059302534708,1.140059302534708,human,UP
EMP1,1.13705703896821,1.13705703896821,1.13705703896821,human,UP
PNRC1,1.134493878073944,1.134493878073944,1.134493878073944,human,UP
UBC,1.13263060295592,1.13263060295592,1.13263060295592,human,UP
SERPINE1,1.115320761319761,1.115320761319761,1.115320761319761,human,UP
FAM107B,1.11016232148299,1.11016232148299,1.11016232148299,human,UP
GPRC5A,1.096805808233384,1.096805808233384,1.096805808233384,human,UP
TIMP3,1.089943884126739,1.089943884126739,1.089943884126739,human,UP
DNAJB1,1.08133754719345,1.08133754719345,1.08133754719345,human,UP
CHORDC1,1.069824954546424,1.069824954546424,1.069824954546424,human,UP
ATF3,1.049826201777763,1.049826201777763,1.049826201777763,human,UP
HIPK2,1.047744571910346,1.047744571910346,1.047744571910346,human,UP
LIMS1,1.02697142078711,1.02697142078711,1.02697142078711,human,UP
CEBPD,0.9943603947180968,0.9943603947180968,0.9943603947180968,human,UP
KMT2A,0.9791055097653376,0.9791055097653376,0.9791055097653376,human,UP
LRRFIP1,0.9764799427720916,0.9764799427720916,0.9764799427720916,human,UP
NFE2L2,0.9755540650176068,0.9755540650176068,0.9755540650176068,human,UP
HSPE1,0.9644347803107975,0.9644347803107975,0.9644347803107975,human,UP
DNAJB4,0.9577142089531224,0.9577142089531224,0.9577142089531224,human,UP
CDKN1A,0.9307417405309965,0.9307417405309965,0.9307417405309965,human,UP
GEM,0.9258179528585198,0.9258179528585198,0.9258179528585198,human,UP
PPP1R15A,0.923798349690514,0.923798349690514,0.923798349690514,human,UP
FKBP4,0.9192810445346512,0.9192810445346512,0.9192810445346512,human,UP
REL,0.9157921526966284,0.9157921526966284,0.9157921526966284,human,UP
MT1A,0.9149551107341484,0.9149551107341484,0.9149551107341484,human,UP
RUNX1,0.8994609968423093,0.8994609968423093,0.8994609968423093,human,UP
ICAM1,0.8969913004569348,0.8969913004569348,0.8969913004569348,human,UP
CYTOR,0.8934384483029714,0.8934384483029714,0.8934384483029714,human,UP
DNAJB6,0.8839103269106561,0.8839103269106561,0.8839103269106561,human,UP
CRISPLD2,0.8795843375951551,0.8795843375951551,0.8795843375951551,human,UP
CACYBP,0.8768962953205802,0.8768962953205802,0.8768962953205802,human,UP
YWHAG,0.8735275452445611,0.8735275452445611,0.8735275452445611,human,UP
RTN4,0.8699223899266257,0.8699223899266257,0.8699223899266257,human,UP
NFATC2,0.8552038608561098,0.8552038608561098,0.8552038608561098,human,UP
ETS2,0.85386045864027,0.85386045864027,0.85386045864027,human,UP
SNHG15,0.8538581959097342,0.8538581959097342,0.8538581959097342,human,UP
SQSTM1,0.8378700275879196,0.8378700275879196,0.8378700275879196,human,UP
PALM2-AKAP2,0.8373001344081796,0.8373001344081796,0.8373001344081796,human,UP
TNFRSF12A,0.8320097094428274,0.8320097094428274,0.8320097094428274,human,UP
BTG3,0.8141966296108523,0.8141966296108523,0.8141966296108523,human,UP
HES4,0.8117948902439229,0.8117948902439229,0.8117948902439229,human,UP
MAFF,0.8115604111056414,0.8115604111056414,0.8115604111056414,human,UP
TNFAIP2,0.8081056037664047,0.8081056037664047,0.8081056037664047,human,UP
SGK1,0.808006141335553,0.808006141335553,0.808006141335553,human,UP
GPBP1,0.7875209222702675,0.7875209222702675,0.7875209222702675,human,UP
CTNNAL1,0.781315029272279,0.781315029272279,0.781315029272279,human,UP
RRAD,0.7804392169367074,0.7804392169367074,0.7804392169367074,human,UP
CD44,0.7777669028482939,0.7777669028482939,0.7777669028482939,human,UP
ZFAND2A,0.7656676487507572,0.7656676487507572,0.7656676487507572,human,UP
CEBPB,0.7652975441463397,0.7652975441463397,0.7652975441463397,human,UP
ZFP36L1,0.7560858134389492,0.7560858134389492,0.7560858134389492,human,UP
CHD1,0.7536118156536122,0.7536118156536122,0.7536118156536122,human,UP
GADD45B,0.7422948371882558,0.7422948371882558,0.7422948371882558,human,UP
RGS16,0.7422082985272196,0.7422082985272196,0.7422082985272196,human,UP
STK17A,0.7408359846679441,0.7408359846679441,0.7408359846679441,human,UP
RSRC2,0.7371140848651678,0.7371140848651678,0.7371140848651678,human,UP
HLA-E,0.728316833770972,0.728316833770972,0.728316833770972,human,UP
SPEN,0.7250532654279219,0.7250532654279219,0.7250532654279219,human,UP
ANGPTL4,0.7223681905197269,0.7223681905197269,0.7223681905197269,human,UP
PHLDA1,0.721538717689981,0.721538717689981,0.721538717689981,human,UP
ELL2,0.7193476235302608,0.7193476235302608,0.7193476235302608,human,UP
IER5,0.7153821176766513,0.7153821176766513,0.7153821176766513,human,UP
BTG2,0.7114314365691956,0.7114314365691956,0.7114314365691956,human,UP
WTAP,0.7107536056450106,0.7107536056450106,0.7107536056450106,human,UP
MAP1LC3B,0.6928038133328893,0.6928038133328893,0.6928038133328893,human,UP
HSPA8,0.691672452098572,0.691672452098572,0.691672452098572,human,UP
PRDM1,0.6909070457403075,0.6909070457403075,0.6909070457403075,human,UP
SELENOK,0.6838481319760692,0.6838481319760692,0.6838481319760692,human,UP
LITAF,0.680387226149096,0.680387226149096,0.680387226149096,human,UP
LMNA,0.6741507732920806,0.6741507732920806,0.6741507732920806,human,UP
SLC2A3,0.671822893341425,0.671822893341425,0.671822893341425,human,UP
DDX21,0.669080341380238,0.669080341380238,0.669080341380238,human,UP
NFKBIZ,0.6659139117665649,0.6659139117665649,0.6659139117665649,human,UP
SARAF,0.6658066873201198,0.6658066873201198,0.6658066873201198,human,UP
ATF4,0.6654525330930408,0.6654525330930408,0.6654525330930408,human,UP
MAP1B,0.6607427332877542,0.6607427332877542,0.6607427332877542,human,UP
TENT4B,0.6548553626905105,0.6548553626905105,0.6548553626905105,human,UP
NFKB1,0.6505125330532531,0.6505125330532531,0.6505125330532531,human,UP
FAM241A,0.6486564380472182,0.6486564380472182,0.6486564380472182,human,UP
FILIP1L,0.6475634007493087,0.6475634007493087,0.6475634007493087,human,UP
PNN,0.6378315036558531,0.6378315036558531,0.6378315036558531,human,UP
MXD1,0.6343442542689852,0.6343442542689852,0.6343442542689852,human,UP
ERN1,0.6338486538107793,0.6338486538107793,0.6338486538107793,human,UP
HES1,0.6318438959650501,0.6318438959650501,0.6318438959650501,human,UP
DDX3X,0.6290784348770657,0.6290784348770657,0.6290784348770657,human,UP
UBB,0.6271724969555987,0.6271724969555987,0.6271724969555987,human,UP
CKS2,0.620571396233387,0.620571396233387,0.620571396233387,human,UP
EEF2,0.620402998266905,0.620402998266905,0.620402998266905,human,UP
AHNAK,0.607101219985691,0.607101219985691,0.607101219985691,human,UP
MSX1,0.6061628738369025,0.6061628738369025,0.6061628738369025,human,UP
CHSY1,0.6050823766076325,0.6050823766076325,0.6050823766076325,human,UP
MALAT1,0.5967952001567678,0.5967952001567678,0.5967952001567678,human,UP
SAMD4A,0.5954293373182498,0.5954293373182498,0.5954293373182498,human,UP
ANXA5,0.5850196681526465,0.5850196681526465,0.5850196681526465,human,UP
MEG8,0.5811833279176848,0.5811833279176848,0.5811833279176848,human,UP
NFIL3,0.5805597295168876,0.5805597295168876,0.5805597295168876,human,UP
CDV3,0.5793638176363778,0.5793638176363778,0.5793638176363778,human,UP
STIP1,0.5771271131027726,0.5771271131027726,0.5771271131027726,human,UP
MAPKAPK2,0.5727866520474,0.5727866520474,0.5727866520474,human,UP
RHOQ,0.572407522900232,0.572407522900232,0.572407522900232,human,UP
EIF1,0.5691892569874542,0.5691892569874542,0.5691892569874542,human,UP
KDM6B,0.5672149678290992,0.5672149678290992,0.5672149678290992,human,UP
HBP1,0.562687600883943,0.562687600883943,0.562687600883943,human,UP
EPB41L4A-AS1,0.5614972960243142,0.5614972960243142,0.5614972960243142,human,UP
SAT1,0.5574629679606673,0.5574629679606673,0.5574629679606673,human,UP
CLK1,0.5533370336775101,0.5533370336775101,0.5533370336775101,human,UP
MAP3K8,0.5509836654711815,0.5509836654711815,0.5509836654711815,human,UP
PIM3,0.5445492056894417,0.5445492056894417,0.5445492056894417,human,UP
GSPT1,0.5445085546313968,0.5445085546313968,0.5445085546313968,human,UP
VEGFA,0.5380863696672702,0.5380863696672702,0.5380863696672702,human,UP
SOD3,0.5376308488289294,0.5376308488289294,0.5376308488289294,human,UP
IL32,0.5344980004502279,0.5344980004502279,0.5344980004502279,human,UP
DDIT4,0.5325671535876089,0.5325671535876089,0.5325671535876089,human,UP
TMED5,0.5298571186561674,0.5298571186561674,0.5298571186561674,human,UP
SNHG32,0.5169354432093094,0.5169354432093094,0.5169354432093094,human,UP
ASAP1,0.5165446418342252,0.5165446418342252,0.5165446418342252,human,UP
FTL,0.5158332115035744,0.5158332115035744,0.5158332115035744,human,UP
THBS2,0.5131858242906849,0.5131858242906849,0.5131858242906849,human,UP
RBM39,0.5097232677593171,0.5097232677593171,0.5097232677593171,human,UP
HSPB8,0.5075192363380121,0.5075192363380121,0.5075192363380121,human,UP
NUDT4,0.5035773322847311,0.5035773322847311,0.5035773322847311,human,UP
SLC3A2,0.5021928472277226,0.5021928472277226,0.5021928472277226,human,UP
EIF4E,0.4940052759437988,0.4940052759437988,0.4940052759437988,human,UP
UBA2,0.4894847204369206,0.4894847204369206,0.4894847204369206,human,UP
FXR1,0.4865906841869927,0.4865906841869927,0.4865906841869927,human,UP
