gene_symbol,mean_logfc,median_logfc,common_experiment,organism,signature_type
INHBA,1.251183690835239,1.251183690835239,1.251183690835239,human,UP
TAGLN,1.128482803297445,1.128482803297445,1.128482803297445,human,UP
GADD45B,1.063593834946085,1.063593834946085,1.063593834946085,human,UP
MGP,1.061786786599192,1.061786786599192,1.061786786599192,human,UP
MMP3,1.017266122981222,1.017266122981222,1.017266122981222,human,UP
CRYAB,1.014046468597484,1.014046468597484,1.014046468597484,human,UP
PTGDS,0.9724241172856436,0.9724241172856436,0.9724241172856436,human,UP
TNFAIP3,0.9561536618129204,0.9561536618129204,0.9561536618129204,human,UP
WFDC2,0.9432947421592496,0.9432947421592496,0.9432947421592496,human,UP
CXCL2,0.934453937366284,0.934453937366284,0.934453937366284,human,UP
CCL2,0.931979271876028,0.931979271876028,0.931979271876028,human,UP
C11orf96,0.9080402761379704,0.9080402761379704,0.9080402761379704,human,UP
CCN2,0.9079320605261328,0.9079320605261328,0.9079320605261328,human,UP
NR4A1,0.8999437135546127,0.8999437135546127,0.8999437135546127,human,UP
RHOB,0.8974397254132176,0.8974397254132176,0.8974397254132176,human,UP
BTG2,0.8723085819565048,0.8723085819565048,0.8723085819565048,human,UP
IL11,0.8709915279576914,0.8709915279576914,0.8709915279576914,human,UP
IER3,0.8684876108852206,0.8684876108852206,0.8684876108852206,human,UP
NFKBIA,0.8663828004747138,0.8663828004747138,0.8663828004747138,human,UP
SERPINE1,0.8610853334422202,0.8610853334422202,0.8610853334422202,human,UP
COL12A1,0.8549937598316548,0.8549937598316548,0.8549937598316548,human,UP
TNFRSF11B,0.8523237779536178,0.8523237779536178,0.8523237779536178,human,UP
PRXL2A,0.8401414912709271,0.8401414912709271,0.8401414912709271,human,UP
HES4,0.8281420667737722,0.8281420667737722,0.8281420667737722,human,UP
PPP1R15A,0.7988092829080666,0.7988092829080666,0.7988092829080666,human,UP
COL7A1,0.7851849052997737,0.7851849052997737,0.7851849052997737,human,UP
CEBPD,0.7762709721017451,0.7762709721017451,0.7762709721017451,human,UP
TCIM,0.7716829005974777,0.7716829005974777,0.7716829005974777,human,UP
DUSP1,0.7701464400802398,0.7701464400802398,0.7701464400802398,human,UP
RGCC,0.7677626745611061,0.7677626745611061,0.7677626745611061,human,UP
BGN,0.7474072605195449,0.7474072605195449,0.7474072605195449,human,UP
CXCL1,0.7378018310681325,0.7378018310681325,0.7378018310681325,human,UP
PIM3,0.7106905588428587,0.7106905588428587,0.7106905588428587,human,UP
COL6A3,0.7090194767408255,0.7090194767408255,0.7090194767408255,human,UP
SOCS3,0.7078693955578166,0.7078693955578166,0.7078693955578166,human,UP
KLF6,0.7033796187130283,0.7033796187130283,0.7033796187130283,human,UP
IL32,0.6834151531449681,0.6834151531449681,0.6834151531449681,human,UP
HSPB1,0.6741900896479018,0.6741900896479018,0.6741900896479018,human,UP
PLAT,0.6721103368282235,0.6721103368282235,0.6721103368282235,human,UP
ZFP36,0.6624210529375905,0.6624210529375905,0.6624210529375905,human,UP
ATF3,0.6490494994727252,0.6490494994727252,0.6490494994727252,human,UP
HSPA5,0.6411289437141607,0.6411289437141607,0.6411289437141607,human,UP
ADM,0.6391355147200033,0.6391355147200033,0.6391355147200033,human,UP
FABP5,0.6363478368382403,0.6363478368382403,0.6363478368382403,human,UP
THBS1,0.6267986061108091,0.6267986061108091,0.6267986061108091,human,UP
LDHA,0.6215781390138164,0.6215781390138164,0.6215781390138164,human,UP
WNT5A,0.6211465252255985,0.6211465252255985,0.6211465252255985,human,UP
LMNA,0.6184941556158079,0.6184941556158079,0.6184941556158079,human,UP
RBP1,0.6078823383538077,0.6078823383538077,0.6078823383538077,human,UP
APOE,0.6020755441228549,0.6020755441228549,0.6020755441228549,human,UP
PHLDA2,0.6020198416635945,0.6020198416635945,0.6020198416635945,human,UP
IRF1,0.5970220486936284,0.5970220486936284,0.5970220486936284,human,UP
TIMP1,0.5953436063390511,0.5953436063390511,0.5953436063390511,human,UP
LUM,0.5865945695619574,0.5865945695619574,0.5865945695619574,human,UP
ISG15,0.5832649303687594,0.5832649303687594,0.5832649303687594,human,UP
IER2,0.5830765340732804,0.5830765340732804,0.5830765340732804,human,UP
TPM4,0.5782063671024988,0.5782063671024988,0.5782063671024988,human,UP
TNFRSF12A,0.5766979630077345,0.5766979630077345,0.5766979630077345,human,UP
BHLHE40,0.576674046546539,0.576674046546539,0.576674046546539,human,UP
MMP2,0.5737621978205016,0.5737621978205016,0.5737621978205016,human,UP
RASD1,0.5542587491827142,0.5542587491827142,0.5542587491827142,human,UP
HSPA6,0.5524449694361431,0.5524449694361431,0.5524449694361431,human,UP
IER5L,0.5514300910991008,0.5514300910991008,0.5514300910991008,human,UP
IGFBP6,0.5409729606254443,0.5409729606254443,0.5409729606254443,human,UP
NFKBIZ,0.5405809488412145,0.5405809488412145,0.5405809488412145,human,UP
CRISPLD2,0.5321628140121759,0.5321628140121759,0.5321628140121759,human,UP
H3F3B,0.52331957273941,0.52331957273941,0.52331957273941,human,UP
SCGB2A1,0.5229897818134657,0.5229897818134657,0.5229897818134657,human,UP
