gene_symbol,mean_logfc,median_logfc,common_experiment,organism
HSPA1A,1.330528504093158,1.330528504093158,1.330528504093158,human
HSPB1,1.320104784272695,1.320104784272695,1.320104784272695,human
HSPA1B,1.707196445400247,1.707196445400247,1.707196445400247,human
HSP90AA1,1.93103555756625,1.93103555756625,1.93103555756625,human
DNAJB1,1.08133754719345,1.08133754719345,1.08133754719345,human
UBC,1.13263060295592,1.13263060295592,1.13263060295592,human
TMSB10,-0.9382330976847236,-0.9382330976847236,-0.9382330976847236,human
CRYAB,1.296905122705555,1.296905122705555,1.296905122705555,human
PPIB,-0.8041440681036063,-0.8041440681036063,-0.8041440681036063,human
IGF1,-0.8969086395128976,-0.8969086395128976,-0.8969086395128976,human
MMP11,-0.9523215706345248,-0.9523215706345248,-0.9523215706345248,human
C11orf96,1.496874681166989,1.496874681166989,1.496874681166989,human
HSPA6,2.182648921265301,2.182648921265301,2.182648921265301,human
HSP90AB1,1.323076766619599,1.323076766619599,1.323076766619599,human
HSPD1,1.786000282980375,1.786000282980375,1.786000282980375,human
HSPE1,0.9644347803107975,0.9644347803107975,0.9644347803107975,human
RRAD,0.7804392169367074,0.7804392169367074,0.7804392169367074,human
NR4A1,1.140059302534708,1.140059302534708,1.140059302534708,human
COL3A1,-0.2685265258288183,-0.2685265258288183,-0.2685265258288183,human
MT2A,1.383069511020938,1.383069511020938,1.383069511020938,human
DUSP1,0.4229966159365217,0.4229966159365217,0.4229966159365217,human
GADD45B,0.7422948371882558,0.7422948371882558,0.7422948371882558,human
IER3,1.147812985938,1.147812985938,1.147812985938,human
COL1A2,-0.3645674817075859,-0.3645674817075859,-0.3645674817075859,human
COL6A3,-0.2811054151848849,-0.2811054151848849,-0.2811054151848849,human
S100A6,-0.0638200885714477,-0.0638200885714477,-0.0638200885714477,human
SOD3,0.5376308488289294,0.5376308488289294,0.5376308488289294,human
PPP1R15A,0.923798349690514,0.923798349690514,0.923798349690514,human
NREP,-0.8455298132634703,-0.8455298132634703,-0.8455298132634703,human
HSPH1,1.700958590459487,1.700958590459487,1.700958590459487,human
ATF3,1.049826201777763,1.049826201777763,1.049826201777763,human
KLF6,1.157750596668685,1.157750596668685,1.157750596668685,human
VCAN,-0.6562589891359125,-0.6562589891359125,-0.6562589891359125,human
OLFML3,-0.6973450585143945,-0.6973450585143945,-0.6973450585143945,human
NEAT1,1.782482275970743,1.782482275970743,1.782482275970743,human
RPS3A,0.2189568905543089,0.2189568905543089,0.2189568905543089,human
NFKBIA,1.212476773350865,1.212476773350865,1.212476773350865,human
ZFP36,0.4297804470968507,0.4297804470968507,0.4297804470968507,human
MDK,-0.5117888950274492,-0.5117888950274492,-0.5117888950274492,human
UBB,0.6271724969555987,0.6271724969555987,0.6271724969555987,human
HELLPAR,-0.1766138155212643,-0.1766138155212643,-0.1766138155212643,human
DNAJA4,1.285052486066471,1.285052486066471,1.285052486066471,human
JUN,0.3639770724621272,0.3639770724621272,0.3639770724621272,human
HSP90B1,-0.1247907453568882,-0.1247907453568882,-0.1247907453568882,human
SELENOH,-0.609232808996846,-0.609232808996846,-0.609232808996846,human
B2M,0.1717151675144502,0.1717151675144502,0.1717151675144502,human
TTC3,-0.1408283302087907,-0.1408283302087907,-0.1408283302087907,human
HOPX,-0.0251429612546054,-0.0251429612546054,-0.0251429612546054,human
FTL,0.5158332115035744,0.5158332115035744,0.5158332115035744,human
BTG2,0.7114314365691956,0.7114314365691956,0.7114314365691956,human
MALAT1,0.5967952001567678,0.5967952001567678,0.5967952001567678,human
PPP1R14B,-0.6784583693747497,-0.6784583693747497,-0.6784583693747497,human
SNHG15,0.8538581959097342,0.8538581959097342,0.8538581959097342,human
IGFBP5,0.1326800101583334,0.1326800101583334,0.1326800101583334,human
JUND,0.2773310443340096,0.2773310443340096,0.2773310443340096,human
EIF1,0.5691892569874542,0.5691892569874542,0.5691892569874542,human
DNAJA1,1.313681615525458,1.313681615525458,1.313681615525458,human
ERH,-0.7836107837941333,-0.7836107837941333,-0.7836107837941333,human
ADIRF,-0.0420480854663112,-0.0420480854663112,-0.0420480854663112,human
COL5A1,-0.4338158739513822,-0.4338158739513822,-0.4338158739513822,human
TIMP3,1.089943884126739,1.089943884126739,1.089943884126739,human
STMN1,-0.7469471646179842,-0.7469471646179842,-0.7469471646179842,human
PDIA6,-0.3128019806210001,-0.3128019806210001,-0.3128019806210001,human
PGR,-0.4569972594260125,-0.4569972594260125,-0.4569972594260125,human
MARCKS,-0.2456336981022296,-0.2456336981022296,-0.2456336981022296,human
TUBB,-0.6184385192753719,-0.6184385192753719,-0.6184385192753719,human
CEBPD,0.9943603947180968,0.9943603947180968,0.9943603947180968,human
BAG3,1.608812685994232,1.608812685994232,1.608812685994232,human
IFITM3,-0.9305981972300406,-0.9305981972300406,-0.9305981972300406,human
RPL39,-0.1777838792484259,-0.1777838792484259,-0.1777838792484259,human
THBS1,1.351299641716778,1.351299641716778,1.351299641716778,human
CFL1,-0.6299817844410551,-0.6299817844410551,-0.6299817844410551,human
DNAJB4,0.9577142089531224,0.9577142089531224,0.9577142089531224,human
MGP,-0.2449589653537547,-0.2449589653537547,-0.2449589653537547,human
COX6A1,-0.6890175792477331,-0.6890175792477331,-0.6890175792477331,human
LMNA,0.6741507732920806,0.6741507732920806,0.6741507732920806,human
PDIA4,-0.4534696285677449,-0.4534696285677449,-0.4534696285677449,human
CHORDC1,1.069824954546424,1.069824954546424,1.069824954546424,human
KLF2,0.2489991569584129,0.2489991569584129,0.2489991569584129,human
UQCR10,-1.077499910663053,-1.077499910663053,-1.077499910663053,human
SOD2,1.195493403840786,1.195493403840786,1.195493403840786,human
ATP5MC1,-0.6565883632954559,-0.6565883632954559,-0.6565883632954559,human
P4HB,-0.4403585515366983,-0.4403585515366983,-0.4403585515366983,human
H3F3B,0.3273966051683872,0.3273966051683872,0.3273966051683872,human
SPON2,-0.2511927643395506,-0.2511927643395506,-0.2511927643395506,human
HMGN1,-0.558599154295534,-0.558599154295534,-0.558599154295534,human
SSR4,-0.5171076041778782,-0.5171076041778782,-0.5171076041778782,human
NRP1,-0.2648129812335889,-0.2648129812335889,-0.2648129812335889,human
GTF2I,-0.216741022584134,-0.216741022584134,-0.216741022584134,human
PNRC1,1.134493878073944,1.134493878073944,1.134493878073944,human
SERF2,-0.708039726821128,-0.708039726821128,-0.708039726821128,human
CANX,-0.1844250381630903,-0.1844250381630903,-0.1844250381630903,human
CBX5,-0.4535818785318139,-0.4535818785318139,-0.4535818785318139,human
SFRP1,-0.276571995615669,-0.276571995615669,-0.276571995615669,human
LAPTM4A,-0.5754611507535516,-0.5754611507535516,-0.5754611507535516,human
IFITM2,-0.6441353599534603,-0.6441353599534603,-0.6441353599534603,human
TNFAIP2,0.8081056037664047,0.8081056037664047,0.8081056037664047,human
HOXA10,-0.5072552197893133,-0.5072552197893133,-0.5072552197893133,human
TAX1BP3,-0.4306012015924492,-0.4306012015924492,-0.4306012015924492,human
ICAM1,0.8969913004569348,0.8969913004569348,0.8969913004569348,human
RPS4X,0.1833216680940275,0.1833216680940275,0.1833216680940275,human
ATP5MF,-0.8254568782158058,-0.8254568782158058,-0.8254568782158058,human
THY1,-0.7077271394389575,-0.7077271394389575,-0.7077271394389575,human
COL1A1,-0.3941968517947112,-0.3941968517947112,-0.3941968517947112,human
CALR,-0.4726418568814093,-0.4726418568814093,-0.4726418568814093,human
GPRC5A,1.096805808233384,1.096805808233384,1.096805808233384,human
ACTB,-0.4859031707685215,-0.4859031707685215,-0.4859031707685215,human
COL5A2,-0.0280768042167389,-0.0280768042167389,-0.0280768042167389,human
CARMN,-0.4783574767983033,-0.4783574767983033,-0.4783574767983033,human
NDUFA8,-0.4552887127138107,-0.4552887127138107,-0.4552887127138107,human
SOD1,0.3636055373283007,0.3636055373283007,0.3636055373283007,human
ANGPTL4,0.7223681905197269,0.7223681905197269,0.7223681905197269,human
MIR503HG,-0.3449508462202617,-0.3449508462202617,-0.3449508462202617,human
