gene_symbol,mean_logfc,median_logfc,common_experiment,organism,signature_type
SLPI,2.105023525792843,2.105023525792843,2.105023525792843,human,UP
LCN2,1.981888418077855,1.981888418077855,1.981888418077855,human,UP
SAA2,1.427478113345127,1.427478113345127,1.427478113345127,human,UP
CD74,1.204923773393263,1.204923773393263,1.204923773393263,human,UP
PLCG2,1.142185611027706,1.142185611027706,1.142185611027706,human,UP
WFDC2,1.132399580665875,1.132399580665875,1.132399580665875,human,UP
G0S2,1.102215643599087,1.102215643599087,1.102215643599087,human,UP
HLA-DRA,1.016741173086696,1.016741173086696,1.016741173086696,human,UP
CP,0.9159337135590742,0.9159337135590742,0.9159337135590742,human,UP
SCGB1D4,0.9081840155112544,0.9081840155112544,0.9081840155112544,human,UP
PLAAT4,0.8308167865950487,0.8308167865950487,0.8308167865950487,human,UP
HLA-DRB1,0.8125608603073079,0.8125608603073079,0.8125608603073079,human,UP
RBP1,0.7640345670462372,0.7640345670462372,0.7640345670462372,human,UP
ZFP36L1,0.6684909827343799,0.6684909827343799,0.6684909827343799,human,UP
TMC5,0.6589316001806222,0.6589316001806222,0.6589316001806222,human,UP
MUC4,0.6470719400495177,0.6470719400495177,0.6470719400495177,human,UP
HLA-A,0.6373696542687626,0.6373696542687626,0.6373696542687626,human,UP
PRKAR1A,0.5759140239852178,0.5759140239852178,0.5759140239852178,human,UP
CFB,0.5703687587676161,0.5703687587676161,0.5703687587676161,human,UP
RARRES1,0.5604038196885804,0.5604038196885804,0.5604038196885804,human,UP
SYNE2,0.5334322450124527,0.5334322450124527,0.5334322450124527,human,UP
CTNNB1,0.5308348978125288,0.5308348978125288,0.5308348978125288,human,UP
NFIA,0.5287403087264086,0.5287403087264086,0.5287403087264086,human,UP
SYNE1,0.5050040827185118,0.5050040827185118,0.5050040827185118,human,UP
TMEM176A,0.4981338526166314,0.4981338526166314,0.4981338526166314,human,UP
SCGB2A1,0.4537122521902797,0.4537122521902797,0.4537122521902797,human,UP
TSC22D3,0.4452749173811957,0.4452749173811957,0.4452749173811957,human,UP
GSN,0.4401043174609902,0.4401043174609902,0.4401043174609902,human,UP
DNAH11,0.4348543540985703,0.4348543540985703,0.4348543540985703,human,UP
SPEF2,0.426782369758679,0.426782369758679,0.426782369758679,human,UP
HLA-B,0.4033841899060153,0.4033841899060153,0.4033841899060153,human,UP
SLFN13,0.4033748808316341,0.4033748808316341,0.4033748808316341,human,UP
GABPB1-AS1,0.4032311785988767,0.4032311785988767,0.4032311785988767,human,UP
WTAP,0.3994944988133515,0.3994944988133515,0.3994944988133515,human,UP
CEBPD,0.3979769249996279,0.3979769249996279,0.3979769249996279,human,UP
NEAT1,0.3974625015300637,0.3974625015300637,0.3974625015300637,human,UP
AKAP9,0.3908311076276469,0.3908311076276469,0.3908311076276469,human,UP
CD59,0.3895223450498173,0.3895223450498173,0.3895223450498173,human,UP
MRPS31,0.3891504401691142,0.3891504401691142,0.3891504401691142,human,UP
BCL2A1,0.3884676049931511,0.3884676049931511,0.3884676049931511,human,UP
HYDIN,0.383453179950717,0.383453179950717,0.383453179950717,human,UP
CFAP43,0.3808845760876221,0.3808845760876221,0.3808845760876221,human,UP
CFI,0.370621620619807,0.370621620619807,0.370621620619807,human,UP
LUC7L3,0.3691854514516989,0.3691854514516989,0.3691854514516989,human,UP
HNRNPH1,0.3566045685985286,0.3566045685985286,0.3566045685985286,human,UP
TRIM44,0.3510686254916665,0.3510686254916665,0.3510686254916665,human,UP
DDX17,0.3487102358058614,0.3487102358058614,0.3487102358058614,human,UP
LAP3,0.3486453985643455,0.3486453985643455,0.3486453985643455,human,UP
AHNAK,0.3471128872280056,0.3471128872280056,0.3471128872280056,human,UP
CCDC17,0.3461168950413509,0.3461168950413509,0.3461168950413509,human,UP
SERPINB6,0.3442339323344569,0.3442339323344569,0.3442339323344569,human,UP
C2CD4B,0.3424345158950174,0.3424345158950174,0.3424345158950174,human,UP
SERPING1,0.3364511175841332,0.3364511175841332,0.3364511175841332,human,UP
GFPT1,0.3355679343447643,0.3355679343447643,0.3355679343447643,human,UP
SPP1,0.3342343678936989,0.3342343678936989,0.3342343678936989,human,UP
TMEM173,0.3329915066146751,0.3329915066146751,0.3329915066146751,human,UP
CFAP157,0.3329348311985005,0.3329348311985005,0.3329348311985005,human,UP
AL022068.1,0.3282524892542504,0.3282524892542504,0.3282524892542504,human,UP
MT-ND4,0.3256513749225505,0.3256513749225505,0.3256513749225505,human,UP
TRNP1,0.3242426883157024,0.3242426883157024,0.3242426883157024,human,UP
EGR1,0.3226184062283095,0.3226184062283095,0.3226184062283095,human,UP
ANAPC4,0.3210544233840125,0.3210544233840125,0.3210544233840125,human,UP
C4BPA,0.3188243609166472,0.3188243609166472,0.3188243609166472,human,UP
TAPBP,0.3174962228761965,0.3174962228761965,0.3174962228761965,human,UP
ACSL5,0.3160915281426438,0.3160915281426438,0.3160915281426438,human,UP
TMEM190,0.3158127608791066,0.3158127608791066,0.3158127608791066,human,UP
PLEKHS1,0.3118043674882954,0.3118043674882954,0.3118043674882954,human,UP
SDC4,0.3111715799583088,0.3111715799583088,0.3111715799583088,human,UP
DNAH10,0.3037295205693655,0.3037295205693655,0.3037295205693655,human,UP
STOM,0.3014596803515752,0.3014596803515752,0.3014596803515752,human,UP
S100A11,0.2957504026302491,0.2957504026302491,0.2957504026302491,human,UP
MALAT1,0.2931383353988064,0.2931383353988064,0.2931383353988064,human,UP
IFITM3,0.2927563925525527,0.2927563925525527,0.2927563925525527,human,UP
ATP5ME,0.2912995069204727,0.2912995069204727,0.2912995069204727,human,UP
ZFP36L2,0.2888051867750743,0.2888051867750743,0.2888051867750743,human,UP
ERICH3,0.2885535288828613,0.2885535288828613,0.2885535288828613,human,UP
DDX3X,0.2881228289763544,0.2881228289763544,0.2881228289763544,human,UP
RFX3,0.2872345326419901,0.2872345326419901,0.2872345326419901,human,UP
CD47,0.286952618042936,0.286952618042936,0.286952618042936,human,UP
BCLAF1,0.2815189024829006,0.2815189024829006,0.2815189024829006,human,UP
VPS36,0.2814081859257717,0.2814081859257717,0.2814081859257717,human,UP
RP1,0.2780892844801672,0.2780892844801672,0.2780892844801672,human,UP
CRIM1,0.2771938032138251,0.2771938032138251,0.2771938032138251,human,UP
SLC44A4,0.2771688704661439,0.2771688704661439,0.2771688704661439,human,UP
SAR1A,0.2760112232852288,0.2760112232852288,0.2760112232852288,human,UP
CHMP4B,0.2756821826954395,0.2756821826954395,0.2756821826954395,human,UP
DNAH7,0.2739340251333959,0.2739340251333959,0.2739340251333959,human,UP
DUSP1,0.2738440034738643,0.2738440034738643,0.2738440034738643,human,UP
MAGED1,0.271647209798397,0.271647209798397,0.271647209798397,human,UP
A4GALT,0.2706919838817018,0.2706919838817018,0.2706919838817018,human,UP
LRP11,0.2704555067188082,0.2704555067188082,0.2704555067188082,human,UP
RIPK2,0.270231960591012,0.270231960591012,0.270231960591012,human,UP
DDIT4,0.2623835784090535,0.2623835784090535,0.2623835784090535,human,UP
DNAAF1,0.2620119264161429,0.2620119264161429,0.2620119264161429,human,UP
BMPR1B,0.2603668286815439,0.2603668286815439,0.2603668286815439,human,UP
HSPA5,0.2598150557920587,0.2598150557920587,0.2598150557920587,human,UP
SPATA18,0.2584106387849179,0.2584106387849179,0.2584106387849179,human,UP
ECRG4,0.256272201143523,0.256272201143523,0.256272201143523,human,UP
URB1-AS1,0.2555007433063246,0.2555007433063246,0.2555007433063246,human,UP
NAMPT,0.2542148898278869,0.2542148898278869,0.2542148898278869,human,UP
CFAP45,0.2531247896720648,0.2531247896720648,0.2531247896720648,human,UP
LONP2,0.2530068815954257,0.2530068815954257,0.2530068815954257,human,UP
TMEM67,0.252490851798042,0.252490851798042,0.252490851798042,human,UP
PHACTR4,0.2492402926570615,0.2492402926570615,0.2492402926570615,human,UP
HECTD1,0.2488508688299512,0.2488508688299512,0.2488508688299512,human,UP
CFAP221,0.2478811829396901,0.2478811829396901,0.2478811829396901,human,UP
SCN1A,0.2442313304815467,0.2442313304815467,0.2442313304815467,human,UP
PHPT1,0.2388093493942318,0.2388093493942318,0.2388093493942318,human,UP
IDO1,0.2359606810993365,0.2359606810993365,0.2359606810993365,human,UP
CRIP2,0.235617552377837,0.235617552377837,0.235617552377837,human,UP
PSD3,0.2346492174997198,0.2346492174997198,0.2346492174997198,human,UP
CFAP100,0.2324688271530013,0.2324688271530013,0.2324688271530013,human,UP
CATSPERD,0.2321286975627586,0.2321286975627586,0.2321286975627586,human,UP
ISG15,0.2308902928193141,0.2308902928193141,0.2308902928193141,human,UP
XBP1,0.2307964346966038,0.2307964346966038,0.2307964346966038,human,UP
MT-ND5,0.2268112767872164,0.2268112767872164,0.2268112767872164,human,UP
UBXN10,0.2264742123422105,0.2264742123422105,0.2264742123422105,human,UP
SLC35A3,0.2260860173089011,0.2260860173089011,0.2260860173089011,human,UP
PRPF4B,0.2254494222352073,0.2254494222352073,0.2254494222352073,human,UP
ANKRD18A,0.2243974131198836,0.2243974131198836,0.2243974131198836,human,UP
