gene_symbol,logfc_dz:939,mean_logfc,median_logfc,common_experiment,organism,signature_type
C3,0.2630381882190704,0.2630381882190704,0.2630381882190704,0.2630381882190704,human,UP
TIMP1,0.2280424237251281,0.2280424237251281,0.2280424237251281,0.2280424237251281,human,UP
FTL,0.2111752033233642,0.2111752033233642,0.2111752033233642,0.2111752033233642,human,UP
C7,0.1486373394727707,0.1486373394727707,0.1486373394727707,0.1486373394727707,human,UP
IGHV4-31,0.1231327876448631,0.1231327876448631,0.1231327876448631,0.1231327876448631,human,UP
C1R,0.1099081933498382,0.1099081933498382,0.1099081933498382,0.1099081933498382,human,UP
PEG3,0.098149299621582,0.098149299621582,0.098149299621582,0.098149299621582,human,UP
AEBP1,0.096575416624546,0.096575416624546,0.096575416624546,0.096575416624546,human,UP
DLK1,0.0932460278272628,0.0932460278272628,0.0932460278272628,0.0932460278272628,human,UP
PLA2G2A,0.08444444835186,0.08444444835186,0.08444444835186,0.08444444835186,human,UP
COL6A3,0.0834945142269134,0.0834945142269134,0.0834945142269134,0.0834945142269134,human,UP
TCEAL4,0.0825413018465042,0.0825413018465042,0.0825413018465042,0.0825413018465042,human,UP
FHL2,0.0815398395061492,0.0815398395061492,0.0815398395061492,0.0815398395061492,human,UP
STAR,0.0814182236790657,0.0814182236790657,0.0814182236790657,0.0814182236790657,human,UP
HSPA1A,0.0799694210290908,0.0799694210290908,0.0799694210290908,0.0799694210290908,human,UP
RPL21,0.0785684660077095,0.0785684660077095,0.0785684660077095,0.0785684660077095,human,UP
HSPA1B,0.0759663730859756,0.0759663730859756,0.0759663730859756,0.0759663730859756,human,UP
C4orf46,0.0744407474994659,0.0744407474994659,0.0744407474994659,0.0744407474994659,human,UP
SPARCL1,0.0735860094428062,0.0735860094428062,0.0735860094428062,0.0735860094428062,human,UP
CFHR1,0.0702335312962532,0.0702335312962532,0.0702335312962532,0.0702335312962532,human,UP
SERPINF1,0.0697590857744216,0.0697590857744216,0.0697590857744216,0.0697590857744216,human,UP
TAGLN,0.0666825771331787,0.0666825771331787,0.0666825771331787,0.0666825771331787,human,UP
C1S,0.0656513124704361,0.0656513124704361,0.0656513124704361,0.0656513124704361,human,UP
TPT1,0.0646967515349388,0.0646967515349388,0.0646967515349388,0.0646967515349388,human,UP
MYL9,0.0594837479293346,0.0594837479293346,0.0594837479293346,0.0594837479293346,human,UP
SERPING1,0.0593660399317741,0.0593660399317741,0.0593660399317741,0.0593660399317741,human,UP
TGFBR3,0.057069081813097,0.057069081813097,0.057069081813097,0.057069081813097,human,UP
DCN,0.056949246674776,0.056949246674776,0.056949246674776,0.056949246674776,human,UP
HLA-DRB4,0.0559070706367492,0.0559070706367492,0.0559070706367492,0.0559070706367492,human,UP
IGLC7,0.055519837886095,0.055519837886095,0.055519837886095,0.055519837886095,human,UP
FOS,0.0547636784613132,0.0547636784613132,0.0547636784613132,0.0547636784613132,human,UP
CYAT1,0.0540642142295837,0.0540642142295837,0.0540642142295837,0.0540642142295837,human,UP
IGKV4-1,0.053665030747652,0.053665030747652,0.053665030747652,0.053665030747652,human,UP
CFH,0.0500517226755619,0.0500517226755619,0.0500517226755619,0.0500517226755619,human,UP
BST2,0.0495934672653675,0.0495934672653675,0.0495934672653675,0.0495934672653675,human,UP
HLA-DRB1,0.0492229871451854,0.0492229871451854,0.0492229871451854,0.0492229871451854,human,UP
PSAP,0.0485827811062336,0.0485827811062336,0.0485827811062336,0.0485827811062336,human,UP
HTRA1,0.0481871254742145,0.0481871254742145,0.0481871254742145,0.0481871254742145,human,UP
SLC38A2,0.0472075417637825,0.0472075417637825,0.0472075417637825,0.0472075417637825,human,UP
RPS20,0.0467809475958347,0.0467809475958347,0.0467809475958347,0.0467809475958347,human,UP
MATN2,0.0463756695389747,0.0463756695389747,0.0463756695389747,0.0463756695389747,human,UP
RPS25,0.0462956540286541,0.0462956540286541,0.0462956540286541,0.0462956540286541,human,UP
