gene_symbol,logfc_dz,mean_logfc,median_logfc,p_val,p_val_adj,pct.1,pct.2,signature_type
TM4SF1,2.03367679889295,2.03367679889295,2.03367679889295,1.82087192866832e-12,5.28071068033099e-08,0.725,0.373,UP
CRYAB,1.99814794264293,1.99814794264293,1.99814794264293,1.6709702818695998e-31,4.84598091445003e-27,0.564,0.344,UP
PAEP,1.68080053860324,1.68080053860324,1.68080053860324,3.3666422431716003e-10,9.76359916942197e-06,0.432,0.438,UP
G0S2,1.67690452468319,1.67690452468319,1.67690452468319,1.81832017988287e-18,5.27331035367832e-14,0.367,0.145,UP
SOD2,1.38307141699937,1.38307141699937,1.38307141699937,5.74962513484889e-07,0.0166744878535753,0.795,0.595,UP
HSPA6,1.32432977786777,1.32432977786777,1.32432977786777,6.49159519579828e-20,1.8826275227334603e-15,0.233,0.103,UP
TMEM265,1.08318947252111,1.08318947252111,1.08318947252111,8.81221662711673e-08,0.0025556309440301,0.561,0.216,UP
SQSTM1,1.04773708659557,1.04773708659557,1.04773708659557,3.13216298166577e-11,9.0835858631289e-07,0.833,0.627,UP
ANXA2,1.02699619297648,1.02699619297648,1.02699619297648,1.160136948398e-09,3.36451316404904e-05,0.916,0.881,UP
NUPR1,0.97971209812717,0.97971209812717,0.97971209812717,5.2372915257191e-09,0.0001518866915373,0.592,0.275,UP
TSC22D1,0.929284032767212,0.929284032767212,0.929284032767212,2.03990513413469e-12,5.91592887950401e-08,0.726,0.484,UP
DENND2C,0.897529342794172,0.897529342794172,0.897529342794172,7.91966697552057e-08,0.0022967826195707,0.483,0.163,UP
SCGB1D4,0.882758474610807,0.882758474610807,0.882758474610807,9.353246149671451e-09,0.0002712534915866,0.58,0.373,UP
CXCL14,0.880829630441551,0.880829630441551,0.880829630441551,9.55815247960433e-07,0.0277195980061005,0.106,0.05,UP
ZFAND2A,0.880139186254787,0.880139186254787,0.880139186254787,6.51806405132675e-23,1.89030375552527e-18,0.409,0.252,UP
TMC5,0.874833171893382,0.874833171893382,0.874833171893382,5.5296109485857e-12,1.60364247119934e-07,0.462,0.178,UP
FTL,0.860780311438894,0.860780311438894,0.860780311438894,1.18645620387757e-16,3.44084163686535e-12,0.918,0.826,UP
CD24,0.853618439708777,0.853618439708777,0.853618439708777,1.21856442769274e-22,3.53395869675171e-18,0.914,0.834,UP
SLPI,0.840635671089738,0.840635671089738,0.840635671089738,2.3021661885877402e-14,6.67651216352332e-10,0.853,0.732,UP
HSPA1A,0.825467368634098,0.825467368634098,0.825467368634098,2.76232392583982e-15,8.01101561732806e-11,0.69,0.646,UP
PDK4,0.821261904283271,0.821261904283271,0.821261904283271,3.01981322635423e-07,0.0087577603377499,0.495,0.235,UP
UBC,0.781573801697302,0.781573801697302,0.781573801697302,1.8296414043078399e-16,5.30614303663316e-12,0.952,0.925,UP
SGK1,0.76259962141733,0.76259962141733,0.76259962141733,2.82824640441851e-07,0.0082021973974541,0.44,0.18,UP
CKB,0.733400721039144,0.733400721039144,0.733400721039144,5.96288772863233e-13,1.72929707018066e-08,0.889,0.717,UP
PPP1R15A,0.707648485676556,0.707648485676556,0.707648485676556,7.81280158978166e-12,2.26579058905258e-07,0.841,0.738,UP
HSPA5,0.687015039596034,0.687015039596034,0.687015039596034,9.066974087625679e-11,2.62951315515232e-06,0.791,0.683,UP
DDIT4,0.641449625839406,0.641449625839406,0.641449625839406,1.65116053136506e-13,4.7885306570118e-09,0.361,0.191,UP
BAG3,0.634792625364658,0.634792625364658,0.634792625364658,7.954153278220809e-11,2.30678399221682e-06,0.342,0.163,UP
DNAJB1,0.629823157587346,0.629823157587346,0.629823157587346,1.90738852534065e-21,5.53161746234043e-17,0.74,0.694,UP
HERPUD1,0.600253532652062,0.600253532652062,0.600253532652062,7.19940764744884e-08,0.0020879002118366,0.622,0.407,UP
GPX3,0.590717383444856,0.590717383444856,0.590717383444856,1.87142209219337e-10,5.42731120956999e-06,0.179,0.086,UP
RHOB,0.572541259990675,0.572541259990675,0.572541259990675,3.17216689701879e-07,0.0091996012180442,0.711,0.564,UP
DNAJB4,0.555277260680043,0.555277260680043,0.555277260680043,6.91752080636796e-11,2.00615020905477e-06,0.383,0.266,UP
DUSP2,0.51174886238805,0.51174886238805,0.51174886238805,1.7674479255098e-07,0.0051257757287709,0.343,0.281,UP
MGST1,0.507492182790291,0.507492182790291,0.507492182790291,1.60961332258635e-07,0.0046680395968326,0.507,0.319,UP
CP,0.498398858377223,0.498398858377223,0.498398858377223,1.40373102963047e-08,0.0004070960359031,0.296,0.143,UP
SERPINH1,0.466222417385222,0.466222417385222,0.466222417385222,1.76091166613125e-11,5.10681992294724e-07,0.257,0.168,UP
H3F3B,0.461027642087952,0.461027642087952,0.461027642087952,8.84242306001445e-07,0.0256439111163479,0.945,0.952,UP
NNMT,0.430939425499905,0.430939425499905,0.430939425499905,2.9354182856401703e-09,8.51300657018506e-05,0.143,0.088,UP
IER5,0.429857981726798,0.429857981726798,0.429857981726798,1.65099528016129e-06,0.0478805141199576,0.396,0.201,UP
AKR1C3,0.408155521242652,0.408155521242652,0.408155521242652,4.29255705385619e-07,0.0124488447118883,0.27,0.124,UP
SELENOK,0.388150819037316,0.388150819037316,0.388150819037316,2.75966278686792e-08,0.0008003298048195,0.626,0.501,UP
LDHB,0.384769360363875,0.384769360363875,0.384769360363875,1.6721956986217e-07,0.0048495347455727,0.641,0.512,UP
HSPD1,0.38438113966085,0.38438113966085,0.38438113966085,2.80189160089202e-08,0.0008125765831746,0.772,0.707,UP
C2CD4B,0.376451920707085,0.376451920707085,0.376451920707085,9.10219913516743e-07,0.026397287711899,0.214,0.086,UP
C4BPA,0.337167512954049,0.337167512954049,0.337167512954049,1.1097536261588601e-09,3.21839649122332e-05,0.132,0.025,UP
CLK1,0.319768906852514,0.319768906852514,0.319768906852514,3.35452708389487e-10,9.72846399600351e-06,0.503,0.386,UP
B2M,0.314112188906545,0.314112188906545,0.314112188906545,1.72991694288581e-12,5.01693212606313e-08,0.958,0.95,UP
S100A1,0.310256594131872,0.310256594131872,0.310256594131872,9.898166742695831e-09,0.0002870567337049,0.225,0.101,UP
ERP27,0.279920266715725,0.279920266715725,0.279920266715725,2.92588527472039e-07,0.0084853598852166,0.214,0.12,UP
UBB,0.278284688060836,0.278284688060836,0.278284688060836,1.26128403772287e-13,3.6578498378000903e-09,0.885,0.931,UP
SLC25A29,0.270377600575774,0.270377600575774,0.270377600575774,7.13096897160725e-07,0.0206805231145582,0.574,0.352,UP
IGFBP7,0.270022765975631,0.270022765975631,0.270022765975631,8.93655941027988e-07,0.0259169159457527,0.91,0.868,UP
ANGPTL4,0.262822153763789,0.262822153763789,0.262822153763789,9.542565065590231e-09,0.0002767439294671,0.108,0.021,UP
PPP1R1B,0.262358738812286,0.262358738812286,0.262358738812286,9.03422966429972e-07,0.0262001694494356,0.249,0.124,UP
HSPA1B,0.244015311383362,0.244015311383362,0.244015311383362,1.47904996428345e-08,0.0004289392801418,0.651,0.681,UP
SERPING1,0.240694575083941,0.240694575083941,0.240694575083941,2.55040321348832e-12,7.39642435943748e-08,0.411,0.296,UP
RARRES1,0.191840895123595,0.191840895123595,0.191840895123595,1.5935534853640201e-09,4.6214644629042e-05,0.117,0.055,UP
PLAAT4,0.0274692209341965,0.0274692209341965,0.0274692209341965,2.3416178451832803e-09,6.79092591281603e-05,0.531,0.537,UP
AL357093.2,-1.4410366407256,-1.4410366407256,-1.4410366407256,6.33646638151268e-14,1.8376386153024902e-09,0.676,0.87,DOWN
ZNF295-AS1,-1.36632639189938,-1.36632639189938,-1.36632639189938,9.30498178846279e-16,2.6985377684720897e-11,0.202,0.488,DOWN
CEL,-1.26345800028215,-1.26345800028215,-1.26345800028215,4.140387004353741e-15,1.20075363513263e-10,0.243,0.461,DOWN
PGR,-1.16752676927638,-1.16752676927638,-1.16752676927638,8.5798168529303e-14,2.48823268551832e-09,0.294,0.52,DOWN
