"","logFC","AveExpr","t","P.Value","adj.P.Val","B","probe.id","symbols"
"2354_at",-2.6013977074244,8.17443758458225,-5.78397696512013,7.60777321262703e-08,1.91918259221e-07,7.56305288062795,"2354_at","FOSB"
"2353_at",-2.47300422518947,9.17409501547526,-5.64221836927466,1.43606681268245e-07,3.44575290980289e-07,6.94696151962062,"2353_at","FOS"
"132203_at",2.20566811653262,5.32934750599359,7.90508629647048,2.83404046456099e-12,2.48618778912494e-11,17.5169656874653,"132203_at","SNTN"
"7153_at",2.15429456197968,7.68105034727122,5.39859792954097,4.20275956309377e-07,9.23209939843568e-07,5.90738493816701,"7153_at","TOP2A"
"2052_at",-2.14727444242282,10.0995989177272,-10.471827866337,5.38782128948418e-18,7.82724335416978e-16,30.446026117467,"2052_at","EPHX1"
"10403_at",2.09554298794916,6.3282587857248,6.9114183281403,3.85576012320743e-10,1.67014993368114e-09,12.7098030583403,"10403_at","NDC80"
"83540_at",2.0935530220434,6.14295570260765,8.2148005344297,5.92992226093689e-13,6.91734211805418e-12,19.0502248850195,"83540_at","NUF2"
"155465_at",2.09128872745637,8.25709655503547,6.46493768352185,3.26847958464066e-09,1.10499316408284e-08,10.6243127880387,"155465_at","AGR3"
"347_at",-2.07273184726525,9.89747945531204,-5.40332025412875,4.11710953758493e-07,9.05463514793749e-07,5.92729562300894,"347_at","APOD"
"5125_at",2.05827069640332,7.77906858027177,6.70983219758036,1.01855038888582e-09,3.92549128239644e-09,11.7614218083857,"5125_at","PCSK5"
"1522_at",2.04421952260771,8.27991205956812,14.6393949687407,4.20228283339064e-27,4.30397807795869e-23,51.0049842582779,"1522_at","CTSZ"
"9383_at",2.02900669690605,7.26254161589049,9.59761199428942,4.93756898841606e-16,2.40732407480465e-14,26.0091439141587,"9383_at","TSIX"
"3726_at",-2.02075303311757,9.23617479855965,-7.85399003554163,3.66389594167642e-12,3.05111139012535e-11,17.2653343085153,"3726_at","JUNB"
"79801_at",1.98399425783153,5.28189163760463,8.50849416829802,1.3313729496363e-13,2.07232853346124e-12,20.5152396571927,"79801_at","SHCBP1"
"51473_at",1.96023634751281,7.49273037715234,8.57605427492427,9.43043889843678e-14,1.57051309264698e-12,20.8535452929333,"51473_at","DCDC2"
"9126_at",1.95796674003202,6.54449907096341,12.0883641300146,1.34218411408338e-21,2.25419917047793e-18,38.5916820029162,"9126_at","SMC3"
"3832_at",1.95536866411195,5.76091336249975,5.97302608713068,3.22403994100949e-08,8.75066041495142e-08,8.3966831355674,"3832_at","KIF11"
"9787_at",1.94445892707042,6.35233951298054,5.44503685592984,3.4310511096608e-07,7.65345213223258e-07,6.10360626577043,"9787_at","DLGAP5"
"10926_at",1.93600374516813,7.24128440672156,7.87233046861395,3.34138917772411e-12,2.83416214975158e-11,17.355608401568,"10926_at","DBF4"
"54443_at",1.92406330717895,5.78492467608591,6.29990202056605,7.10331850110604e-09,2.22449741899795e-08,9.86810189080311,"54443_at","ANLN"
"92747_at",-1.9148183130685,6.12571010933213,-3.79378523799937,0.000248409673673744,0.000367315654048435,-0.198078735218292,"92747_at","BPIFB1"
"126393_at",-1.88998830206883,7.50702069810937,-7.0918927115509,1.60277809466814e-10,7.74688685492738e-10,13.5675270179043,"126393_at","HSPB6"
"29070_at",1.88860278773117,6.43998762820609,9.10351765615932,6.30764189431728e-15,1.82493978196603e-13,23.5079551908703,"29070_at","CCDC113"
"1675_at",-1.88751997370773,8.79891583374019,-3.50193836701887,0.000679820601870867,0.000960574271140432,-1.14185364768738,"1675_at","CFD"
"55329_at",1.87186052272086,6.03451450070368,8.55492092697966,1.05050972205468e-13,1.71326760721083e-12,20.7476727154025,"55329_at","MNS1"
"11197_at",1.8651822404537,5.64215476552436,4.78296882863674,5.66531766935598e-06,1.03920808757131e-05,3.40056831194739,"11197_at","WIF1"
"23770_at",-1.86019758278509,7.32614775936405,-10.671427882183,1.92238210932646e-18,3.5475743358057e-16,31.4581045018075,"23770_at","FKBP8"
"85457_at",1.85488071802161,7.64665659211468,9.44616651360506,1.07903435439927e-15,4.4562378458699e-14,25.2414875057366,"85457_at","CIPC"
"51203_at",1.84713198746638,7.35955879299224,6.06868512133063,2.07827448857209e-08,5.85979003770277e-08,8.82348244357559,"51203_at","NUSAP1"
"79184_at",1.83817890930535,7.10397035005935,11.3272492268537,6.56692318479754e-20,2.98926343371984e-17,34.7736360349661,"79184_at","BRCC3"
"114876_at",1.82947443702331,8.17841244653668,11.5395069851787,2.21110661109842e-20,1.34649900452938e-17,35.8422016236051,"114876_at","OSBPL1A"
"2146_at",1.82617272595804,6.95301791444252,6.90560908758149,3.96576937564856e-10,1.71309194202415e-09,12.6823261270261,"2146_at","EZH2"
"2149_at",1.82315588882005,6.86972712294762,7.42759222588954,3.07420081204921e-11,1.85157099188521e-10,15.1825255527073,"2149_at","F2R"
"7538_at",-1.81025123025391,10.6565127873102,-6.45683659812445,3.39604791695014e-09,1.14340311523351e-08,10.5869967684811,"7538_at","ZFP36"
"80006_at",1.80548502000167,5.28738890469068,9.04764097612884,8.40786305490376e-15,2.29942145282575e-13,23.2258293286238,"80006_at","TRAPPC13"
"23234_at",1.8034010063134,7.57292394587957,7.6347789209997,1.09774222763676e-11,7.7033750568384e-11,16.1905661015754,"23234_at","DNAJC9"
"727897_at",-1.80137156106942,7.32600270661676,-4.40857488622349,2.52278658838635e-05,4.21174460644741e-05,1.97087664641068,"727897_at","MUC5B"
"983_at",1.80080455545159,7.59239730560781,6.06520973288849,2.11180720583043e-08,5.94288484740081e-08,8.80791970464314,"983_at","CDK1"
"83690_at",1.7992496055552,7.1448155183861,4.34000239000221,3.29038716485235e-05,5.41237378020039e-05,1.71755086352721,"83690_at","CRISPLD1"
"10631_at",1.79534251932224,7.30370369214732,4.22942618787689,5.02270554638026e-05,8.04669954732154e-05,1.31487705147796,"10631_at","POSTN"
"5589_at",-1.78961845149893,10.1879731293669,-12.0749746625562,1.43677230457172e-21,2.25419917047793e-18,38.524869027512,"5589_at","PRKCSH"
"11234_at",1.78932500175052,6.49461192383356,9.31728889627215,2.09753592168975e-15,7.61807195388172e-14,24.5888493142462,"11234_at","HPS5"
"55165_at",1.78770637886119,6.25035965465418,5.63013625646015,1.51544471539592e-07,3.6179917890641e-07,6.89482278251797,"55165_at","CEP55"
"29889_at",1.77412988758364,7.08317485495378,8.81025971352742,2.84463809482711e-14,6.1401018687501e-13,22.0295396498941,"29889_at","GNL2"
"54841_at",1.77327103282838,6.94379899466537,10.1036798029339,3.61154145742155e-17,3.25897864378075e-15,28.5775202012829,"54841_at","BIVM"
"84455_at",1.77094727649083,6.36623596797033,10.3621226932708,9.49648194156118e-18,1.19341065086466e-15,29.8894017120768,"84455_at","EFCAB7"
"8815_at",-1.76286583587946,11.1688258427857,-11.5252136858564,2.37908385876126e-20,1.35529401747798e-17,35.7703288815562,"8815_at","BANF1"
"6674_at",1.7611814984617,5.67322565087071,7.75107413929683,6.13882283145521e-12,4.70788644251324e-11,16.7597569154317,"6674_at","SPAG1"
"101927057_at",1.75716664937457,6.4067532094415,6.48207398336637,3.01401727793644e-09,1.02744433218922e-08,10.7033128109422,"101927057_at","LOC101927057"
"4001_at",1.75158836388765,7.62122438677845,6.56376667667595,2.04573389827425e-09,7.26127415911448e-09,11.0811226119206,"4001_at","LMNB1"
"23398_at",1.75124407898311,7.09031340420396,7.55359768695566,1.6448506590259e-11,1.08412156425234e-10,15.7946400385985,"23398_at","PPWD1"
"51157_at",-1.74886760333993,9.51270495046076,-9.74360159309857,2.32270626772323e-16,1.37113300253725e-14,26.7497101107775,"51157_at","ZNF580"
"10464_at",1.7433417545866,6.97696347459235,9.22985244564529,3.2915203385152e-15,1.09989400675604e-13,24.1464693025965,"10464_at","PIBF1"
"9493_at",1.73793193009985,5.05363194908416,5.89366544589067,4.6300307124695e-08,1.21810363619606e-07,8.04511008750139,"9493_at","KIF23"
"55769_at",1.73697994610205,7.76622601071664,6.05443840046426,2.21915567302952e-08,6.21679223281411e-08,8.75971272784415,"55769_at","ZNF83"
"891_at",1.73575045719685,7.00843779910501,5.41540015378703,3.90571098428734e-07,8.62862206666758e-07,5.97827225571394,"891_at","CCNB1"
"23333_at",1.7307591250671,8.23596099116327,8.24100128419481,5.19205278368963e-13,6.201399954583e-12,19.1805158151679,"23333_at","DPY19L1"
"10112_at",1.72261761020736,7.76850589849605,4.66899752439958,8.99406156637923e-06,1.60078509971077e-05,2.95724489663751,"10112_at","KIF20A"
"55120_at",1.72219093561571,8.50862673184347,7.6400786876222,1.06909960070592e-11,7.53075523413347e-11,16.2164543549261,"55120_at","FANCL"
"90865_at",1.71979517503491,6.63012412590168,8.38259432154366,2.52863945561958e-13,3.48331834852487e-12,19.8860415252148,"90865_at","IL33"
"216_at",1.71971724647536,9.42287918397622,5.92009635548909,4.10524452154376e-08,1.09195985948971e-07,8.1619437871377,"216_at","ALDH1A1"
"201283_at",1.71657680443093,5.20893697348905,7.75056689757112,6.15443353179359e-12,4.71809193358009e-11,16.7572693290952,"201283_at","AMZ2P1"
"203427_at",1.71475545253841,5.96876558138718,8.17500094729054,7.25512142696818e-13,8.1121128444332e-12,18.852473491813,"203427_at","SLC25A43"
"64151_at",1.71460168933756,6.21320099355908,6.70388821554919,1.04798446008435e-09,4.02454324716307e-09,11.7336216382816,"64151_at","NCAPG"
"3148_at",1.71279181646725,10.4068969902652,7.12222196367689,1.38196210669089e-10,6.80319918131607e-10,13.712425674965,"3148_at","HMGB2"
"81555_at",1.70968102975983,8.09996602673443,11.5576836559816,2.0145468041648e-20,1.28956177301599e-17,35.9335833663701,"81555_at","YIPF5"
"6241_at",1.70864966873766,8.43754085373726,4.79835133187413,5.32009942505453e-06,9.79743923607094e-06,3.46092771194915,"6241_at","RRM2"
"55015_at",1.70657739784606,7.49017424783197,7.41814763710321,3.22136283653832e-11,1.92942679367401e-10,15.1367684562163,"55015_at","PRPF39"
"10562_at",1.70085263227841,5.75859469571366,3.66537113860172,0.000389408947118967,0.000563521926724473,-0.620523547338388,"10562_at","OLFM4"
"53340_at",1.70069513368777,7.2547511665381,8.52471295444584,1.22563890740203e-13,1.93868628410989e-12,20.5964139200983,"53340_at","SPA17"
"2878_at",-1.69232905432513,10.1847843444085,-2.36161263519195,0.0200410353238499,0.0243617926279592,-4.22230408267674,"2878_at","GPX3"
"58485_at",-1.69013785188631,9.90827064996724,-9.51726240064367,7.47622491424871e-16,3.33644860879021e-14,25.6017756875508,"58485_at","TRAPPC1"
"161582_at",1.68939665472571,5.70930481296975,8.92128240551419,1.60936341908627e-14,3.89211337385633e-13,22.5885549946505,"161582_at","DNAAF4"
"2162_at",1.68880290353244,8.62974302990792,5.74544092114129,9.04862897115065e-08,2.25215207588153e-07,7.39478931714503,"2162_at","F13A1"
"79624_at",1.68757921692989,9.03214743479138,7.39651467205044,3.58531088554259e-11,2.10857043294443e-10,15.0320276723468,"79624_at","ARMT1"
"730102_at",1.68506002555419,6.06379010067026,7.4813799954622,2.35474500314401e-11,1.4710154511864e-10,15.4434478898196,"730102_at","CRYZL2P"
"9592_at",-1.6810449549132,11.4040835831598,-8.58502074498475,9.00826952132462e-14,1.51250322028536e-12,20.8984778685694,"9592_at","IER2"
"5332_at",1.68094190381919,7.22454872951219,5.99927046202382,2.85900197325445e-08,7.8327031243079e-08,8.51345204955422,"5332_at","PLCB4"
"55872_at",1.67905810021642,6.6843089212697,4.39131636027294,2.69786194890904e-05,4.48745466191253e-05,1.90686187911485,"55872_at","PBK"
"100499177_at",1.6777819299635,8.36334362854374,7.71777055775137,7.25213327343654e-12,5.41767680426966e-11,16.5965222257231,"100499177_at","THAP9-AS1"
"AFFX-HUMRGE/M10098_5_at",1.67653940893171,11.1043775410855,5.18815913947982,1.04210149243683e-06,2.136991387634e-06,5.03022682592974,"AFFX-HUMRGE/M10098_5_at",NA
"23136_at",1.6755859323433,6.44466705349302,9.32937596417071,1.97082015511986e-15,7.25228477351002e-14,24.6500300797529,"23136_at","EPB41L3"
"84263_at",1.67160585010135,6.71513821934396,9.91252967696437,9.70137459676934e-17,6.75928425987153e-15,27.6070898049041,"84263_at","HSDL2"
"29982_at",1.67071736656492,6.56225787778896,8.06255339722091,1.28137952795741e-12,1.29045124142968e-11,18.29486804754,"29982_at","NRBF2"
"401190_at",1.670436039391,4.6207565925794,7.4665834884232,2.53407240133074e-11,1.57049038179381e-10,15.3716148296619,"401190_at","RGS7BP"
"59277_at",1.66528434758099,6.25982817781908,6.11857537412295,1.65091635116365e-08,4.76099824542254e-08,9.04735329579696,"59277_at","NTN4"
"2346_at",1.66039005748249,6.25363272867385,6.5053027262924,2.7000620959182e-09,9.30016343917746e-09,10.8105398532764,"2346_at","FOLH1"
