figure_family,generator_script,direct_input_path,provenance_type,original_source,notes
analysis_across_diseases,creeds/scripts/visualization/plot_analysis_across_diseases.R,creeds/analysis/CREEDS_Manual_All_Diseases_Analysis.xlsx,live_curated_path,creeds/analysis/CREEDS_Manual_All_Diseases_Analysis.xlsx,Primary workbook used by the script
analysis_across_diseases,creeds/scripts/visualization/plot_analysis_across_diseases.R,creeds/analysis/manual_standardized_all_diseases_analysis,live_curated_path,creeds/analysis/manual_standardized_all_diseases_analysis,Supporting upstream analysis outputs preserved for traceability
biological_concordance,creeds/scripts/visualization/plot_biological_concordance.py,creeds/results/biological_concordance/all_discoveries_cmap.csv,restored_from_dump,dump/old_tahoe_cmap_analysis_mar_30/case_study_special/case_study_disease_category/about_drpipe_results/all_discoveries_cmap.csv,Direct script input
biological_concordance,creeds/scripts/visualization/plot_biological_concordance.py,creeds/results/biological_concordance/all_discoveries_tahoe.csv,restored_from_dump,dump/old_tahoe_cmap_analysis_mar_30/case_study_special/case_study_disease_category/about_drpipe_results/all_discoveries_tahoe.csv,Direct script input
biological_concordance,creeds/scripts/visualization/plot_biological_concordance.py,creeds/results/biological_concordance/open_target_cmap_recovered.csv,restored_from_dump,dump/old_tahoe_cmap_analysis_mar_30/case_study_special/case_study_disease_category/about_drpipe_results/open_target_cmap_recovered.csv,Direct script input
biological_concordance,creeds/scripts/visualization/plot_biological_concordance.py,creeds/results/biological_concordance/open_target_tahoe_recovered.csv,restored_from_dump,dump/old_tahoe_cmap_analysis_mar_30/case_study_special/case_study_disease_category/about_drpipe_results/open_target_tahoe_recovered.csv,Direct script input
case_study_autoimmune,autoimmune/scripts/visualization/generate_case_study_autoimmune.py,autoimmune/data/figure_inputs/case_study_autoimmune/20_autoimmune_results_1/20_autoimmune.xlsx,copied_from_current_tree,autoimmune/analysis/autoimmune_recovery_analysis/20_autoimmune.xlsx,Primary workbook used by the script
case_study_autoimmune,autoimmune/scripts/visualization/generate_case_study_autoimmune.py,autoimmune/data/figure_inputs/case_study_autoimmune/20_autoimmune_results_1/drug_details,copied_from_current_tree,autoimmune/analysis/autoimmune_recovery_analysis/drug_details,Per-disease recovered drug tables used for the phase-4 heatmap
case_study_endometriosis,endometriosis/scripts/visualization/generate_case_study_endometriosis.R,endometriosis/analysis/standardized_endometriosis_signature_analysis/analysis_drug_lists_19_endo_standardized_q0.05.csv,live_curated_path,endometriosis/analysis/standardized_endometriosis_signature_analysis/analysis_drug_lists_19_endo_standardized_q0.05.csv,Surviving current summary input not the original direct heatmap file
case_study_endometriosis,endometriosis/scripts/visualization/generate_case_study_endometriosis.R,endometriosis/results/case_study_heatmap_provenance/preserved_cmap_hit_tables,restored_from_dump,dump/tahoe_cmap_retired/validation_dump/old_endo_drug_hits_evidance/csv_output,Holding the surviving six-signature CMap hit tables
