"","name","DrugBank.ID","unstratified_reversal","InII_reversal","IIInIV_reversal","PE_reversal","ESE_reversal","MSE_reversal","Drug description","ATC Code","Drug class"
"1","8-azaguanine","DB01667",-0.469741202205267,-0.45338123437032,-0.49099882778768,-0.453020487411862,-0.543947882850238,-0.474212406107664,NA,NA," "
"2","Flumethasone","DB01614",-0.434094362029094,-0.424919320257929,-0.448920767055314,-0.417360940919368,-0.478418094106613,-0.366643365285033,"Corticosteroids, moderately potent (group II)","D07AB03","Corticosteroids, dermatological preparations"
"3","Acetazolamide","DB00819",-0.371207499046422,NA,NA,-0.376782474853765,NA,-0.376071233447517,"Sulfonamides","G01AE10","Gynecological antiinfectives and antiseptics"
"4","Acetylsalicylic acid","DB00945",-0.482041387008534,-0.511156855066162,-0.475882832307012,-0.505648312756881,-0.474509293520752,-0.508155015712714,"Platelet aggregation inhibitors excl. heparin","B01AC06","Antithrombotic agents"
"5","Adipiodone","DB04711",-0.583765659794744,-0.582394112327349,-0.568438241562637,-0.563081164280092,-0.488555002603044,-0.498321064284217,NA,NA," "
"6","Albendazole","DB00518",-0.306977945140405,-0.311716640763181,-0.332753450022247,-0.308226323248905,-0.515560455431535,-0.355608221163411,"Benzimidazole derivatives","P02CA03","Anthelmintics"
"7","Alfuzosin","DB00346",-0.413146142527758,-0.329890681866733,-0.3890877446179,-0.268557275410654,-0.441000679934943,-0.324618757683312,"Alpha-adrenoreceptor antagonists","G04CA01","Urologicals"
"8","Alsterpaullone","DB04014",-0.458298211406014,-0.481087600250627,-0.485625789688905,-0.484747470032206,-0.50643602130836,-0.513550348062573,NA,NA," "
"9","Amiloride","DB00594",-0.3929867379055,-0.389834771300419,-0.4421369967998,-0.347860252156086,-0.396021914086481,-0.374270408497808,"Other potassium-sparing agents","C03DB01","Diuretics"
"10","Aminocaproic acid","DB00513",-0.405013919437381,-0.430698418552058,-0.412883535542232,-0.437204865906196,NA,-0.487290200432815,"Amino acids","B02AA01","Antihemorrhagics"
"11","Aminohippuric acid","DB00345",-0.37323832655256,-0.434309838812154,-0.411975512465623,-0.406749296648854,NA,-0.381103313049203,"Tests for renal function and ureteral injuries","V04CH30","Diagnostic agents"
"12","Aminophenazone","DB01424",-0.441914011941661,-0.369479641654635,-0.43531677895905,-0.366124365535988,-0.433129611217017,-0.46315501392695,"Pyrazolones","N02BB53","Analgesics"
"13","Aminophylline","DB01223",-0.360336586790542,-0.394578811140246,-0.378758399852097,-0.384186734164172,-0.37402837985584,-0.382051305561914,"Xanthines","R03DA55","Drugs for obstructive airway diseases"
"14","Amiodarone","DB01118",-0.408614353231676,-0.396628282529298,-0.424803132307953,-0.391089927371889,-0.436499322576955,-0.388672115881243,"Antiarrhythmics, class III","C01BD01","Cardiac therapy"
"15","Amoxapine","DB00543",-0.388088281162644,-0.209497672218028,-0.367291342845915,-0.199480931392953,NA,-0.319681481004561,"Non-selective monoamine reuptake inhibitors","N06AA17","Psychoanaleptics"
"16","Amoxicillin","DB01060",-0.437263684002426,-0.458185151793241,-0.441005564396593,-0.45351193633035,-0.439505741696777,-0.39808615132745,"Combinations for eradication of Helicobacter pylori","A02BD04","Drugs for acid related disorders"
"17","Apomorphine","DB00714",-0.540364315492284,-0.509650346971842,-0.533215954269128,-0.490840334427315,-0.469250275914069,-0.506485804343623,"Drugs used in erectile dysfunction","G04BE07","Urologicals"
"18","Apramycin","DB04626",-0.38306700887365,-0.398697550110482,-0.372271460613836,-0.410740968383453,NA,-0.446749021891775,NA,NA," "
"19","Arachidonic acid","DB04557",NA,-0.239830917727474,NA,-0.223733416840749,NA,NA,NA,NA," "
"20","Astemizole","DB00637",-0.43558366518679,-0.408205480316347,-0.460499176265991,-0.413829705385666,-0.479315344123587,-0.421523000676239,"Other antihistamines for systemic use","R06AX11","Antihistamines for systemic use"
"21","Atropine","DB00572",-0.255336086563969,NA,-0.283957234598763,NA,-0.417083282915949,-0.320431647038045,"Anticholinergics","S01FA01","Ophthalmologicals"
"22","Azacitidine","DB00928",-0.501663527077723,-0.457583923779607,-0.526074030120032,-0.475896526878193,-0.597617780392066,-0.506983638044569,"Pyrimidine analogues","L01BC07","Antineoplastic agents"
"23","Azathioprine","DB00993",-0.312707694962794,-0.379760191001783,-0.35476772708401,-0.38472702541141,-0.39382339317823,-0.330325302506095,"Other immunosuppressants","L04AX01","Immunosuppressants"
"24","Azlocillin","DB01061",-0.431200900298343,-0.44382524853272,-0.481815681528701,-0.457196506520019,-0.509768413038732,-0.392596960117376,"Combinations of penicillins, incl. beta-lactamase inhibitors","J01CR50","Antibacterials for systemic use"
"25","Beclometasone","DB00394",-0.413100961324616,-0.432453110413311,-0.41295106144573,-0.439214209054676,NA,-0.43457649637354,NA,NA," "
"26","Benzonatate","DB00868",-0.385919207044395,NA,-0.389579881172795,-0.399316834135342,NA,-0.381290769302647,"Other cough suppressants","R05DB01","Cough and cold preparations"
"27","Benzthiazide","DB00562",-0.352440226346023,-0.34852678282383,-0.400882968644767,-0.331096527569766,-0.38792437980876,-0.328852999700211,"Sulfonamides","G01AE10","Gynecological antiinfectives and antiseptics"
"28","Benzylpenicillin","DB01053",-0.410534254981976,-0.422131247149552,-0.41829074418132,-0.476570810354747,-0.454320845180522,-0.46201490826685,"Combinations of penicillins, incl. beta-lactamase inhibitors","J01CR50","Antibacterials for systemic use"
"29","Bepridil","DB01244",-0.613495113860738,-0.539188148737981,-0.647260215567471,-0.512888323528128,-0.644752006037742,-0.522949897681348,"Phenylalkylamine derivatives","C08EA02","Calcium channel blockers"
"30","Berberine","DB04115",-0.426725737197792,-0.41964014123051,-0.4036165003714,-0.422984508337126,-0.39686031391837,-0.424525823303607,NA,NA," "
"31","Betahistine","DB06698",-0.42822280721131,-0.401094690962109,-0.483062617593172,-0.39029353807346,-0.406579996133112,-0.379968993597909,"Antivertigo preparations","N07CA01","Other nervous system drugs"
