"","logFC","AveExpr","t","P.Value","adj.P.Val","B","probe.id"
"2354_at",-2.98943681901223,8.53712444625091,-3.96882774126773,0.000339030539253611,0.00105824513194249,-0.0606784191414675,"2354_at"
"2353_at",-2.66331124530507,9.62351369381291,-3.71445149238412,0.000702489681950773,0.00187489233160647,-0.751096976864218,"2353_at"
"56547_at",2.42700731587756,7.2437922066852,2.60268124801888,0.0134451959447823,0.0219871781680441,-3.48814194622394,"56547_at"
"341640_at",2.37792234385531,6.82168910191789,5.41277046242527,4.51086697800831e-06,4.9680531704358e-05,4.08556424731128,"341640_at"
"AFFX-HUMRGE/M10098_M_at",2.36410213588565,10.2512588757465,5.57228763606759,2.77468043921617e-06,3.6294095860092e-05,4.55516466426313,"AFFX-HUMRGE/M10098_M_at"
"1522_at",2.30615094078019,7.87799459981615,11.2298476975811,3.44229830643332e-13,1.66049134632164e-09,19.8355714539782,"1522_at"
"10321_at",2.26898977542377,9.76228696488604,3.83855820720903,0.000493266248436336,0.00142030725793786,-0.416508098361454,"10321_at"
"5321_at",2.16591985229293,6.71656540028976,5.10957578136054,1.13408074154672e-05,8.77948220326646e-05,3.19578131697597,"5321_at"
"93035_at",2.1297287416612,5.34018812748824,3.11703414843477,0.0036265504504845,0.00714772052609684,-2.2885425518948,"93035_at"
"132203_at",2.10501298292176,4.8317708112446,6.42812947377181,2.05807543125011e-07,8.11282857239048e-06,7.07270504323709,"132203_at"
"401548_at",2.08212916578412,7.14803883364181,6.81036571333063,6.5111813657923e-08,4.5520491159348e-06,8.18702389791663,"401548_at"
"155465_at",2.05597901496479,7.68856953648158,5.58451355538145,2.67321127556911e-06,3.55110634038635e-05,4.59117967200938,"155465_at"
"101927057_at",2.03814015707465,6.16137141821391,6.20769425534236,4.01255849869938e-07,1.13526586032263e-05,6.42622095550723,"101927057_at"
"AFFX-HUMRGE/M10098_5_at",2.02596404190002,10.704286520096,3.55394354958619,0.0011033455362987,0.00267974061640115,-1.17679289625633,"AFFX-HUMRGE/M10098_5_at"
"59277_at",1.97881566677187,5.90106131632215,5.91230186746779,9.84831029465011e-07,1.89395992573644e-05,5.55707586941376,"59277_at"
"122060_at",1.9585707138289,5.48436578329334,4.44355890162439,8.41254016888253e-05,0.000367034020914568,1.26938261482517,"122060_at"
"642273_at",1.95128343714245,9.28484076611783,3.14563607093993,0.00336133266181118,0.00671676307136282,-2.21811732867667,"642273_at"
"440515_at",1.94245746616187,5.87100418716763,7.45383814487347,9.63224177564428e-09,1.4093345752307e-06,10.0360038486824,"440515_at"
"5169_at",1.88913799242021,8.86177244119231,2.63299531992079,0.012485321787212,0.0206232829198654,-3.42126392493369,"5169_at"
"57544_at",1.87781070861867,6.26224503720591,4.94232111211376,1.88243059982387e-05,0.000123144269100868,2.70748981052153,"57544_at"
"126393_at",-1.87529250198215,8.58013905026005,-5.33741365715359,5.67405532947605e-06,5.69323061219344e-05,3.86399741483533,"126393_at"
"9592_at",-1.87195439523992,11.6727051502896,-6.31678692147396,2.88262425460726e-07,9.53804639134804e-06,6.74645047388412,"9592_at"
"25950_at",1.8669313463632,7.72402470433551,7.13765624110324,2.45194553693476e-08,2.517442911847e-06,9.13229491598633,"25950_at"
"1521_at",-1.85177715042844,9.99762404115378,-4.01907282278442,0.000293096239354999,0.000942213334423699,0.077739543956965,"1521_at"
"2635_at",1.84731834716631,7.89826552984509,4.5437243691933,6.24143337393253e-05,0.000293724634042073,1.55547589539508,"2635_at"
"9659_at",1.83612084623911,4.96990331848533,6.57746283505724,1.31127707671159e-07,6.44129487754443e-06,7.50919749841552,"9659_at"
"8395_at",1.83161390566955,6.71699316468449,5.36998680981428,5.13847099272303e-06,5.37274713837429e-05,3.9597433323951,"8395_at"
"10210_at",1.82333686124656,7.27170721753899,7.46231317230497,9.39526283344519e-09,1.39443777494124e-06,10.0600864205635,"10210_at"
"85457_at",1.80058476593079,7.47784209869316,5.47531281204954,3.72847453839332e-06,4.40958847831691e-05,4.26960280796564,"85457_at"
"7980_at",1.79935503303705,9.13176166462857,2.90576952179278,0.00629461136242369,0.0114145555194659,-2.79722167915804,"7980_at"
"3726_at",-1.79875131721014,10.0154507056128,-5.86362846563552,1.14214000180792e-06,2.06310368580542e-05,5.41367600964314,"3726_at"
"9383_at",1.7982019228219,7.07745885371977,6.38188086070384,2.36704275641622e-07,8.75207650224366e-06,6.93726509808237,"9383_at"
"4065_at",1.79792277541781,6.21597834689135,5.98742591879246,7.83569908287435e-07,1.66155755707659e-05,5.77832896363769,"4065_at"
"4693_at",1.78619243584837,7.73481680333004,4.39926071551601,9.5957127968466e-05,0.00040586120365601,1.14338515779948,"4693_at"
"57639_at",1.780314115975,7.25866695681915,3.98065783132799,0.000327621249928971,0.00103087460576729,-0.0281449451175657,"57639_at"
"6581_at",1.76454810247534,4.98981401850029,4.5782511877159,5.62951748892973e-05,0.000272870412312439,1.65445215684825,"6581_at"
"5929_at",1.75535566321331,5.76542888222251,10.7788237845636,1.06233691680961e-12,2.94801910139082e-09,18.7706581366927,"5929_at"
"2532_at",-1.75380947880363,9.36251056002864,-3.67478196768067,0.000785912614826576,0.0020528735019265,-0.857072915883453,"2532_at"
"28815_at",-1.74623842928346,7.64987595553409,-8.48574588342086,4.9160690296934e-10,2.51751895010599e-07,12.9066900353014,"28815_at"
"5723_at",1.73923449254855,5.56657247355025,5.31221868203158,6.12620041714831e-06,5.933290276353e-05,3.78996983123504,"5723_at"
"5320_at",-1.73824023889977,8.74816490818316,-2.82781050228203,0.007680536722967,0.0135370946681514,-2.97951959945273,"5320_at"
"8815_at",-1.73786918791736,11.1687579800739,-11.2434680207501,3.32846856587022e-13,1.66049134632164e-09,19.8672806027899,"8815_at"
"3600_at",1.72894588969588,7.92490351235653,4.28335875943912,0.000135213266711808,0.000521897221655298,0.815390132612488,"3600_at"
"55227_at",1.72425807831447,8.1645060248778,3.66436508492527,0.000809360996013634,0.00209889184145655,-0.884820061809757,"55227_at"
"80006_at",1.71903006576353,4.89146714090192,6.53626358652133,1.48471936275451e-07,6.88430046177386e-06,7.38890905137664,"80006_at"
"57035_at",1.71873750922876,9.3252022498146,4.02294968782561,0.000289815984762175,0.000932692950804148,0.0884456510527869,"57035_at"
"79624_at",1.7155106555959,8.41558451649277,5.33589154704832,5.70040096092664e-06,5.71267188276034e-05,3.8595243817761,"79624_at"
"55015_at",1.71448192401039,7.25984570158538,5.02029887030755,1.48664443021114e-05,0.00010588464710864,2.93485862244591,"55015_at"
"3081_at",1.71221011782042,8.92393356065005,4.25128687516806,0.000148619035991561,0.000559307795930762,0.725080615353745,"3081_at"
"257218_at",1.70286079654746,6.53584147496678,5.26740798165677,7.02089058061355e-06,6.43170153219305e-05,3.65838021792784,"257218_at"
"55153_at",1.70194123781177,7.69892348823386,7.12919356833102,2.51436123189474e-08,2.53715150118876e-06,9.10797253799674,"55153_at"
"23461_at",1.70159358349122,7.19086547024876,4.92029844000712,2.0120468028548e-05,0.000128989308715668,2.64337464718847,"23461_at"
"7538_at",-1.69731137293516,11.4560683010694,-5.05850326778444,1.32410379266924e-05,9.77381665899493e-05,3.04644122276417,"7538_at"
"5589_at",-1.69640127459077,10.3102226276091,-8.71225395191142,2.60188752533861e-10,1.96286962399613e-07,13.5187679010896,"5589_at"
"1047_at",1.69441690703945,4.67790498251902,4.63138990562296,4.80157948053235e-05,0.000242255059308435,1.80712002070632,"1047_at"
"92747_at",-1.68572149244039,5.89612889838533,-2.43966120487777,0.0198747349831695,0.0309615994672784,-3.83869324770653,"92747_at"
"972_at",-1.68083644188004,9.65454970862994,-6.62563847432394,1.13414905673681e-07,5.97221318205573e-06,7.64971592242436,"972_at"
"55179_at",1.68028418677447,7.97384511936258,5.92743467541433,9.40496619303357e-07,1.84630333110081e-05,5.60165269376089,"55179_at"
"84078_at",1.67769481211578,5.20288713444842,7.31905151825138,1.43285067222908e-08,1.80064497975095e-06,9.65198536611515,"84078_at"
"7699_at",1.67429671065646,6.96985287828935,5.21702365681496,8.18315443186304e-06,7.12080439177071e-05,3.51054574081752,"7699_at"
"143662_at",1.66822410939697,5.64185820818109,5.02373287616193,1.47125778647619e-05,0.000105044421394836,2.94488345757415,"143662_at"
"11234_at",1.66735343980171,6.18688642269086,7.32776694359727,1.39644946892871e-08,1.77670005723825e-06,9.67687289240557,"11234_at"
"169355_at",1.65861588604313,7.29183096786307,2.11644369954044,0.041445218860296,0.0591365187471652,-4.48494527012581,"169355_at"
"25934_at",1.65511740827101,8.40339400122545,5.87895744789428,1.09005530085673e-06,2.00465361775846e-05,5.45884101641293,"25934_at"
"84455_at",1.65415180484217,6.00913142596115,6.52079229397428,1.55566442473546e-07,7.01676755579977e-06,7.34371056911727,"84455_at"
"1657_at",1.65241881059215,7.43438737868058,5.39195501502486,4.80603557848607e-06,5.13546336931188e-05,4.02434049944791,"1657_at"
"55314_at",1.65226983921597,5.73455430897295,5.97237185348719,8.20291193204861e-07,1.71347885695013e-05,5.73400086623878,"55314_at"
"126231_at",1.64358537400334,6.70938394171072,6.36690250493978,2.47679592792884e-07,8.85422125439692e-06,6.89337666520125,"126231_at"
"8644_at",1.64271557027771,7.72851528240544,6.52671884165146,1.52809298807847e-07,6.9558792817332e-06,7.36102636685808,"8644_at"
"10569_at",1.6401454053891,6.87540952409674,7.9619717995854,2.19235968012744e-09,6.8042872254137e-07,11.4657195268791,"10569_at"
"122553_at",1.63940453049455,6.79289769769736,5.19639457480307,8.71259582574911e-06,7.35953867606783e-05,3.45005799304795,"122553_at"
"81555_at",1.63306049398721,7.88584072524021,7.61253334205487,6.04897925558203e-09,1.12642991883038e-06,10.4856626281496,"81555_at"
"5534_at",1.63117193825767,6.4273125979352,8.2841211892183,8.70734900247556e-10,3.71586118680645e-07,12.3561425368282,"5534_at"
"3459_at",1.62535940457852,9.04746995114151,5.44019409135223,4.14943109521548e-06,4.72649548566017e-05,4.16624681456165,"3459_at"
"161582_at",1.62335490326847,5.10304273531602,7.86769303623115,2.87909169271861e-09,7.95320095135009e-07,11.2027128779962,"161582_at"
"114876_at",1.62263952757987,7.71907455621928,9.01720148925453,1.11602304745459e-10,1.14303080520299e-07,14.3318001467204,"114876_at"
"9044_at",1.6183390742196,7.77142371405865,4.86822197297397,2.35483402477235e-05,0.000144118375152186,2.49194980824911,"9044_at"
"64431_at",1.6152878227069,6.87209961570435,6.12098832241145,5.22086290440543e-07,1.33015119071941e-05,6.17136761113542,"64431_at"
"9120_at",1.61419950595246,6.64442653970232,4.07599377270283,0.000248379423373978,0.000829578364322936,0.235291249271731,"9120_at"
"55601_at",1.61331058728731,6.88688387287693,6.1578596522335,4.66779320305498e-07,1.24843468385749e-05,6.27977579548512,"55601_at"
"166815_at",1.61159912529054,6.62269082009521,6.27533419156209,3.26841070404833e-07,1.02224863339222e-05,6.62483164574448,"166815_at"
"54841_at",1.61056356367185,6.5358056177824,6.7037781644527,8.96586901216522e-08,5.29270492349258e-06,7.87729854339685,"54841_at"
"29070_at",1.60958289308963,5.83796343718804,7.34079479540455,1.34377233620424e-08,1.75323774107055e-06,9.71406048967341,"29070_at"
"80157_at",1.60714508053561,6.34759051695694,4.61614379241178,5.02597245172343e-05,0.00025102062773707,1.76327704538704,"80157_at"
"50484_at",1.60695199310323,6.57508084158436,6.95650872999631,4.20520704497857e-08,3.57425149831291e-06,8.61024394764371,"50484_at"
"54762_at",1.60665930531505,8.97835074192327,2.68459406351486,0.0109957533911567,0.0184650772638509,-3.30625152621766,"54762_at"
"1499_at",1.60552247068454,8.36361605231379,9.93034467568193,9.50477727129063e-12,1.62246548020931e-08,16.6882546893517,"1499_at"
"10438_at",1.60467700501348,5.57527068933319,4.89046127121594,2.20188286750432e-05,0.000136906864946347,2.55658300949536,"10438_at"
"57678_at",1.600904833102,5.78730815160754,8.41166799310625,6.06155897493934e-10,2.95630890577756e-07,12.7050334011375,"57678_at"
"64224_at",1.60082501276078,7.27300813436513,7.25101671201701,1.75206438793107e-08,2.06260269668851e-06,9.45744516943684,"64224_at"
"23770_at",-1.60021120326186,7.65227167824295,-6.50792625951614,1.61725613082951e-07,7.15504850624444e-06,7.3061120991491,"23770_at"
"55783_at",1.59958258601639,7.09548294616453,6.27772799122435,3.24478240580819e-07,1.02098498925614e-05,6.63185696948341,"55783_at"
"149371_at",1.5963960953001,7.03986400935772,6.44733444480157,1.94201291575552e-07,7.86169813563953e-06,7.12891309192734,"149371_at"
"53340_at",1.59609567253781,6.6505502244862,7.60164263353109,6.24469875025555e-09,1.14211079643067e-06,10.454892340422,"53340_at"
"51449_at",1.5897595640562,7.50228687613213,5.52782951954677,3.17720473490195e-06,3.96957048189126e-05,4.42422318077977,"51449_at"
"203427_at",1.58767992081445,6.0834103660364,4.74170700281783,3.4477791208664e-05,0.000190003517653557,2.12527688289994,"203427_at"
"5264_at",1.58648987887159,9.19318678970166,8.39922457853656,6.2790374729541e-10,2.9911582231626e-07,12.6710889428472,"5264_at"
"3561_at",-1.58490860034611,8.23686481348007,-5.2646666326953,7.07966921437803e-06,6.47410465121962e-05,3.65033326875423,"3561_at"
"26060_at",1.57887184971369,7.1536335721336,7.05113055132665,3.17146219906976e-08,2.92539661257672e-06,8.88330210313956,"26060_at"
"5325_at",1.57704262297351,8.07495699291757,4.3298159547686,0.000117875690061152,0.000472225433557264,0.946561174122301,"5325_at"
"8910_at",1.57141966500409,7.34163769349554,3.98498879275457,0.00032353870028555,0.00102099937570919,-0.0162257223979907,"8910_at"
"85463_at",1.57027693008692,6.41342245067009,6.43732875976333,2.00163462924835e-07,7.95172826806415e-06,7.0996315572947,"85463_at"
"11096_at",1.56708945041602,8.06655288267902,5.27867869139631,6.7842951339327e-06,6.2996147562773e-05,3.69146821946841,"11096_at"
"10464_at",1.5662401393435,6.62995495291479,5.94865933320712,8.81665448319088e-07,1.77776671242053e-05,5.66416783970172,"10464_at"
"55791_at",1.56327337451305,6.25627013925395,5.80590565988296,1.36165679975725e-06,2.29187985918057e-05,5.24358215205966,"55791_at"
"8803_at",1.56150945697905,8.42454511657616,5.09731881907481,1.17705201125034e-05,9.03362060638886e-05,3.15992362760506,"8803_at"
"6649_at",-1.5594105569067,7.99737389163261,-4.29397430389243,0.000131043242676104,0.00051090403178099,0.845326412754686,"6649_at"
"79101_at",1.55819732404648,8.83828511990801,5.30840811304888,6.19764282936958e-06,5.97423603373207e-05,3.77877613378146,"79101_at"
"51130_at",1.55547976747816,7.64872513424166,6.61144303869427,1.18367891033755e-07,6.1237564982997e-06,7.60832667813435,"51130_at"
"9126_at",1.55502794681817,6.243250700331,7.54641243923527,7.34053462442194e-09,1.23626160811196e-06,10.2986444627224,"9126_at"
"51175_at",1.55485493543519,6.40256548940449,4.71096747021135,3.78159493136018e-05,0.000203014105639749,2.03646684497446,"51175_at"
"84263_at",1.5547924895717,6.45737159957109,5.96160604093274,8.47606191582944e-07,1.72942271475715e-05,5.70229706470851,"84263_at"
"64135_at",1.55442693003224,7.13155951216358,7.21806826891475,1.93161513081937e-08,2.21344124580858e-06,9.36306723970545,"64135_at"
