"","logFC","AveExpr","t","P.Value","adj.P.Val","B","probe.id","symbols"
"2354_at",-3.35191569889798,8.21675378297101,-7.85838119913742,3.45728937741624e-10,2.52835114626899e-09,13.0368793408627,"2354_at","FOSB"
"2353_at",-3.1201136449864,9.03918886414928,-7.21900066583441,3.28155399774475e-09,1.60466345404162e-08,10.8153405679692,"2353_at","FOS"
"3726_at",-2.47535168909421,8.94965098571825,-10.7412523022873,2.13253492734221e-14,1.89103227063541e-12,22.6094081943542,"3726_at","JUNB"
"1522_at",2.34426637701935,8.53090874505666,17.3005230778732,2.43734406208435e-22,4.99265557677358e-18,40.4636472761424,"1522_at","CTSZ"
"AFFX-HUMRGE/M10098_5_at",2.24038293866025,11.5385903927888,8.87045575480155,1.04133851967733e-11,1.63830862035872e-10,16.4973250177674,"AFFX-HUMRGE/M10098_5_at",NA
"10403_at",2.20809614482344,6.96455655412655,8.70609121003913,1.82775494659337e-11,2.56261001547012e-10,15.941449260568,"10403_at","NDC80"
"2052_at",-2.20619834615442,9.67626669249403,-11.4883232957625,2.02963124734298e-15,3.88571223629465e-13,24.9265028673115,"2052_at","EPHX1"
"79801_at",2.18177249090619,5.7955927559142,8.89451149186385,9.59249466544347e-12,1.5399111342237e-10,16.5784558375001,"79801_at","SHCBP1"
"10926_at",2.169211314516,7.70316241457206,10.10105383639,1.69302821221405e-13,8.25714045214108e-12,20.5656243516954,"10926_at","DBF4"
"7153_at",2.15981259831904,8.65503206768198,7.13742567983567,4.37876082485377e-09,2.04269042897528e-08,10.5307980465644,"7153_at","TOP2A"
"132203_at",2.15451264972857,5.51200874519126,6.95981952046593,8.21065610000581e-09,3.47422184574507e-08,9.91085557365119,"132203_at","SNTN"
"5125_at",2.13405801729972,8.93240494377154,8.38624219328518,5.50264678509902e-11,6.0276051735812e-10,14.8524491253906,"5125_at","PCSK5"
"9126_at",2.1277643239913,6.68900172066724,13.6830782317658,3.06585284908174e-18,4.83084075081465e-15,31.3001685109207,"9126_at","SMC3"
"54443_at",2.11378735038568,6.49921199196662,8.73544583023702,1.65271494469301e-11,2.36908417964253e-10,16.0409192579974,"54443_at","ANLN"
"11197_at",2.10590334352529,6.73598681753351,4.92717004143034,1.02004979355785e-05,1.94170615846474e-05,2.92317218708909,"11197_at","WIF1"
"7538_at",-2.10266102347737,10.1270980255913,-7.42676047584938,1.57587188304814e-09,8.7055446743145e-09,11.5391549842896,"7538_at","ZFP36"
"83540_at",2.09881825761992,6.74137659799174,9.28194948252995,2.57752626254931e-12,5.78721002051119e-11,17.8768089295221,"83540_at","NUF2"
"3832_at",2.07836427710851,6.51226855561033,8.00219183868405,2.09106892565617e-10,1.69570292451073e-09,13.5335192423843,"3832_at","KIF11"
"23234_at",2.06030697568481,7.76606191076135,10.3963862455037,6.46898015912778e-14,4.26079066172262e-12,21.5149794033619,"23234_at","DNAJC9"
"4001_at",2.02386193764382,8.38048309857811,10.9129237802059,1.23430636730422e-14,1.34486870360956e-12,23.1484172846143,"4001_at","LMNB1"
"8564_at",2.02144824847867,8.76237486918288,5.34357170395861,2.44050246991062e-06,5.23468613546065e-06,4.31751839818624,"8564_at","KMO"
"23770_at",-2.01683408270415,7.15684109770178,-10.916447502067,1.22057835345198e-14,1.34151947822658e-12,23.1594402864558,"23770_at","FKBP8"
"155465_at",2.01291141613001,8.24189040470207,5.52367312212754,1.30493499552031e-06,2.96772382016633e-06,4.92962667430875,"155465_at","AGR3"
"9787_at",2.00955928963181,7.16845316469184,7.18667671670038,3.67880567953356e-09,1.77393256919881e-08,10.7026101331006,"9787_at","DLGAP5"
"727897_at",-2.004808262105,7.39273269997103,-5.17497458369072,4.36880544672003e-06,8.89657130635382e-06,3.7491113450304,"727897_at","MUC5B"
"401190_at",2.00158645477039,5.20387603614557,8.06748712035907,1.66508251602817e-10,1.41899534307095e-09,13.7585475323206,"401190_at","RGS7BP"
"9383_at",1.99895187951859,7.39846216212693,7.98960958080202,2.1849836315578e-10,1.75863279798939e-09,13.4901224831186,"9383_at","TSIX"
"9592_at",-1.96732150090574,11.3722686370313,-10.8517590224671,1.49915161514958e-14,1.51199782910805e-12,22.9568188755969,"9592_at","IER2"
"51473_at",1.96333577121556,7.9053061368919,7.90127264465599,2.97537701061328e-10,2.25231421601635e-09,13.1851436239365,"51473_at","DCDC2"
"AFFX-HUMRGE/M10098_M_at",1.95556653964338,11.0974677696759,8.44461886267691,4.49685673593595e-11,5.19535326446204e-10,15.0518880006232,"AFFX-HUMRGE/M10098_M_at",NA
"983_at",1.90897557407953,8.29786239091063,9.7263654132106,5.82612701504673e-13,1.97586731417578e-11,19.3455598251711,"983_at","CDK1"
"2146_at",1.90518195064784,7.37577959769718,8.84641411191666,1.13046406068586e-11,1.75092179884768e-10,16.4161835668148,"2146_at","EZH2"
"201283_at",1.90027010778697,5.38813813307071,9.63630786165792,7.8606356242451e-13,2.43596460101417e-11,19.0497835500233,"201283_at","AMZ2P1"
"9493_at",1.88523058318046,5.63954904525989,8.01764151249342,1.98128628514708e-10,1.63012869424066e-09,13.5867908453333,"9493_at","KIF23"
"55872_at",1.88043704930718,7.63347994926425,6.97261592906272,7.84685853609647e-09,3.34377054822967e-08,9.95553582232607,"55872_at","PBK"
"85457_at",1.86232337055259,7.79030400223511,9.36439877177646,1.9527909412474e-12,4.72787737935039e-11,18.1510045912928,"85457_at","CIPC"
"29982_at",1.8585759085053,6.31242916475595,9.10444747988642,4.69699468982163e-12,9.05962704579155e-11,17.2839611730701,"29982_at","NRBF2"
"203427_at",1.85727395157999,5.78170493022008,10.1234784791192,1.57316862318413e-13,7.80046598894933e-12,20.6380948811036,"203427_at","SLC25A43"
"55165_at",1.85509908772152,7.04119549404812,8.19941328830707,1.05191419203937e-10,1.0008086534944e-09,14.2122566113625,"55165_at","CEP55"
"25975_at",1.85301920199235,8.83360576772786,9.09537093769326,4.84380017696851e-12,9.2470086509807e-11,17.2535544283519,"25975_at","EGFL6"
"114876_at",1.84898392673792,8.50635997648783,10.7894114785902,1.82857780549694e-14,1.71034647341549e-12,22.7610081053009,"114876_at","OSBPL1A"
"83690_at",1.84430707115758,8.43735219106193,7.80942085252475,4.10411668294034e-10,2.88796723233768e-09,12.8674961277701,"83690_at","CRISPLD1"
"2346_at",1.84338181168903,6.79652190240564,8.08818598793222,1.54918339440704e-10,1.34463867165397e-09,13.8298188077038,"2346_at","FOLH1"
"79184_at",1.83904221324984,7.22120426364398,10.7914448910418,1.816755596044e-14,1.71034647341549e-12,22.767402371471,"79184_at","BRCC3"
"57103_at",1.83858587766844,6.8299428320156,10.8921192031476,1.31860657016889e-14,1.40408310169122e-12,23.0833024164677,"57103_at","TIGAR"
"64151_at",1.83739083152046,6.73336356959652,8.07919865834623,1.59847433239829e-10,1.37923960509042e-09,13.7988770485565,"64151_at","NCAPG"
"29070_at",1.83520595036038,6.75681819215024,7.88595053177612,3.13924268624187e-10,2.34344924143508e-09,13.1321926114508,"29070_at","CCDC113"
"10125_at",1.83323196571128,6.99520197769294,7.14986384606833,4.19029286939033e-09,1.97364817513432e-08,10.5741936794437,"10125_at","RASGRP1"
"10562_at",1.83158945025419,6.5918040537953,3.41568983475483,0.00129840429406133,0.00179681891363007,-1.7311080065779,"10562_at","OLFM4"
"92747_at",-1.8263011317065,6.1968513149006,-3.78859365884264,0.000420078679667839,0.000616749689959576,-0.661544488813764,"92747_at","BPIFB1"
"4316_at",1.81672839648136,11.5777949359415,3.82672906570298,0.000373188307269057,0.000552061044709999,-0.548709216650921,"4316_at","MMP7"
"51203_at",1.81416618733682,8.05410101277505,8.20853689177964,1.01908111276081e-10,9.77745082613233e-10,14.2435848369591,"51203_at","NUSAP1"
"2149_at",1.80912297801827,6.89609306726932,6.3110025663587,8.17934316134776e-08,2.53128365790977e-07,7.64716647172009,"2149_at","F2R"
