"desc_2","n"
"Ophthalmologicals",26
"Antibacterials for systemic use",24
"Gynecological antiinfectives and antiseptics",17
"Psycholeptics",16
"Psychoanaleptics",12
"Antiinflammatory and antirheumatic products",11
"Drugs used in diabetes",9
"Cardiac therapy",9
"Antineoplastic agents",9
"Antifungals for dermatological use",9
"Antihistamines for systemic use",7
"Anthelmintics",7
"Vasoprotectives",6
"Drugs for obstructive airway diseases",6
"Urologicals",5
"Topical products for joint and muscular pain",5
"Stomatological preparations",5
"Otologicals",5
"Nasal preparations",5
"Calcium channel blockers",5
"Antipruritics, incl. Antihistamines, anesthetics, etc.",5
"Antidiarrheals, intestinal antiinflammatory/antiinfective agents",5
"Sex hormones and modulators of the genital system",4
"Peripheral vasodilators",4
"Lipid modifying agents",4
"Immunosuppressants",4
"Diuretics",4
"Corticosteroids, dermatological preparations",4
"Beta blocking agents",4
"Anesthetics",4
"Analgesics",4
"All other therapeutic products",4
"Other nervous system drugs",3
"Other gynecologicals",3
"Other dermatological preparations",3
"Cough and cold preparations",3
"Contrast media",3
"Antivirals for systemic use",3
"Antithrombotic agents",3
"Antiprotozoals",3
"Antimycobacterials",3
"Antihypertensives",3
"Antiepileptics",3
"Antibiotics and chemotherapeutics for dermatological use",3
"Agents acting on the renin-angiotensin system",3
"Muscle relaxants",2
"Drugs for functional gastrointestinal disorders",2
"Drugs for constipation",2
"Antimycotics for systemic use",2
"Anti-parkinson drugs",2
"Anti-acne preparations",2
"Vitamins",1
"Thyroid therapy",1
"Throat preparations",1
"Preparations for treatment of wounds and ulcers",1
"Ophthalmological and otological preparations",1
"Medicated dressings",1
"Endocrine therapy",1
"Drugs for treatment of bone diseases",1
"Drugs for acid related disorders",1
"Diagnostic agents",1
"Corticosteroids for systemic use",1
"Blood substitutes and perfusion solutions",1
"Antiseptics and disinfectants",1
"Antipsoriatics",1
"Antihemorrhagics",1
"Antigout preparations",1
"Antiemetics and antinauseants",1
