"desc_2","n"
"Ophthalmologicals",38
"Antibacterials for systemic use",29
"Gynecological antiinfectives and antiseptics",24
"Psycholeptics",17
"Psychoanaleptics",15
"Drugs used in diabetes",12
"Cardiac therapy",12
"Antineoplastic agents",12
"Antiinflammatory and antirheumatic products",12
"Antihistamines for systemic use",9
"Antifungals for dermatological use",9
"Drugs for obstructive airway diseases",8
"Diuretics",8
"Topical products for joint and muscular pain",7
"Sex hormones and modulators of the genital system",7
"Nasal preparations",7
"Lipid modifying agents",7
"Beta blocking agents",7
"Antihypertensives",7
"Antidiarrheals, intestinal antiinflammatory/antiinfective agents",7
"Anthelmintics",7
"Vasoprotectives",6
"Otologicals",6
"Immunosuppressants",6
"Corticosteroids, dermatological preparations",6
"Calcium channel blockers",6
"Urologicals",5
"Stomatological preparations",5
"Peripheral vasodilators",5
"Antithrombotic agents",5
"Antipruritics, incl. Antihistamines, anesthetics, etc.",5
"Antimycobacterials",5
"Antibiotics and chemotherapeutics for dermatological use",5
"Anesthetics",5
"Analgesics",5
"Other nervous system drugs",4
"Drugs for functional gastrointestinal disorders",4
"Cough and cold preparations",4
"Antiprotozoals",4
"All other therapeutic products",4
"Agents acting on the renin-angiotensin system",4
"Vitamins",3
"Other gynecologicals",3
"Other dermatological preparations",3
"Muscle relaxants",3
"Drugs for acid related disorders",3
"Diagnostic agents",3
"Contrast media",3
"Antivirals for systemic use",3
"Antiepileptics",3
"Anti-parkinson drugs",3
"Anti-acne preparations",3
"Thyroid therapy",2
"Ophthalmological and otological preparations",2
"Endocrine therapy",2
"Drugs for constipation",2
"Antimycotics for systemic use",2
"Antihemorrhagics",2
"Throat preparations",1
"Preparations for treatment of wounds and ulcers",1
"Medicated dressings",1
"Ectoparasiticides, incl. Scabicides, insecticides and repellents",1
"Drugs for treatment of bone diseases",1
"Corticosteroids for systemic use",1
"Blood substitutes and perfusion solutions",1
"Bile and liver therapy",1
"Antiseptics and disinfectants",1
"Antipsoriatics",1
"Antiobesity preparations, excl. Diet products",1
"Antigout preparations",1
"Antiemetics and antinauseants",1
"Antianemic preparations",1
