"","drug_name","gene_name"
"1","Bepridil","CACNA1A"
"2","Bepridil","CACNA1H"
"3","Menadione","F2"
"4","Menadione","F9"
"5","Menadione","BGLAP"
"6","Levonorgestrel","ESR1"
"7","Menadione","PROC"
"8","Flunisolide","NR3C1"
"9","Flumethasone","NR3C1"
"10","Levonorgestrel","NR3C1"
"11","Medrysone","NR3C1"
"12","Levonorgestrel","SHBG"
"13","Bepridil","ATP1A1"
"14","Levonorgestrel","PGR"
"15","Menadione","PROS1"
"16","Scopolamine","CHRM2"
"17","Procyclidine","CHRM2"
"18","Ipratropium","CHRM2"
"19","Procyclidine","CHRM4"
"20","Scopolamine","CHRM4"
"21","Primaquine","KRT7"
"22","Scopolamine","CHRM5"
"23","Zuclopenthixol","ADRA2A"
"24","Cycloserine","ddlA"
"25","Sulfamethoxazole","folP"
"26","Trifluoperazine","CALM1"
"27","Bepridil","CALM1"
"28","Levonorgestrel","AR"
"29","Sertaconazole","ERG11"
"30","Procyclidine","CHRM1"
"31","Ipratropium","CHRM1"
"32","Scopolamine","CHRM1"
"33","Promazine","CHRM1"
"34","Irinotecan","TOP1"
"35","Camptothecin","TOP1"
"36","Scopolamine","SI"
"37","Zuclopenthixol","DRD2"
"38","Promazine","DRD2"
"39","Trifluoperazine","DRD2"
"40","Menadione","NQO1"
"41","Menadione","NQO2"
"42","Primaquine","NQO2"
"43","Scopolamine","CHRNB2"
"44","Levonorgestrel","SRD5A1"
"45","Scopolamine","CHRM3"
"46","Ipratropium","CHRM3"
"47","Procyclidine","CHRM3"
"48","Zuclopenthixol","DRD1"
"49","Zuclopenthixol","DRD5"
"50","Fenoprofen","PTGS1"
"51","Trifluoperazine","S100A4"
"52","Promazine","HTR2A"
"53","Zuclopenthixol","HTR2A"
"54","Promazine","HTR2C"
"55","Demeclocycline","AVPR2"
"56","Zuclopenthixol","ADRA1A"
"57","Promazine","ADRA1A"
"58","Trifluoperazine","ADRA1A"
"59","Fenoprofen","PTGS2"
"60","Promazine","HRH1"
"61","Zuclopenthixol","HRH1"
"62","Fenoprofen","PPARG"
"63","Menadione","GGCX"
"64","Scopolamine","CHRNA4"
"65","Bepridil","KCNQ1"
"66","Bepridil","PDE1A"
"67","Metolazone","SLC12A3"
"68","Bepridil","TNNC1"
"69","Trifluoperazine","TNNC1"
"70","Bepridil","PDE1B"
"71","Fenoprofen","PPARA"
"72","Bepridil","KCNH2"
"73","Menadione","VKORC1L1"
"74","Irinotecan","TOP1MT"
"75","Menadione","VKORC1"
"76","Cycloserine","alr"
"77","Bepridil","CACNA2D2"
"78","Trifluoperazine","CALY"
