"","gene_name","multiple"
"1","CACNA1A",FALSE
"2","CACNA1H",FALSE
"3","F2",FALSE
"4","F9",FALSE
"5","BGLAP",FALSE
"6","ESR1",FALSE
"7","PROC",FALSE
"8","NR3C1",TRUE
"9","SHBG",FALSE
"10","ATP1A1",FALSE
"11","PGR",FALSE
"12","PROS1",FALSE
"13","CHRM2",TRUE
"14","CHRM4",TRUE
"15","KRT7",FALSE
"16","CHRM5",FALSE
"17","ADRA2A",FALSE
"18","ddlA",FALSE
"19","folP",FALSE
"20","CALM1",TRUE
"21","AR",FALSE
"22","ERG11",FALSE
"23","CHRM1",TRUE
"24","TOP1",TRUE
"25","SI",FALSE
"26","DRD2",TRUE
"27","NQO1",FALSE
"28","NQO2",TRUE
"29","CHRNB2",FALSE
"30","SRD5A1",FALSE
"31","CHRM3",TRUE
"32","DRD1",FALSE
"33","DRD5",FALSE
"34","PTGS1",FALSE
"35","S100A4",FALSE
"36","HTR2A",TRUE
"37","HTR2C",FALSE
"38","AVPR2",FALSE
"39","ADRA1A",TRUE
"40","PTGS2",FALSE
"41","HRH1",TRUE
"42","PPARG",FALSE
"43","GGCX",FALSE
"44","CHRNA4",FALSE
"45","KCNQ1",FALSE
"46","PDE1A",FALSE
"47","SLC12A3",FALSE
"48","TNNC1",TRUE
"49","PDE1B",FALSE
"50","PPARA",FALSE
"51","KCNH2",FALSE
"52","VKORC1L1",FALSE
"53","TOP1MT",FALSE
"54","VKORC1",FALSE
"55","alr",FALSE
"56","CACNA2D2",FALSE
"57","CALY",FALSE
