"","p","q","analysis_id","name","duration","DrugBank.ID","valid","unstratified_reversal","InII_reversal","IIInIV_reversal","PE_reversal","ESE_reversal","MSE_reversal"
"1",0,0,"cmap","8-azaguanine",6,"DB01667",1,-0.469741202205267,-0.45338123437032,-0.49099882778768,-0.453020487411862,-0.543947882850238,-0.474212406107664
"2",0,0,"cmap","acepromazine",6,"DB01614",1,-0.434094362029094,-0.424919320257929,-0.448920767055314,-0.417360940919368,-0.478418094106613,-0.366643365285033
"3",0,0,"cmap","acetazolamide",6,"DB00819",1,-0.371207499046422,NA,NA,-0.376782474853765,NA,-0.376071233447517
"4",0,0,"cmap","acetylsalicylic acid",6,"DB00945",1,-0.482041387008534,-0.511156855066162,-0.475882832307012,-0.505648312756881,-0.474509293520752,-0.508155015712714
"5",0,0,"cmap","adipiodone",6,"DB04711",1,-0.583765659794744,-0.582394112327349,-0.568438241562637,-0.563081164280092,-0.488555002603044,-0.498321064284217
"6",0,0,"cmap","albendazole",6,"DB00518",1,-0.306977945140405,-0.311716640763181,-0.332753450022247,-0.308226323248905,-0.515560455431535,-0.355608221163411
"7",0,0,"cmap","alfuzosin",6,"DB00346",1,-0.413146142527758,-0.329890681866733,-0.3890877446179,-0.268557275410654,-0.441000679934943,-0.324618757683312
"8",0,0,"cmap","alsterpaullone",6,"DB04014",1,-0.458298211406014,-0.481087600250627,-0.485625789688905,-0.484747470032206,-0.50643602130836,-0.513550348062573
"9",0,0,"cmap","amiloride",6,"DB00594",1,-0.3929867379055,-0.389834771300419,-0.4421369967998,-0.347860252156086,-0.396021914086481,-0.374270408497808
"10",0,0,"cmap","aminocaproic acid",6,"DB00513",1,-0.405013919437381,-0.430698418552058,-0.412883535542232,-0.437204865906196,NA,-0.487290200432815
"11",0,0,"cmap","aminohippuric acid",6,"DB00345",1,-0.37323832655256,-0.434309838812154,-0.411975512465623,-0.406749296648854,NA,-0.381103313049203
"12",0,0,"cmap","aminophenazone",6,"DB01424",1,-0.441914011941661,-0.369479641654635,-0.43531677895905,-0.366124365535988,-0.433129611217017,-0.46315501392695
"13",0,0,"cmap","aminophylline",6,"DB01223",1,-0.360336586790542,-0.394578811140246,-0.378758399852097,-0.384186734164172,-0.37402837985584,-0.382051305561914
"14",0,0,"cmap","amiodarone",6,"DB01118",1,-0.408614353231676,-0.396628282529298,-0.424803132307953,-0.391089927371889,-0.436499322576955,-0.388672115881243
"15",0,0,"cmap","amoxapine",6,"DB00543",1,-0.388088281162644,-0.209497672218028,-0.367291342845915,-0.199480931392953,NA,-0.319681481004561
"16",0,0,"cmap","amoxicillin",6,"DB01060",1,-0.437263684002426,-0.458185151793241,-0.441005564396593,-0.45351193633035,-0.439505741696777,-0.39808615132745
"17",0,0,"cmap","apomorphine",6,"DB00714",1,-0.540364315492284,-0.509650346971842,-0.533215954269128,-0.490840334427315,-0.469250275914069,-0.506485804343623
"18",0,0,"cmap","apramycin",6,"DB04626",1,-0.38306700887365,-0.398697550110482,-0.372271460613836,-0.410740968383453,NA,-0.446749021891775
"19",0,0,"cmap","arachidonic acid",6,"DB04557",1,NA,-0.239830917727474,NA,-0.223733416840749,NA,NA
"20",0,0,"cmap","astemizole",6,"DB00637",1,-0.43558366518679,-0.408205480316347,-0.460499176265991,-0.413829705385666,-0.479315344123587,-0.421523000676239
"21",0,0,"cmap","atropine",6,"DB00572",1,-0.255336086563969,NA,-0.283957234598763,NA,-0.417083282915949,-0.320431647038045
"22",0,0,"cmap","azacitidine",6,"DB00928",1,-0.501663527077723,-0.457583923779607,-0.526074030120032,-0.475896526878193,-0.597617780392066,-0.506983638044569
"23",0,0,"cmap","azathioprine",6,"DB00993",1,-0.312707694962794,-0.379760191001783,-0.35476772708401,-0.38472702541141,-0.39382339317823,-0.330325302506095
"24",0,0,"cmap","azlocillin",6,"DB01061",1,-0.431200900298343,-0.44382524853272,-0.481815681528701,-0.457196506520019,-0.509768413038732,-0.392596960117376
"25",0,0,"cmap","beclometasone",6,"DB00394",1,-0.413100961324616,-0.432453110413311,-0.41295106144573,-0.439214209054676,NA,-0.43457649637354
"26",0,0,"cmap","benzonatate",6,"DB00868",1,-0.385919207044395,NA,-0.389579881172795,-0.399316834135342,NA,-0.381290769302647
"27",0,0,"cmap","benzthiazide",6,"DB00562",1,-0.352440226346023,-0.34852678282383,-0.400882968644767,-0.331096527569766,-0.38792437980876,-0.328852999700211
"28",0,0,"cmap","benzylpenicillin",6,"DB01053",1,-0.410534254981976,-0.422131247149552,-0.41829074418132,-0.476570810354747,-0.454320845180522,-0.46201490826685
"29",0,0,"cmap","bepridil",6,"DB01244",1,-0.613495113860738,-0.539188148737981,-0.647260215567471,-0.512888323528128,-0.644752006037742,-0.522949897681348
"30",0,0,"cmap","berberine",6,"DB04115",1,-0.426725737197792,-0.41964014123051,-0.4036165003714,-0.422984508337126,-0.39686031391837,-0.424525823303607
"31",0,0,"cmap","betahistine",6,"DB06698",1,-0.42822280721131,-0.401094690962109,-0.483062617593172,-0.39029353807346,-0.406579996133112,-0.379968993597909
"32",0,0,"cmap","betaxolol",6,"DB00195",1,-0.406982218621868,-0.40003556680107,-0.435792810190761,-0.405229133195624,-0.512322295765815,-0.470567763803398
"33",0,0,"cmap","bezafibrate",6,"DB01393",1,-0.310789589511747,-0.35068760904474,-0.322381882054539,-0.351222268471153,NA,-0.34157700526952
"34",0,0,"cmap","bicuculline",6,"DB11562",1,-0.389157866168931,-0.408488922609952,-0.479716218853572,-0.374811708500337,-0.480056605265829,-0.434046852710131
"35",0,0,"cmap","bisacodyl",6,"DB09020",1,-0.451251500508644,-0.392876929142498,-0.501543314893804,-0.372168603718846,-0.471463760558405,-0.434756478009011
"36",0,0,"cmap","bromopride",6,"DB09018",1,-0.429001271985163,-0.415521848371646,-0.476015582291664,-0.427047930749358,-0.531519405561457,-0.405080990729036
"37",0,0,"cmap","budesonide",6,"DB01222",1,-0.352026820903421,-0.355920862908194,-0.369116150294945,-0.358621449043836,-0.390202240814096,-0.394083982958356
"38",0,0,"cmap","camptothecin",6,"DB04690",1,-0.580599622482906,-0.557198565627257,-0.56395565934949,-0.542873947458621,-0.694056870522272,-0.554515233300913
"39",0,0,"cmap","canrenoic acid",6,"DB09015",1,-0.501884557424026,-0.496207805975,-0.527280196178297,-0.501323821613984,-0.543135570874785,-0.48767578858118
"40",0,0,"cmap","capsaicin",6,"DB06774",1,-0.407722824250492,-0.443811231770606,-0.435616204172207,-0.438217803936519,-0.421916067291885,-0.467072176596771
"41",0,0,"cmap","carbachol",6,"DB00411",1,-0.420383911235308,-0.419515560340348,-0.424575462503937,-0.404866597768727,-0.384645096782,-0.425560396993272
"42",0,0,"cmap","carbamazepine",6,"DB00564",1,-0.449569924900321,-0.418945613026987,-0.472306641577348,-0.407152461977544,-0.488936847005164,-0.44923547113983
"43",0,0,"cmap","carisoprodol",6,"DB00395",1,-0.356889933320003,NA,-0.362256013552377,NA,-0.370393699125989,-0.452710460310952
"44",0,0,"cmap","cefalexin",6,"DB00567",1,-0.316416864738598,-0.29797195511137,-0.314892350520803,-0.286091671432035,NA,-0.332228662013197
"45",0,0,"cmap","cefalotin",6,"DB00456",1,-0.408100423461297,-0.420613190204105,-0.42411461983086,-0.434125962204682,-0.387749156971099,-0.416470894928544
"46",0,0,"cmap","cefazolin",6,"DB01327",1,-0.460169236708994,-0.415168626824271,-0.5312359001767,-0.390846688252383,-0.555978762547111,-0.465651004494805
"47",0,0,"cmap","cefixime",6,"DB00671",1,-0.399145751926762,-0.384477382658175,-0.440420491454829,-0.367138816381804,-0.522778897127436,-0.443222535406638
"48",0,0,"cmap","cefuroxime",6,"DB01112",1,-0.452289590401343,-0.432707070750573,-0.468805068048868,-0.43894935828528,-0.568312541275869,-0.482624820493038
"49",0,0,"cmap","cetirizine",6,"DB00341",1,-0.436733091418014,-0.430030288131067,-0.439535855785225,-0.423486006672813,-0.394672342982324,-0.420430374083234
"50",0,0,"cmap","chloramphenicol",6,"DB00446",1,NA,-0.376386862668672,NA,-0.375649808283054,NA,-0.395382485875934
"51",0,0,"cmap","chlorcyclizine",6,"DB08936",1,-0.4629957392466,-0.391802487061176,-0.478982252198969,-0.383874445823268,-0.581304293781272,-0.463618614923449
"52",0,0,"cmap","chlorpromazine",6,"DB00477",1,-0.377827306595368,-0.37325409989291,-0.41667054866899,-0.381685942097203,-0.403880028586836,-0.357596867864034
"53",0,0,"cmap","chlorpropamide",6,"DB00672",1,-0.485762361036579,-0.520252825727339,-0.445070669377644,-0.473252233455958,NA,-0.445499860576345
"54",0,0,"cmap","chlorprothixene",6,"DB01239",1,-0.481843007140443,-0.465101203524693,-0.527827906009146,-0.421577806045816,-0.549985122386137,-0.474140350812661
"55",0,0,"cmap","chlorzoxazone",6,"DB00356",1,-0.374737688986078,-0.40757095838189,-0.414652913424346,-0.413869254704964,-0.443368718083643,-0.348410297570895
"56",0,0,"cmap","ciclopirox",6,"DB01188",1,-0.355325407992594,-0.297314954597172,-0.323502217890072,-0.291986140881159,-0.405099519251403,-0.215552801666561
"57",0,0,"cmap","ciclosporin",6,"DB00091",1,NA,-0.197528439764397,NA,-0.191192323369066,NA,NA
"58",0,0,"cmap","cinchocaine",6,"DB00527",1,-0.411098498239079,-0.431827639392267,-0.397728577568168,-0.398738830559046,-0.401547479970483,-0.397139673098017
"59",0,0,"cmap","cinoxacin",6,"DB00827",1,-0.428711451931237,-0.388529791158709,-0.475821731188593,-0.392589019466478,-0.426082768048598,-0.385279360303012
"60",0,0,"cmap","clioquinol",6,"DB04815",1,-0.453681996044994,-0.368340110208326,-0.48387613958882,-0.355375055055678,-0.563172157030092,-0.434509484053524
"61",0,0,"cmap","clomifene",6,"DB00882",1,-0.404363488031309,-0.345260872961657,-0.442684313908537,-0.349293212602013,-0.44612229671316,-0.337754464164681
"62",0,0,"cmap","clomipramine",6,"DB01242",1,-0.525106327229748,-0.459771450910006,-0.536134508903985,-0.430585433661528,-0.49811937774398,-0.485389734864586
"63",0,0,"cmap","cloperastine",6,"DB09002",1,-0.637813242085437,-0.561524533338694,-0.712522979229978,-0.569267282944475,-0.620142258121792,-0.632886122088988
"64",0,0,"cmap","clotrimazole",6,"DB00257",1,-0.347970212636668,-0.350053594704953,-0.386792343342041,-0.319464813424465,-0.373075186278778,-0.339435325278857
"65",0,0,"cmap","clozapine",6,"DB00363",1,-0.368999778832793,-0.334166462048821,-0.365938978858138,-0.348762322422476,-0.416705062824008,-0.37835787574299
"66",0,0,"cmap","colchicine",6,"DB01394",1,-0.384050149116789,-0.367797424303358,-0.379035968902821,-0.376606772140163,-0.367564332941047,-0.37608882795054
"67",0,0,"cmap","corbadrine",6,"DB06707",1,-0.43675374030563,-0.372121124281987,-0.421420080330527,-0.371853505863457,-0.420836776428003,-0.416702997504611
"68",0,0,"cmap","crotamiton",6,"DB00265",1,-0.291396571689311,-0.28925662611866,-0.306811966712021,-0.32280964847787,NA,-0.325233232920108
"69",0,0,"cmap","cyanocobalamin",6,"DB00115",1,-0.439526542049347,-0.450877883266054,-0.421453934958732,-0.449035947521727,NA,-0.405236277641985
"70",0,0,"cmap","cycloserine",6,"DB00260",1,-0.614822253964826,-0.589779195832377,-0.618556908433262,-0.567117139896964,-0.53035808328105,-0.59341442029891
"71",0,0,"cmap","cyproheptadine",6,"DB00434",1,-0.472357229793139,-0.467250232101595,-0.470883238247877,-0.432644483604754,-0.509169145910135,-0.439742645676591
"72",0,0,"cmap","dacarbazine",6,"DB00851",1,-0.453459408906004,-0.491427473831186,-0.422498713289982,-0.487528241023493,-0.432330540533208,-0.441480746921195
"73",0,0,"cmap","daunorubicin",6,"DB00694",1,-0.515397962743453,-0.516055699841604,-0.548752796711051,-0.505761341685804,-0.58349624787009,-0.46794454451194
"74",0,0,"cmap","deferoxamine",6,"DB00746",1,-0.391589028902147,-0.318154016422326,-0.401752279479925,-0.336962685757534,-0.447325244734236,-0.34391751477128
"75",0,0,"cmap","demeclocycline",6,"DB00618",1,-0.531638321406591,-0.540230227727015,-0.58918900770463,-0.53847586864785,-0.607947495013164,-0.589973041874591
"76",0,0,"cmap","dexpanthenol",6,"DB09357",1,-0.3839902895826,-0.437707577444441,-0.443567144543073,-0.402321393761235,-0.495429673095834,-0.405346096002082
"77",0,0,"cmap","dextromethorphan",6,"DB00514",1,-0.385521609035228,-0.426358293953781,-0.414830587349714,-0.432649670400727,-0.434460773696206,-0.418633854994131
"78",0,0,"cmap","diclofenac",6,"DB00586",1,-0.445571841774024,-0.402416275883829,-0.499461389676751,-0.417937431680172,-0.463602560011759,-0.420987631998424
"79",0,0,"cmap","dicoumarol",6,"DB00266",1,-0.368644710346916,-0.421024506318929,-0.373870654784734,-0.390803464952604,-0.394454633181773,-0.426875029086116
"80",0,0,"cmap","diethylcarbamazine",6,"DB00711",1,-0.459079755550017,-0.471176117983624,-0.509238195492493,-0.488225000615932,-0.508434559240104,-0.479410530598062
"81",0,0,"cmap","difenidol",6,"DB01231",1,-0.408798191629615,-0.439722440885904,-0.431266545385654,-0.43060650502017,-0.436292378054163,-0.453852097500025
"82",0,0,"cmap","diflorasone",6,"DB00223",1,-0.250268880336908,-0.296962034746911,-0.285048959947095,-0.265023014245967,NA,-0.280209557802012
"83",0,0,"cmap","digoxin",6,"DB00390",1,-0.42571967275465,-0.348075506854797,-0.419281630384582,-0.34805518923809,-0.524871810660869,-0.415497519534452
"84",0,0,"cmap","diltiazem",6,"DB00343",1,-0.498793246161155,-0.464116038051847,-0.53887972070654,-0.499949428739258,-0.551225533573815,-0.451466493843886
"85",0,0,"cmap","dipyridamole",6,"DB00975",1,-0.454907807763544,-0.459313331706914,-0.508543652191304,-0.46491683621006,-0.427833489286324,-0.381875505729309
"86",0,0,"cmap","disopyramide",6,"DB00280",1,-0.463110702398857,-0.479882121532846,-0.471716073003765,-0.454253972329308,-0.516061758532523,-0.428876761931318
"87",0,0,"cmap","disulfiram",6,"DB00822",1,-0.289021025802522,-0.243614767182067,-0.267173744749315,-0.254844791613988,NA,NA
"88",0,0,"cmap","doxazosin",6,"DB00590",1,-0.410035602309062,-0.430377941865357,-0.395935460439681,-0.433644130470395,NA,-0.467133675857535
"89",0,0,"cmap","doxorubicin",6,"DB00997",1,-0.406392690314313,-0.442203107512872,-0.393889901042378,-0.448077038616128,-0.428769099576379,-0.451852864167963
"90",0,0,"cmap","epirizole",6,"DB08991",1,-0.344333185660427,-0.364420564255218,-0.375670902854779,-0.376076638368372,-0.362711812222552,-0.390212203169227
"91",0,0,"cmap","estradiol",6,"DB00783",1,-0.422941875588245,-0.421664618943977,-0.493098820699603,-0.398947166863981,-0.531845772898858,-0.433323683421285
"92",0,0,"cmap","estriol",6,"DB04573",1,NA,-0.38056633855833,-0.293953766577578,-0.365223483910343,NA,-0.277817054755274
"93",0,0,"cmap","estrone",6,"DB00655",1,-0.36584929234021,NA,-0.3693613848122,NA,-0.373412498315234,-0.38516059865931
"94",0,0,"cmap","ethotoin",6,"DB00754",1,-0.513538519293759,-0.489905393304325,-0.554062744064558,-0.483387124729909,-0.472054846075906,-0.497944172416601
"95",0,0,"cmap","etidronic acid",6,"DB01077",1,-0.384095894871124,-0.354873790903419,-0.407789404474877,-0.365206950998177,-0.42254719964265,-0.400697761484653
"96",0,0,"cmap","etofenamate",6,"DB08984",1,-0.395277943265411,-0.411097837677304,-0.369634083860968,-0.418996726699508,NA,-0.438101985946247
"97",0,0,"cmap","etomidate",6,"DB00292",1,-0.475775707026808,-0.457785251554038,-0.453020220974103,-0.443014617687752,-0.482647305242848,-0.419108483778072
"98",0,0,"cmap","etoposide",6,"DB00773",1,-0.326735970971257,-0.274162088956306,-0.347474653237959,-0.271370355818526,-0.400855164957787,NA
"99",0,0,"cmap","felodipine",6,"DB01023",1,-0.493675538263638,-0.458166437993123,-0.496942676945104,-0.4691253808513,-0.487163841642477,-0.478645108244001
"100",0,0,"cmap","fenbufen",6,"DB08981",1,-0.571290840488763,-0.562509124014194,-0.611771895590121,-0.549150943110789,-0.570305014767808,-0.540447745816383
"101",0,0,"cmap","fenoprofen",6,"DB00573",1,-0.76546132933809,-0.800704518810505,-0.791857528683698,-0.769272945196746,-0.69949502235087,-0.804052118799905
"102",0,0,"cmap","flecainide",6,"DB01195",1,-0.263427918582548,-0.237228671453196,-0.259281702784204,-0.302940870093669,NA,-0.272559887124857
"103",0,0,"cmap","flucytosine",6,"DB01099",1,-0.443856461524502,-0.419957479409322,-0.45123821404087,-0.407323842361168,-0.466680747649976,-0.477538095959855
"104",0,0,"cmap","flufenamic acid",6,"DB02266",1,-0.322920580032899,-0.37377306897311,-0.366929720113492,-0.324841143567487,-0.425708638762205,-0.305705346191354
"105",0,0,"cmap","flumetasone",6,"DB00663",1,-0.75114489271406,-0.654749227457355,-0.799507700905228,-0.650971746225633,-0.785449700818577,-0.703727220032217
"106",0,0,"cmap","flunisolide",6,"DB00180",1,-0.653072376557973,-0.644983692241514,-0.699141486173505,-0.601656986808681,-0.643973891761304,-0.640977407726851
"107",0,0,"cmap","fluocinonide",6,"DB01047",1,-0.435611208442018,-0.425973913242886,-0.444415050164848,-0.422426387478729,-0.407861279492017,-0.409843445016665
"108",0,0,"cmap","fluorometholone",6,"DB00324",1,-0.501551438004272,-0.500812689093492,-0.541881163245471,-0.471431451952764,-0.52041118193707,-0.50396824274928
"109",0,0,"cmap","fluphenazine",6,"DB00623",1,-0.401662367181633,-0.376675786984714,-0.429647913328544,-0.377882832007891,-0.499757565944862,-0.305074050282556
"110",0,0,"cmap","fluspirilene",6,"DB04842",1,-0.434712836416057,-0.385274760980605,-0.466565875589793,-0.36644886445908,-0.550747052861676,-0.335483705710556
"111",0,0,"cmap","fluvastatin",6,"DB01095",1,-0.354973470199703,-0.369305548121558,-0.378426937434514,-0.373126972333198,NA,-0.352066967912908
"112",0,0,"cmap","fluvoxamine",6,"DB00176",1,-0.410862857992177,-0.445507523077763,-0.404171622367526,-0.438524365190202,-0.422007895111172,-0.404185497449584
"113",0,0,"cmap","fulvestrant",6,"DB00947",1,-0.467484776620436,-0.47349608299774,-0.467321837160381,-0.451022706496073,-0.51848046525521,-0.456250284950339
"114",0,0,"cmap","galantamine",6,"DB00674",1,-0.506331527180095,-0.530040204672123,-0.555710587461312,-0.527411568370399,-0.516327804430213,-0.557587196144527
"115",0,0,"cmap","ganciclovir",6,"DB01004",1,-0.418618183283838,-0.37648758946903,-0.442324428073276,-0.366023439131004,-0.393941918886359,-0.416768930577912
"116",0,0,"cmap","geldanamycin",6,"DB02424",1,NA,NA,-0.337849605404839,NA,-0.370279946024333,-0.326700384270021
"117",0,0,"cmap","genistein",6,"DB01645",1,-0.392575248515436,-0.421027114354642,-0.415009643855134,-0.429108493508076,-0.424242192625842,-0.39538806680534
"118",0,0,"cmap","ginkgolide A",6,"DB06743",1,-0.564382940754697,-0.622749252668367,-0.575730546069789,-0.5927704924906,-0.538260012461885,-0.569297290591955
