"","unstratified","InII","IIInIV","PE","ESE","MSE"
"fenoprofen",100,100,96.6892326474925,100,76.5251405013852,100
"flumetasone",92.1206506131867,46.6110249791712,100,54.1107245057366,100,67.1852442576977
"promazine",72.6290610361791,45.736512395682,81.3626557905261,40.0247639814009,81.4031302413001,70.5525747516122
"irinotecan",70.2269707883156,77.7177835428582,47.1406155293056,71.6239479604295,63.1430169150478,53.6049679966519
"primaquine",65.1417837723323,44.3487912273466,92.0760145839593,47.5952992027994,81.912390798186,31.5869166394226
"scopolamine",61.4500765011886,78.760104260158,76.7872601877987,70.3257670735454,84.9637988305157,34.2232540230463
"zuclopenthixol",58.0298660640728,59.7783825708709,62.1930145289933,58.2313202329019,79.7004825842571,22.0943443469106
"levonorgestrel",38.1705905891767,26.746509689877,50.5997282079952,37.835239044935,64.8381967762252,62.8712044137099
"flunisolide",38.1443965821623,43.0388905887704,56.5644828108085,34.9814291097498,61.3619084001335,46.6607305131687
"cloperastine",29.7462137796296,12.5103711455055,62.3555956192879,22.4173971580103,54.8533126926853,44.014193460961
"cycloserine",17.0926441164703,22.8456420090146,21.6898706619283,21.5833523003297,30.3325893631538,31.1035972990482
"bepridil",16.3622248899562,4.33994670630034,34.1118095957329,0.547884226291091,61.5744171738137,8.05571859101648
"trifluoperazine",13.5474707530069,0,17.1869744088014,4.36266071123908,79.784745194297,4.24348209807298
"medrysone",12.7487041875574,6.81353597501495,36.8114363240472,16.6173943915534,69.5774932784937,44.9125512797461
"metolazone",3.86156344890882,20.7880664699355,23.6902909365128,30.1293570125281,45.1619365072707,28.3677348123142
"iopanoic acid",3.47683544005815,21.5636461941786,6.5317113869752,27.2493076522296,11.9082041283779,21.092604387605
"procyclidine",3.02147211825944,67.4314487640749,6.04559317638958,72.8094586001812,0,19.1065842185147
"sulfamethoxazole",1.23482804886648,10.8880393072807,25.6192069495579,13.3432506623777,59.7739531512434,22.6802832272591
"sertaconazole",0.269227691076733,0.0026763065448224,25.4213817273825,0,48.8887390538479,23.6775398377539
"adipiodone",0,20.1442528704551,0,20.0177891565784,18.9158583251321,0
