"","exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","valid"
"1",3277,-0.785449700818577,0,0,"ESE_endo","cmap","flumetasone",9.8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","734","Flumethasone [2135-17-3]","NULL","2135-17-3","DB00663",1
"2",3225,-0.730393701996729,0,0,"ESE_endo","cmap","scopolamine",1.18e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","877","Scopolamine hydrochloride [55-16-3]","C0036442","55-16-3","DB00747",1
"3",3269,-0.719220779053009,0,0,"ESE_endo","cmap","primaquine",8.8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","476","Primaquine diphosphate [63-45-6]","C0033126","63-45-6","DB01087",1
"4",3311,-0.717356089408072,0,0,"ESE_endo","cmap","promazine",1.24e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","693","Promazine hydrochloride [53-60-1]","C0546875","53-60-1","DB00420",1
"5",519,-0.711430270496981,0,0,"ESE_endo","cmap","trifluoperazine",1e-05,6,"PC3","HT_HG-U133A","DMSO","Sigma-Aldrich","T6062","trifluoperazine dihydrochloride","C0304381","NULL","DB00831",1
"6",3267,-0.711121737636401,0,0,"ESE_endo","cmap","zuclopenthixol",9.2e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","998","Zuclopenthixol hydrochloride [633-59-0]","C0350505","633-59-0","DB01624",1
"7",3279,-0.69949502235087,0,0,"ESE_endo","cmap","fenoprofen",7.2e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","754","Fenoprofen calcium salt dihydrate [53746-45-5]","C0015837","53746-45-5","DB00573",1
"8",2965,-0.694056870522272,0,0,"ESE_endo","cmap","camptothecin",1.14e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","200","Camptothecine (S,+) [7689-03-4]","NULL","7689-03-4","DB04690",1
"9",3272,-0.674055773899311,0,0,"ESE_endo","cmap","medrysone",1.16e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","743","Medrysone [2668-66-8]","C0065865","2668-66-8","DB00253",1
"10",3275,-0.656702540878272,0,0,"ESE_endo","cmap","levonorgestrel",1.28e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","773","Norgestrel-(-)-D [797-63-7]","C0023566","797-63-7","DB00367",1
"11",3646,-0.650567014356431,0,0,"ESE_endo","cmap","menadione",2.32e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","459","Menadione [58-27-5]","C0025270","58-27-5","DB00170",1
"12",6039,-0.65049553291211,0,0,"ESE_endo","cmap","irinotecan",1e-04,6,"MCF7","HT_HG-U133A","DMSO","Sigma-Aldrich","I1406","irinotecan HCl","C0594375","NULL","DB00762",1
"13",3597,-0.644752006037742,0,0,"ESE_endo","cmap","bepridil",1e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","368","Bepridil hydrochloride [74764-40-2]","C0005116","74764-40-2","DB01244",1
"14",3306,-0.643973891761304,0,0,"ESE_endo","cmap","flunisolide",9.2e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","643","Flunisolide [3385-03-3]","C0060501","3385-03-3","DB00180",1
"15",1523,-0.638159493475022,0,0,"ESE_endo","cmap","sulfamethoxazole",1.58e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","177","Sulfamethoxazole [723-46-6]","MMS_115","723-46-6","DB01015",1
"16",4569,-0.620963684699081,0,0,"ESE_endo","cmap","isoconazole",9.6e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","127","Isoconazole [27523-40-6]","C0700489","27523-40-6","DB08943",1
"17",3276,-0.620142258121792,0,0,"ESE_endo","cmap","cloperastine",1.1e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","793","Cloperastine hydrochloride [14984-68-0]","MMS_608","14984-68-0","DB09002",1
"18",3478,-0.619597068571805,0,0,"ESE_endo","cmap","zomepirac",1.28e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","779","Zomepirac sodium salt [64092-48-4]","C0149477","64092-48-4","DB04828",1
"19",3273,-0.607947495013164,0,0,"ESE_endo","cmap","demeclocycline",8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","753","Demeclocycline hydrochloride [64-73-3]","C0011276","64-73-3","DB00618",1
"20",1303,-0.600607836289694,0,0,"ESE_endo","cmap","nocodazole",1.32e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","100","Nocodazole [31430-18-9]","NULL","31430-18-9","DB08313",1
"21",3474,-0.59830259559459,0,0,"ESE_endo","cmap","sertaconazole",8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","1045","Sertaconazole nitrate [99592-39-9]","C0074391","99592-39-9","DB01153",1
"22",2499,-0.597617780392066,0,0,"ESE_endo","cmap","azacitidine",1.64e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","866","Azacytidine-5 [320-67-2]","C0004475","320-67-2","DB00928",1
"23",3963,-0.58971272928068,0,0,"ESE_endo","cmap","thiocolchicoside",7e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","539","Thiocolchicoside [602-41-5]","C0076456","602-41-5","DB11582",1
"24",3842,-0.587155365780455,0,0,"ESE_endo","cmap","miconazole",9.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","67","Miconazole [22916-47-8]","MMS_579","22916-47-8","DB01110",1
"25",1159,-0.584656673044017,0,0,"ESE_endo","cmap","metolazone",1.1e-05,6,"PC3","HG-U133A","DMSO","Prestwick Chemical","112","Metolazone [17560-51-9]","C0025854","17560-51-9","DB00524",1
"26",6052,-0.58349624787009,0,0,"ESE_endo","cmap","daunorubicin",1e-06,6,"PC3","HT_HG-U133A","DMSO","Sigma-Aldrich","D8809","daunorubicin HCl","C0724567","NULL","DB00694",1
"27",3366,-0.581304293781272,0,0,"ESE_endo","cmap","chlorcyclizine",1.18e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","706","(1-[(4-Chlorophenyl)phenyl-methyl]-4-methylpiperazine) [1620-21-9]","C0770863","(4-Chlorophenyl)phenyl-me","DB08936",1
"28",2524,-0.580729571485966,0,0,"ESE_endo","cmap","sulconazole",8.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","810","Sulconazole nitrate [61318-91-0]","C0144004","61318-91-0","DB06820",1
"29",3966,-0.575973974151563,0,0,"ESE_endo","cmap","sulfadiazine",1.6e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","23","Sulfadiazine [68-35-9]","C0723509","68-35-9","DB00359",1
"30",3725,-0.570305014767808,0,0,"ESE_endo","cmap","fenbufen",1.58e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","218","Fenbufen [36330-85-5]","C0060156","36330-85-5","DB08981",1
"31",4503,-0.568312541275869,0,0,"ESE_endo","cmap","cefuroxime",9e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","720","Cefuroxime sodium salt [56238-63-2]","C0007562","56238-63-2","DB01112",1
"32",1831,-0.565117765679519,0,0,"ESE_endo","cmap","ouabain",5.4e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","471","Strophantine octahydrate [11018-89-6]","C0029904","11018-89-6","DB01092",1
"33",4374,-0.563172157030092,0,0,"ESE_endo","cmap","clioquinol",1.3e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","886","Clioquinol [130-26-7]","C0021978","130-26-7","DB04815",1
"34",3169,-0.559143072407402,0,0,"ESE_endo","cmap","trimipramine",9.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","806","Trimipramine maleate salt [521-78-8]","C0041056","521-78-8","DB00726",1
