"","exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","valid"
"1",3277,-0.743922614949124,0,0,"iiiniv_endo","cmap","flumetasone",9.8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","734","Flumethasone [2135-17-3]","NULL","2135-17-3","DB00663",1
"2",3279,-0.724031111756155,0,0,"iiiniv_endo","cmap","fenoprofen",7.2e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","754","Fenoprofen calcium salt dihydrate [53746-45-5]","C0015837","53746-45-5","DB00573",1
"3",3311,-0.71922548569577,0,0,"iiiniv_endo","cmap","promazine",1.24e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","693","Promazine hydrochloride [53-60-1]","C0546875","53-60-1","DB00420",1
"4",3269,-0.697965466884482,0,0,"iiiniv_endo","cmap","primaquine",8.8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","476","Primaquine diphosphate [63-45-6]","C0033126","63-45-6","DB01087",1
"5",3225,-0.678875862371572,0,0,"iiiniv_endo","cmap","scopolamine",1.18e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","877","Scopolamine hydrochloride [55-16-3]","C0036442","55-16-3","DB00747",1
"6",3267,-0.66226030233071,0,0,"iiiniv_endo","cmap","zuclopenthixol",9.2e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","998","Zuclopenthixol hydrochloride [633-59-0]","C0350505","633-59-0","DB01624",1
"7",3306,-0.658522936946181,0,0,"iiiniv_endo","cmap","flunisolide",9.2e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","643","Flunisolide [3385-03-3]","C0060501","3385-03-3","DB00180",1
"8",6039,-0.65183097854703,0,0,"iiiniv_endo","cmap","irinotecan",1e-04,6,"MCF7","HT_HG-U133A","DMSO","Sigma-Aldrich","I1406","irinotecan HCl","C0594375","NULL","DB00762",1
"9",3276,-0.646455079047915,0,0,"iiiniv_endo","cmap","cloperastine",1.1e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","793","Cloperastine hydrochloride [14984-68-0]","MMS_608","14984-68-0","DB09002",1
"10",3275,-0.636311806108718,0,0,"iiiniv_endo","cmap","levonorgestrel",1.28e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","773","Norgestrel-(-)-D [797-63-7]","C0023566","797-63-7","DB00367",1
"11",3272,-0.623375810618027,0,0,"iiiniv_endo","cmap","medrysone",1.16e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","743","Medrysone [2668-66-8]","C0065865","2668-66-8","DB00253",1
"12",3474,-0.61114875431467,0,0,"iiiniv_endo","cmap","sertaconazole",8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","1045","Sertaconazole nitrate [99592-39-9]","C0074391","99592-39-9","DB01153",1
"13",3597,-0.608787217549402,0,0,"iiiniv_endo","cmap","bepridil",1e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","368","Bepridil hydrochloride [74764-40-2]","C0005116","74764-40-2","DB01244",1
"14",519,-0.605256866345345,0,0,"iiiniv_endo","cmap","trifluoperazine",1e-05,6,"PC3","HT_HG-U133A","DMSO","Sigma-Aldrich","T6062","trifluoperazine dihydrochloride","C0304381","NULL","DB00831",1
"15",2694,-0.604569444256932,0,0,"iiiniv_endo","cmap","cycloserine",3.92e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","1086","D-cycloserine [68-41-7]","C0010590","68-41-7","DB00260",1
"16",2758,-0.600660363984933,0,0,"iiiniv_endo","cmap","sulfamethoxazole",1.58e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","177","Sulfamethoxazole [723-46-6]","MMS_115","723-46-6","DB01015",1
"17",3807,-0.59380751956509,0,0,"iiiniv_endo","cmap","simvastatin",9.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","865","Simvastatin [79902-63-9]","C0074554","79902-63-9","DB00641",1
"18",1159,-0.590974575508422,0,0,"iiiniv_endo","cmap","metolazone",1.1e-05,6,"PC3","HG-U133A","DMSO","Prestwick Chemical","112","Metolazone [17560-51-9]","C0025854","17560-51-9","DB00524",1
"19",3725,-0.588064563672612,0,0,"iiiniv_endo","cmap","fenbufen",1.58e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","218","Fenbufen [36330-85-5]","C0060156","36330-85-5","DB08981",1
"20",2136,-0.58773646307272,0,0,"iiiniv_endo","cmap","iopanoic acid",7e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1052","Iopanoic acid [96-83-3]","C0022028","96-83-3","DB08946",1
"21",5003,-0.579880331177686,0,0,"iiiniv_endo","cmap","remoxipride",9.8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","971","Remoxipride Hydrochloride [73220-03-8]","C0771022","73220-03-8","DB00409",1
"22",5387,-0.579872315003578,0,0,"iiiniv_endo","cmap","nocodazole",1.32e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","100","Nocodazole [31430-18-9]","NULL","31430-18-9","DB08313",1
"23",4569,-0.579326371356438,0,0,"iiiniv_endo","cmap","isoconazole",9.6e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","127","Isoconazole [27523-40-6]","C0700489","27523-40-6","DB08943",1
"24",2965,-0.575634430958521,0,0,"iiiniv_endo","cmap","camptothecin",1.14e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","200","Camptothecine (S,+) [7689-03-4]","NULL","7689-03-4","DB04690",1
"25",5117,-0.564007743905457,0,0,"iiiniv_endo","cmap","adipiodone",3.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","939","Iodipamide [606-17-7]","NULL","606-17-7","DB04711",1
"26",3796,-0.56254415927491,0,0,"iiiniv_endo","cmap","procyclidine",1.24e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","844","Procyclidine hydrochloride [1508-76-5]","C0033254","1508-76-5","DB00387",1
"27",3966,-0.558545213472123,0,0,"iiiniv_endo","cmap","sulfadiazine",1.6e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","23","Sulfadiazine [68-35-9]","C0723509","68-35-9","DB00359",1
"28",356,-0.554414352383138,0,0,"iiiniv_endo","cmap","pyrvinium",1.25e-06,6,"MCF7","HT_HG-U133A_EA","DMSO","MP Biomedicals","2156475","pyrvinium pamoate","C0072804","NULL","DB06816",1
"29",3963,-0.554168523043828,0,0,"iiiniv_endo","cmap","thiocolchicoside",7e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","539","Thiocolchicoside [602-41-5]","C0076456","602-41-5","DB11582",1
"30",4732,-0.553976697403772,0,0,"iiiniv_endo","cmap","ethotoin",1.96e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","696","Ethotoin [86-35-1]","C0015046","86-35-1","DB00754",1
"31",3478,-0.553136405468775,0,0,"iiiniv_endo","cmap","zomepirac",1.28e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","779","Zomepirac sodium salt [64092-48-4]","C0149477","64092-48-4","DB04828",1
"32",3273,-0.552321146498535,0,0,"iiiniv_endo","cmap","demeclocycline",8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","753","Demeclocycline hydrochloride [64-73-3]","C0011276","64-73-3","DB00618",1
"33",3842,-0.545378999086437,0,0,"iiiniv_endo","cmap","miconazole",9.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","67","Miconazole [22916-47-8]","MMS_579","22916-47-8","DB01110",1
"34",1150,-0.540299838663948,0,0,"iiiniv_endo","cmap","apomorphine",6.4e-06,6,"PC3","HG-U133A","DMSO","Prestwick Chemical","101","Apomorphine hydrochloride hemihydrate [41372-20-7]","C0237406","41372-20-7","DB00714",1
"35",4080,-0.536598757014855,0,0,"iiiniv_endo","cmap","felodipine",1.04e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","478","Felodipine [72509-76-3]","C0015772","72509-76-3","DB01023",1
"36",343,-0.536426901492752,0,0,"iiiniv_endo","cmap","resveratrol",1e-05,6,"MCF7","HT_HG-U133A_EA","DMSO","Sigma-Aldrich","R 5010","resveratrol","EXPT02968","NULL","DB02709",1
"37",1175,-0.535409972458113,0,0,"iiiniv_endo","cmap","diltiazem",8.8e-06,6,"PC3","HG-U133A","DMSO","Prestwick Chemical","134","Diltiazem hydrochloride [33286-22-5]","C0700579","33286-22-5","DB00343",1
"38",4285,-0.532172000657045,0,0,"iiiniv_endo","cmap","rimexolone",1.08e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","1020","Rimexolone [49697-38-3]","C0140594","49697-38-3","DB00896",1
"39",3908,-0.530646818057037,0,0,"iiiniv_endo","cmap","ouabain",5.4e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","471","Strophantine octahydrate [11018-89-6]","C0029904","11018-89-6","DB01092",1
"40",3752,-0.526611307249547,0,0,"iiiniv_endo","cmap","galantamine",1.08e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","588","Galanthamine hydrobromide [1953-04-4]","C0949312","1953-04-4","DB00674",1
"41",5927,-0.525878741443789,0,0,"iiiniv_endo","cmap","cefazolin",8.4e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","736","Cefazolin sodium salt [27164-46-1]","C0007546","27164-46-1","DB01327",1
"42",4907,-0.525211148838695,0,0,"iiiniv_endo","cmap","tretinoin",1.34e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","257","Retinoic acid [302-79-4]","C0040845","302-79-4","DB00755",1
"43",1292,-0.524309118299604,0,0,"iiiniv_endo","cmap","canrenoic acid",1e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","148","Canrenoic acid potassium salt [2181-04-6]","C0282085","2181-04-6","DB09015",1
"44",4136,-0.517722776510191,0,0,"iiiniv_endo","cmap","hesperetin",1.32e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","124","Hesperetin [520-33-2]","APRD00117","520-33-2","DB01094",1
"45",3127,-0.517356001386095,0,0,"iiiniv_endo","cmap","ginkgolide A",9.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","444","Ginkgolide A [15291-75-5]","NULL","15291-75-5","DB06743",1
"46",4487,-0.517239134005679,0,0,"iiiniv_endo","cmap","fluorometholone",1.06e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","718","Fluorometholone [426-13-1]","C0016351","426-13-1","DB00324",1
"47",2385,-0.515492170588685,0,0,"iiiniv_endo","cmap","methyldopa",1.9e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","326","Methyldopa (L,-) [555-30-6]","C0304527","555-30-6","DB00968",1
"48",1904,-0.512671461745129,0,0,"iiiniv_endo","cmap","methazolamide",1.7e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","802","Methazolamide [554-57-4]","C0025631","554-57-4","DB00703",1
"49",2499,-0.511570011295774,0,0,"iiiniv_endo","cmap","azacitidine",1.64e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","866","Azacytidine-5 [320-67-2]","C0004475","320-67-2","DB00928",1
"50",3646,-0.511050928863627,0,0,"iiiniv_endo","cmap","menadione",2.32e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","459","Menadione [58-27-5]","C0025270","58-27-5","DB00170",1
"51",3977,-0.508836777194238,0,0,"iiiniv_endo","cmap","mefenamic acid",1.66e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","54","Mefenamic acid [61-68-7]","C0025152","61-68-7","DB00784",1
"52",4573,-0.507471074268587,0,0,"iiiniv_endo","cmap","diclofenac",1.26e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","594","Diclofenac sodium [15307-79-6]","C0700583","15307-79-6","DB00586",1
"53",1322,-0.506503367355664,0,0,"iiiniv_endo","cmap","thalidomide",1.54e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","192","Thalidomide [50-35-1]","C0039736","50-35-1","DB01041",1
"54",6052,-0.504030447960685,0,0,"iiiniv_endo","cmap","daunorubicin",1e-06,6,"PC3","HT_HG-U133A","DMSO","Sigma-Aldrich","D8809","daunorubicin HCl","C0724567","NULL","DB00694",1
"55",3486,-0.503728646037253,0,0,"iiiniv_endo","cmap","clomipramine",1.14e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","269","Clomipramine hydrochloride [17321-77-6]","C0282107","17321-77-6","DB01242",1
"56",4325,-0.501553450161336,0,0,"iiiniv_endo","cmap","valproic acid",2e-04,6,"MCF7","HT_HG-U133A","DMSO","Sigma-Aldrich","P4543","2-propylpentanoic acid","NULL","NULL","DB00313",1
"57",3169,-0.500246391877844,0,0,"iiiniv_endo","cmap","trimipramine",9.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","806","Trimipramine maleate salt [521-78-8]","C0041056","521-78-8","DB00726",1
"58",4716,-0.496234929592677,0,0,"iiiniv_endo","cmap","sulfamerazine",1.52e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","694","Sulfamerazine [127-79-7]","C0038684","127-79-7","DB01581",1
