"","exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","valid"
"1",3279,-0.793959597626485,0,0,"InII_endo","cmap","fenoprofen",7.2e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","754","Fenoprofen calcium salt dihydrate [53746-45-5]","C0015837","53746-45-5","DB00573",1
"2",6039,-0.718764199202969,0,0,"InII_endo","cmap","irinotecan",1e-04,6,"MCF7","HT_HG-U133A","DMSO","Sigma-Aldrich","I1406","irinotecan HCl","C0594375","NULL","DB00762",1
"3",3225,-0.698637469646153,0,0,"InII_endo","cmap","scopolamine",1.18e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","877","Scopolamine hydrochloride [55-16-3]","C0036442","55-16-3","DB00747",1
"4",3796,-0.685497781741995,0,0,"InII_endo","cmap","procyclidine",1.24e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","844","Procyclidine hydrochloride [1508-76-5]","C0033254","1508-76-5","DB00387",1
"5",3267,-0.65864275037525,0,0,"InII_endo","cmap","zuclopenthixol",9.2e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","998","Zuclopenthixol hydrochloride [633-59-0]","C0350505","633-59-0","DB01624",1
"6",3311,-0.642346975915851,0,0,"InII_endo","cmap","promazine",1.24e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","693","Promazine hydrochloride [53-60-1]","C0546875","53-60-1","DB00420",1
"7",3277,-0.63726262971015,0,0,"InII_endo","cmap","flumetasone",9.8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","734","Flumethasone [2135-17-3]","NULL","2135-17-3","DB00663",1
"8",3306,-0.613082571725866,0,0,"InII_endo","cmap","flunisolide",9.2e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","643","Flunisolide [3385-03-3]","C0060501","3385-03-3","DB00180",1
"9",3269,-0.610734380759627,0,0,"InII_endo","cmap","primaquine",8.8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","476","Primaquine diphosphate [63-45-6]","C0033126","63-45-6","DB01087",1
"10",3127,-0.595217563166194,0,0,"InII_endo","cmap","ginkgolide A",9.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","444","Ginkgolide A [15291-75-5]","NULL","15291-75-5","DB06743",1
"11",3275,-0.592162145123809,0,0,"InII_endo","cmap","levonorgestrel",1.28e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","773","Norgestrel-(-)-D [797-63-7]","C0023566","797-63-7","DB00367",1
"12",1005,-0.589265326397346,0,0,"InII_endo","cmap","ipratropium bromide",9.8e-06,6,"HL60","HG-U133A","DMSO","Prestwick Chemical","575","Ipratropium bromide [22254-24-6]","C0700580","22254-24-6","DB00332",1
"13",2136,-0.58165030396951,0,0,"InII_endo","cmap","iopanoic acid",7e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1052","Iopanoic acid [96-83-3]","C0022028","96-83-3","DB08946",1
"14",2694,-0.580275052936496,0,0,"InII_endo","cmap","cycloserine",3.92e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","1086","D-cycloserine [68-41-7]","C0010590","68-41-7","DB00260",1
"15",1159,-0.569644090436106,0,0,"InII_endo","cmap","metolazone",1.1e-05,6,"PC3","HG-U133A","DMSO","Prestwick Chemical","112","Metolazone [17560-51-9]","C0025854","17560-51-9","DB00524",1
"16",5117,-0.569217073808125,0,0,"InII_endo","cmap","adipiodone",3.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","939","Iodipamide [606-17-7]","NULL","606-17-7","DB04711",1
"17",3807,-0.561801672296233,0,0,"InII_endo","cmap","simvastatin",9.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","865","Simvastatin [79902-63-9]","C0074554","79902-63-9","DB00641",1
"18",3646,-0.559324650872637,0,0,"InII_endo","cmap","menadione",2.32e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","459","Menadione [58-27-5]","C0025270","58-27-5","DB00170",1
"19",4569,-0.557808059649345,0,0,"InII_endo","cmap","isoconazole",9.6e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","127","Isoconazole [27523-40-6]","C0700489","27523-40-6","DB08943",1
"20",5387,-0.555054805975643,0,0,"InII_endo","cmap","nocodazole",1.32e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","100","Nocodazole [31430-18-9]","NULL","31430-18-9","DB08313",1
"21",3276,-0.549322314394771,0,0,"InII_endo","cmap","cloperastine",1.1e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","793","Cloperastine hydrochloride [14984-68-0]","MMS_608","14984-68-0","DB09002",1
"22",3966,-0.549262267924926,0,0,"InII_endo","cmap","sulfadiazine",1.6e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","23","Sulfadiazine [68-35-9]","C0723509","68-35-9","DB00359",1
"23",5130,-0.547757351335585,0,0,"InII_endo","cmap","remoxipride",9.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","971","Remoxipride Hydrochloride [73220-03-8]","C0771022","73220-03-8","DB00409",1
"24",2965,-0.545726872096918,0,0,"InII_endo","cmap","camptothecin",1.14e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","200","Camptothecine (S,+) [7689-03-4]","NULL","7689-03-4","DB04690",1
"25",3272,-0.54247329239028,0,0,"InII_endo","cmap","medrysone",1.16e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","743","Medrysone [2668-66-8]","C0065865","2668-66-8","DB00253",1
"26",2758,-0.541838932972829,0,0,"InII_endo","cmap","sulfamethoxazole",1.58e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","177","Sulfamethoxazole [723-46-6]","MMS_115","723-46-6","DB01015",1
"27",3725,-0.540027330319941,0,0,"InII_endo","cmap","fenbufen",1.58e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","218","Fenbufen [36330-85-5]","C0060156","36330-85-5","DB08981",1
"28",3597,-0.538767577320998,0,0,"InII_endo","cmap","bepridil",1e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","368","Bepridil hydrochloride [74764-40-2]","C0005116","74764-40-2","DB01244",1
"29",3273,-0.537649706768274,0,0,"InII_endo","cmap","demeclocycline",8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","753","Demeclocycline hydrochloride [64-73-3]","C0011276","64-73-3","DB00618",1
"30",3474,-0.531425281092545,0,0,"InII_endo","cmap","sertaconazole",8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","1045","Sertaconazole nitrate [99592-39-9]","C0074391","99592-39-9","DB01153",1
"31",519,-0.526591344834507,0,0,"InII_endo","cmap","trifluoperazine",1e-05,6,"PC3","HT_HG-U133A","DMSO","Sigma-Aldrich","T6062","trifluoperazine dihydrochloride","C0304381","NULL","DB00831",1
"32",4910,-0.523150934379269,0,0,"InII_endo","cmap","saquinavir",5.2e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","1114","Saquinavir mesylate [149845-06-7]","C0286737","149845-06-7","DB01232",1
"33",4828,-0.517500270088751,0,0,"InII_endo","cmap","acetylsalicylic acid",1e-04,6,"HL60","HT_HG-U133A","DMSO","Sigma-Aldrich","A2093","aspirin, USP","EXPT00475","NULL","DB00945",1
"34",4837,-0.51612097012864,0,0,"InII_endo","cmap","valproic acid",2e-04,6,"HL60","HT_HG-U133A","DMSO","Sigma-Aldrich","P4543","2-propylpentanoic acid","NULL","NULL","DB00313",1
"35",4136,-0.512761287561546,0,0,"InII_endo","cmap","hesperetin",1.32e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","124","Hesperetin [520-33-2]","APRD00117","520-33-2","DB01094",1
"36",4826,-0.511300244689582,0,0,"InII_endo","cmap","mesalazine",2.62e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1069","Mesalamine [89-57-6]","NULL","89-57-6","DB00244",1
"37",2116,-0.506973415145485,0,0,"InII_endo","cmap","pivampicillin",8.6e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1009","Pivampicillin [33817-20-8]","C0085884","33817-20-8","DB01604",1
"38",3752,-0.505898195442331,0,0,"InII_endo","cmap","galantamine",1.08e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","588","Galanthamine hydrobromide [1953-04-4]","C0949312","1953-04-4","DB00674",1
