interaction,name,selected,shared interaction,shared name,type,,,type,57,13
interacts with,Fenoprofen (interacts with) PPARG,FALSE,interacts with,Fenoprofen (interacts with) PPARG,PPARG,,,PPARG,1,
interacts with,Fenoprofen (interacts with) PTGS1,FALSE,interacts with,Fenoprofen (interacts with) PTGS1,PTGS1,,,PTGS1,1,
interacts with,Fenoprofen (interacts with) PTGS2,FALSE,interacts with,Fenoprofen (interacts with) PTGS2,PTGS2,,,PTGS2,1,
interacts with,Fenoprofen (interacts with) PPARA,FALSE,interacts with,Fenoprofen (interacts with) PPARA,PPARA,,,PPARA,1,
interacts with,Metolazone (interacts with) SLC12A3,FALSE,interacts with,Metolazone (interacts with) SLC12A3,SLC12A3,,,SLC12A3,1,
interacts with,Demeclocycline (interacts with) AVPR2,FALSE,interacts with,Demeclocycline (interacts with) AVPR2,AVPR2,,,AVPR2,1,
interacts with,Camptothecin (interacts with) TOP1,FALSE,interacts with,Camptothecin (interacts with) TOP1,TOP1,,,TOP1,2,
interacts with,Irinotecan (interacts with) TOP1MT,FALSE,interacts with,Irinotecan (interacts with) TOP1MT,TOP1MT,,,TOP1MT,1,
interacts with,Irinotecan (interacts with) TOP1,FALSE,interacts with,Irinotecan (interacts with) TOP1,TOP1,,,HRH1,2,
interacts with,Promazine (interacts with) HRH1,FALSE,interacts with,Promazine (interacts with) HRH1,HRH1,,,ADRA1A,3,
interacts with,Promazine (interacts with) ADRA1A,FALSE,interacts with,Promazine (interacts with) ADRA1A,ADRA1A,,,HTR2C,1,
interacts with,Promazine (interacts with) HTR2C,FALSE,interacts with,Promazine (interacts with) HTR2C,HTR2C,,,HTR2A,2,
interacts with,Promazine (interacts with) HTR2A,FALSE,interacts with,Promazine (interacts with) HTR2A,HTR2A,,,DRD2,3,
interacts with,Promazine (interacts with) DRD2,FALSE,interacts with,Promazine (interacts with) DRD2,DRD2,,,CHRM1,4,
interacts with,Promazine (interacts with) CHRM1,FALSE,interacts with,Promazine (interacts with) CHRM1,CHRM1,,,ERG11,1,
interacts with,Sertaconazole (interacts with) ERG11,FALSE,interacts with,Sertaconazole (interacts with) ERG11,ERG11,,,CALY,1,
interacts with,Trifluoperazine (interacts with) CALY,FALSE,interacts with,Trifluoperazine (interacts with) CALY,CALY,,,TNNC1,2,
interacts with,Trifluoperazine (interacts with) TNNC1,FALSE,interacts with,Trifluoperazine (interacts with) TNNC1,TNNC1,,,S100A4,1,
interacts with,Trifluoperazine (interacts with) ADRA1A,FALSE,interacts with,Trifluoperazine (interacts with) ADRA1A,ADRA1A,,,CALM1,2,
interacts with,Trifluoperazine (interacts with) S100A4,FALSE,interacts with,Trifluoperazine (interacts with) S100A4,S100A4,,,folP,1,
interacts with,Trifluoperazine (interacts with) DRD2,FALSE,interacts with,Trifluoperazine (interacts with) DRD2,DRD2,,,alr,1,
interacts with,Trifluoperazine (interacts with) CALM1,FALSE,interacts with,Trifluoperazine (interacts with) CALM1,CALM1,,,ddlA,1,
interacts with,Sulfamethoxazole (interacts with) folP,FALSE,interacts with,Sulfamethoxazole (interacts with) folP,folP,,,DRD5,1,
interacts with,Cycloserine (interacts with) alr,FALSE,interacts with,Cycloserine (interacts with) alr,alr,,,DRD1,1,
interacts with,Cycloserine (interacts with) ddlA,FALSE,interacts with,Cycloserine (interacts with) ddlA,ddlA,,,ADRA2A,1,
interacts with,Zuclopenthixol (interacts with) HRH1,FALSE,interacts with,Zuclopenthixol (interacts with) HRH1,HRH1,,,NQO2,2,
interacts with,Zuclopenthixol (interacts with) ADRA1A,FALSE,interacts with,Zuclopenthixol (interacts with) ADRA1A,ADRA1A,,,KRT7,1,
interacts with,Zuclopenthixol (interacts with) HTR2A,FALSE,interacts with,Zuclopenthixol (interacts with) HTR2A,HTR2A,,,CHRM3,3,
interacts with,Zuclopenthixol (interacts with) DRD5,FALSE,interacts with,Zuclopenthixol (interacts with) DRD5,DRD5,,,CHRM2,3,
interacts with,Zuclopenthixol (interacts with) DRD1,FALSE,interacts with,Zuclopenthixol (interacts with) DRD1,DRD1,,,CHRM4,2,
interacts with,Zuclopenthixol (interacts with) DRD2,FALSE,interacts with,Zuclopenthixol (interacts with) DRD2,DRD2,,,CHRNA4,1,
interacts with,Zuclopenthixol (interacts with) ADRA2A,FALSE,interacts with,Zuclopenthixol (interacts with) ADRA2A,ADRA2A,,,CHRNB2,1,
interacts with,Primaquine (interacts with) NQO2,FALSE,interacts with,Primaquine (interacts with) NQO2,NQO2,,,SI,1,
interacts with,Primaquine (interacts with) KRT7,FALSE,interacts with,Primaquine (interacts with) KRT7,KRT7,,,CHRM5,1,
interacts with,Ipratropium (interacts with) CHRM3,FALSE,interacts with,Ipratropium (interacts with) CHRM3,CHRM3,,,NR3C1,4,
interacts with,Ipratropium (interacts with) CHRM1,FALSE,interacts with,Ipratropium (interacts with) CHRM1,CHRM1,,,SRD5A1,1,
interacts with,Ipratropium (interacts with) CHRM2,FALSE,interacts with,Ipratropium (interacts with) CHRM2,CHRM2,,,AR,1,
interacts with,Procyclidine (interacts with) CHRM3,FALSE,interacts with,Procyclidine (interacts with) CHRM3,CHRM3,,,PGR,1,
interacts with,Procyclidine (interacts with) CHRM1,FALSE,interacts with,Procyclidine (interacts with) CHRM1,CHRM1,,,SHBG,1,
interacts with,Procyclidine (interacts with) CHRM4,FALSE,interacts with,Procyclidine (interacts with) CHRM4,CHRM4,,,ESR1,1,
interacts with,Procyclidine (interacts with) CHRM2,FALSE,interacts with,Procyclidine (interacts with) CHRM2,CHRM2,,,VKORC1,1,
interacts with,Scopolamine (interacts with) CHRNA4,FALSE,interacts with,Scopolamine (interacts with) CHRNA4,CHRNA4,,,VKORC1L1,1,
interacts with,Scopolamine (interacts with) CHRM3,FALSE,interacts with,Scopolamine (interacts with) CHRM3,CHRM3,,,GGCX,1,
