"SYMBOL","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
HSP90AA1,8.53790908133917e-46,0.934906565529781,0.908,0.886,2.47607901267917e-41
HSPA1A,1.20072409875755e-43,0.955251156520029,0.762,0.715,3.48221995880677e-39
RPS26,1.24423632191233e-31,-0.566191924567506,0.843,0.907,3.60840975717796e-27
NEAT1,5.3173670337305e-31,0.0646886605962438,0.912,0.837,1.54208961345218e-26
KLF6,4.00265070159325e-30,1.09903722830522,0.791,0.587,1.16080872996906e-25
HSPA1B,7.43767414654858e-30,1.02661207506585,0.683,0.628,2.15699987924055e-25
CYTOR,1.74075567106492e-26,0.366870837343443,0.551,0.492,5.04836552165536e-22
MT2A,4.35577464901183e-26,1.33509295986313,0.908,0.908,1.26321820595992e-21
EMP1,4.98421262473618e-26,0.934750946337101,0.731,0.528,1.44547150329974e-21
SOD2,5.07317500683471e-26,0.553113813627635,0.822,0.687,1.47127148373213e-21
DNAJB1,1.10654815552675e-25,0.781168770879961,0.657,0.58,3.20910030584314e-21
UBC,1.13636197528396e-24,0.640569773730673,0.919,0.865,3.29556336452101e-20
SERPINE1,1.4254607203519e-24,1.91577392357674,0.588,0.222,4.13397863509255e-20
HSPB1,4.59808703474327e-24,1.0466025274167,0.844,0.786,1.3334912209459e-19
SQSTM1,8.79009314733695e-24,0.345493770763611,0.752,0.619,2.54921491365919e-19
CD55,9.05183233715994e-23,0.61906738938053,0.609,0.438,2.62512189609975e-18
EIF1,1.76540383569536e-22,0.334306896715051,0.94,0.916,5.11984766390012e-18
HSPH1,1.26324113267987e-21,1.00333480628888,0.658,0.553,3.66352560888488e-17
SAT1,1.47921586444313e-19,0.812114718430659,0.918,0.817,4.28987392847154e-15
IFITM3,3.06154014740705e-19,-0.231476188854617,0.864,0.882,8.87877258149517e-15
CEBPD,6.01430988718612e-19,0.765182498442764,0.666,0.556,1.74421001038285e-14
H3F3B,1.10297063975939e-18,0.435426350729591,0.889,0.836,3.1987251523662e-14
CCL14,4.33913329189572e-18,-0.227844652381695,0.385,0.438,1.25839204598268e-13
SLC39A10,9.03580327155793e-18,-0.635757114338182,0.497,0.633,2.62047330678451e-13
JUND,7.78614651444392e-17,0.153500926100518,0.9,0.865,2.25806035065388e-12
HSPE1,9.39854265095795e-16,0.48579463150399,0.764,0.751,2.72567135420431e-11
ANKRD28,2.61257343468363e-15,0.71822068943381,0.517,0.307,7.576724217926e-11
