"","GeneID","value","chlorpromazine","puromycin","thioridazine","fluphenazine","perhexiline","niclosamide","etoposide","fendiline","chlorcyclizine","clotrimazole","fulvestrant","prochlorperazine","tretinoin","levomepromazine","podophyllotoxin","loperamide","disulfiram","anisomycin","trihexyphenidyl","idoxuridine","nortriptyline","geldanamycin","sirolimus","flumetasone","pioglitazone","pimozide","pyrvinium","mefloquine","trifluoperazine","disopyramide","ouabain","staurosporine","diethylstilbestrol","valproic acid","metixene","resveratrol","ciclopirox"
"360","5375",661,539,446,148,504,419,215,398,186,405,252,96,282,284,4,374,161,160,537,338,286,531,509,241,235,226.5,409,92,396,278,86,547,181,293,10,532,336,363
"88","1440",660,184,227,575,393,265,293,262,414,231,121,359,280,420,27,346,217,354,375.5,503,263,246,517,338,417,425,248,347,435,288,269,450,105,455,345,227,246,309
"324","5009",659,231,307,456,425,297,157,270,347,192,272,145,33,496,489,477,438,184,499,461,446,281,237,380,438,282,66,548,443,248,431,470,420,19,386,451,404,585
"97","1580",658,180,199,511,174,155,32,67,26,30,175,538,406,553,386,134,525,80,328,160,487,298,469,384,414,450,11,342,37,402,457,476,121,126,31,460,101,640
"282","4118",657,63,510,611,466,466,40,621,640,39,169,532,622,225,12,8,75,138,216,21,658,421,545,4,86,2,109,552,47,571,130,87,622,659,103,34,570,205
"367","5446",656,212,127,144,362.5,306,326,539,369,468,439,100,389,523,286,420,45,510,484,9,414,289,241,28,393,494,439,433,39,221,397,302,590,308,449,391,645,566
"566","8092",655,459,212,205,219,356,210,311,387,185,371,440,289,471,417,426,313,196,336,339.5,353,337,117,456,183,353,381,343,263,368,329,307,170,380,398,349,152,501
"321","4922",654,304,625,107,345,514,254,515,13,311,153,131,223,127,128,622,635,228,77,5,377,484,356,488,259,190,357,313,635,44,527,554,456,276,182,602,99,135
"194","2676",653,403,279,272,255,273,339,334,331,267,223,282,329,148,367,363,289,296,365,391,340,255,280,430,240,257,302,241,299,302,187,304,372,353,333,307,282,409
"308","467",652,3,40,6,1,1,1,17,1,2,1,49,1,111,42,3,1,4,1,1,21,7,650,42,21,103,1,1,1,1,67,1,23,3,589,4,1,2
"439","6338",651,576,247,442,275.5,228,177,290,246,455,336,574,6,296,545,611,306,168,427,45,15,133,299,155,4,114,73,89,647,60,498,117,220,7,331,13,591,301
"158","2327",650,219,197,622,384,299,465,45,504,386,238,278,321,61,439,469,441,532,438,365,272,285,373,129,428,289,283,237,212,251,176,438,466,473,487,9,487,219
"84","1393",649,417,302,448,120,268,153,356,338,339,241,303,433,287,364,397,318,295,275,381,332,251,493,454,386,253,278,304,372,430,365,345,448,338,329,318,264,407
"237","33",648,248,392,317,222,234,398,455,412,342,166,444,467,445,349,257,417,324,346,369,350,315,354,273,332,226.5,276,385,413,380,363,202,342,348,296,255,387,477
"228","3164",647,58,142,584,101,68,138,482,172,47,310,234,530,381,131,400,41,87,236,642,238,42,293,417,228,538,149,111,141,182,249,77,255,98,415,248,320,217
"61","125",646,427,412,165,454,397,462,421,147,310,305,236,397,438,112,189,381,323,441,390,474,303,435,402,338,371,281,364,140,152,418,220,340,396,87,330,314,487
"650","9745",645,534,130,21,397,520,173,248,381,229,178,472,306,639,524,548,116,255,321,548,337,406,520,642,220,372,196,504,378,184,478,67,651,222,613,350,549,505
"273","3880",644,586,271,262,561,595,576,114,188,548,571,643,96,362,122,306,208,610,130,239,526,83,602,164,503,86,175,582,515,231,127,616,89,537,523,91,44,96
"59","12",643,233,188,499,94,35,43,61,32,31,26,633,428,504,359,80,491,617,305,77,365,645,55,350,182,248,9,60,30,399,642,306,506,159,388,251,606,202
"134","2159",642,469,470,572,124,253,277,312,344,423,436,478,417,574,237,449,346,156,511,344,417,233,240,361,394,232,209,281,162,273,157,471,128,352,289,232,432,568
"458","6530",641,426,241,283,371,395,352,362,288,292,279,408,404,321,370,314,228,459,341,437,356,275,228,339,252,261,373,279,292,408,273,320,299,340,305,260,240,415
"624","9173",640,171.5,331,523,394,314,246,439,398,255,488,543,151,254.5,40,230,340,541,61,483,101,329,390,269,533,519,187,126,380,15,295,115,98,325,282,326,93,562
"96","1579",639,428,511,389,265,323,307,416,207,319,318,465,459,104,491,303,273,263,212,496,359,386,199,365,326,245,442,338,370.5,179,304,370,116,192,381,431,98,532
"325","5029",638,164,620,651,636,661,640,163,644,648,644,638,234,655,105,184,658,600,658,628,225,654,657,234,591,89,645,101,598,554,585,534,653,578,633,134,592,236
"436","6285",637,250,52,353,117,319,514,512,400,440,428,536,420,552,332,547,404,197,270,465,491,304,100,325,277,127,472,191,408,434,526,400,388,378,499,364,260,588
"602","8787",636,419,229,490,196,150,175,564,63,208,154,218,179,261,539,64,475,65,262,639,626,412,476,491,226,400,316,534,340,409,384,623,314,323,236,72,161,270
"9","10351",635,265,224,516,344,167,237,559,330,288,309,155,491,515,11,583,375,189,593,178,177,121,357,210,157,410,200,45,488,485,206,521,148,515,77,488,275,350
"205","28231",634,135,659,661,644,639,41,642,193,492,86,605,148,654,226,72,143,3,263,620,144,578,649,603,538,53,121,171,63,226,43,177,96,81,217,154,573,39
"104","1805",633,159,325,321,358,477,245,282,275,381,209,324,375,269,224,301,201,183,267,497,167,461,379,421,465,274,377,438,302,303,145,352,428,423,210,341,150,454
"375","54852",632,117,516,496,160,375,529,475,340,113,422,449,83,201,532,105,556,208,148,501,640,353,125,306,81,133,401,329,480,639,512,523,214,37,534,484,175,252
"251","3491",631,55,240,399,614,64,38,251,118,98,639,188,81,561,158,21,259,35,15,67,160,624,23,73,137,658,63,208,125,150,305,3,24,86,604,1,63,147
"552","8013",630,256,3,193,261,132,361,446,145,165,210,371,381,235,413,451,320,166,106,415,344,474,438,513,251,347,212,133,106,343,320,94,383,357,229,280,372,406
"135","216",629,316,324,400,506,345,178,365,445,280,535,306,296,508,432,342,365,313,406,519,504,325,236,295,209,339,195,431,361,313,321,380,404,356,515,353,222,320
"607","8839",628,483,344,105,81,110,57,44,176,593,68,92,426,329,47,97,511,635,459,221,539,556,71,583,370,293,143,88,562,375,600,251,42,201,135,226,313,88
"5","10221",627,609,104,24,69,8,10,63,16,52,91,34,152,6,201,79,63,17,63,16,121,75,621,45,162,106,18,47,12,213,573,138,30,144,159,93,78,176
