"exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","drug_name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID"
79,-0.772913733686018,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","(R)-Verapamil (hydrochloride)",0.5,24,"ACH-000311","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
243,-0.662017223123322,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","(S)-Crizotinib",0.5,24,"ACH-000437","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
354,-0.779661109370601,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","18β-Glycyrrhetinic acid",0.5,24,"ACH-000940","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
489,-0.706732305947391,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","4EGI-1",0.0500000007450581,24,"ACH-000790","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
627,-0.792420318764599,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","5-Azacytidine",0.0500000007450581,24,"ACH-000496","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
765,-0.809291186979747,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","5-Fluorouracil",0.0500000007450581,24,"ACH-000861","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
1004,-0.710192198634999,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","8-Hydroxyquinoline",5,24,"ACH-000940","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
1110,-0.803696447904315,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","9-ING-41",0.5,24,"ACH-000120","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
1260,-0.786023116183708,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","APTO-253",0.5,24,"ACH-000120","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
1441,-0.714655517704958,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","AT7519",0.5,24,"ACH-000932","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
