"exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","drug_name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID"
79,-0.772913733686018,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","(R)-Verapamil (hydrochloride)",0.5,24,"ACH-000311","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
243,-0.662017223123322,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","(S)-Crizotinib",0.5,24,"ACH-000437","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
354,-0.779661109370601,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","18β-Glycyrrhetinic acid",0.5,24,"ACH-000940","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
489,-0.706732305947391,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","4EGI-1",0.0500000007450581,24,"ACH-000790","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
627,-0.792420318764599,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","5-Azacytidine",0.0500000007450581,24,"ACH-000496","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
765,-0.809291186979747,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","5-Fluorouracil",0.0500000007450581,24,"ACH-000861","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
1004,-0.710192198634999,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","8-Hydroxyquinoline",5,24,"ACH-000940","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
1110,-0.803696447904315,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","9-ING-41",0.5,24,"ACH-000120","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
1260,-0.786023116183708,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","APTO-253",0.5,24,"ACH-000120","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
1441,-0.714655517704958,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","AT7519",0.5,24,"ACH-000932","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
1554,-0.756524006487918,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","AZD-7648",0.5,24,"ACH-000940","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
1727,-0.809694897307673,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","AZD-8055",0.5,24,"ACH-000496","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
1876,-0.75810166917168,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","AZD1390",0.5,24,"ACH-000916","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
2004,-0.66711317372631,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","AZD2858",0.5,24,"ACH-000940","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
2222,-0.8425037971772,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Abemaciclib",5,24,"ACH-000750","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
2367,-0.651920697490889,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Abiraterone acetate",5,24,"ACH-000552","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
2404,-0.692938737552595,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Acetazolamide",0.0500000007450581,24,"ACH-000940","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
2603,-0.657947501794489,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Acetohexamide",0.5,24,"ACH-000681","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
2710,-0.857805925579293,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Adagrasib",0.0500000007450581,24,"ACH-000120","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
2928,-0.613901535130333,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Adenine",0.5,24,"ACH-000521","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
3043,-0.610762865788127,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Adenosine",0.0500000007450581,24,"ACH-000437","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
3222,-0.650494227894084,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Afatinib",0.5,24,"ACH-000750","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
3366,-0.616970804367051,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Aliskiren",0.5,24,"ACH-000148","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
3554,-0.577466777178073,2e-05,0.000186013093289689,"file16e95f7ba187_logFC_0","TAHOE","Allantoin",5,24,"ACH-000940","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
3617,-0.677645829450232,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Allopurinol",0.0500000007450581,24,"ACH-000552","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
3879,-0.76051946970388,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Almonertinib (hydrochloride)",5,24,"ACH-000311","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
4028,-0.742333072917699,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Almonertinib (mesylate)",5,24,"ACH-000521","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
4183,-0.648184592383438,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Alpelisib",5,24,"ACH-000628","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
4306,-0.601380863813199,1e-05,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Altretamine",5,24,"ACH-000927","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
4459,-0.66702503559234,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Amsacrine",5,24,"ACH-000138","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
4585,-0.639336078933697,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Anastrozole",0.5,24,"ACH-000164","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
4661,-0.645961211289613,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Anethole trithione",0.0500000007450581,24,"ACH-001039","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
4941,-0.658156495255016,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Apalutamide",5,24,"ACH-000932","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
4976,-0.694020189482117,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Aprepitant",0.0500000007450581,24,"ACH-000916","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
5100,-0.615793580291956,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Arbutin",0.0500000007450581,24,"ACH-000558","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
5267,-0.684003771400018,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Artemether",0.0500000007450581,24,"ACH-000552","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
5405,-0.556537985652024,3e-05,0.000251743945658594,"file16e95f7ba187_logFC_0","TAHOE","Artesunate",0.0500000007450581,24,"ACH-000222","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
5552,-0.67490452528345,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Asciminib",0.0500000007450581,24,"ACH-000555","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
