"exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","drug_name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID"
21,-0.308380520650005,0.00027,0.00648764904862579,"file16e96ce45d3e_logFC_0","TAHOE","(R)-Verapamil (hydrochloride)",0.0500000007450581,24,"ACH-000793","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
293,-0.365343471036362,9.99990000099999e-06,0.000563759920634921,"file16e96ce45d3e_logFC_0","TAHOE","(S)-Crizotinib",5,24,"ACH-000437","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
519,-0.29179686972857,0.00076,0.0150797905027933,"file16e96ce45d3e_logFC_0","TAHOE","4EGI-1",0.5,24,"ACH-000178","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
733,-0.241145406016865,0.01194,0.177019144273415,"file16e96ce45d3e_logFC_0","TAHOE","5-Azacytidine",5,24,"ACH-000628","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
2133,-0.268830616638981,0.00293,0.0485573374161563,"file16e96ce45d3e_logFC_0","TAHOE","Abemaciclib",0.0500000007450581,24,"ACH-000628","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
2304,-0.261242121661509,0.00443,0.0703390919251188,"file16e96ce45d3e_logFC_0","TAHOE","Abiraterone acetate",0.5,24,"ACH-000940","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
2799,-0.23507535039778,0.01585,0.232320853752902,"file16e96ce45d3e_logFC_0","TAHOE","Adagrasib",0.5,24,NA,"Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
2999,-0.373290667555977,9.99990000099999e-06,0.000563759920634921,"file16e96ce45d3e_logFC_0","TAHOE","Adenine",5,24,NA,"Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
3049,-0.278179442082495,0.00158,0.0279709221183801,"file16e96ce45d3e_logFC_0","TAHOE","Adenosine",0.0500000007450581,24,NA,"Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
3497,-0.324438353434067,8e-05,0.00261574223245109,"file16e96ce45d3e_logFC_0","TAHOE","Allantoin",0.0500000007450581,24,"ACH-000958","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
