"exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","drug_name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID"
21,-0.308380520650005,0.00027,0.00648764904862579,"file16e96ce45d3e_logFC_0","TAHOE","(R)-Verapamil (hydrochloride)",0.0500000007450581,24,"ACH-000793","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
293,-0.365343471036362,9.99990000099999e-06,0.000563759920634921,"file16e96ce45d3e_logFC_0","TAHOE","(S)-Crizotinib",5,24,"ACH-000437","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
519,-0.29179686972857,0.00076,0.0150797905027933,"file16e96ce45d3e_logFC_0","TAHOE","4EGI-1",0.5,24,"ACH-000178","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
733,-0.241145406016865,0.01194,0.177019144273415,"file16e96ce45d3e_logFC_0","TAHOE","5-Azacytidine",5,24,"ACH-000628","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
2133,-0.268830616638981,0.00293,0.0485573374161563,"file16e96ce45d3e_logFC_0","TAHOE","Abemaciclib",0.0500000007450581,24,"ACH-000628","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
2304,-0.261242121661509,0.00443,0.0703390919251188,"file16e96ce45d3e_logFC_0","TAHOE","Abiraterone acetate",0.5,24,"ACH-000940","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
2799,-0.23507535039778,0.01585,0.232320853752902,"file16e96ce45d3e_logFC_0","TAHOE","Adagrasib",0.5,24,NA,"Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
2999,-0.373290667555977,9.99990000099999e-06,0.000563759920634921,"file16e96ce45d3e_logFC_0","TAHOE","Adenine",5,24,NA,"Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
3049,-0.278179442082495,0.00158,0.0279709221183801,"file16e96ce45d3e_logFC_0","TAHOE","Adenosine",0.0500000007450581,24,NA,"Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
3497,-0.324438353434067,8e-05,0.00261574223245109,"file16e96ce45d3e_logFC_0","TAHOE","Allantoin",0.0500000007450581,24,"ACH-000958","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
3677,-0.338650952961165,3e-05,0.00135841434262948,"file16e96ce45d3e_logFC_0","TAHOE","Allopurinol",0.5,24,"ACH-000496","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
3972,-0.305358463456272,0.00029,0.00679020601565719,"file16e96ce45d3e_logFC_0","TAHOE","Almonertinib (mesylate)",0.5,24,"ACH-000750","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
4271,-0.276696038008605,0.00178,0.0310472866789441,"file16e96ce45d3e_logFC_0","TAHOE","Altretamine",0.5,24,"ACH-000793","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
4377,-0.269385953002106,0.00285,0.0474807827616535,"file16e96ce45d3e_logFC_0","TAHOE","Amsacrine",0.0500000007450581,24,"ACH-000496","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
4539,-0.305319840478758,0.00029,0.00679020601565719,"file16e96ce45d3e_logFC_0","TAHOE","Anastrozole",0.0500000007450581,24,"ACH-000790","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
4765,-0.309189548991753,0.00027,0.00648764904862579,"file16e96ce45d3e_logFC_0","TAHOE","Anethole trithione",5,24,"ACH-000861","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
4877,-0.295259642556219,0.00062,0.0127608620065194,"file16e96ce45d3e_logFC_0","TAHOE","Apalutamide",0.5,24,"ACH-000496","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
5901,-0.294558968962932,0.00063,0.0129292199349946,"file16e96ce45d3e_logFC_0","TAHOE","Ataluren",0.5,24,"ACH-000757","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
6319,-0.355794087847096,9.99990000099999e-06,0.000563759920634921,"file16e96ce45d3e_logFC_0","TAHOE","Azithromycin (hydrate)",0.0500000007450581,24,"ACH-000178","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
7036,-0.239286178617355,0.01309,0.193362472056148,"file16e96ce45d3e_logFC_0","TAHOE","Baicalin",5,24,"ACH-000139","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
7071,-0.257930181724997,0.00526,0.0820955836308706,"file16e96ce45d3e_logFC_0","TAHOE","Balsalazide (sodium hydrate)",0.0500000007450581,24,"ACH-000793","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
7397,-0.296739487467454,0.00057,0.0119702106430155,"file16e96ce45d3e_logFC_0","TAHOE","Belumosudil",0.0500000007450581,24,"ACH-000958","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
7660,-0.299255237725104,0.00052,0.0112101820940819,"file16e96ce45d3e_logFC_0","TAHOE","Belzutifan",0.0500000007450581,24,"ACH-000120","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
8327,-0.324655769057447,8e-05,0.00261574223245109,"file16e96ce45d3e_logFC_0","TAHOE","Benztropine (mesylate)",0.5,24,"ACH-000311","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
8414,-0.367544160506795,9.99990000099999e-06,0.000563759920634921,"file16e96ce45d3e_logFC_0","TAHOE","Berbamine",0.0500000007450581,24,"ACH-000148","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
8561,-0.31325727248199,0.00023,0.00609618003731343,"file16e96ce45d3e_logFC_0","TAHOE","Berbamine (dihydrochloride)",0.0500000007450581,24,"ACH-000997","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
8967,-0.326121077749259,8e-05,0.00261574223245109,"file16e96ce45d3e_logFC_0","TAHOE","Bergenin",5,24,"ACH-000178","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
9214,-0.294664106913081,0.00062,0.0127608620065194,"file16e96ce45d3e_logFC_0","TAHOE","Bestatin (hydrochloride)",0.5,24,"ACH-000148","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
9484,-0.279699914229173,0.00147,0.0263685890151515,"file16e96ce45d3e_logFC_0","TAHOE","Bexarotene",0.0500000007450581,24,"ACH-000139","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
9791,-0.293647373969908,0.00066,0.013385374732334,"file16e96ce45d3e_logFC_0","TAHOE","Bimatoprost",0.0500000007450581,24,"ACH-000437","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
10757,-0.375352075365576,9.99990000099999e-06,0.000563759920634921,"file16e96ce45d3e_logFC_0","TAHOE","Brimonidine",5,24,"ACH-000138","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
10927,-0.239649965696519,0.01285,0.189915981794538,"file16e96ce45d3e_logFC_0","TAHOE","Brivudine",5,24,"ACH-000311","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
11075,-0.300332362311974,0.00045,0.00986960632960247,"file16e96ce45d3e_logFC_0","TAHOE","Budesonide",5,24,"ACH-000496","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
11431,-0.349578341934619,1e-05,0.000563759920634921,"file16e96ce45d3e_logFC_0","TAHOE","Cabozantinib (S-malate)",0.0500000007450581,24,"ACH-000628","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
11664,-0.305997457973279,0.00029,0.00679020601565719,"file16e96ce45d3e_logFC_0","TAHOE","Canagliflozin",5,24,"ACH-000148","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
11931,-0.244876246559274,0.01005,0.150173902182488,"file16e96ce45d3e_logFC_0","TAHOE","Capivasertib",0.5,24,"ACH-000628","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
12051,-0.303067603776838,0.00031,0.00704373050779688,"file16e96ce45d3e_logFC_0","TAHOE","Capmatinib",0.5,24,"ACH-000681","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
12275,-0.31431912262632,0.00021,0.00568540733682706,"file16e96ce45d3e_logFC_0","TAHOE","Captopril",5,24,"ACH-000496","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
