gene_symbol,logfc_dz:912,logfc_dz:913,logfc_dz:503,logfc_dz:877,logfc_dz:878,mean_logfc,median_logfc,common_experiment,organism,signature_type
ACTN3,0.0780164822936058,0.1831701844930648,0.1675589829683303,0.1314005702733993,0.1414989531040191,0.1403290346264839,0.1414989531040191,0.0780164822936058,human,UP
MYL6B,-0.1221295595169067,0.01384221855551,0.2696301937103271,0.276098370552063,0.2020979821681976,0.1279078410938382,0.2020979821681976,-0.1221295595169067,human,UP
MYL12B,,-0.0467652790248394,0.137190893292427,0.2122909128665924,0.0847019553184509,0.0968546206131577,0.110946424305439,,human,UP
LGALS1,0.0722309872508049,0.1101151332259178,,,,0.0911730602383613,0.0911730602383613,0.0722309872508049,human,UP
PDLIM3,0.0820782333612442,0.1129644066095352,0.0589828118681907,0.048402827233076,,0.0756070697680115,0.0705305226147174,0.0820782333612442,human,UP
ACTG1,,,0.0707153677940368,0.0784617811441421,0.073729358613491,0.07430216918389,0.073729358613491,,human,UP
TFRC,-0.0138797657564282,0.0172791257500648,0.1548340618610382,0.1143294647336006,0.0953252390027046,0.073577625118196,0.0953252390027046,-0.0138797657564282,human,UP
MYL12A,0.0068856072612106,,0.0929899737238884,,0.1142970398068428,0.0713908735973139,0.0929899737238884,0.0068856072612106,human,UP
MYOZ2,,0.012753321789205,0.0875328555703163,0.1083779633045196,0.0724395960569381,0.0702759341802448,0.0799862258136272,,human,UP
MYOM2,-0.0148080633953213,0.011135222390294,0.1215456053614616,0.1344120055437088,0.0771856307983398,0.0658940801396966,0.0771856307983398,-0.0148080633953213,human,UP
CASQ1,0.1027065888047218,0.0995454639196395,0.0397598333656787,0.0177627280354499,,0.0649436535313725,0.0696526486426591,0.1027065888047218,human,UP
ACTC1,0.0646696835756301,0.0599446445703506,0.056604616343975,0.0924601405858993,0.0507923662662506,0.0648942902684211,0.0599446445703506,0.0646696835756301,human,UP
COL1A2,0.0101192109286785,0.0484052263200283,0.0700093880295753,0.0823034718632698,0.0804969891905784,0.058266857266426,0.0700093880295753,0.0101192109286785,human,UP
MYLPF,0.2008672356605529,0.0789490118622779,0.0335608348250389,0.0331512801349163,-0.0701647847890853,0.0552727155387401,0.0335608348250389,0.2008672356605529,human,UP
HBB,0.0647488608956337,0.0630291700363159,0.0662405639886856,0.0571447610855102,0.0214959494769573,0.0545318610966205,0.0630291700363159,0.0647488608956337,human,UP
HBA2,0.060325801372528,0.0528004914522171,0.0675264596939086,0.0536859184503555,0.0229435972869396,0.0514564536511898,0.0536859184503555,0.060325801372528,human,UP
EEF1A1P9,0.0194185320287942,0.0560830011963844,0.0530628859996795,0.0647168457508087,0.063536524772644,0.0513635579496622,0.0560830011963844,0.0194185320287942,human,UP
ACTB,,-0.0269105080515146,0.073892593383789,0.071656122803688,0.0805757120251655,0.049803480040282,0.0727743580937385,,human,UP
BZW2,-0.008243360556662,-0.0617547035217285,0.1317725181579589,0.1146794781088829,0.0594068840146064,0.0471721632406115,0.0594068840146064,-0.008243360556662,human,UP
ZNF423,,,0.0570962838828563,0.0471763126552104,0.0361290238797664,0.0468005401392777,0.0471763126552104,,human,UP
TUBA1A,-0.009402859956026,,0.0600131787359714,0.0678699761629104,0.0630455240607261,0.0453814547508955,0.0615293513983488,-0.009402859956026,human,UP
RPS4Y1,-0.0277569964528083,-0.1074936315417289,0.1343154013156891,0.1066319122910499,0.1191644221544265,0.0449722215533256,0.1066319122910499,-0.0277569964528083,human,UP
ACTN2,-0.0176738835871219,-0.0303572565317153,0.1125366538763046,0.0917096212506294,0.0633678883314132,0.0439166046679019,0.0633678883314132,-0.0176738835871219,human,UP
CFD,0.0206251386553049,0.0510266534984111,0.0535322129726409,0.0527673549950122,0.0311219543218612,0.0418146628886461,0.0510266534984111,0.0206251386553049,human,UP
SPARC,,,0.043935552239418,0.0435490421950817,0.0379545874893665,0.0418130606412887,0.0435490421950817,,human,UP
