"exp_id","cmap_score","p.x","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","drug_name","r","p.y","num_peers","valid"
1069,-0.346230153301266,0.00013,0.00357207207207207,"file16e94a0ad192_logFC_0","CMAP","8-azaguanine",2.62e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1","Azaguanine-8 [134-58-7]","EXPT00603","134-58-7","DB01667","8-azaguanine",0.254127332906592,9.5304621978038e-192,3,1
5426,-0.208768718434211,0.09638,0.31550482832618,"file16e94a0ad192_logFC_0","CMAP","acepromazine",9e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","576","Acetopromazine maleate salt [3598-37-6]","C0000959","3598-37-6","DB01614","acepromazine",0.196657282980972,4.14510112546096e-114,3,1
5495,-0.405769337450667,9.99990000099999e-06,0.000554545454545455,"file16e94a0ad192_logFC_0","CMAP","acetylsalicylic acid",1e-04,6,"MCF7","HT_HG-U133A","DMSO","Sigma-Aldrich","A2093","aspirin, USP","EXPT00475","NULL","DB00945","acetylsalicylic acid",0.524233954894622,0,12,1
5174,-0.241064955095287,0.03054,0.138714817572599,"file16e94a0ad192_logFC_0","CMAP","alprostadil",1e-05,6,"PC3","HT_HG-U133A","DMSO","Sigma-Aldrich","P5515","Prostaglandin E1","C0002335","NULL","DB00770","alprostadil",0.163060918718196,1.42067564846984e-78,6,1
1337,-0.278726215641985,0.0059,0.0460612244897959,"file16e94a0ad192_logFC_0","CMAP","alverine",8.4e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","174","Alverine citrate salt [5560-59-8]","C0243365","5560-59-8","DB01616","alverine",0.173391927017467,9.42193935738873e-89,3,1
5412,-0.191013171884743,0.16097,0.458682391405885,"file16e94a0ad192_logFC_0","CMAP","aminophenazone",1.72e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","88","Amidopyrine [58-15-1]","NULL","58-15-1","DB01424","aminophenazone",0.180198937529972,8.06299697559495e-96,4,1
2204,-0.204408992724277,0.11006,0.345708547888774,"file16e94a0ad192_logFC_0","CMAP","aminophylline",9.6e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","820","Aminophylline [317-34-0]","C1271551","317-34-0","DB01223","aminophylline",0.412091184879139,0,3,1
2447,-0.293572631639713,0.00255,0.0257533112582781,"file16e94a0ad192_logFC_0","CMAP","amiodarone",5.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","409","Amiodarone hydrochloride [19774-82-4]","C0700442","19774-82-4","DB01118","amiodarone",0.245924521392716,2.57250887316273e-179,4,1
3878,-0.265611790305252,0.01094,0.0712970085470085,"file16e94a0ad192_logFC_0","CMAP","amoxapine",1.28e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","102","Amoxapine [14028-44-5]","C0002644","14028-44-5","DB00543","amoxapine",0.310189952187783,1.78092375411021e-289,4,1
4946,-0.236337939850142,0.0363,0.156487632508834,"file16e94a0ad192_logFC_0","CMAP","amoxicillin",1.1e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","357","Amoxicillin [26787-78-0]","MMS_106","26787-78-0","DB01060","amoxicillin",0.192844952705403,1.01432293396278e-109,3,1
3841,-0.281836212688002,0.00502,0.0411586021505376,"file16e94a0ad192_logFC_0","CMAP","apramycin",7.4e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","1005","Apramycin [37321-09-8]","NULL","37321-09-8","DB04626","apramycin",0.160684172083866,2.51909245190743e-76,3,1
1004,-0.355863724315887,8e-05,0.00280459770114943,"file16e94a0ad192_logFC_0","CMAP","atropine",5.8e-06,6,"HL60","HG-U133A","DMSO","Prestwick Chemical","565","Atropine sulfate monohydrate [5908-99-6]","C0004259","5908-99-6","DB00572","atropine",0.295790076070166,3.46568246256299e-262,3,1
1079,-0.369166918018036,2e-05,0.000917293233082707,"file16e94a0ad192_logFC_0","CMAP","benzonatate",6.6e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","12","Benzonatate [104-31-4]","C0053229","104-31-4","DB00868","benzonatate",0.181668671579959,2.20073321849048e-97,4,1
5201,-0.247502956932915,0.02345,0.115732200647249,"file16e94a0ad192_logFC_0","CMAP","benzthiazide",9.2e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","824","Benzthiazide [91-33-8]","C0053245","91-33-8","DB00562","benzthiazide",0.314036860078174,4.95441387618655e-297,3,1
3838,-0.224365808574016,0.05791,0.221196618659987,"file16e94a0ad192_logFC_0","CMAP","betahistine",1.72e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","543","Betahistine mesylate [54856-23-4]","C0005301","54856-23-4","DB06698","betahistine",0.24640046733016,5.03093652750967e-180,3,1
1805,-0.351680883443461,0.00011,0.00343661971830986,"file16e94a0ad192_logFC_0","CMAP","bezafibrate",1.1e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","378","Bezafibrate [41859-67-0]","C0005330","41859-67-0","DB01393","bezafibrate",0.27110997208271,5.75146342499141e-219,3,1
4991,-0.251753209330463,0.01986,0.10408647260274,"file16e94a0ad192_logFC_0","CMAP","budesonide",9.2e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","518","Budesonide [51333-22-3]","C0054201","51333-22-3","DB01222","budesonide",0.241361339207288,1.33972271550957e-172,3,1
4920,-0.209367481924966,0.09437,0.311165945945946,"file16e94a0ad192_logFC_0","CMAP","bupropion",1.44e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","249","Bupropion hydrochloride [31677-93-7]","C0700563","31677-93-7","DB01156","bupropion",0.183100923717934,6.39026681361923e-99,3,1
2210,-0.30299626926969,0.00148,0.0180921843687375,"file16e94a0ad192_logFC_0","CMAP","carbachol",2.18e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","880","Carbachol [51-83-2]","C0006945","51-83-2","DB00411","carbachol",0.203482155581916,3.38457429389559e-122,3,1
4286,-0.277134761781673,0.00647,0.0497692307692308,"file16e94a0ad192_logFC_0","CMAP","carbamazepine",1.7e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","52","Carbamazepine [298-46-4]","C0006949","298-46-4","DB00564","carbamazepine",0.150608392970732,3.56070081260675e-67,7,1
5413,-0.264108591087858,0.01162,0.0738087318087318,"file16e94a0ad192_logFC_0","CMAP","cefalotin",9.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","719","Cephalothin sodium salt [58-71-9]","NULL","58-71-9","DB00456","cefalotin",0.380240362437083,0,3,1
5765,-0.340363177780904,0.00018,0.00444534412955466,"file16e94a0ad192_logFC_0","CMAP","cefmetazole",8.2e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","700","Cefmetazole sodium salt [56796-39-5]","C0007550","56796-39-5","DB00274","cefmetazole",0.205035909061561,4.43066015248599e-124,3,1
3040,-0.242445939068565,0.02878,0.132998484848485,"file16e94a0ad192_logFC_0","CMAP","cefotetan",7e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","473","Cefotetan [69712-56-7]","C0007555","69712-56-7","DB01330","cefotetan",0.159598717610956,2.61060113518969e-75,2,1
4768,-0.234614104025453,0.03887,0.164315315315315,"file16e94a0ad192_logFC_0","CMAP","cefuroxime",9e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","720","Cefuroxime sodium salt [56238-63-2]","C0007562","56238-63-2","DB01112","cefuroxime",0.331293804051768,0,3,1
