gene_symbol,logfc_dz:786,logfc_dz:194,mean_logfc,median_logfc,common_experiment,organism
EEF1A1,0.15823647379875183,-0.01339686755090952,0.07241980312392116,0.07241980312392116,0.15823647379875183,human
RPL30,0.1166122704744339,0.028072260320186615,0.07234226539731026,0.07234226539731026,0.1166122704744339,human
VOPP1,0.09713928401470184,0.07168984413146973,0.08441456407308578,0.08441456407308578,0.09713928401470184,human
EEF1A1P9,0.0891641154885292,,0.0891641154885292,0.0891641154885292,0.0891641154885292,human
LRMP,0.08499778807163239,0.013294878415763378,0.04914633324369788,0.04914633324369788,0.08499778807163239,human
RPS27,0.08362796902656555,0.017653033137321472,0.05064050108194351,0.05064050108194351,0.08362796902656555,human
STARD7,0.08054842054843903,,0.08054842054843903,0.08054842054843903,0.08054842054843903,human
FAIM3,0.07886296510696411,0.0573677234351635,0.0681153442710638,0.0681153442710638,0.07886296510696411,human
KIAA0226L,0.07334888726472855,0.019637366756796837,0.04649312701076269,0.04649312701076269,0.07334888726472855,human
ISCU,0.06480813771486282,,0.06480813771486282,0.06480813771486282,0.06480813771486282,human
RPL9,0.06308793276548386,0.02651827782392502,0.04480310529470444,0.04480310529470444,0.06308793276548386,human
RPL6,0.06129738688468933,0.050846345722675323,0.05607186630368233,0.05607186630368233,0.06129738688468933,human
NOSIP,0.061147674918174744,0.018569136038422585,0.039858405478298664,0.039858405478298664,0.061147674918174744,human
PNRC2,0.06020870432257652,,0.06020870432257652,0.06020870432257652,0.06020870432257652,human
HIST1H4C,0.05962274223566055,,0.05962274223566055,0.05962274223566055,0.05962274223566055,human
FMOD,0.057633109390735626,0.016950057819485664,0.037291583605110645,0.037291583605110645,0.057633109390735626,human
RPS4X,0.057630449533462524,0.05810369551181793,0.05786707252264023,0.05786707252264023,0.057630449533462524,human
HMGN2,0.05718636512756348,0.02595927007496357,0.04157281760126352,0.04157281760126352,0.05718636512756348,human
FTL,0.05578598007559776,,0.05578598007559776,0.05578598007559776,0.05578598007559776,human
MORF4L1,0.05577166751027107,,0.05577166751027107,0.05577166751027107,0.05577166751027107,human
LITAF,0.05245165526866913,,0.05245165526866913,0.05245165526866913,0.05245165526866913,human
SH3BP5,0.05167354270815849,0.04250551387667656,0.047089528292417526,0.047089528292417526,0.05167354270815849,human
CKAP4,0.051629628986120224,0.019757317379117012,0.03569347318261862,0.03569347318261862,0.051629628986120224,human
HMGN3,0.05139203742146492,-0.020229890942573547,0.015581073239445686,0.015581073239445686,0.05139203742146492,human
TCF4,0.05073896422982216,0.027703754603862762,0.03922135941684246,0.03922135941684246,0.05073896422982216,human
TMSB10,0.04990539699792862,,0.04990539699792862,0.04990539699792862,0.04990539699792862,human
HLA-DRB5,0.049126144498586655,0.11329769343137741,0.08121191896498203,0.08121191896498203,0.049126144498586655,human
