"exp_id","cmap_score","p.x","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","drug_name","r","p.y","num_peers","valid"
866,-0.317990268176424,6e-05,0.0118064516129032,"file16e92e72185_logFC_0","CMAP","acetylsalicylic acid",1e-04,6,"MCF7","HT_HG-U133A","DMSO","Sigma-Aldrich","A2093","aspirin, USP","EXPT00475","NULL","DB00945","acetylsalicylic acid",0.332651123859005,0,12,1
5178,-0.239788095898143,0.00795,0.118280487804878,"file16e92e72185_logFC_0","CMAP","alprostadil",1e-05,6,"MCF7","HT_HG-U133A","DMSO","Sigma-Aldrich","P5515","Prostaglandin E1","C0002335","NULL","DB00770","alprostadil",0.240172297725526,7.14527892680383e-171,6,1
1337,-0.262864753743585,0.00228,0.0656037735849057,"file16e92e72185_logFC_0","CMAP","alverine",8.4e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","174","Alverine citrate salt [5560-59-8]","C0243365","5560-59-8","DB01616","alverine",0.173391927017467,9.42193935738873e-89,3,1
939,-0.189867079648933,0.07831,0.385545601291364,"file16e92e72185_logFC_0","CMAP","atracurium besilate",3.2e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","5","Atracurium besylate [64228-81-5]","NULL","64228-81-5","DB00732","atracurium besilate",0.166883049062543,2.90741887553346e-82,2,1
1179,-0.251317743950508,0.00436,0.0863506493506493,"file16e92e72185_logFC_0","CMAP","baclofen",1.88e-05,6,"PC3","HG-U133A","DMSO","Prestwick Chemical","85","Baclofen (R,S) [1134-47-0]","C0004609","1134-47-0","DB00181","baclofen",0.333325044152497,0,4,1
1455,-0.205161434576296,0.04294,0.284093275488069,"file16e92e72185_logFC_0","CMAP","canrenoic acid",1e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","148","Canrenoic acid potassium salt [2181-04-6]","C0282085","2181-04-6","DB09015","canrenoic acid",0.153307388817325,1.44880364562872e-69,3,1
3702,-0.200449020047375,0.05268,0.311383720930233,"file16e92e72185_logFC_0","CMAP","cefamandole",8.2e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","747","Cefamandole sodium salt [30034-03-8]","C0054995","30034-03-8","DB01326","cefamandole",0.152194505909314,1.41923610810852e-68,3,1
5765,-0.233434315383159,0.01098,0.13937422037422,"file16e92e72185_logFC_0","CMAP","cefmetazole",8.2e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","700","Cefmetazole sodium salt [56796-39-5]","C0007550","56796-39-5","DB00274","cefmetazole",0.205035909061561,4.43066015248599e-124,3,1
3915,-0.177283427902086,0.12227,0.493938410596027,"file16e92e72185_logFC_0","CMAP","chloramphenicol",1.24e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","31","Chloramphenicol [56-75-7]","C0055337","56-75-7","DB00446","chloramphenicol",0.409764168860703,0,3,1
5997,-0.213590981565482,0.02946,0.228420584498094,"file16e92e72185_logFC_0","CMAP","chlorzoxazone",2.36e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","163","Chlorzoxazone [95-25-0]","C0008296","95-25-0","DB00356","chlorzoxazone",0.2776406009671,5.63938159839051e-230,3,1
