"exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","drug_name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID"
175,-0.357601857287542,9.99990000099999e-06,0.000620382096069869,"file16e91449a440_logFC_0","TAHOE","(S)-Crizotinib",0.0500000007450581,24,"ACH-000601","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
537,-0.278288903653996,0.00043,0.0157243307593308,"file16e91449a440_logFC_0","TAHOE","4EGI-1",0.5,24,"ACH-000943","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
704,-0.336990658856895,9.99990000099999e-06,0.000620382096069869,"file16e91449a440_logFC_0","TAHOE","5-Azacytidine",5,24,"ACH-000940","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
1158,-0.402617307403968,9.99990000099999e-06,0.000620382096069869,"file16e91449a440_logFC_0","TAHOE","9-ING-41",5,24,"ACH-000580","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
1929,-0.312054583204849,2e-05,0.000990880557977332,"file16e91449a440_logFC_0","TAHOE","AZD1390",5,24,"ACH-000311","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
2846,-0.349625942015958,9.99990000099999e-06,0.000620382096069869,"file16e91449a440_logFC_0","TAHOE","Adagrasib",5,24,"ACH-000236","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
2877,-0.29470248055267,8e-05,0.00329193338160753,"file16e91449a440_logFC_0","TAHOE","Adenine",0.0500000007450581,24,"ACH-000496","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
3065,-0.282911783043131,0.00031,0.0117364223850766,"file16e91449a440_logFC_0","TAHOE","Adenosine",0.5,24,"ACH-000861","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
3301,-0.286606082119537,0.00017,0.00661231348391513,"file16e91449a440_logFC_0","TAHOE","Aliskiren",0.0500000007450581,24,"ACH-000757","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
3666,-0.327855995794424,9.99990000099999e-06,0.000620382096069869,"file16e91449a440_logFC_0","TAHOE","Allopurinol",0.5,24,"ACH-000148","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
